[00:00:07.031 --> 00:00:11.856]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:11.856 --> 00:00:13.437]  You want answers?
[00:00:13.437 --> 00:00:14.979]  Well, so does he.
[00:00:14.979 --> 00:00:19.183]  He's Alex Jones on the GCN Radio Network.
[00:00:19.183 --> 00:00:23.247]  And now, live from Austin, Texas, Alex Jones.
[00:00:28.393 --> 00:00:34.475]  It's Paul Joseph Watson with the Alex Jones Show on this Thursday, October 2nd, filling in for Alex.
[00:00:34.475 --> 00:00:39.037]  Hopefully we will have Alex calling in from the road a little later on in the show.
[00:00:39.037 --> 00:00:49.020]  We've also got Lionel from Lionel Media popping in in the third hour to discuss media narratives, the latest Ebola news, and a whole gamut of different subjects.
[00:00:49.020 --> 00:00:51.881]  But we're focusing on Ebola in the first hour.
[00:00:51.881 --> 00:00:54.642]  David Knight will be in in the second hour also.
[00:00:55.442 --> 00:01:10.525]  So the latest news, of course, is that we've now got potentially up to a hundred patients, alleged, supposed victims exposed to the Ebola virus as a result of this individual who arrived in Dallas last week from Liberia.
[00:01:10.525 --> 00:01:14.745]  We also have another case in Hawaii, which they're investigating at the moment.
[00:01:14.745 --> 00:01:19.566]  Not confirmed that it's Ebola, but they're saying that it's very possible that that could be the case.
[00:01:19.566 --> 00:01:20.687]  Now it's up to a hundred.
[00:01:20.687 --> 00:01:23.047]  Texas checks a hundred for Ebola exposure.
[00:01:23.687 --> 00:01:28.972]  So, yesterday it went from 12 to 18, 80 this morning, now they're saying 100.
[00:01:28.972 --> 00:01:45.127]  We're also following another case in a different state where there is another potential Ebola victim that's not being confirmed, but there is a medical worker there in that state saying that it is about to be confirmed within the next few hours, so we'll continue to keep track of that.
[00:01:45.908 --> 00:01:49.769]  Big headlines coming up today on the Alex Jones Show.
[00:01:49.769 --> 00:02:01.853]  Biggest, as far as I'm concerned, is on the top left of DrudgeReport.com, which is red-linked, and it's UN Ebola chief raises nightmare prospect that virus could mutate and become airborne if it is not quickly brought under control.
[00:02:01.853 --> 00:02:02.533]  Obviously this is a...
[00:02:03.453 --> 00:02:10.698]  An issue that we've been discussing for weeks and months, the potential that Ebola has, at least to a limited extent, gone airborne.
[00:02:10.698 --> 00:02:15.902]  Now we have one of the UN's top Ebola professionals in charge of the situation saying the same thing.
[00:02:15.902 --> 00:02:24.929]  The longer the Ebola epidemic continues infecting people unabated, the higher the chances it will mutate and become airborne, the UN's Ebola response chief has warned.
[00:02:25.816 --> 00:02:44.410]  And this is Anthony Banbury, the Secretary General's Special Representative, who said that there's a nightmare prospect, and this is not Alex Jones saying this, this is the head of the UN Ebola response team, a nightmare prospect that the deadly disease will become airborne if it continues infecting new hosts.
[00:02:44.410 --> 00:02:48.053]  His comments come as organisations battling the crisis in West Africa warn.
[00:02:48.533 --> 00:02:54.876]  That the international community has just four weeks to stop it before it spirals completely out of control.
[00:02:54.876 --> 00:03:03.720]  There you see the article out of the Daily Mail, which of course ties into this separate article which we've got up on Infowars.com which we're going to cover in more detail.
[00:03:04.520 --> 00:03:17.589]  Out of shtfplan.com, Max Slavo, who we're trying to get on the show today, if not today, maybe tomorrow, report disaster teams were notified months ago they would be activated in October.
[00:03:17.589 --> 00:03:34.040]  And this was DART teams, Disaster Assistance Response teams, no word yet on exactly where in the country, but they were told to prepare to be activated in the month of October, and that's according to a public tweet from a large government supplier of emergency response products specializing in high-risk events.
[00:03:34.680 --> 00:03:43.129]  So they basically put out a tweet, and you can see it in this article there, said that we are now hearing this is the tip of the iceberg as we enter October.
[00:03:43.129 --> 00:03:49.956]  And in a subsequent tweet, they said, dark teams were notified months ago they would be activated in October.
[00:03:49.956 --> 00:03:51.938]  Timing seems weird.
[00:03:51.938 --> 00:03:57.163]  And they cite the source as a current dark member, and that's Golden State Fire EMS.
[00:03:57.924 --> 00:04:02.108]  A company that specializes in high-risk events.
[00:04:02.108 --> 00:04:08.854]  They haven't retracted that on Twitter, it's still out there, so we're trying to pin down more details on that, of course.
[00:04:10.037 --> 00:04:17.504]  In regard to the airborne transmission of Ebola, which the UN is now warning about, we had this story up on InfoWars.com yesterday.
[00:04:17.504 --> 00:04:22.549]  Canadian health agency deletes info on airborne spread of Ebola.
[00:04:22.549 --> 00:04:27.533]  And this is the Public Health Agency of Canada, this is their official health agency,
[00:04:28.638 --> 00:04:36.599]  Round about the end of August here, you can see that they had an advisory on their website saying that airborne spread among humans is strongly suspected.
[00:04:36.599 --> 00:04:38.020]  They later deleted that.
