[00:00:10.390 --> 00:00:12.391]  Joe Biggs with Infowars.com.
[00:00:12.611 --> 00:00:15.351]  Now I'm sure a lot of you have heard about what's going on in Canada right now.
[00:00:16.172 --> 00:00:20.953]  One Canadian soldier has been killed and also a gunman has been killed.
[00:00:21.353 --> 00:00:27.935]  Right now we're still told that there are shooters out there and there is an active investigation still going on into what has happened.
[00:00:28.877 --> 00:00:46.568]  But, uh, you know, I was watching Fox News earlier and they had a live feed up and one of the things I caught the, uh, the anchor on the side of the road say is that the police are coming out saying, hey, don't post videos or photos of the ongoing incident as they happen just to ensure safety of responders and the public.
[00:00:47.188 --> 00:00:50.832]  You know, we heard that same thing happen when I was in Ferguson.
[00:00:50.893 --> 00:00:52.755]  Myself, Jakar Jackson, and Josh Owens.
[00:00:53.195 --> 00:00:55.778]  We heard the police come over there and say, no, don't film any of this stuff.
[00:00:55.798 --> 00:00:56.619]  Turn off your equipment.
[00:00:56.639 --> 00:00:57.340]  Stop recording.
[00:00:58.001 --> 00:01:02.787]  And this whole safety thing, I can kind of understand that, but at the same time, you have the right.
[00:01:03.267 --> 00:01:04.707]  To go out there and update things like that.
[00:01:04.727 --> 00:01:09.909]  That's how you get really good reporting done to find out what's going on because the police always want to try to hide stuff.
[00:01:10.069 --> 00:01:13.890]  Here's something interesting we caught while watching local Canadian TV.
[00:01:14.330 --> 00:01:27.894]  Now as you can see right here, you got the squad car, you got two police officers lined up and what's gonna happen is is they're gonna sit here and then take off at a dead sprint and run.
[00:01:28.054 --> 00:01:29.114]  You can see they have a
[00:01:30.404 --> 00:01:32.245]  This guy has a 9mm in his hand.
[00:01:33.085 --> 00:01:34.006]  So does this gentleman.
[00:01:35.266 --> 00:01:36.286]  These two guys right here.
[00:01:36.787 --> 00:01:38.868]  He's got an M4 and a handgun.
[00:01:40.148 --> 00:01:41.729]  This is what we notice right here.
[00:01:42.069 --> 00:01:43.029]  These guys come right over here.
[00:01:43.069 --> 00:01:45.790]  They slow down once they get out of the main view of the cameras.
[00:01:46.711 --> 00:01:47.851]  And they go off to the side.
[00:01:48.532 --> 00:01:50.672]  And you can see them laughing and smiling.
[00:01:51.693 --> 00:01:52.273]  And joking.
[00:01:52.313 --> 00:01:52.633]  Look at them.
[00:01:52.653 --> 00:01:54.054]  They're just like laughing.
[00:01:54.674 --> 00:01:56.415]  So the police are laughing and joking.
[00:01:56.455 --> 00:01:58.796]  And this kind of leads up to the fact whether or not
