[00:01:14.400 --> 00:01:15.821]  Greetings, InfoWarriors.
[00:01:16.961 --> 00:01:18.121]  The time has finally come.
[00:01:18.161 --> 00:01:23.623]  We're now over 100 days into this Michael Brown situation in Ferguson, St.
[00:01:23.683 --> 00:01:24.844]  Louis, right outside of St.
[00:01:24.884 --> 00:01:25.844]  Louis in Missouri.
[00:01:26.484 --> 00:01:27.365]  I'm your host, Rob Dewitt.
[00:01:27.405 --> 00:01:30.366]  I'm going to be with you live for at least the next three hours.
[00:01:30.466 --> 00:01:33.327]  We've got an hour before the decision is going to be made.
[00:01:33.407 --> 00:01:35.227]  That's going to be made at 8 o'clock Central.
[00:01:35.728 --> 00:01:37.128]  We've got our reporters on the ground.
[00:01:37.608 --> 00:01:39.029]  We've got lots of special reports.
[00:01:39.069 --> 00:01:42.250]  David Knight's going to be joining me to talk about the significance of grand juries.
[00:01:42.850 --> 00:01:44.973]  We have a whole lot in store for you today.
[00:01:45.734 --> 00:01:46.615]  Thank you for joining us.
[00:01:46.815 --> 00:01:50.379]  And if you are watching this on YouTube, we do appreciate it.
[00:01:50.399 --> 00:01:52.402]  We also have many other ways you can be watching this.
[00:01:52.442 --> 00:01:55.986]  You can join us at InfoWars.com forward slash show.
[00:01:56.467 --> 00:01:57.348]  That's a free stream.
[00:01:57.849 --> 00:01:59.971]  Also, we're streaming live on YouTube right now.
[00:02:01.052 --> 00:02:07.138]  Also, PrisonPlanet.tv for those members out there, and now you can share your username and passcode with up to 20 people.
[00:02:07.198 --> 00:02:10.121]  So if you want to get on that, you can spread the word right now.
[00:02:10.701 --> 00:02:16.827]  We'll also be streaming on YouStream.tv, Real Alex Jones and Alex Jones Live.
[00:02:17.187 --> 00:02:25.075]  Those will be feeds directly on the ground for our two reporters, Jakari Jackson and Joe Biggs, and we're going to go to them in a second.
[00:02:25.695 --> 00:02:29.317]  And we do appreciate all of you out there who are PrisonPlanet.TV members.
[00:02:29.337 --> 00:02:38.342]  It's your support that helps us get the reporters out there, helps us pay for the crew back here, especially doing these live presentations, which right now we are live.
[00:02:38.482 --> 00:02:47.568]  As I'm speaking, it's going through the series of tubes that make up the Internet out to you, wherever you may be, across the country, even across the world.
