[00:00:05.205 --> 00:00:06.507]  Big Brother.
[00:00:06.507 --> 00:00:08.289]  Mainstream media.
[00:00:08.289 --> 00:00:10.051]  Government cover-ups.
[00:00:10.051 --> 00:00:11.632]  You want answers?
[00:00:11.632 --> 00:00:13.174]  Well, so does he.
[00:00:13.174 --> 00:00:17.379]  He's Alex Jones on the GCN Radio Network.
[00:00:17.379 --> 00:00:21.423]  And now, live from Austin, Texas, Alex Jones.
[00:00:30.737 --> 00:00:32.058]  Welcome to the Alex Jones Show.
[00:00:32.058 --> 00:00:32.898]  I'm David Knight.
[00:00:32.898 --> 00:00:36.660]  I'll be your host today, but Alex is going to be joining us in the second hour.
[00:00:36.660 --> 00:00:37.521]  He's going to be on the line.
[00:00:37.521 --> 00:00:46.645]  We also have joining us in the third hour, Representative Matt Shea from Washington State about the video that's become controversial.
[00:00:48.962 --> 00:00:59.227]  The person who was explaining, the sheriff's deputy who was explaining his MRAP and all of its capabilities and was asked a very simple question, why do you need that here in this small town?
[00:00:59.227 --> 00:01:02.008]  And he immediately replied, well, we have constitutionalists.
[00:01:02.008 --> 00:01:05.250]  We have people who have guns and lots of ammunition.
[00:01:05.250 --> 00:01:09.092]  So we're going to be talking to him about that comment because that comment is
[00:01:10.072 --> 00:01:11.373]  Not taken out of context.
[00:01:11.373 --> 00:01:15.496]  It's taken in the context of why do you have this militarized vehicle here?
[00:01:15.496 --> 00:01:20.399]  Why is the federal government pushing this on local police departments?
[00:01:20.399 --> 00:01:26.604]  Why are they pushing this narrative that their enemies, people they need to be afraid of, are people called constitutionalists?
[00:01:26.604 --> 00:01:27.845]  We've seen this over and over again.
[00:01:27.845 --> 00:01:35.790]  Of course, there's a lot of news that is breaking on crony capitalism, and we're going to talk a little bit about Elizabeth Warren's speech.
[00:01:35.790 --> 00:01:37.772]  She really nailed it about Citigroup.
[00:01:38.132 --> 00:01:47.261]  Disagree with her on a little bit of the issues, but we're not going to really pick nits on this, because we need to stand with people when they're right on issues.
[00:01:47.261 --> 00:01:48.682]  Take them a single issue at a time.
[00:01:48.682 --> 00:01:51.325]  There's probably nothing else I would agree with Elizabeth Warren on.
[00:01:51.325 --> 00:02:00.834]  And you know, there's a lot of people who probably wouldn't find anything they would agree with Rand Paul on in the Democrat Party, except for the fact that he's against the surveillance state, the police state.
[00:02:01.394 --> 00:02:02.654]  Stand with him on those issues.
[00:02:02.654 --> 00:02:08.016]  Stand with Elizabeth Warren when she attacks the bankers and calls out what is really happening there.
[00:02:08.016 --> 00:02:11.237]  Of course, we're going to talk about what real crony capitalism is.
[00:02:11.237 --> 00:02:16.018]  The essential ingredient of crony capitalism is that you need cronies.
[00:02:16.018 --> 00:02:17.899]  You need cronies in Washington.
[00:02:18.439 --> 00:02:30.084]  And so I think it's one of those issues, kind of like campaign finance reform, if you want to get to the solution, you've got to stop this black hole of money and power that we call Washington.
[00:02:30.084 --> 00:02:31.664]  That's got to be restrained.
[00:02:31.664 --> 00:02:33.865]  That's the real draw, the real magnet to it.
[00:02:33.865 --> 00:02:39.007]  We're also going to talk about Obama's derivatives, not just the bank's derivatives, but Obama's derivatives.
[00:02:39.007 --> 00:02:43.949]  He's trying to leverage his power, not just with executive orders, but now we see that he's
[00:02:44.389 --> 00:02:50.535]  Playing these kind of prevaricating games, calling them memoranda.
[00:02:50.535 --> 00:03:03.628]  And if you look at that, as we had Jerome Corcyon a couple of weeks ago talking about the fact that this executive amnesty that Obama was saying he was going to do via executive order was not anything that was ever written up.
[00:03:04.128 --> 00:03:06.088]  It was nothing that was ever signed.
[00:03:06.088 --> 00:03:08.149]  It was nothing that was ever filed.
[00:03:08.149 --> 00:03:09.809]  It just came out of his mouth.
[00:03:09.809 --> 00:03:14.610]  And of course he is putting out a lot of memoranda all the time as well.
[00:03:14.610 --> 00:03:17.731]  There's a story on USA Today linked on the Drudge Report about that.
[00:03:17.731 --> 00:03:22.312]  We're going to talk about what's really behind that and how they play games with the numbers there.
[00:03:22.312 --> 00:03:24.752]  But of course the banks are partying like it's 1929 or 2007.
[00:03:24.752 --> 00:03:26.712]  They're loosening up their credit standards.
[00:03:29.673 --> 00:03:31.914]  We're going to talk about D.C.
[00:03:31.914 --> 00:03:38.018]  coming on a collision course with the federal government over the marijuana legalization issue.
[00:03:38.018 --> 00:03:39.539]  What's going to happen with that?
[00:03:39.539 --> 00:03:49.944]  Is that going to become a kind of nullification, trying to push back against Washington's trying to control everything about everybody's lives?
[00:03:49.944 --> 00:03:52.826]  And so we see that's coming to a head in Washington.
[00:03:52.826 --> 00:03:54.087]  Could that set a bad precedent?
[00:03:54.747 --> 00:03:57.729]  Could that be something that would actually harm state nullification?
[00:03:57.729 --> 00:03:58.470]  Because D.C.
[00:03:58.470 --> 00:04:02.373]  is not really a state, so it's not really going to be a good test case of that.
[00:04:02.373 --> 00:04:05.976]  But we also see some trouble building up next year.
[00:04:05.976 --> 00:04:13.342]  On the 31st, Utah is going to demand that feds surrender their lands by December 31st.
[00:04:13.342 --> 00:04:18.606]  Something that should have happened when Utah and Nevada and so many of these western territories became states.
[00:04:18.606 --> 00:04:19.387]  We've pointed that out.
[00:04:19.387 --> 00:04:21.668]  This is something that has been building for several years.
[00:04:22.569 --> 00:04:42.933]  And at the same time we see that happening, of course, just as the crony capitalist Harry Reid got involved with people in Nevada handing off property rights that belong to cowboys, we now see in this latest budget bill that John McCain is doing the same thing in Arizona, except to the Indians.
[00:04:42.933 --> 00:04:45.753]  It's the crony capitalist versus the cowboys and the Indians.
[00:04:45.753 --> 00:04:46.793]  Who's going to get the land?
[00:04:46.793 --> 00:04:47.934]  That's the fight that's coming up.
[00:04:47.934 --> 00:04:49.234]  We'll talk about that when we come back.
[00:04:49.234 --> 00:04:49.694]  Stay with us.
[00:04:59.950 --> 00:05:05.432]  As the year is coming to a close, we all pause to reflect on what's happened in the past year.
[00:05:05.432 --> 00:05:08.753]  We take a step back and thank God for what we have.
[00:05:08.753 --> 00:05:11.815]  I'm David Hall, founder of Diamond Gusset Jeans.
[00:05:11.815 --> 00:05:18.017]  At Diamond Gusset, we are celebrating the brush fires of liberty that are spreading across this great nation.
[00:05:18.017 --> 00:05:20.478]  Another thing we are celebrating is you.
