[00:00:00.009 --> 00:00:02.199]  You're listening to the Alex Jones Show!
[00:00:15.373 --> 00:00:16.013]  Big Brother.
[00:00:16.674 --> 00:00:17.695]  Mainstream media.
[00:00:18.455 --> 00:00:19.536]  Government cover-ups.
[00:00:20.217 --> 00:00:21.017]  You want answers?
[00:00:21.798 --> 00:00:22.698]  Well, so does he.
[00:00:23.339 --> 00:00:27.001]  He's Alex Jones on the GCN Radio Network.
[00:00:27.542 --> 00:00:31.585]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.930 --> 00:00:36.071]  Welcome to the Alex Jones Show on this Friday, December 19th, 2014.
[00:00:36.151 --> 00:00:38.271]  I'm David Knight, your host here in Austin.
[00:00:38.732 --> 00:00:41.932]  Alex Jones is going to be joining us from the road in the second hour.
[00:00:42.333 --> 00:00:51.035]  At the bottom of this hour, we're going to be talking to Paul Joseph Watson about the absurdity of this Sony hack of the interview.
[00:00:51.895 --> 00:00:57.561]  The way this is being played out, the way that it's being used to call for internet censorship again.
[00:00:57.582 --> 00:01:01.085]  We have an article up on Infowars.com from Paul Joseph Watson.
[00:01:01.526 --> 00:01:07.533]  The Sony hack reinvigorates support for privacy-busting, CISPA-style legislation.
[00:01:07.573 --> 00:01:10.236]  Yes, that's exactly what they've wanted all along.
[00:01:10.396 --> 00:01:12.378]  I believe this is a false flag.
[00:01:12.458 --> 00:01:12.858]  I believe
[00:01:13.519 --> 00:01:16.840]  Even if it's not a false flag, but I do believe that it is, and I'll tell you why I think it is.
[00:01:16.980 --> 00:01:21.262]  Even if it isn't, it was obvious from the beginning that they were going to try to make the case for this.
[00:01:21.342 --> 00:01:23.503]  I had no idea it was going to get this big.
[00:01:23.583 --> 00:01:26.844]  I thought this was an absurd story from the beginning.
[00:01:27.304 --> 00:01:34.667]  We have some analysis of some of the emails that appeared there, and the State Department itself said North Korea is always making blustery.
[00:01:35.248 --> 00:01:36.889]  We don't take any of this stuff seriously.
[00:01:37.249 --> 00:01:38.731]  But now they're taking it seriously.
[00:01:38.811 --> 00:01:46.017]  Now they're saying, we have a House Cyber Committee chairman saying, first Sony next to the electric grid, then Wall Street.
[00:01:46.478 --> 00:01:52.303]  We have a leak of a, well actually it's not leaked, it was declassified by the Defense Intelligence Agency.
[00:01:53.364 --> 00:01:58.289]  Since when do they declassify 10-year-old reports from the Defense Intelligence Agency?
[00:01:59.108 --> 00:02:02.029]  Only when it's to their advantage to spread fear-mongering.
[00:02:02.069 --> 00:02:07.632]  And so we have a report that they declassified that said, hey, North Korea was planning to do attacks on U.S.
[00:02:07.692 --> 00:02:09.693]  nuclear plants with guys running around.
[00:02:09.713 --> 00:02:13.574]  I don't know if they're going to throw scorpion bombs at them like they're talking about ISIS having.
[00:02:13.594 --> 00:02:22.538]  Remember that story from the Daily Mail where they said that people were being terrorized by ISIS because they were putting scorpions and clay pots and throwing them at the residents to terrorize them.
[00:02:22.578 --> 00:02:26.560]  So presumably the Defense Intelligence Agency now wants us to believe that
[00:02:27.240 --> 00:02:30.582]  Ten years ago, North Korea was planning attacks on U.S.
[00:02:30.603 --> 00:02:32.284]  nuclear plants, but of course they didn't.
[00:02:33.444 --> 00:02:38.668]  Nothing happened with that, and of course they could have, probably because we have very lax controls.
[00:02:38.808 --> 00:02:41.770]  If they're concerned about that, why don't they do something about the border?
[00:02:43.051 --> 00:02:45.332]  But of course they're going to use this any way they can.
[00:02:45.692 --> 00:02:53.357]  We now have a, we also have another report from a news organization here, Fox News, actually is reporting evidence, and Sony
[00:02:54.324 --> 00:02:58.909]  Attack suggests possible involvement by Iran, China or Russia.
[00:02:59.589 --> 00:02:59.990]  That's right.
[00:03:00.410 --> 00:03:01.211]  Fill in the blank.
[00:03:01.411 --> 00:03:02.652]  Any enemy will do.
[00:03:02.713 --> 00:03:04.034]  We can blame anybody for this.
[00:03:04.074 --> 00:03:17.547]  We can excuse any activity because we all have to be so scared about these baseless, blustery attack threats from supposedly North Korea.
[00:03:18.348 --> 00:03:21.832]  They don't identify themselves as North Korea, they identify themselves as guardians of peace.
[00:03:21.892 --> 00:03:24.575]  Richard Nixon first used that phrase when he went to Nixon.
[00:03:24.615 --> 00:03:26.917]  He said, we're here as the guardians of peace.
[00:03:26.958 --> 00:03:27.678]  We come in peace.
[00:03:28.579 --> 00:03:30.021]  It's like another movie, Mars Attacks.
[00:03:30.461 --> 00:03:33.144]  Maybe we ought to start calling these neocons GOP.
[00:03:34.065 --> 00:03:40.755]  Guardians of Peace, and we could include in the GOP all the Democrats that play along with them, all the news media that plays along with them.
[00:03:41.275 --> 00:03:43.879]  There's a lot of lies coming out in the news.
[00:03:43.939 --> 00:03:49.427]  We've got Nebraska and Oklahoma are suing Colorado over marijuana legalization.
[00:03:49.867 --> 00:03:50.608]  They're saying that
[00:03:51.149 --> 00:03:56.675]  The legalization of marijuana has created an increased law enforcement burden in neighboring states.
[00:03:56.735 --> 00:04:05.185]  And so you've got the Attorney General from Nebraska and Oklahoma claiming that federal marijuana prohibition trumps Colorado's law.
[00:04:05.645 --> 00:04:06.426]  Isn't that sad?
[00:04:07.047 --> 00:04:07.627]  Isn't that sad?
[00:04:08.048 --> 00:04:10.090]  Throwing the Tenth Amendment under the bus.
[00:04:10.931 --> 00:04:15.994]  To support marijuana prohibition, which they never put into the Constitution.
[00:04:16.655 --> 00:04:20.617]  Why did we have alcohol prohibition put into the Constitution, but no other drug?
[00:04:20.637 --> 00:04:25.621]  They just declare everything is illegal, unless they explicitly approve it.
[00:04:26.943 --> 00:04:28.144]  And that's what we have here with this.
[00:04:28.184 --> 00:04:30.926]  And of course, it's just the opposite of that.
[00:04:31.026 --> 00:04:41.373]  The states trump the federal government on that because the federal government doesn't have any directly delegated authority to prohibit anything like drugs.
[00:04:41.753 --> 00:04:45.636]  We also see another lie coming from Verizon saying that their new encrypted calling act
[00:04:46.661 --> 00:04:58.548]  is going to encrypt everything from the call to the source but then we see from a report from Bloomberg they're talking about how they've been playing football with the NSA and they have back doors open to them.
[00:04:58.648 --> 00:05:06.433]  It doesn't matter if you have encryption if you've got a backdoor handoff of all the data to the NSA at the source.
[00:05:06.773 --> 00:05:07.754]  Stay with us, we'll be right back.
[00:05:09.460 --> 00:05:16.422]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:05:16.662 --> 00:05:26.045]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:05:26.285 --> 00:05:34.308]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[00:05:34.548 --> 00:05:43.993]  Infowarslife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at Infowarslife.com.
[00:05:44.213 --> 00:05:51.077]  Now Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:05:51.317 --> 00:06:01.108]  Now more than ever it's important to stock up on high quality silver bullet from Infowarslife.com and to help others during Christmas by teaching them about the powerful benefits of silver.
[00:06:01.388 --> 00:06:05.733]  Secure your silver bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[00:06:10.300 --> 00:06:15.484]  As the year is coming to a close, we all pause to reflect on what's happened in the past year.
[00:06:15.784 --> 00:06:18.586]  We take a step back and thank God for what we have.
[00:06:19.106 --> 00:06:21.908]  I'm David Hall, founder of Diamond Gusset Jeans.
[00:06:22.168 --> 00:06:27.712]  At Diamond Gusset, we are celebrating the brush fires of liberty that are spreading across this great nation.
[00:06:28.372 --> 00:06:30.374]  Another thing we are celebrating is you.
[00:06:30.834 --> 00:06:36.078]  Without the valued listeners of Alex Jones and our loyal customers, we wouldn't be here today.
[00:06:36.698 --> 00:06:39.459]  We offer a wonderful online shopping experience.
[00:06:39.740 --> 00:06:44.962]  If you receive a pair that doesn't fit, send them back and we'll exchange them at no cost to you.
[00:06:45.422 --> 00:06:54.487]  Beat the shopping rush by visiting us at gusset.com and join our email newsletter to receive some great holiday discounts.
[00:06:54.947 --> 00:07:00.570]  And paying no attention to political correctness, Diamond Gusset wants to wish you all a Merry Christmas.
[00:07:01.110 --> 00:07:04.712]  Thanks for believing in our dream, the original 100% American-made Diamond Gusset jean.
[00:07:09.437 --> 00:07:20.564]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation, the exclusive InfoWars Life Secret 12 formulation is now back in stock in the last limited shipment of 2014.
[00:07:20.804 --> 00:07:34.593]  The most bioactive form that has been created with our proprietary process, this ultra-clean Vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[00:07:35.033 --> 00:07:37.915]  Secret 12 is taken by mouth, right on the tongue, and then swallowed.
[00:07:38.135 --> 00:07:39.316]  No needles, no injections.
[00:07:39.556 --> 00:07:43.599]  Vitamin B12 deficiency is linked to scores of serious problems.
[00:07:43.879 --> 00:07:53.065]  And Secret 12 is a fusion of two organic, proprietary forms of Vitamin B12, bringing you a true, nutraceutical quality Vitamin B12.
[00:07:53.526 --> 00:07:54.226]  Secret 12.
[00:07:54.586 --> 00:07:59.910]  Secret 12 is an excellent Christmas gift, and is tailor-made to boost your New Year's resolutions.
[00:08:00.250 --> 00:08:02.311]  Supplies of Secret 12 are very limited.
[00:08:02.592 --> 00:08:04.673]  Secure yours today at InfoWars.com.
[00:08:04.753 --> 00:08:07.900]  As the community moves towards despotism, respect is restricted to fewer people.
[00:08:17.483 --> 00:08:26.208]  That's veteran Denver Police Officer Charles Jones IV smashing an unarmed suspect in the face six times.
[00:08:26.688 --> 00:08:31.011]  Officers accused of using excessive force on a suspect and then trying to erase the evidence.
[00:08:31.051 --> 00:08:33.892]  I'm observing what they're doing and they're not seeing me!
[00:08:34.073 --> 00:08:35.954]  I don't understand what's going on!
[00:08:35.974 --> 00:08:45.259]  A community rates low on an information scale when the press, radio, and other channels of communication are controlled by only a few people.
[00:08:46.232 --> 00:08:53.696]  Does it raise ethical questions about the use of government money to produce stories about the government that wind up being aired with no disclosure that they were produced by the government?
[00:08:53.716 --> 00:08:55.537]  I was telling you to ask such a question.
[00:08:55.577 --> 00:08:58.459]  What difference at this point does it make?
[00:08:58.499 --> 00:09:05.743]  When a competent observer looks for signs of despotism in the community, he looks beyond fine words and noble phrases.
[00:09:05.903 --> 00:09:13.207]  There are actions I have the legal authority to take as president that will help make our immigration system more fair and more just.
[00:09:14.355 --> 00:09:16.318]  Tonight, I'm announcing those actions.
[00:09:16.578 --> 00:09:17.719]  What I say, go.
[00:09:17.919 --> 00:09:18.300]  See?
[00:09:18.740 --> 00:09:20.563]  I'm the law around here.
[00:09:23.026 --> 00:09:25.188]  He came, you saw, he died.
[00:09:28.254 --> 00:09:34.418]  As of modern warfare, our military leaders are finding that words and ideas are highly effective weapons.
[00:09:34.899 --> 00:09:36.700]  You just have to be repetitive about this.
[00:09:36.720 --> 00:09:43.685]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[00:09:44.165 --> 00:09:46.527]  We are trained to deceive if we have to.
[00:09:46.567 --> 00:09:48.068]  You really don't have to trust me.
[00:09:48.088 --> 00:09:48.868]  You shouldn't trust me.
[00:09:48.908 --> 00:09:52.411]  In fact, by my actually participating that, I will taint the news.
[00:09:52.991 --> 00:09:56.373]  In communities of this kind, despotism stands a good chance.
[00:09:56.954 --> 00:09:57.094]  The
[00:09:58.135 --> 00:10:04.080]  Nine most terrifying words in the English language are, I'm from the government and I'm here to help.
[00:10:04.100 --> 00:10:07.344]  Oh goodness you, well we're going to do everything we can to help you.
[00:10:13.317 --> 00:10:16.018]  It's the Alex Jones Show.
[00:10:16.078 --> 00:10:18.779]  Because there is a rule of thumb in your mind.
[00:10:20.540 --> 00:10:23.081]  Welcome back to the Alex Jones Show on this Friday, December 19th, 2014.
[00:10:23.981 --> 00:10:25.001]  I'm David Knight, your host.
[00:10:25.401 --> 00:10:27.762]  Alex Jones is going to be joining us in the second hour.
[00:10:28.302 --> 00:10:32.264]  Paul Joseph Watson is going to be joining us at the bottom of this hour to talk about this...
[00:10:33.104 --> 00:10:36.566]  Sony, free speech, CISPA issue, and that's really what it is.
[00:10:36.606 --> 00:10:40.948]  That's the way they're turning this, regardless of who's releasing all the gossipy emails.
[00:10:41.268 --> 00:10:50.053]  This is going to be used to try to justify censorship, political correctness, and most importantly, shutting down the internet without any due process.
[00:10:50.093 --> 00:10:51.894]  That was what CISPA was always about.
[00:10:52.374 --> 00:10:58.177]  These media companies and Hollywood, especially the music companies, the MPAA, they're absolutely convinced.
[00:10:58.757 --> 00:11:00.018]  That they're losing a ton of money.
[00:11:00.038 --> 00:11:07.265]  MPAA is convinced that they're dropping sales a result of piracy, not the trashy music they're putting out.
[00:11:07.906 --> 00:11:15.613]  So they are hard on to get this passed, and they have been working with every kind of legislative issue that they have.
[00:11:15.873 --> 00:11:19.597]  Over the last several years we've had it, I think it's five times, had SOPA, CISPA, ACTA, PIPA.
[00:11:20.337 --> 00:11:20.637]  I think?
[00:11:40.843 --> 00:12:08.309]  Labels you as someone who has infringed upon their copyright without any due process without a trial just immediately take you down black We don't want to see that happen, but they do they're going to try to push it through in the trans-pacific partnership We've seen that data leaked, but now they're going to try to justify it with this And they're also telling us that we have to be worried because the next thing is a Wall Street the power grid nuclear power plants This is all things that we have to be concerned about so we've got to give control of the internet and
[00:12:08.889 --> 00:12:10.110]  Explicitly to the government.
[00:12:10.130 --> 00:12:11.131]  That's the way they're going to use us.
[00:12:11.532 --> 00:12:31.151]  But as part of these emails that have come out, we've also seen evidence that Sony was working with the Rand Corporation, with a consultant there who specializes in North Korea, as well as with the State Department, to make this into a propaganda vehicle that they could use to overthrow the North Korean government.
[00:12:32.230 --> 00:12:35.991]  And in this analysis of this, we're going to talk about this more with Paul Joseph Watson.
[00:12:36.031 --> 00:12:37.632]  They say, wow, the North Koreans are going to be upset.
[00:12:38.032 --> 00:12:41.913]  Are you upset that an absurdist comedy would be used as propaganda?
[00:12:42.453 --> 00:12:53.457]  Do you realize that every movie that Hollywood does is carefully feeding you a message, feeding you their worldview, feeding you their political view, doing predictive programming to you?
[00:12:54.097 --> 00:12:55.258]  That is what they were doing with this.
