[00:00:19.775 --> 00:00:21.916]  Welcome to the InfoWars Nightly News.
[00:00:21.976 --> 00:00:24.157]  Today is Tuesday, March 31st, 2015.
[00:00:24.897 --> 00:00:27.659]  I'm your host Rob Due, and here's a look at what's coming up.
[00:00:30.420 --> 00:00:32.921]  Tonight, a generation of slaves.
[00:00:33.841 --> 00:00:34.842]  A look at student debt.
[00:00:35.522 --> 00:00:41.645]  Then, New York is moving ahead with full-term abortions with lethal injections into babies' hearts.
[00:00:43.268 --> 00:00:47.079]  And a look at the new PBS Ken Burns documentary on cancer.
[00:00:47.741 --> 00:00:50.569]  All that and more on tonight's InfoWars Nightly News.
[00:00:59.551 --> 00:01:07.338]  Well if you're a TV head that lives on the East Coast, Monday morning your programming was interrupted by an emergency alert system.
[00:01:07.638 --> 00:01:10.501]  And this is something we've been talking about for many years here on InfoWars.
[00:01:10.741 --> 00:01:16.587]  The article from Paul Joseph Watson is titled, Nationwide Emergency Alert Test Causes Panic Confusion.
[00:01:17.007 --> 00:01:19.789]  TV viewers across America see unexpected message.
[00:01:20.350 --> 00:01:21.792]  The test began around 11 a.m.
[00:01:21.852 --> 00:01:22.152]  Eastern.
[00:01:22.192 --> 00:01:30.021]  It was broadcasted Washington, D.C., Indiana, Kentucky, Maryland, Massachusetts, Rhode Island, Connecticut, New Jersey, North Carolina, South Carolina, and Virginia.
[00:01:30.441 --> 00:01:36.609]  The emergency alert contained no details and merely listed the states affected, and it said the alert would run from 11 a.m.
[00:01:36.649 --> 00:01:37.169]  to 12 a.m.
[00:01:37.209 --> 00:01:37.530]  midnight.
[00:01:38.103 --> 00:01:44.330]  Viewers in Sacramento, California also reported seeing the test, although it only lasted there for a few minutes.
[00:01:44.951 --> 00:01:50.377]  And I want to go to a report, I'm going to go to that later in this segment, but I just want to read to you a piece of it.
[00:01:50.718 --> 00:01:54.081]  And this is titled, Obama Launches Total Takeover of the Media.
