[00:00:04.966 --> 00:00:09.789]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.789 --> 00:00:11.390]  You want answers?
[00:00:11.390 --> 00:00:12.931]  Well, so does he.
[00:00:12.931 --> 00:00:17.134]  He's Alex Jones on the GCN Radio Network.
[00:00:17.134 --> 00:00:21.176]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.354 --> 00:00:28.696]  Monday, the 18th day of January 2016.
[00:00:28.696 --> 00:00:39.147]  I'm your host Alex Jones, former congressman Bob Barr, who pledged to start impeachment proceedings against Obama if he got elected, re-elected in Georgia.
[00:00:39.147 --> 00:00:40.728]  Of course he wasn't.
[00:00:40.728 --> 00:00:44.812]  He's going to be joining us coming up in the second hour to talk impeachment.
[00:00:45.433 --> 00:00:46.894]  The white race is a race of devils.
[00:01:19.602 --> 00:01:22.986]  You don't know where the white devils are, Mr. Louis Farrakhan.
[00:01:22.986 --> 00:01:26.650]  I can tell you right now they run the Democratic Party 100%.
[00:01:26.650 --> 00:01:33.658]  They've got black people in their web, murdering your people, and they love it, and they think that people don't see them.
[00:01:33.658 --> 00:01:35.561]  Well, I see them, and I know who they are.
[00:01:36.081 --> 00:01:38.722]  I think the greatest sin in the world is bringing children into the world.
[00:01:38.722 --> 00:01:42.544]  Delinquents, prisoners, all sorts of things just mark when they're born.
[00:01:42.544 --> 00:01:50.488]  And then I read Margaret Sanger going, we're going to pose as liberals, we're going to go into these black communities, we're going to buy off their preachers, we're going to get control of them.
[00:01:50.488 --> 00:01:58.171]  And I look at the big liberal cities where they've taken the guns from the black people, where they've shipped the drugs in, where they've got the Planned Parenthood on every corner.
[00:01:58.171 --> 00:02:01.273]  The number one tyrant is right here!
[00:02:02.481 --> 00:02:07.184]  So everything is moving to bring this house down.
[00:02:07.184 --> 00:02:12.607]  I don't care what color a baby is, my soul won't allow me to hate somebody because of what color they are.
[00:02:12.607 --> 00:02:15.448]  Because I know I'll be destroyed if I ever go that direction.
[00:02:15.448 --> 00:02:19.471]  We're in the midst of the darkest hour.
[00:02:20.311 --> 00:02:22.273]  In American history.
[00:02:22.273 --> 00:02:25.796]  You exposed the abortion, which I know you do.
[00:02:25.796 --> 00:02:27.057]  And said, you know what?
[00:02:27.057 --> 00:02:29.659]  Somebody kills you and gets away with it, they need to be dealt with.
[00:02:29.659 --> 00:02:30.379]  I agree.
[00:02:30.379 --> 00:02:33.482]  Well, what about what's going on in these abortuaries?
[00:02:33.482 --> 00:02:35.183]  What about Planned Parenthood?
[00:02:35.183 --> 00:02:36.324]  What about what's happening there?
[00:02:58.496 --> 00:03:01.037]  We have gangsters running this country.
[00:03:01.037 --> 00:03:01.697]  Criminals!
[00:03:01.697 --> 00:03:02.257]  Gangsters!
[00:03:02.257 --> 00:03:05.178]  The bigger this war gets, the more freedoms we lose.
[00:03:07.908 --> 00:03:11.129]  We have a fog that has descended upon our entire nation.
[00:03:11.129 --> 00:03:13.370]  The globalists are going to blow stuff up and blame it on you.
[00:03:13.370 --> 00:03:15.471]  Well, Hillary's the one who runs the cover-up.
[00:03:15.471 --> 00:03:21.273]  Everything you've heard us talk about is now going to unfold in triplicate spades.
[00:03:21.273 --> 00:03:22.433]  It's as real as it gets.
[00:03:22.433 --> 00:03:25.855]  I had a Supreme Court justice tell me to my face, it's over for me.
[00:03:25.855 --> 00:03:27.415]  He said, Matt, it's over for you.
[00:03:27.415 --> 00:03:29.876]  They've got the votes now to enforce copyright law.
[00:03:29.876 --> 00:03:31.097]  You're out of there.
[00:03:31.097 --> 00:03:32.717]  You want it, baby?
[00:03:32.717 --> 00:03:34.278]  You're about to get it.
[00:03:40.959 --> 00:03:49.381]  We did meet the British at Concord Bridge to serve tea, be tolerant, and see how many guns or what kind of guns they came to take.
[00:03:49.381 --> 00:03:54.302]  We met them at Concord Bridge, and we blew their punk-ass brains out.
[00:03:54.302 --> 00:04:06.305]  InfoWars has been able to break every record, infiltrate every operation, blow the criminal cover of operatives more than any other institution out there of freedom, and I'm so proud of that.
[00:04:06.485 --> 00:04:09.807]  The notion that Hillary has somehow been an advocate for women.
[00:04:09.807 --> 00:04:14.869]  No, Bill rapes them physically and then Hillary rapes them psychologically.
[00:04:14.869 --> 00:04:24.894]  I hope the enemies of this broadcast, when you lie about us, when you censor us, when you attack us, when you delist us, when you do that, you're signing on to the other side.
[00:04:24.894 --> 00:04:27.175]  These people are of the devil.
[00:04:27.175 --> 00:04:29.055]  Let's be very blunt about this.
[00:04:30.536 --> 00:04:32.977]  Tell and demand accountability.
[00:04:32.977 --> 00:04:40.681]  It is the most corrupt, degenerate, criminal government in American history.
[00:04:40.681 --> 00:04:46.563]  From the front lines of the information war, it's Alex Jones.
[00:04:46.563 --> 00:04:48.944]  The crowd is now moving forward toward the barrier.
[00:04:48.944 --> 00:04:53.506]  The police have been telling everybody they're going to shoot if we don't move back.
[00:04:53.506 --> 00:04:57.388]  Their defeat will be ultimately a crushing one.
[00:04:58.786 --> 00:05:02.988]  Party Republicans are now seeing a two-man race between Donald Trump and Ted Cruz.
[00:05:02.988 --> 00:05:08.710]  RNC power brokers and donors are now working to get on Trump's good side as they now see him as the eventual nominee.
[00:05:08.710 --> 00:05:12.531]  Especially as his reputation expands throughout the Republican political class.
