[00:00:19.679 --> 00:00:21.743]  Welcome to the Info Wars Nightly News.
[00:00:21.844 --> 00:00:23.207]  I'm your host, Jakari Jackson.
[00:00:23.327 --> 00:00:27.375]  It is January 20th, 2016, and here's a look at our top stories.
[00:00:31.178 --> 00:00:41.064]  Tonight, more blowback from Fast and Furious, as a .50 caliber rifle is found at El Chapo's hideout in Mexico.
[00:00:41.405 --> 00:00:47.769]  Yet another weapon that was funneled through the Obama administration's illegal gun smuggling ring.
[00:00:48.049 --> 00:00:53.172]  Then, more fallout from the water contamination crisis in Flint, Michigan.
[00:00:53.432 --> 00:00:54.373]  Government failed you.
[00:00:55.554 --> 00:00:57.295]  Federal, state, and local leaders.
[00:00:58.427 --> 00:01:00.087]  By breaking the trust you placed in us.
[00:01:00.407 --> 00:01:07.449]  Plus, the war in Syria escalates as Turkish troops and military equipment cross the border.
[00:01:07.769 --> 00:01:09.570]  Hey, whose side are they on anyway?
[00:01:09.930 --> 00:01:13.911]  All that plus the groundbreaking interview with Louis Farrakhan.
[00:01:14.031 --> 00:01:20.452]  Stop lying and start telling the truth to the American people and to the world.
[00:01:20.592 --> 00:01:23.673]  That's up next on the InfoWars Nightly News.
[00:01:30.233 --> 00:01:31.594]  Clean, pure drinking water.
[00:01:31.875 --> 00:01:33.156]  You can't survive without it.
[00:01:33.356 --> 00:01:34.277]  But where do you get it?
[00:01:34.557 --> 00:01:40.322]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:01:40.543 --> 00:01:46.268]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:01:46.468 --> 00:02:03.329]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:03.649 --> 00:02:04.009]  We're good to go.
[00:02:33.405 --> 00:02:34.846]  Operation Fast and Furious.
[00:02:34.906 --> 00:02:37.027]  If you watch this show, you've heard about it quite a bit.
[00:02:37.307 --> 00:02:39.407]  And no, I'm not talking about the Vin Diesel movies.
[00:02:39.427 --> 00:02:45.410]  I'm talking about Operation Fast and Furious that gave firearms to Mexican drug cartels under a sting operation.
[00:02:45.730 --> 00:02:47.311]  And we have a report here from Fox News.
[00:02:47.631 --> 00:02:52.853]  They say of the 2,000 firearms that were given to the cartels, 1,400 of those went missing.
[00:02:53.453 --> 00:02:56.534]  And one of them, or at least one of them, went to El Chapo.
[00:02:56.655 --> 00:02:59.916]  That's right, the kingpin of the Sinaloa drug cartel.
[00:03:00.416 --> 00:03:05.601]  And one of them was actually able to shoot down a helicopter that was a .50 caliber rifle.
[00:03:05.721 --> 00:03:10.826]  It's a massive rifle that can stop a car, or as it was intended, to take down a helicopter.
[00:03:11.227 --> 00:03:21.557]  And they found this during a raid on January 8th, in a raid that cost the lives of many of El Chapo's men, and now he has been taken back into custody.
[00:03:24.747 --> 00:03:28.648]  I think this is a perfect example for Obama's gun control policy.
[00:03:28.728 --> 00:03:36.069]  You know, for everybody who's trying to figure out what we need to do to really get people to realize and understand what this man is doing behind the scenes.
[00:03:36.549 --> 00:03:39.930]  He wants to have RFID guns, he wants to have GPS tracking guns.
[00:03:40.630 --> 00:03:46.571]  This .50 caliber rifle that they found in El Chapo's basement or wherever, it didn't have any fingerprint technology on it.
[00:03:46.891 --> 00:03:50.772]  It damn sure didn't have any GPS tracking technology, otherwise they would have found it a long time ago.
[00:03:51.212 --> 00:03:54.054]  And actually, I was reading some of the comments on that Fox News article.
[00:03:54.535 --> 00:04:01.540]  One person down at the bottom, he put on there, he's like, yeah, everybody's freaking out about the .50 caliber rifle, but nobody's talking about the RPGs he had as well.
[00:04:01.841 --> 00:04:03.422]  Now, where he got those RPGs, I don't know.
[00:04:03.442 --> 00:04:08.446]  I'm not going to attribute that to the ATF, but it's so ridiculous to me.
[00:04:08.766 --> 00:04:21.961]  How they want to have so many gun measures here in the United States while they're arming ISIS, they're arming these cartels, and you have a very delicate situation to where they say they want to track these firearms and see where they end up.
[00:04:22.421 --> 00:04:28.989]  Well, the only thing these firearms have led to yet is a stack of dead bodies, including Border Patrol Agent Brian Terry.
[00:04:29.249 --> 00:04:30.910]  But they don't want to talk about anything like that.
[00:04:31.190 --> 00:04:35.573]  They just want to tell you how you need to have restrictions on your firearms in your personal home.
[00:04:35.633 --> 00:04:46.120]  Meanwhile, the people who are making all these laws, from the city councilman all the way up to the president, if they don't have personal bodyguards, they go to buildings with armed security.
[00:04:46.460 --> 00:04:55.805]  Which is to say, if you were going to go to a city council meeting, and for whatever reason, somebody wanted to come in there and cause a ruckus, you have a security guard, a police officer on standby to deal with that situation.
[00:04:56.085 --> 00:05:05.010]  They have first responders in the building, but if you're some little old lady, you know, who's riding the bus, and some guy wants to come and attack you, you have no first responder.
[00:05:05.030 --> 00:05:07.231]  You have to call the police and wait two minutes for him to get there.
[00:05:07.811 --> 00:05:09.472]  And a lot of damage can be done in that time.
[00:05:09.932 --> 00:05:15.095]  And for more on this, we go to John Bowne, who's going to break down this Fast and Furious and El Chapo connection.
[00:05:21.718 --> 00:05:22.878]  Where is El Chapo?
[00:05:23.559 --> 00:05:30.521]  The billionaire head of the Sinaloa drug cartel and the second most powerful man in Mexico after Carlos Slim.
[00:05:30.842 --> 00:05:38.064]  Well, he is sitting in the Altiplano prison after a raid on January 8th at a Los Mochis residence in northern Sinaloa.
[00:05:38.325 --> 00:05:46.588]  The raid netted two armored cars, two M16 rifles with grenade launchers, and two Barrett M82 sniper rifles.
[00:05:47.068 --> 00:06:03.374]  Fox News reported, when agents from the Bureau of Alcohol, Tobacco, Firearms and Explosives checked serial numbers of the eight weapons found in his possession, they found one of the two .50 caliber weapons traced back to the ATF program, sources said.
[00:06:03.694 --> 00:06:08.675]  Out of the roughly 2,000 weapons sold through Fast and Furious, 34 were .50 caliber rifles.
[00:06:10.276 --> 00:06:11.917]  That can take down a helicopter.
[00:06:12.157 --> 00:06:19.783]  El Chapo would put his guardsmen on hilltops to be on guard for Mexican police helicopters that would fly through valleys conducting raids.
[00:06:20.123 --> 00:06:23.585]  The sole purpose of the guardsmen would be to shoot down those helicopters.
[00:06:23.825 --> 00:06:31.150]  This is the third time a weapon from the Fast and Furious program has been found at a high-profile Mexican crime scene.
[00:06:31.470 --> 00:06:32.251]  Now the U.S.
[00:06:32.311 --> 00:06:33.412]  Department of Justice
[00:06:33.852 --> 00:06:38.813]  Under the direction of Loretta Lynch, is in the middle of an extradition battle waged by U.S.
[00:06:38.853 --> 00:06:43.114]  attorney offices in New York, Chicago, Miami, El Paso, and San Diego.
