[00:00:00.069 --> 00:00:00.870]  This is our land.
[00:00:26.310 --> 00:00:27.952]  These are our people.
[00:00:29.634 --> 00:00:30.334]  The workers.
[00:00:31.696 --> 00:00:36.559]  The answer to 1984 is 1776.
[00:01:01.414 --> 00:01:03.976]  You're listening to The Alex Jones Show!
[00:01:08.660 --> 00:01:10.721]  Sunday, this is the Alex Jones Show.
[00:01:10.761 --> 00:01:18.063]  I'm Anthony Gucciardi and I'll tell you what, you don't need to watch the Super Bowl because the real battle for this country and the entire planet is right here.
[00:01:18.643 --> 00:01:19.383]  This is it.
[00:01:19.403 --> 00:01:24.124]  We're going to break down the latest from last night's debates and newest election news.
[00:01:24.144 --> 00:01:33.087]  We've got someone on the ground actually and they're going to give us a report as well as Alex is going to be joining in and calling to give his view on last night's debates and the election at large.
[00:01:33.647 --> 00:01:37.548]  The stacks of news today are completely mind-blowing.
[00:01:38.228 --> 00:01:39.409]  Completely mind-blowing.
[00:01:39.849 --> 00:01:50.495]  Such as a key figure saying there's a special place in hell for women who don't support Hillary, and how Trump's lead in New Hampshire is actually growing despite all of the attacks.
[00:01:50.915 --> 00:01:54.117]  We've also got Robb Dew riding shotgun for the entire show today.
[00:01:54.197 --> 00:01:55.498]  It's going to be really, really exciting.
[00:01:55.958 --> 00:01:59.480]  Let me tell you, more exciting and more meaningful and more important than the Super Bowl.
[00:02:00.020 --> 00:02:01.260]  Yeah, I totally agree.
[00:02:01.521 --> 00:02:04.222]  We're going to get to Super Bowl security in a second.
[00:02:04.262 --> 00:02:09.303]  We have a video we produced earlier this week, but this is from WGN-TV in Chicago.
[00:02:09.423 --> 00:02:11.004]  Unprecedented security at Super Bowl 50.
[00:02:11.384 --> 00:02:19.207]  So we have this fake gladiatorial event, this mock battle, 60 different agencies, state, federal,
[00:02:20.217 --> 00:02:24.198]  And local agencies descend upon San Francisco for Super Bowl 50.
[00:02:24.539 --> 00:02:27.860]  So all the security apparatus, but we can't get it done at the border.
[00:02:28.340 --> 00:02:31.521]  We keep the borders wide open, but we gotta lock down the Super Bowl.
[00:02:31.601 --> 00:02:41.945]  And that's just to teach people that they're slaves, because they're gonna have face-reading cameras, they're gonna be checking every truck that comes through, probably with those x-ray vans that they've shown in the past.
[00:02:42.285 --> 00:02:48.387]  I mean, it is just literally turning us into an Orwellian police state while the border stays wide open and they pretend they don't know how to shut it.
[00:02:48.507 --> 00:02:50.608]  Well, that's because the Super Bowl is the most important thing.
[00:02:50.628 --> 00:02:51.489]  And look, I want to be clear.
[00:02:51.829 --> 00:02:55.932]  I'm not going to sit up here and trash people that watch the Super Bowl and enjoy it with their friends and family, right?
[00:02:56.132 --> 00:03:06.420]  But there's 120-plus million people that are going to watch the Super Bowl tonight, and that's actually an incorrect number because if you think about 100-plus people at a bar or whatever, it's only one television or a few televisions.
[00:03:06.700 --> 00:03:09.602]  So it's really, they say, around 180-plus million that watch it.
[00:03:10.042 --> 00:03:15.006]  But imagine if those people actually cared about something that matters as much as they care about the Super Bowl.
[00:03:15.606 --> 00:03:21.388]  Imagine if they actually tuned into this program for a couple hours instead of watching the Super Bowl as a whole.
[00:03:21.648 --> 00:03:31.212]  We've got a lot of special reports and information on the Super Bowl, including how many hundreds of millions of pounds of processed food are eaten every single time the Super Bowl goes on, so you can visualize that.
[00:03:31.572 --> 00:03:34.053]  But also we've got a lot more news, such as...
[00:03:34.853 --> 00:03:40.655]  Democratic donor contacts Biden just begging about a possible run because Hillary's losing so bad.
[00:03:41.075 --> 00:03:42.816]  Is this the end for Jeb Bush?
[00:03:43.596 --> 00:03:50.499]  New Hampshire may be now or never for Jeb Bush and a bunch of other special reports and especially the debates.
[00:03:50.779 --> 00:03:53.960]  If you watched at all, and if you didn't it's fine because we're going to play you the highlights.
[00:03:54.540 --> 00:04:01.585]  The biggest thing for me was Marco Rubio being called out by Chris Christie for having the most canned fake speeches ever.
[00:04:02.006 --> 00:04:02.706]  And then he did it.
[00:04:03.006 --> 00:04:03.907]  He did it over and over again.
[00:04:03.947 --> 00:04:06.329]  We have an awesome highlight the guys put together.
[00:04:06.349 --> 00:04:07.229]  It's awesome.
[00:04:07.550 --> 00:04:12.013]  That shows just how fake he is because he repeats the same 20 second liners over and over again.
[00:04:12.233 --> 00:04:17.257]  And when he was called out on repeating the same liner, he repeated it again because he didn't know what to say.
[00:04:17.297 --> 00:04:19.759]  He wasn't authorized to respond in any other way.
[00:04:20.299 --> 00:04:21.279]  He's a teleprompter reading puppet.
[00:04:21.420 --> 00:04:23.340]  He really is, but the teleprompter's in his head.
[00:04:23.701 --> 00:04:27.983]  It's almost like he goes into brainwashing and he comes out and he's like, yes, the orders will be followed.
[00:04:28.003 --> 00:04:30.004]  And he comes out and says the same thing over and over.
[00:04:30.084 --> 00:04:31.224]  It's totally ridiculous.
[00:04:31.264 --> 00:04:32.185]  It's totally, totally absurd.
[00:04:32.445 --> 00:04:33.846]  So we've got those clips and more.
[00:04:34.286 --> 00:04:36.987]  We've also got some Barbara Bush.
[00:04:37.047 --> 00:04:38.308]  I'm sick of Donald Trump.
[00:04:38.368 --> 00:04:39.708]  Cruz apologizes to Carson.
[00:04:39.728 --> 00:04:40.989]  I'm sick of the Bushes, Barbara.
[00:04:41.009 --> 00:04:42.150]  Did you see that, the apology?
[00:04:42.250 --> 00:04:42.690]  Oh, well.
[00:04:43.010 --> 00:04:44.192]  We're sorry, but not really.
[00:04:44.232 --> 00:04:45.073]  We didn't do anything wrong.
[00:04:45.113 --> 00:04:45.753]  CNN did it.
[00:04:45.914 --> 00:04:50.459]  And then it turns out CNN, a minute later, said that it wasn't the case when they said it was hours later.
[00:04:50.479 --> 00:04:51.180]  It was totally absurd.
[00:04:51.220 --> 00:04:52.962]  We've got all of this coming up.
[00:04:53.022 --> 00:04:55.325]  This is the Sunday edition of the Alex Jones Show.
[00:04:55.625 --> 00:04:57.187]  Anthony Gucciardi here with Rob Doo.
[00:04:57.267 --> 00:04:59.310]  Alex will be calling in with his take on the elections.
[00:04:59.630 --> 00:05:00.812]  We'll be back right after this break.
[00:05:09.318 --> 00:05:12.519]  When cells become toxic, they die early and aging sets in.
[00:05:12.839 --> 00:05:20.863]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:05:21.083 --> 00:05:26.105]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:05:26.505 --> 00:05:28.786]  You want the best that's out there at the lowest price anywhere?
[00:05:29.026 --> 00:05:30.827]  We now have the synergistic solution.
[00:05:31.127 --> 00:05:35.309]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:05:39.315 --> 00:05:40.075]  Shower Filters.
[00:05:40.215 --> 00:05:41.816]  We're introducing the best yet.
[00:05:41.956 --> 00:05:45.877]  The brand new ProPure ProMax High Performance Shower Filter.
[00:05:46.017 --> 00:05:50.638]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[00:05:50.818 --> 00:05:57.759]  This new 4-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[00:05:57.899 --> 00:06:04.841]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[00:06:10.296 --> 00:06:13.760]  Waging war on corruption.
[00:06:14.520 --> 00:06:15.802]  It's Alex Jones.
[00:06:39.551 --> 00:06:40.412]  Super Bowl Sunday.
[00:06:40.432 --> 00:06:45.216]  This is the Alex Jones Show and you better turn your television off because this is way more important.
[00:06:45.476 --> 00:06:49.299]  The real battle for this country and the battle for this planet is right here and you're in it.
[00:06:49.799 --> 00:06:53.482]  I'm Anthony Gucciardi and I'm getting into co-hosting today with Rob Due.
[00:06:53.963 --> 00:06:56.525]  Again, this is the Alex Jones Show, the Sunday edition.
