[00:00:11.574 --> 00:00:15.138]  Crashing through the lies and disinformation.
[00:00:15.138 --> 00:00:19.322]  It's Alex Jones on the GCN Radio Network.
[00:00:21.670 --> 00:00:23.011]  Welcome to the Alex Jones Show.
[00:00:23.011 --> 00:00:25.632]  It's Mayday 2016.
[00:00:25.632 --> 00:00:26.273]  I'm David Knight.
[00:00:26.273 --> 00:00:28.875]  Alex Jones is going to be joining us in the next segment.
[00:00:28.875 --> 00:00:33.978]  At the bottom of the hour, we're going to have our reporters Rob Dew and Josh Owens, who just got back from California.
[00:00:33.978 --> 00:00:36.559]  They were there during the Dreamer riots.
[00:00:36.559 --> 00:00:37.980]  I think that's what we need to start calling them.
[00:00:37.980 --> 00:00:39.561]  You know, these people.
[00:00:39.561 --> 00:00:40.482]  They have a dream.
[00:00:40.482 --> 00:00:42.343]  They want to destroy this country.
[00:00:42.343 --> 00:00:46.726]  And they want to establish Aslan, is what they've got there waving the Mexican flags.
[00:00:46.726 --> 00:00:46.846]  Look.
[00:00:47.717 --> 00:00:51.899]  May Day is a day of celebration for the communists worldwide.
[00:00:51.899 --> 00:00:57.102]  It has been for the Marxists and now for the illegal immigrants who have thrown in their lot with them.
[00:00:57.102 --> 00:00:59.324]  For the rest of us, it's a distress signal, isn't it?
[00:00:59.324 --> 00:01:02.885]  You know, it's like SOS didn't come across too well on the radios.
[00:01:02.885 --> 00:01:08.309]  They selected SOS because of the pattern that they could get with the
[00:01:10.117 --> 00:01:17.618]  The dot dashes, but when they started talking on radio, the S's were not very intelligible in those early days, so they came up with something else.
[00:01:18.410 --> 00:01:24.435]  They kind of did a rough translation of a French phrase that said, come help us.
[00:01:24.435 --> 00:01:25.416]  That's how we got Mayday.
[00:01:25.416 --> 00:01:27.697]  But now we've got Mayday where they're celebrating this.
[00:01:27.697 --> 00:01:28.778]  Alex has broken that down.
[00:01:28.778 --> 00:01:31.480]  You can see that report on Infowars.com.
[00:01:31.480 --> 00:01:35.183]  Also has some occultic connections to it as well.
