[00:00:19.619 --> 00:00:20.420]  Good evening, everyone.
[00:00:20.460 --> 00:00:22.423]  Welcome to the InfoWars Nightly News.
[00:00:22.523 --> 00:00:23.444]  I'm Darren McBreen.
[00:00:23.484 --> 00:00:25.607]  It is Thursday, May 5th, 2016.
[00:00:26.709 --> 00:00:28.331]  Here's a quick look at what's coming up.
[00:00:33.891 --> 00:00:39.776]  However, some people have more equal rights than others, and actually we are making sure that marginalized groups get their views heard.
[00:00:40.376 --> 00:00:53.647]  Social justice warriors take a break from quoting Animal Farm to address the new oppression of the day, park ranger uniforms, and... I'm not gonna pay for that f***ing wall.
[00:00:54.566 --> 00:00:55.527]  He should pay for it.
[00:00:55.767 --> 00:00:56.627]  He's got the money.
[00:00:57.988 --> 00:01:00.730]  Are you afraid that he's going to be the next president of the United States?
[00:01:00.750 --> 00:01:01.650]  No, not at all.
[00:01:01.931 --> 00:01:02.891]  What would that mean for Mexico?
[00:01:02.911 --> 00:01:03.331]  No, not at all.
[00:01:03.371 --> 00:01:06.233]  Democracy cannot take us to crazy people.
[00:01:06.693 --> 00:01:09.515]  How are you going to make them pay for the wall?
[00:01:10.296 --> 00:01:13.397]  I will, and the wall just got 10 feet taller.
[00:01:13.578 --> 00:01:13.938]  Believe me.
[00:01:13.958 --> 00:01:16.399]  It's got 10 feet taller.
[00:01:16.860 --> 00:01:22.403]  And like it or not, Trump says the wall is coming, and it's going to be huge.
[00:01:22.423 --> 00:01:23.984]  That's next.
[00:02:10.433 --> 00:02:16.755]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:02:17.115 --> 00:02:18.575]  I believe our research is conclusive.
[00:02:18.615 --> 00:02:19.976]  This is the best iodine out there.
[00:02:20.256 --> 00:02:21.376]  And I know this for a fact.
[00:02:21.916 --> 00:02:26.697]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:02:26.817 --> 00:02:30.558]  For a limited time, experience the ancient power of Survival Shield X2.
[00:02:31.299 --> 00:02:32.759]  I believe our research is conclusive.
[00:02:32.799 --> 00:02:34.139]  This is the best iodine out there.
[00:02:34.179 --> 00:02:36.300]  Take advantage of this at InfoWarsLife.com.
[00:03:03.540 --> 00:03:12.226]  Donald Trump says a nation without borders is not a nation, and we need to build a wall across the southern border.
[00:03:12.686 --> 00:03:22.052]  Liberals, social justice warriors, and much of the mainstream media, they believe that Trump's wall to stop illegal immigration is racist.
[00:03:23.553 --> 00:03:24.234]  But wait a minute.
[00:03:24.595 --> 00:03:26.076]  What about Hillary Clinton?
[00:03:26.357 --> 00:03:28.600]  How come nobody's calling her a racist?
[00:03:29.060 --> 00:03:39.374]  After all, it was Hillary who voted for a 700-mile anti-immigration wall known as the Secure Fence Act of 2006.
[00:03:41.777 --> 00:03:42.478]  You want a wall then?
[00:03:42.778 --> 00:03:44.759]  No, we've already... You said that.
[00:03:45.099 --> 00:03:48.901]  Well, I voted for border security and some of it was a fence.
[00:03:48.941 --> 00:03:50.321]  I don't think we ever called it a wall.
[00:03:50.361 --> 00:03:51.902]  Maybe in some places it was a wall.
[00:03:52.282 --> 00:03:54.984]  But it was aimed at controlling our borders.
[00:03:55.684 --> 00:04:01.967]  And don't forget it was only a couple of years ago when Hillary sounded Trumpian on this issue.
[00:04:02.627 --> 00:04:06.930]  We've got to do several things and I am, you know, adamantly against illegal immigrants.
[00:04:07.410 --> 00:04:09.451]  You see, that was then, but this is now.
[00:04:10.663 --> 00:04:18.506]  And today, in 2016, the idea of securing our borders has somehow become politically incorrect.
[00:04:19.007 --> 00:04:27.290]  And that's why Hillary and Bernie Sanders, too, by the way, they both voted for a 700-mile wall in 2006.
[00:04:28.731 --> 00:04:35.994]  But today, somehow, the idea of Trump's wall is racist and it's hurting people's feelings.
[00:04:37.148 --> 00:04:40.992]  When Mexico sends its people, they're not sending their best.
[00:04:41.593 --> 00:04:42.634]  They're not sending you.
[00:04:43.054 --> 00:04:44.115]  They're not sending you.
[00:04:45.076 --> 00:04:50.743]  They're sending people that have lots of problems, and they're bringing those problems with us.
[00:04:52.483 --> 00:04:53.464]  They're bringing drugs.
[00:04:54.185 --> 00:04:55.206]  They're bringing crime.
[00:04:55.766 --> 00:04:56.487]  They're rapists.
[00:04:56.887 --> 00:04:59.250]  And some, I assume, are good people.
[00:04:59.970 --> 00:05:02.913]  And that's the clip that started it all right there, my friends.
[00:05:03.273 --> 00:05:06.837]  So many people got butthurt and offended by that statement.
[00:05:07.277 --> 00:05:11.421]  And that's why all the Latino protesters in
[00:05:12.122 --> 00:05:18.229]  Costa Mesa started rioting because they somehow turned that into Trump hates Mexicans.
[00:05:18.569 --> 00:05:22.994]  And he says that they are all criminals and murderers and rapists.
[00:05:23.715 --> 00:05:26.337]  And they always say that Trump is bad for America.
[00:05:26.598 --> 00:05:27.599]  He's a bad man.
[00:05:28.019 --> 00:05:33.065]  Meanwhile, they're out there waving every flag you can think of but the American flag.
[00:05:33.165 --> 00:05:33.866]  Ever notice that?
[00:05:34.386 --> 00:05:49.513]  This one guy, he's so stupid, he told our reporters that it's incorrect that Mexicans are bringing bad people into the country, and then to prove it, he ran off and started vandalizing the place, picking fights, and joining the riots.
[00:05:50.153 --> 00:05:55.116]  Now, I don't know if that guy is an immigrant, but I do know that he's ignorant.
[00:05:55.876 --> 00:05:59.319]  Because Trump never said Mexicans are rapists and criminals.
[00:05:59.739 --> 00:06:05.443]  These people are too stupid to even know that they are protesting, excuse me, rioting.
[00:06:05.804 --> 00:06:08.385]  Now, I want to show you some statistics right now.
[00:06:08.425 --> 00:06:10.887]  This is from an article that's on Breitbart.
[00:06:11.228 --> 00:06:15.531]  Illegal alien crime accounts for over 30% of murders in many states.
[00:06:18.553 --> 00:06:27.425]  Between 2008 and 2014, 40% of all murder convictions in Florida were criminal aliens.
[00:06:27.785 --> 00:06:29.007]  That's illegal immigrants.
[00:06:29.427 --> 00:06:30.328]  In New York, it was 34%.
[00:06:31.890 --> 00:06:33.172]  In my home state of Arizona, 17.8%.
[00:06:35.675 --> 00:06:55.641]  During those years, criminal aliens accounted for 38% of all murder convictions in the five states of California, Texas, Arizona, Florida, and New York, while illegal aliens constitute only 5.6% of the total population in those states.
[00:06:55.681 --> 00:06:56.942]  And that's according to U.S.
[00:06:57.442 --> 00:07:01.243]  Census estimates, which probably means more like 11 to 15%
[00:07:03.584 --> 00:07:05.466]  So I think you're starting to get the picture.
[00:07:05.586 --> 00:07:09.109]  A large number of illegal immigrants are criminals.
[00:07:09.649 --> 00:07:11.251]  And that means rapists.
[00:07:11.531 --> 00:07:13.733]  And yes, that means murderers.
[00:07:13.753 --> 00:07:15.594]  And we're getting tired of it.
[00:07:16.115 --> 00:07:24.082]  And if you look at the map demographically, most of Trump's Latino supporters are living right there on the border states.
[00:07:24.542 --> 00:07:36.326]  They live in counties where they see lots of crime and lots of harm being done to their families and their communities by these criminal thugs who are crossing the border illegally and committing all these crimes.
[00:07:36.887 --> 00:07:39.208]  So enough with the race baiting.
[00:07:39.348 --> 00:07:41.508]  We are all getting tired of it.
[00:07:42.109 --> 00:07:52.933]  All of us multi-cultured Americans and let me tell you something folks, we are unified on this issue and that's why Donald Trump is going to be our next president.
[00:07:53.653 --> 00:07:55.174]  So we have this open border.
[00:07:55.674 --> 00:07:56.935]  It's a sieve.
[00:07:57.095 --> 00:07:58.716]  It's like water pouring through.
[00:07:58.836 --> 00:08:00.858]  People are coming in by the hundreds of thousands.
[00:08:01.238 --> 00:08:02.779]  We have no idea who's coming in.
[00:08:03.159 --> 00:08:04.420]  And it's not just from the border.
[00:08:04.680 --> 00:08:06.161]  Talk to the border security.
[00:08:06.441 --> 00:08:08.402]  You will see the kind of people coming.
[00:08:08.623 --> 00:08:10.844]  You'll see the kind of crime that's being committed.
