[00:00:20.165 --> 00:00:21.746]  Welcome to the Infowars Nightly News.
[00:00:22.067 --> 00:00:22.707]  I'm David Knight.
[00:00:23.028 --> 00:00:24.509]  It's Monday, December 19th, 2016.
[00:00:24.769 --> 00:00:27.171]  Here are our top stories.
[00:00:30.474 --> 00:00:42.765]  Tonight, multiple terror attacks in our world today as a truck is driven through a Christmas market resulting in fatalities and a Russian ambassador to Turkey is assassinated in public.
[00:00:44.606 --> 00:00:44.947]  Also,
[00:00:46.169 --> 00:00:52.991]  The Electoral College has filed their vote, and the 2016 election of Donald Trump is one step closer to culmination.
[00:00:54.231 --> 00:01:02.794]  Meanwhile, still upset over the result of the election, California mauls over their own political resistance, talking about Cal Exit.
[00:01:03.694 --> 00:01:04.074]  And then...
[00:01:06.328 --> 00:01:11.913]  Glyphosates are considered a carcinogen, so why are health organizations and consumers sloughing it off?
[00:01:12.413 --> 00:01:17.538]  We steer you away from cancer-causing foods this holiday season that are most likely in your pantry.
[00:01:21.422 --> 00:01:24.044]  All that and more on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:05.663 --> 00:03:06.943]  Well, it's now official.
[00:03:07.224 --> 00:03:13.426]  Donald Trump has won the Electoral College, but there are a lot of protests, an unprecedented number of protest votes.
[00:03:13.446 --> 00:03:17.727]  We're going to cover that later, but first I want to talk about the terror attacks that have happened today.
[00:03:17.867 --> 00:03:20.968]  Multiple terror attacks with very significant targets.
[00:03:21.449 --> 00:03:25.410]  First of all, the latest one that happened in a Berlin Christmas market.
[00:03:25.550 --> 00:03:33.653]  Now the death toll stands at 9 dead, 50 injured, and it's reported by CNN that it was a truck crash.
[00:03:34.625 --> 00:03:41.867]  Well, you know, that's kind of like the way they reported the terror attack in the Riviera in France, where a terrorist deliberately drove through a crowd there.
[00:03:42.807 --> 00:03:48.628]  I guess maybe they're not sure if it's ICE or ISIS that was the cause of the truck crashing.
[00:03:49.008 --> 00:03:51.149]  Now, they know precisely what happened.
[00:03:51.189 --> 00:03:54.189]  They just don't want to call it what it is.
[00:03:54.269 --> 00:03:55.930]  And this is CNN saying, a truck.
[00:03:56.630 --> 00:04:00.514]  Rammed into a crowd in a Christmas market, killing nine and injuring at least 50.
[00:04:00.934 --> 00:04:01.655]  See, the truck did it.
[00:04:01.715 --> 00:04:07.420]  But if you look at the very end of the article, even CNN admits that the truck didn't slow down.
[00:04:08.000 --> 00:04:13.505]  They said the truck was traveling about 40 miles per hour through the crowded pedestrian area.
[00:04:13.766 --> 00:04:18.350]  They say there's no way that this was an accident, said the person who reported it to CNN.
[00:04:18.390 --> 00:04:21.473]  Nevertheless, they're going to say that the truck crashed.
[00:04:21.693 --> 00:04:22.694]  Things just happen, you know?
[00:04:23.294 --> 00:04:29.298]  As RT reports, the National Security Council of the United States issued a statement on this.
[00:04:29.859 --> 00:04:32.701]  They said that it appears to have been a terrorist attack.
[00:04:32.721 --> 00:04:34.662]  So it went a little bit further than CNN did.
[00:04:34.682 --> 00:04:38.545]  It says, it appears to be a terrorist attack in a Christmas market in Berlin, Germany.
[00:04:39.105 --> 00:04:42.168]  Notice they would not say it was an Islamic terrorist attack.
[00:04:42.508 --> 00:04:46.212]  And listen to the way that the NSC ends this statement.
[00:04:46.272 --> 00:04:53.298]  They say, we stand together with Berlin in the fight against those who target our way of life and threaten our societies.
[00:04:53.719 --> 00:04:54.319]  Really, do you?
[00:04:55.040 --> 00:05:07.065]  Because it was Obama and Merkel who were so keen to bring in people who target our way of life, like Christmas fairs, and who threaten our societies.
[00:05:07.625 --> 00:05:10.607]  See, this is not something that just happened and they don't know where it came from.
[00:05:10.987 --> 00:05:12.027]  This is deliberate.
[00:05:12.387 --> 00:05:17.029]  This is what Obama and Merkel wanted to do and now they see this happening.
[00:05:17.069 --> 00:05:23.072]  Meanwhile, earlier today in Turkey, Russia's ambassador was assassinated in the capital Ankara.
[00:05:23.812 --> 00:05:27.053]  They point out that three other bystanders were shot and are in the hospital.
[00:05:27.093 --> 00:05:28.113]  Their conditions are unknown.
[00:05:28.674 --> 00:05:30.694]  Meanwhile, the gunman was also killed.
[00:05:30.734 --> 00:05:31.594]  He was wearing a suit.
[00:05:31.614 --> 00:05:33.075]  He had police identification.
[00:05:33.715 --> 00:05:37.416]  And he was actually a police department member.
[00:05:37.496 --> 00:05:39.857]  He was trained at the police academy.
[00:05:39.917 --> 00:05:42.558]  He was part of their special forces department.
[00:05:43.078 --> 00:05:47.602]  The assassin had shouted in Arabic, we made an oath to Mohammed to die in martyrdom.
[00:05:47.982 --> 00:05:50.304]  It is revenge for Syria and Aleppo.
[00:05:50.864 --> 00:06:05.716]  Meanwhile, a pro-Turkish government journalist told the CNN affiliate that after shooting the ambassador, the gunman at one point recited a slogan used by former al-Qaeda affiliate Jabhat al-Nusra, quote, we obey the jihad order.
[00:06:06.621 --> 00:06:27.154]  Now, of course, that just illustrates yet again that there is no, there are no moderate rebels in Syria and underscores the fact that we are the ones who began this situation in Syria, the slaughter in Aleppo, whether it is being done at this point by the Syrian government or is being done by the Al Qaeda affiliated rebels.
[00:06:28.035 --> 00:06:31.657]  The bottom line is that it started with our overthrow of that regime.
[00:06:32.557 --> 00:06:43.626]  And as we pointed out earlier, the people who are coming into our countries intent on destroying our way of life, intent on destroying our societies, this is something that was brought in out of political correctness.
[00:06:43.666 --> 00:06:48.190]  And I want you to see what has happened in the last couple of weeks at our universities.
[00:06:48.290 --> 00:06:51.393]  One of the worst examples of this is the University of Maryland.
[00:06:51.873 --> 00:06:56.260]  There's been a project there called Protect UMD.
[00:06:56.280 --> 00:07:04.010]  Now these people protested the movie American Sniper a couple years ago when it came out and they said that we want to make sure that that's never going to happen again.
[00:07:04.431 --> 00:07:06.995]  They've issued a list of 64 demands this last week.
[00:07:07.355 --> 00:07:07.535]  I think?
[00:07:25.229 --> 00:07:25.670]  We're good to go.
[00:07:38.430 --> 00:07:39.251]  This is in Maryland.
[00:07:39.491 --> 00:07:41.173]  So this is indigenous land.
[00:07:41.933 --> 00:07:46.778]  They want to have tenure given to all African-American professors simply because they're African-American.
[00:07:47.318 --> 00:07:51.822]  They want to mandate faculty training and the fundamentals of campus inclusion of queer folks.
[00:07:52.283 --> 00:07:58.829]  They want to convert the Lesbian, Gay, Bisexual, Transgender Studies program into an entire department to provide curriculum there.
[00:07:59.489 --> 00:08:03.933]  But then they embrace Islam at the same time they embrace the LGBT lobby.
[00:08:03.953 --> 00:08:05.434]  And listen to how they embrace Islam.
[00:08:05.454 --> 00:08:11.559]  They want to make sure that there is one room reserved in each major building designated as a prayer room for Muslims.
[00:08:12.200 --> 00:08:15.643]  Now this is really establishment of a religion.
[00:08:16.583 --> 00:08:25.929]  It is not what we see happening when the ACLU comes in and says, no, this Bible group cannot use an empty room for their Bible study or for Christian purposes.
[00:08:26.009 --> 00:08:29.711]  This is saying we're going to dedicate a room for Islamic prayer.
[00:08:29.831 --> 00:08:37.316]  Furthermore, they want to have shovel service provided for them to get to a worship center, a Muslim mosque, that is a half hour
[00:08:37.916 --> 00:08:38.417]  I don't know.
[00:08:59.534 --> 00:09:00.716]  That's what we want to make sure of.
[00:09:01.076 --> 00:09:02.337]  But that's the insanity.
[00:09:02.498 --> 00:09:03.799]  That's where these people are coming from.
[00:09:04.400 --> 00:09:07.964]  And that is what is behind the Donald Trump victory.
[00:09:08.204 --> 00:09:10.447]  And I want to give you one more example here.
[00:09:10.467 --> 00:09:11.908]  This is also something that happened
[00:09:12.962 --> 00:09:14.963]  Back on December the 6th, we haven't talked about this.
[00:09:15.583 --> 00:09:23.285]  Amnesty groups in California fighting to hide the list of gang members in California before Trump becomes president.
[00:09:23.325 --> 00:09:23.605]  Why?
[00:09:23.645 --> 00:09:29.066]  Because Trump said, I'm going to focus on getting the criminal element that is here illegally out of this country.
[00:09:29.266 --> 00:09:31.127]  I'm going to focus on criminal gangs.
[00:09:31.507 --> 00:09:41.610]  And so here we have the politically correct left saying, we want to make sure that the California government is going to hide the people who are on the gang list from Donald Trump.
[00:09:42.290 --> 00:09:47.812]  See, that's what he said when he said, we have to get rid of some of the people here who are not the best people.
[00:09:48.072 --> 00:09:50.933]  And they say, well, you're racist because of that.
[00:09:50.993 --> 00:09:52.693]  You want to eliminate all Hispanics.
