[00:00:18.766 --> 00:00:20.388]  Welcome to NFO Wars Nightly News.
[00:00:20.509 --> 00:00:21.210]  I'm David Knight.
[00:00:21.330 --> 00:00:22.572]  It's Wednesday, January the 25th, 2017.
[00:00:22.612 --> 00:00:23.473]  Here are our top stories.
[00:00:30.425 --> 00:00:42.313]  ABC News claims ownership of Donald Trump's words as president, as the network issues strict rules and a bizarre copyright claim for an upcoming interview.
[00:00:42.333 --> 00:00:52.279]  Meanwhile, ABC is running a pro-Obamacare video that was produced by Obama's White House, and they are calling it Real Authentic News.
[00:00:55.640 --> 00:01:03.103]  Then, California dreamers want a country without Trump and they are seriously talking about secession.
[00:01:03.163 --> 00:01:11.045]  All that plus a showdown in Texas where Governor Abbott clashes with a liberal sheriff in favor of Sanctuary City.
[00:01:11.806 --> 00:01:17.448]  We're not going to sacrifice the lives of our fellow Texans in the hands of people who are here killing.
[00:01:17.488 --> 00:01:20.329]  That's up next on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.706 --> 00:03:09.153]  Another example of how mainstream media is desperate to maintain its declining monopoly.
[00:03:09.633 --> 00:03:20.786]  We now have ABC News issuing, as Drudge pointed out, strict rules on how reporting can be done of the first exclusive interview, they say, of Donald Trump.
[00:03:20.826 --> 00:03:21.487]  What they're trying to do
[00:03:22.228 --> 00:03:23.750]  It's copyright President Trump.
