[00:00:18.700 --> 00:00:20.401]  Welcome to the Infowars Nightly News.
[00:00:20.521 --> 00:00:21.182]  I'm David Knight.
[00:00:21.262 --> 00:00:22.883]  It's Friday, July 14th, 2017.
[00:00:23.103 --> 00:00:25.285]  Here are our top stories.
[00:00:27.907 --> 00:00:36.933]  Tonight, even the very fake news network CNN's anchors are getting tired of the Russia narrative, as they are now calling it Russian fatigue.
[00:00:37.393 --> 00:00:39.775]  Meanwhile, it's clear now Don Trump Jr.'
[00:00:39.755 --> 00:00:46.160]  's meeting with Natalia Veselnitskaya was a setup, but will this be another self-destructive narrative pushed by the left?
[00:00:47.261 --> 00:00:47.541]  Also,
[00:00:48.717 --> 00:00:50.582]  While it's clear that Don Trump Jr.
[00:00:50.622 --> 00:00:55.614]  committed no crimes, new questions are being raised as to who else attended the meeting and why.
[00:00:57.179 --> 00:01:04.162]  And then... Roger Stone is being sued by a team of Democrat lawyers for colluding with Russia to get Trump elected.
[00:01:04.643 --> 00:01:07.424]  Roger Stone responds to this ridiculous allegation.
[00:01:07.684 --> 00:01:16.228]  And then based on any crap that Robert Mueller comes up with, they will use that as the basis for an impeachment move on our president.
[00:01:16.488 --> 00:01:19.930]  All that and more tonight on the InfoWars Nightly News.
[00:01:27.496 --> 00:01:27.699]  What?
[00:01:30.595 --> 00:01:33.936]  The globalist social engineers are not just targeting us with propaganda.
[00:01:34.056 --> 00:01:36.317]  They are manipulating our genetics.
[00:01:36.497 --> 00:01:44.880]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:01:45.120 --> 00:01:48.461]  The key is to be aware of this attack and to fight back against it.
[00:01:48.621 --> 00:01:58.945]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:01:59.265 --> 00:02:00.206]  We're good to go.
[00:02:16.921 --> 00:02:23.103]  Super Mel Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:02:23.403 --> 00:02:30.326]  Visit InfoWarsLife.com today to secure your Super Mel Vitality and other powerful products from InfoWars Life.
[00:02:30.578 --> 00:02:34.381]  Check out these amazing deals at InfoWarStore.com.
