[00:00:06.266 --> 00:00:08.387]  The Alex Jones Show.
[00:00:08.387 --> 00:00:10.227]  Because there is a war on.
[00:00:10.227 --> 00:00:11.248]  Or you're mine.
[00:00:11.248 --> 00:00:12.648]  These aren't words.
[00:00:12.648 --> 00:00:13.549]  It's truth.
[00:00:13.549 --> 00:00:14.409]  It's not just claims.
[00:00:14.409 --> 00:00:14.689]  It's fact.
[00:00:14.689 --> 00:00:16.870]  President Trump over and over again, as candidate Trump said,
[00:00:30.339 --> 00:00:40.263]  Hillary and Obama, along with NATO and the globalists, have armed radical Islam with Saudi Arabia, Qatar, and others.
[00:00:40.263 --> 00:00:44.444]  And they have turned them loose on our allies, and they are murdering Christians en masse.
[00:00:44.444 --> 00:00:47.545]  And my Pentagon sources have advised me on this.
[00:00:47.545 --> 00:00:52.747]  And when I get into office, we're going to destroy them in six months.
[00:00:52.747 --> 00:00:58.049]  Today is the six-month anniversary of his inauguration.
[00:00:59.252 --> 00:01:11.698]  And his announcement to kill the TPP, to renegotiate NAFTA and GATT, to kill the carbon tax, to control our borders, and he's delivered in a royal flush.
[00:01:11.698 --> 00:01:21.343]  But the headlines from CNN and the New York Times, the Washington Post, MSNBC, ABC, NBC, CBS is, Trump doesn't get one piece of major legislation through.
[00:01:21.343 --> 00:01:22.503]  Trump's a failure.
[00:01:22.503 --> 00:01:23.744]  Trump's in shambles.
[00:01:23.744 --> 00:01:25.525]  Trump's under criminal investigation.
[00:01:27.612 --> 00:01:29.532]  And yes, he hasn't gotten any major
[00:01:30.942 --> 00:01:51.628]  Legislation, meaning tax cuts or Obamacare repeal through, but a lot of other stuff that is actually major, has gotten through, massive regulations cut, and he's gotten so much done via the executive branch, because they were unconstitutionally doing most of their globalist agenda through it, he was able to turn that back on them and kill it!
[00:01:51.628 --> 00:01:59.550]  And then watch the economy go from sputtering and faltering and stalling, roaring back!
[00:02:00.620 --> 00:02:14.529]  And now the Federal Reserve announces huge increases coming in the next few months to the previous increases of the amount of money you have to pay to borrow.
[00:02:15.745 --> 00:02:26.972]  And as the interest increases, it's a wet blanket trying to stop the American system that empires have been trying to stop for 242 years.
[00:02:26.972 --> 00:02:30.654]  This is an amazing time to be alive.
[00:02:30.654 --> 00:02:36.478]  And I just tell it like it is, ladies and gentlemen, Trump has delivered and it is just over-the-top bizarre.
[00:02:37.799 --> 00:02:47.986]  To see all these liars and scumbags sit there and spew their lies with a straight face because it is so over-the-top ridiculous.
[00:02:47.986 --> 00:03:02.496]  And to see McCain, after serious brain surgery, having a large, malignant, fast-acting, most deadly brain tumor there is, associated with cell phone radiation, even Newsweek's admitting that,
[00:03:05.396 --> 00:03:09.619]  Saying Trump's doing a horrible thing in Syria, that he's with the Russians.
[00:03:09.619 --> 00:03:14.803]  Our military made that deal five years ago and told Obama we weren't going to back him.
[00:03:14.803 --> 00:03:16.565]  And now we've smashed ISIS!
[00:03:17.734 --> 00:03:25.957]  And Assad's making noises about leaving, which is a deal he agreed to once they'd kicked the invading forces out of the country.
[00:03:25.957 --> 00:03:30.779]  And the White House has come out and said we want to see Assad now begin to move to leave.
[00:03:30.779 --> 00:03:32.060]  Ending the wars!
[00:03:32.060 --> 00:03:33.320]  Ending the civil wars!
[00:03:33.320 --> 00:03:36.582]  Ending the Al-Qaeda-ISIS offensive!
[00:03:37.628 --> 00:03:46.551]  Now having Al-Qaeda and ISIS in two small neighborhoods of two cities, absolutely on the run, and admitting they've been destroyed.
