[00:00:00.886 --> 00:00:02.994]  We are drugged out!
[00:00:02.994 --> 00:00:05.243]  We are following other people's opinions!
[00:00:06.394 --> 00:00:09.195]  We are controlled by the media.
[00:00:09.195 --> 00:00:11.055]  Today, it all changes.
[00:00:11.055 --> 00:00:13.816]  This reality has been forced upon us.
[00:00:13.816 --> 00:00:16.877]  It is a choice, just like when I said slavery is a choice.
[00:00:16.877 --> 00:00:21.638]  Einstein says the death of insanity is doing the same thing, expecting a different result.
[00:00:21.638 --> 00:00:24.759]  So we keep on saying, I hate you, I hate you, f*** you, f*** you, f*** you.
[00:00:24.759 --> 00:00:27.140]  How are we going to get a different result out of hate?
[00:00:27.140 --> 00:00:29.580]  Why don't we just try love?
[00:00:29.580 --> 00:00:31.221]  Why don't we just try love?
[00:00:31.221 --> 00:00:32.261]  We have the resources.
[00:00:35.120 --> 00:00:39.301]  You know, sometimes you need some crazy motherf***ers to change something.
[00:00:39.301 --> 00:00:40.782]  Steve Jobs is crazy.
[00:00:40.782 --> 00:00:42.362]  Now we all on Steve Jobs' phones.
[00:00:42.362 --> 00:00:43.443]  They say Trump's crazy.
[00:00:43.443 --> 00:00:44.523]  They say I'm crazy.
[00:00:44.523 --> 00:00:46.904]  But I'm here to show love.
[00:00:46.904 --> 00:00:52.065]  It's a bigger plan and I'm just doing what the universe told me.
[00:00:52.065 --> 00:00:56.186]  Resistance to tyrants is obedience to God.
[00:00:56.186 --> 00:00:57.947]  It's Alex Jones.
[00:01:18.131 --> 00:01:19.533]  Well, there it is!
[00:01:19.533 --> 00:01:22.138]  Sunday, June 3rd.
[00:01:22.138 --> 00:01:26.104]  Broadcasting worldwide, it's Alex Jones.
[00:01:29.025 --> 00:01:31.166]  Hard to believe it's already Sunday, June 3rd, 2018.
[00:01:31.166 --> 00:01:37.831]  We're going to be live here for the next two hours and then of course back with the weekday transmission 11 a.m.
[00:01:37.831 --> 00:01:38.792]  Central.
[00:01:38.792 --> 00:01:41.313]  You've got David Knight in the morning.
[00:01:41.313 --> 00:01:49.079]  You've got Owen Schroer and Roger Stone after that as we add more live broadcast for the InfoWars radio slash TV lineup.
[00:01:49.079 --> 00:01:49.239]  Wow!
[00:01:51.397 --> 00:02:20.106]  Today we're going to have Zach on who's just a really smart guy and a great source and really already tells me things that I already basically know from other sources but he likes to come on the show and we like to have him on the show and he knows Elon Musk and he knows Louis Farrakhan and a lot of other folks that behind the scenes have been reached out to and basically have been resonating with especially if you talk about somebody like Elon Musk with the bigger plan.
[00:02:21.294 --> 00:02:26.120]  Now what is the bigger plan?
[00:02:26.120 --> 00:02:31.888]  The bigger plan is not the globalist plan.
[00:02:34.025 --> 00:02:57.779]  And I keep obsessing over this because I've always been trying to get humanity to get off the globalist track of depopulation, of planned austerity, of the globalists thinking humanity is a bunch of trash, dumbing us down, trying to make us fight with each other, so they can control the future and try to depopulate us before we discover the life extension technologies
[00:02:59.025 --> 00:03:02.287]  And all the other key information.
[00:03:02.287 --> 00:03:04.548]  And I've been obsessing over that for 20 plus years.
[00:03:04.548 --> 00:03:07.130]  I've made a film about it, several films.
[00:03:07.130 --> 00:03:10.111]  Endgame, Blueprint for Global Enslavement, turned a lot of heads.
