[00:00:12.310 --> 00:00:18.576]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:00:39.278 --> 00:00:40.300]  The quickening is here.
[00:00:40.300 --> 00:00:41.782]  There's no doubt about that.
[00:00:41.782 --> 00:00:43.966]  We're live broadcasting worldwide.
[00:00:43.966 --> 00:00:45.488]  It's Sunday, December 9th, 2018.
[00:00:49.719 --> 00:00:50.820]  I am your host Alex Jones.
[00:00:50.820 --> 00:00:55.244]  We'll be here for the next two hours as we are every Sunday live 4 to 6 p.m.
[00:00:55.244 --> 00:01:11.257]  Central and of course there's always a specially produced hour-long counterthink with Mike Adams that comes on right after this transmission on the TV and radio satellites and also streamed out at Infowars.com forward slash show and the folks watching at PrisonPlanet.tv
[00:01:16.021 --> 00:01:22.666]  You know, people ask why I get so angry and why I work so hard, and it's the old classic statement, because it's true.
[00:01:22.666 --> 00:01:25.288]  That's why anybody stands up.
[00:01:25.288 --> 00:01:27.790]  I love my children.
[00:01:27.790 --> 00:01:41.100]  And I know that the globalists are building a world that is very oppressive and very anti-human and that sees us as basically obsolete.
[00:01:41.100 --> 00:01:45.664]  That's just the excuse of these robber barons who want total absolute control over everyone's lives.
[00:01:47.244 --> 00:01:52.386]  They want the final revolution.
[00:01:52.386 --> 00:02:00.289]  And I was sitting back today thinking about why they target Infowars and why they're so scared of it.
[00:02:00.289 --> 00:02:00.950]  And it's simple.
[00:02:00.950 --> 00:02:02.630]  There's a war on men.
[00:02:02.630 --> 00:02:04.211]  There's a war on nationalism.
[00:02:04.211 --> 00:02:05.792]  There's a war on resistance.
[00:02:05.792 --> 00:02:10.373]  And who's going to resist a big global authoritarian takeover?
[00:02:10.373 --> 00:02:12.174]  Historically.
[00:02:12.174 --> 00:02:16.236]  It's men that tend to organize and lead against it.
[00:02:17.588 --> 00:02:27.570]  And that's why Gavin McGinnis, right after Glenn Beck took over CRTV, I know the inside baseball, that's why he got kicked off the year.
[00:02:27.570 --> 00:02:34.692]  And that very day he got kicked off the FBI so they can't get sued, said actually, we never said he was an extremist, great, but the Proud Boys were bad.
[00:02:34.692 --> 00:02:44.674]  But it didn't matter, they'd already had leftist FBI tell the media that, so that just saying you're an extremist, you get banned off Facebook, Twitter, YouTube, everywhere else.
[00:02:46.527 --> 00:02:47.548]  So that's how this operates.
[00:02:47.548 --> 00:02:48.869]  And what was his crime?
[00:02:48.869 --> 00:02:50.330]  Saying we believe the nation-state exists.
[00:02:50.330 --> 00:02:52.672]  We believe that men have a right to be men.
[00:02:52.672 --> 00:02:53.872]  They were inclusive to all men.
[00:02:53.872 --> 00:02:56.554]  And it's fraternal order of men.
[00:02:56.554 --> 00:02:58.396]  Not men watching football.
[00:02:58.396 --> 00:02:59.577]  Not men watching basketball.
[00:02:59.577 --> 00:03:07.062]  Not men being led around by their nose, by their so-called feminist wife that really just gets orders from the government.
[00:03:07.062 --> 00:03:08.864]  But no, just men being men.
[00:03:08.864 --> 00:03:11.005]  That is incredibly frightening to the globalists.
[00:03:11.005 --> 00:03:13.047]  And having nationalist movements
[00:03:14.551 --> 00:03:17.893]  Letting people get organized and come together.
[00:03:17.893 --> 00:03:29.421]  That is extremely frightening because if you can't let men organize and you won't let them get together, well then you've got total checkmate over the civilization and over the population.
[00:03:29.421 --> 00:03:32.323]  And that's why there's a war on men because there's a war on the family.
[00:03:32.323 --> 00:03:35.304]  There's a war on the individual.
[00:03:35.304 --> 00:03:40.248]  And there is a system where now the state becomes the pimp, the pimp daddy of the women.
[00:03:41.417 --> 00:03:42.478]  Women are the house slaves.
[00:03:42.478 --> 00:03:44.639]  I'm not saying women are the house slaves.
[00:03:44.639 --> 00:03:50.183]  I'm not saying women are even buying this, but this is the big goal is to divide men and women from each other.
[00:03:50.183 --> 00:03:53.725]  And if you can do that as a species, we're done.
[00:03:53.725 --> 00:03:58.988]  So this is full spectrum dominance that we're facing, period.
[00:03:58.988 --> 00:04:00.589]  So we'll talk about some of that today.
[00:04:00.589 --> 00:04:06.373]  We're going to have Gab McGinnis on the show here in the next few days, but make no mistake, ladies and gentlemen,
[00:04:07.773 --> 00:04:14.796]  The establishment is making their move ahead of some very, very big events.
[00:04:14.796 --> 00:04:23.699]  Now, the Democrats and the incoming head of the House Intelligence Committee have made open announcements that they have a plan to arrest President Trump.
[00:04:23.699 --> 00:04:24.199]  That's right.
[00:04:24.199 --> 00:04:28.040]  Now, they can't really do that under the Constitution, but they don't care.
[00:04:28.040 --> 00:04:31.202]  There's a lot of stuff they do that isn't in the Constitution.
[00:04:31.202 --> 00:04:34.303]  And Schiff, Trump may face real prospect of jail time.
[00:04:36.095 --> 00:04:46.823]  All this as we learn that the President's been dead on, that Comey perjured himself hundreds of times before Congress, has been caught perjuring himself after his new closed-door testimony and the transcript that was released.
[00:04:46.823 --> 00:04:48.684]  He had to admit he lied.
[00:04:48.684 --> 00:04:55.209]  So much more coming up today and the fall of the New World Order starting in Europe, we predicted straight ahead as well.
[00:04:55.209 --> 00:04:56.830]  We have reporters on the ground in Paris.
[00:05:00.342 --> 00:05:04.305]  Living in volcano may sound more dramatic than it really is.
[00:05:04.305 --> 00:05:07.588]  The real drama can be found here in Leilani Estates.
[00:05:07.588 --> 00:05:13.853]  But a lot of us on the big island rely on rainwater and we need to be concerned about ash and acid rain.
