[00:00:06.394 --> 00:00:06.775]  Yeah.
[00:00:15.762 --> 00:00:24.185]  A bunch of high school kids in MAGA hats were being verbally abused by a black militant group.
[00:00:24.185 --> 00:00:27.546]  They began chanting high school songs to drown out the abuse.
[00:00:27.546 --> 00:00:34.229]  And this dude tries to cause a confrontation by wading into the group of kids and banging his drum.
[00:00:34.229 --> 00:00:35.369]  Nothing happened.
[00:00:35.369 --> 00:00:36.470]  No one got hurt.
[00:00:36.470 --> 00:00:38.010]  And that should have been the end of it.
[00:00:38.010 --> 00:00:40.051]  But how did the media report it?
[00:00:40.151 --> 00:00:46.272]  A disturbing viral video shows a group of teens harassing and mocking him in the nation's capital.
[00:00:46.272 --> 00:00:49.053]  Here's the video sparking outrage on social media right now.
[00:00:49.053 --> 00:00:54.373]  Racist, aggressive Trump supporters viciously abused and harassed Native American veteran!
[00:00:54.373 --> 00:00:55.834]  They taunted him!
[00:00:55.834 --> 00:01:01.275]  Because, and wait for it, this is pretty damn shocking.
[00:01:01.275 --> 00:01:08.136]  One of the kids, who was wearing a MAGA hat, he stood there and he...
[00:01:10.714 --> 00:01:11.762]  He smirked!
[00:01:19.269 --> 00:01:26.933]  Cue a leftist hate mob sharpening their digital pitchforks to engage in the most vile social justice witch hunt ever seen.
[00:01:26.933 --> 00:01:35.998]  I'm certainly in favor of building a wall around Covington Catholic High School in Kentucky and let's electrify it to keep those disgusting punks from getting loose and creating more vileness in society!
[00:01:35.998 --> 00:01:40.781]  Putting Catholic kids in concentration camps to own the Nazis.
[00:01:40.781 --> 00:01:42.102]  So progressive!
[00:01:42.102 --> 00:01:44.243]  White people really are terrorists!
[00:01:44.243 --> 00:01:45.564]  Whiteness is terrorism!
[00:01:46.124 --> 00:01:46.584]  FBI?
[00:01:46.584 --> 00:01:48.285]  I would like to report a terrorist.
[00:01:48.285 --> 00:01:51.285]  Hey, how dare you criticize those Parkland kids.
[00:01:51.285 --> 00:01:52.966]  Kids in red Trump hats, though.
[00:01:52.966 --> 00:01:59.568]  MAGA kids go screaming, hat first, into the wood chipper.
[00:01:59.568 --> 00:02:00.828]  That's just fine.
[00:02:00.828 --> 00:02:04.009]  I want you to fire on any of these red hat bitches when you see them.
[00:02:07.025 --> 00:02:08.406]  That bitch to the ground!
[00:02:08.406 --> 00:02:11.449]  Burn the f***ing school down!
[00:02:11.449 --> 00:02:13.430]  Get schooled out?
[00:02:13.430 --> 00:02:17.533]  Where I'm from, fire on means punch a mother f***er in the face.
[00:02:17.533 --> 00:02:18.154]  Really?
