[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[00:00:10.012 --> 00:00:12.293]  And the left has pulled a lot of April Fool's jokes on us.
[00:00:12.933 --> 00:00:16.354]  They say it's okay that Joe Biden likes to grope women because it only happened once.
[00:00:16.855 --> 00:00:19.056]  The shocking evidence, it'll bring him down straight ahead.
[00:00:19.476 --> 00:00:21.016]  And so much more, ladies and gentlemen.
[00:00:21.057 --> 00:00:28.100]  But first, let's get to this key report and look at how everything The Globalist is touching is falling apart, just like with AOC.
[00:00:29.220 --> 00:00:30.381]  After reading the Green New Deal,
[00:00:31.457 --> 00:00:36.479]  I'm mostly afraid of not being able to get through this speech with a straight face.
[00:00:36.979 --> 00:00:45.162]  The Green New Deal finally landed its impossible $100 trillion tax-dollar country-killing behemoth on the floor of the U.S.
[00:00:45.202 --> 00:00:45.502]  Senate.
[00:00:45.762 --> 00:00:53.265]  Its main sponsor, freshman Congresswoman Alexandria Ocasio-Cortez, had set the table at a House committee meeting.
[00:00:53.505 --> 00:01:01.088]  Flailing around with Beto-esque zeal, AOC passionately pretended to have a grip on the science of climate change.
[00:01:01.485 --> 00:01:04.066]  This is not an elitist issue.
[00:01:04.306 --> 00:01:06.307]  This is a quality of life issue.
[00:01:06.607 --> 00:01:13.249]  You want to tell people that their concern and their desire for clean air and clean water is elitist?
[00:01:13.510 --> 00:01:19.172]  Tell that to the kids in the South Bronx, which are suffering from the highest rates of childhood asthma in the country.
[00:01:19.392 --> 00:01:22.053]  Even Cortez's asthma claims fell short.
[00:01:22.393 --> 00:01:23.213]  I don't think so.
[00:01:24.114 --> 00:01:24.854]  I don't think so.
[00:01:25.154 --> 00:01:46.979]  Fox Business host Charles Payne cited several studies, including a Columbia University study from 2013 that stated cockroach and mouse allergens are more common in lower-income housing and neighborhoods, as well as a New York Times study from 2003 in which social workers said they encountered furniture and carpets covered in dust in the Bronx and Harlem.
[00:01:47.299 --> 00:01:52.680]  These two studies show the likely culprit behind the asthma Cortez was flailing about.
[00:01:53.160 --> 00:02:04.267]  This is a picture of Aquaman, a superhero from the undersea kingdom of Atlantis, and notably here, a founding member of the Super Friends.
[00:02:05.607 --> 00:02:11.471]  I draw your attention, Mr. President, to the 20-foot impressive seahorse he's riding.
[00:02:13.332 --> 00:02:16.254]  Under the Green New Deal, this is probably Hawaii's best bet.
[00:02:17.153 --> 00:02:25.097]  Now, I'm the first to admit that a massive fleet of giant, highly trained seahorses would be cool.
[00:02:25.297 --> 00:02:27.198]  It would be really, really awesome.
[00:02:28.318 --> 00:02:31.259]  But we have to consider a few things.
[00:02:32.100 --> 00:02:37.982]  We have no idea about scalability or domestic capacity in this sector.
[00:02:39.283 --> 00:02:43.365]  The last thing we want is to ban all airplanes.
[00:02:44.742 --> 00:02:56.664]  And only then find out that China or Russia may have already established strategic hippocampus programs designed to cut the United States out of the global market.
[00:02:58.322 --> 00:03:04.087]  Mr. President, we must not allow and cannot tolerate a giant seahorse gap.
[00:03:04.567 --> 00:03:11.193]  Every Democratic senator who is currently running for president has embraced the Green New Deal.
[00:03:11.893 --> 00:03:16.197]  Senate Majority Leader Mitch McConnell sprung the vote on the reluctant Democrats
[00:03:16.497 --> 00:03:33.305]  Some of which, including Senators Joe Manchin of West Virginia, Kirsten Sinema of Arizona, Doug Jones of Alabama, and Angus King of Maine sided with the Republicans by voting no, while 43 of the Democrats hid behind procedure by merely voting present.
[00:03:33.465 --> 00:03:44.630]  A show of cold feet amongst Senate Democratic presidential candidates with zero guts to back up the madness of Cortez, who blamed McConnell for the resounding defeat in a tweet.
[00:03:44.910 --> 00:03:57.214]  In the end, AOC's United Nations Agenda 2030 climate change scheme, known now as the Green New Deal, was voted down with zero yeas and 57 nays.
[00:03:57.534 --> 00:03:58.835]  You know, we talk about cost.
[00:04:00.235 --> 00:04:03.777]  We're going to pay for this whether we pass a Green New Deal or not.
[00:04:05.257 --> 00:04:13.380]  A no vote on the Green New Deal is a vote against a government takeover of our economy,
[00:04:14.670 --> 00:04:23.972]  That would stifle economic growth, bankrupt our nation, and endanger the prosperity of all Americans.
[00:04:25.472 --> 00:04:35.475]  A no vote is a vote in favor of continuing an open and free economy that has made America the richest country in the world.
[00:04:36.595 --> 00:04:41.856]  And we find that the best way to do environmental improvement
[00:04:43.166 --> 00:04:47.330]  is to use the wealth of a nation to accomplish that goal.
[00:04:48.371 --> 00:04:51.734]  Better luck next time, Cortez, if there is a next time.
[00:04:52.435 --> 00:04:57.380]  One year ago, I was waitressing in a taco shop in downtown Manhattan.
[00:04:57.900 --> 00:04:59.081]  John Bowne reporting.
[00:05:01.204 --> 00:05:05.448]  I mean, I've explained this.
[00:05:05.728 --> 00:05:07.490]  It's one thing to ban me on a bunch of
[00:05:08.661 --> 00:05:17.427]  Social media last year saying that I beat up a 10-year-old kid, and they showed a video somebody else shot in another state and just said I did it.
[00:05:18.748 --> 00:05:24.993]  And by the time they banned me everywhere, Forbes, who first reported it, took it down and retracted, but the damage was done.
[00:05:26.444 --> 00:05:42.996]  But if you think I'm gonna sit here when you run with these Instagram headlines and these Vice headlines saying Alex Jones to be taken off Instagram for anti-Semitism and then it's for commenters or for somebody's art, I'm not going to take it anymore.
[00:05:44.628 --> 00:05:46.769]  And so, the letters are gonna be sent out Monday.
[00:05:46.789 --> 00:05:49.271]  I've already got the lawyers engaged.
[00:05:50.112 --> 00:05:51.252]  And we're gonna drop the hammer on you.
[00:05:51.272 --> 00:05:53.574]  We got some other folks about to get the hammer dropped on them as well.
[00:05:54.154 --> 00:05:56.356]  They're not stopping because they got Soros money.
[00:05:57.837 --> 00:05:59.238]  All I have is you supporting us.
[00:06:00.338 --> 00:06:05.241]  That's all I have.
[00:06:05.322 --> 00:06:08.864]  ...language and sequences some viewers may find disturbing.
[00:06:10.444 --> 00:06:18.486]  The nation and all of our freedoms hang by a thread, and the military apparatus of this country is about to be handed over to scum who are beholden to scum!
[00:06:18.506 --> 00:06:19.126]  Russian scum!
[00:06:19.186 --> 00:06:19.686]  Listen.
