[00:00:09.586 --> 00:00:11.450]  Yeah.
[00:00:16.787 --> 00:00:18.048]  Welcome to the Alex Jones Show.
[00:00:18.148 --> 00:00:19.008]  I'm David Knight.
[00:00:19.608 --> 00:00:23.610]  Coming up, we have Paul Joseph Watson from the UK, and of course, you've probably seen the news now.
[00:00:23.630 --> 00:00:24.451]  It's at the top of drudge.
[00:00:24.471 --> 00:00:33.295]  A lot of people have picked up the fact that this morning, I've been talking about this all morning on my show, the David Knight Show, that begins at 8 o'clock Central Time.
[00:00:34.296 --> 00:00:42.540]  I'm going to be back later in this hour, but coming up in the next segment will be Paul Joseph Watson, and then Alex Jones will have a report following Paul.
[00:00:43.581 --> 00:00:47.746]  But of course the big news is the arrest of Julian Assange.
[00:00:47.786 --> 00:00:53.052]  And as I tweeted out this morning, we now have free speech literally in handcuffs.
[00:00:54.354 --> 00:00:58.819]  And it is a betrayal of everything that the West stands for.
[00:00:59.139 --> 00:01:00.701]  Dissent is no longer allowed.
[00:01:01.713 --> 00:01:02.853]  Truth is punished.
[00:01:03.153 --> 00:01:04.694]  Corruption is rewarded.
[00:01:05.234 --> 00:01:07.574]  Democracy is being shut down.
[00:01:07.594 --> 00:01:11.375]  We just had Theresa May announce that they have delayed Brexit now.
[00:01:11.455 --> 00:01:19.597]  They had a hard date that was going to be this Friday, but now they have delayed Brexit until, just arbitrarily doing it, until Halloween.
[00:01:19.617 --> 00:01:26.019]  Until she can work out more of a deal or until people get tired of this and move on to something else.
[00:01:26.059 --> 00:01:28.420]  And that's really what's been going on with Julian Assange for a long time.
[00:01:28.440 --> 00:01:29.480]  He's been there for seven years.
[00:01:30.373 --> 00:01:34.515]  They kind of left him alone a little bit, you know, just kind of dithered like they're doing with Brexit.
[00:01:35.536 --> 00:01:40.118]  Then you had Hollywood come in and do a hit piece on him, assassinate his character.
[00:01:41.479 --> 00:01:46.622]  And you had the late night talk shows hosts like John Oliver and others also doing that.
[00:01:47.403 --> 00:01:54.987]  And after they let that run for a while and then, you know, things got really dangerous with him because he helped to expose the lies of Hillary Clinton.
[00:01:56.796 --> 00:02:10.165]  And then it got to the point where he exposed the lies a year ago when they tried to run the latest annual false flag to try to get us involved in Syria, including then they had to up the ante because they'd already done it two times prior to that.
[00:02:10.785 --> 00:02:14.768]  They had to up the ante to coming up with a fake terror attack.
[00:02:15.668 --> 00:02:18.891]  And so he got shut down there at the embassy, but then the real
[00:02:19.929 --> 00:02:28.451]  Crime, I think, that helped to move this action along was that he exposed the criminal actions of the current president of Ecuador.
[00:02:29.231 --> 00:02:38.093]  So all these things combined together, but make no mistake about it, folks, this is coming from the same people who did an attempted coup against President Trump.
[00:02:38.193 --> 00:02:39.193]  The dirty cops.
[00:02:40.793 --> 00:02:42.374]  The intelligence community.
[00:02:42.894 --> 00:02:48.335]  The same people that worked in conjunction between the CIA, Langley, and London.
[00:02:49.585 --> 00:02:55.887]  These same people are the ones who got Julian Assange arrested, who want to try to get him extradited to the United States.
[00:02:57.167 --> 00:03:03.890]  This is something that is about overturning democracy, just like we see with Brexit, just like they tried to do with President Trump in our election.
[00:03:04.470 --> 00:03:12.692]  But folks, if they are allowed to overturn the principle of free speech, then there will be no free elections at any point in the future.
[00:03:12.732 --> 00:03:14.393]  And we've seen how they have done this.
[00:03:15.839 --> 00:03:41.653]  with the organizations that they funded and created like Facebook and Twitter and all these social media companies on this day as we've got the Chinese government going around and arresting people and putting them in concentration camps if they're found with Facebook on their phone because that escapes their great firewall just as they are doing that type of thing you've got Apple and Tim Cook
