[00:00:00.089 --> 00:00:01.070]  GAMER CONDITIONING!
[00:00:01.070 --> 00:00:02.290]  InfoWars comes to mind.
[00:00:02.290 --> 00:00:03.130]  Alex Jones.
[00:00:03.130 --> 00:00:03.891]  Alex Jones.
[00:00:03.891 --> 00:00:04.531]  Alex Jones.
[00:00:04.531 --> 00:00:07.573]  There's a lot of controversy around this network about Alex Jones.
[00:00:07.573 --> 00:00:17.177]  Google is being accused of hiding negative stories about Hillary and her campaign by changing its algorithm to bury stories like the Clinton body count story.
[00:00:17.177 --> 00:00:19.038]  That's according to website InfoWars.
[00:00:19.038 --> 00:00:22.780]  It sounds like it confirmed there are at least two shooters with fully automatic weapons.
[00:00:24.444 --> 00:00:29.008]  Dr. Martin Luther King has been shot to death in Memphis, Tennessee.
[00:00:29.008 --> 00:00:31.691]  JFK was shot from the back and the front.
[00:00:31.691 --> 00:00:34.193]  It was almost as if there were planned implosions.
[00:00:34.193 --> 00:00:35.674]  It's just pancakes.
[00:00:35.674 --> 00:00:37.576]  They took the babies out of the incubators.
[00:00:37.576 --> 00:00:40.619]  I'm not going to tell him to die on the crossbar.
[00:00:41.519 --> 00:00:43.520]  I think this is a national security imperative.
[00:00:43.520 --> 00:00:50.761]  We have clear things that we do not understand how they work operating in areas that we can't control.
[00:00:50.761 --> 00:00:51.141]  U.S.A.
[00:00:51.141 --> 00:00:54.062]  Is this global governance at last?
[00:00:54.062 --> 00:00:56.522]  Is it one world the central bank is in charge?
[00:00:56.522 --> 00:00:58.603]  Israel claims the attack was accidental.
[00:00:58.603 --> 00:00:59.603]  Some former U.S.
[00:00:59.603 --> 00:01:02.003]  naval officers say it was on purpose.
[00:01:02.003 --> 00:01:05.244]  They describe today's action as part of a continuing cover-up.
[00:01:05.524 --> 00:01:11.150]  Russian intelligence compiled a dossier on Mr. Trump during visits to Moscow.
[00:01:11.150 --> 00:01:12.672]  Russian scum!
[00:01:12.672 --> 00:01:13.513]  Denied everything.
[00:01:13.513 --> 00:01:15.014]  He called it all fake news.
[00:01:15.014 --> 00:01:17.156]  And he accused CNN of being fake news.
[00:01:17.156 --> 00:01:19.859]  This is a national emergency.
[00:01:19.859 --> 00:01:25.685]  If they kill Trump or remove Trump, it will cause a massive civil war in this country.
[00:01:25.685 --> 00:01:27.567]  This is a FEMA high-level emergency.
[00:01:28.748 --> 00:01:31.289]  We are at war with Russia.
[00:01:31.289 --> 00:01:36.971]  Are you aware that Mr. Stone also stated publicly that he was in direct communication with Julian Assange and Wikileaks?
[00:01:36.971 --> 00:01:39.972]  The White House and the President are citing info wars.
[00:01:39.972 --> 00:01:42.773]  They can shut us down, you're next!
[00:01:42.773 --> 00:01:47.214]  If you are receiving this transmission, you are the resistance.
[00:01:47.214 --> 00:01:48.935]  It's Alex Jones.
[00:01:48.935 --> 00:01:49.255]  Info War.
[00:01:55.074 --> 00:01:56.435]  It's Tuesday, April 30th, 2019.
[00:01:56.435 --> 00:02:11.001]  I'm your host, Alex Jones, broadcasting worldwide on the AM and FM dial, Global Shortwave, and of course, many television stations across the country, and InfoWars.com, and NewsWars.com.
