[00:00:06.360 --> 00:00:08.504]  Waging war on corruption.
[00:00:09.025 --> 00:00:14.153]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:52.398 --> 00:00:54.160]  Well, spectacular, ladies and gentlemen.
[00:00:54.180 --> 00:00:55.140]  That's how I describe it.
[00:00:55.921 --> 00:01:01.806]  Spectacular, bumbling, and fumbling.
[00:01:03.288 --> 00:01:10.354]  The likes of which I've really never seen by Robert Mueller.
[00:01:11.815 --> 00:01:15.078]  Handshaking, clearly early stages of dementia.
[00:01:17.895 --> 00:01:27.020]  Bumbling throughout, and the Democrats all harping over McGahn and all of that twisted testimony, and it's just now wrapping up.
[00:01:27.680 --> 00:01:35.204]  We're going to have the Congressman Johnson, who summed it up for Republicans I think best, coming up next segment.
[00:01:36.024 --> 00:01:36.984]  We're going to have that here.
[00:01:37.325 --> 00:01:39.926]  I think it sums it up best, but here's the bottom line.
[00:01:41.086 --> 00:01:41.927]  The Democrats
[00:01:48.083 --> 00:02:02.891]  The Democrats are hell-bent on a civil war in this country.
[00:02:06.112 --> 00:02:14.296]  And all the dirt is on their side of the equation.
[00:02:18.740 --> 00:02:23.786]  They think they can still selectively go after Trump and take him down.
[00:02:25.208 --> 00:02:32.537]  And that because they still control parts of the Justice Department, that they'll be able to intimidate people into letting that one-sided outcome take place.
[00:02:32.577 --> 00:02:34.799]  And that's not what the calculus and the math shows.
[00:02:35.801 --> 00:02:38.204]  And it's not what the American people are going to put up with either.
[00:02:39.721 --> 00:02:44.164]  Especially not by a party led by people like Ilhan Omar and AOC.
[00:02:44.204 --> 00:02:45.905]  And that is who leads their party.
[00:02:46.145 --> 00:02:47.786]  That is who the SJWs are.
[00:02:47.826 --> 00:03:04.898]  That is what's being brewed and gestated and birthed out of these so-called universities that are nothing but militant cancerous polyps bursting forth with giant metastasization.
[00:03:07.379 --> 00:03:08.160]  So we come back
[00:03:09.073 --> 00:03:31.358]  We're going to have the closing comments by the Republican, Congressman Johnson, and then we're going to go right through the most powerful clips throughout this hour of Congressman Ratcliffe, Congressman Gohmert, Congressman Jordan, Congressman Gates, Congressman Buck, Congressman Biggs, and others.
[00:03:32.782 --> 00:03:38.686]  The Democrats all read off the same piece of paper about obstruction and about Trump saying fire and then don't say fire.
[00:03:38.706 --> 00:03:39.306]  He's the president.
[00:03:39.346 --> 00:03:42.448]  He could fire anyone he wants in the Justice Department.
[00:03:42.849 --> 00:03:50.353]  If Congress then thinks that was a bad political move, for a corruption point, they have an indictment in the House, a trial in the Senate.
[00:03:50.594 --> 00:03:58.599]  But they don't have the votes for that, so they're not going forward with the constitutional remedy that they have.
