[00:00:18.674 --> 00:00:24.037]  Ladies and gentlemen,
[00:00:47.338 --> 00:00:48.359]  It's September 3rd, 2019.
[00:00:50.540 --> 00:00:53.122]  I'm your host, Alex Jones.
[00:00:53.162 --> 00:00:55.103]  We're gonna be live here for the next four hours.
[00:00:55.163 --> 00:00:56.204]  Then you've got the War Room.
[00:00:59.206 --> 00:01:00.167]  Black sunshine.
[00:01:00.187 --> 00:01:01.348]  I like that term.
[00:01:01.388 --> 00:01:04.130]  We're shining light on the black projects.
[00:01:04.850 --> 00:01:13.056]  The secret projects of the establishment that would rather have the general population behave like a bunch of over-entertained
[00:01:15.680 --> 00:01:22.405]  Brain-damaged zombies on their way to historical, cultural, biological oblivion.
[00:01:24.176 --> 00:01:27.037]  I don't want that, and I know how the universe works.
[00:01:27.697 --> 00:01:38.181]  Those of us that are aware of how the universe works will be doomed to something akin to hell if we do not try to help people achieve real consciousness.
[00:01:39.181 --> 00:01:48.624]  That's just the law of the universe, and all these fools that see the childlike nature of the general public and use it against them are not going to cross the River Jordan, I can assure you.
[00:01:49.824 --> 00:01:52.607]  They're cut off from God, so the globalists don't understand that.
[00:01:53.648 --> 00:01:54.489]  Here's what's going to happen.
[00:01:55.791 --> 00:02:01.697]  Whenever I have something that is of the utmost importance, I wouldn't call it choking.
[00:02:02.796 --> 00:02:05.197]  But I would call it a form of over-preparing.
[00:02:05.317 --> 00:02:07.058]  I set my alarm clock for 5 a.m.
[00:02:07.098 --> 00:02:20.285]  this morning, and I got up again at 5.15, got to the desk, drinking coffee, and reviewed a lot of documents, a lot of legislation that's passed, a lot of defense spending, a lot of intelligence agency spending.
[00:02:20.985 --> 00:02:27.669]  And so I put together four or five big stacks here of exhibits.
[00:02:29.560 --> 00:02:45.672]  And I tend to, when I put these exhibits together, wait till later in the show to get to them, just because it's so daunting that I'm really going to try to give my best analysis and my best oratory skills here to tell you the absolute truth.
[00:02:46.793 --> 00:02:51.837]  And the problem is there's so much data that I tend to get caught up showing you the proof
[00:02:53.048 --> 00:03:01.092]  Instead of just telling you what's going on and then talking about the action we need to take and then pointing you in an article that has all the links to it and all the admissions.
[00:03:03.934 --> 00:03:05.175]  Now, I'm gonna be very clear here.
[00:03:05.555 --> 00:03:07.536]  There's one of three things going on with Trump.
