[00:00:05.304 --> 00:00:06.506]  I don't know.
[00:00:15.297 --> 00:00:16.937]  More than simply for physical health.
[00:00:17.398 --> 00:00:19.958]  The Dow Jones average fell more than 2,000 points today.
[00:00:19.978 --> 00:00:21.318]  That's a decline of more than 7.5%.
[00:00:21.479 --> 00:00:25.399]  It was the market's worst day since the 2008 financial crisis.
[00:00:25.740 --> 00:00:28.380]  It was the fourth worst day since the Great Depression.
[00:00:29.080 --> 00:00:36.242]  Grant Thornton, a major accounting firm, is predicting a global recession due to this epidemic and very low growth, if any, here in the United States.
[00:00:36.962 --> 00:00:40.163]  If a recession does hit, it will not be so simple to fight it.
[00:00:40.703 --> 00:00:46.225]  The usual stimulus efforts, tax cuts and lower rates, won't reopen factories that have shut down to contain the virus.
[00:00:46.865 --> 00:00:51.627]  It won't get people to eat at closed restaurants, or shop in closed malls, or attend canceled sporting events.
[00:00:52.087 --> 00:00:54.388]  We're going to have a demand problem in this economy.
[00:00:54.888 --> 00:00:55.609]  And that's a big deal.
[00:00:55.629 --> 00:01:00.731]  In other words, our country is likely to experience a painful period we are powerless to stop.
[00:01:01.431 --> 00:01:02.972]  None of this is justification to panic.
[00:01:02.992 --> 00:01:03.652]  You shouldn't panic.
[00:01:04.292 --> 00:01:06.674]  In crisis, it's more important than ever to be calm.
[00:01:07.255 --> 00:01:10.458]  But staying calm is not the same as remaining complacent.
[00:01:10.658 --> 00:01:13.541]  It does not mean assuring people that everything will be fine.
[00:01:13.841 --> 00:01:14.642]  We don't know that.
[00:01:15.323 --> 00:01:16.764]  Instead, it's better to tell the truth.
[00:01:17.024 --> 00:01:19.146]  That is always the surest sign of strength.
[00:01:20.123 --> 00:01:23.304]  As they level with us, our leaders ought to prepare the public for what may come next.
[00:01:23.764 --> 00:01:27.084]  If a recession is coming, we need to save money for the possible effect of that.
[00:01:27.524 --> 00:01:29.745]  If travel restrictions are coming, we should know that too.
[00:01:30.245 --> 00:01:35.646]  Already, the non-stop Acela train service between New York and Washington, which is critical to a lot of people, has been suspended.
[00:01:36.266 --> 00:01:40.947]  The Indian Wells tennis tournament in California, one of the largest in the world, has been canceled for this year.
[00:01:40.967 --> 00:01:47.928]  The March Madness basketball tournament is supposed to start in a couple of weeks, but it could be held in front of empty stands or postponed or canceled as well.
[00:01:49.235 --> 00:01:53.760]  In the end, you may be given the option to work from home, but eventually may be ordered to do that.
[00:01:54.741 --> 00:01:55.181]  You should know.
[00:01:56.042 --> 00:01:58.724]  We should also focus on preparing our healthcare system for the worst.
[00:01:59.524 --> 00:02:04.407]  The time of containing coronavirus with widespread testing and individual quarantines, blocking the borders.
[00:02:05.088 --> 00:02:06.509]  Useful, but that time is over.
[00:02:06.789 --> 00:02:07.890]  There are too many cases here now.
[00:02:08.170 --> 00:02:09.791]  We cannot stop this epidemic.
[00:02:10.111 --> 00:02:12.053]  We can only limit the damage that it does.
[00:02:12.873 --> 00:02:15.095]  Now is also the time to start looking ahead to the future.
[00:02:15.335 --> 00:02:19.518]  Think about what it would mean to face a deadlier version of coronavirus.
[00:02:20.038 --> 00:02:21.079]  It's not unimaginable.
[00:02:21.179 --> 00:02:22.399]  It's very easy to imagine.
[00:02:22.740 --> 00:02:23.540]  Are we ready for that?
[00:02:23.640 --> 00:02:24.361]  We're not ready now.
[00:02:24.981 --> 00:02:25.482]  We ought to be.
[00:02:26.022 --> 00:02:31.366]  One of the first things we can do to prepare ourselves is break our dependence on China for essential medical supplies.
[00:02:32.026 --> 00:02:37.951]  Last week, China's official news service published a piece gloating that the country has brought coronavirus under control.
[00:02:38.631 --> 00:02:45.917]  The story claims the rest of the world should apologize to China for criticizing the country over the virus, and then drops this not very subtle warning, quote,
[00:02:46.537 --> 00:02:58.324]  If China retaliates against the United States at this time, in addition to announcing a travel ban on the United States, it will also announce strategic control over medical products and ban exports to the United States.
[00:02:59.005 --> 00:03:06.669]  If China announces that its drugs are for domestic use and bans exports, the United States will fall into the hell of a new coronavirus epidemic."
[00:03:09.005 --> 00:03:11.127]  In other words, they're threatening to kill us.
[00:03:11.767 --> 00:03:12.928]  And that's not an empty threat.
[00:03:13.408 --> 00:03:20.013]  We really are that dependent on China for masks and medical equipment, for basic medicines, for pharmaceuticals of all kinds.
[00:03:21.024 --> 00:03:27.406]  It is shocking to wake up one morning and find ourselves in this supine position, dependent on a country that hates us.
[00:03:28.167 --> 00:03:33.229]  The people who did it, who made us this dependent on a hostile foreign power, deserve to be punished for what they did.
[00:03:33.869 --> 00:03:35.129]  That won't happen, probably.
[00:03:35.589 --> 00:03:38.531]  But at least we can try to fix the damage they caused, and there's a lot of it.
[00:03:39.171 --> 00:03:41.071]  The Chinese coronavirus will get worse.
[00:03:41.552 --> 00:03:43.993]  Its effects will be far more disruptive than they are right now.
[00:03:44.033 --> 00:03:44.833]  That is not a guess.
[00:03:44.953 --> 00:03:47.274]  It is inevitable, no matter what they're telling you.
[00:03:47.794 --> 00:03:50.195]  Let's hope everyone stops lying about that, and soon.
[00:03:52.537 --> 00:03:57.119]  Well, that's what you call a perfect statement of reality.
[00:03:58.099 --> 00:04:04.422]  Reasonable, measured, and pointing out the Chycoms supply most of our drugs and are gloating about it, threatening to cut us off.
[00:04:04.482 --> 00:04:05.823]  Just incredible!
[00:04:06.403 --> 00:04:08.564]  And that's just one piece of all of this.
