[00:00:00.409 --> 00:00:03.751]  They're actually admitting day one up front, that's it.
[00:00:03.851 --> 00:00:09.995]  And the question was, how could you convince masses of people in the Western world to agree to this?
[00:00:10.776 --> 00:00:13.637]  And it turns out a pandemic is the perfect pretext to do it.
[00:00:13.998 --> 00:00:17.060]  Because people wouldn't do it just to have ease of access to funds.
[00:00:17.380 --> 00:00:20.722]  People wouldn't do it for purposes of tracking their kids when it was called Verichip.
[00:00:21.662 --> 00:00:23.063]  They just pulled it up.
[00:00:23.103 --> 00:00:24.064]  Bill Gates owns that.
[00:00:24.684 --> 00:00:25.445]  And that's the chip.
[00:00:41.135 --> 00:00:42.076]  InfoWars.
[00:00:42.256 --> 00:00:43.857]  Tomorrow's news today.
[00:01:01.972 --> 00:01:05.795]  Live from Austin, Texas, it's Alex Jones.
[00:01:20.513 --> 00:01:28.838]  Having always been accused by staunch American patriots of being a foreign enemy, the United Nations came into existence in October of 1945.
[00:01:30.799 --> 00:01:43.226]  And before they even broke ground for their headquarters, Zhiming Jie, a delegate from the Republic of China, lobbied for the World Health Organization to be created under the auspices of the United Nations.
[00:01:44.467 --> 00:01:57.440]  The first Director General of the WHO was G. Brock Chisholm, who wrote how parents teaching morality to their own children was a problem that should be remedied by a world government.
[00:01:58.100 --> 00:02:05.988]  In 1959, the WHO signed agreement WHA 12-40 with the International Atomic Energy Agency.
[00:02:06.488 --> 00:02:25.414]  The agreement between the two parties stated that whenever either organization proposes to initiate a program or activity on a subject in which the other organization has or may have a substantial interest, the first party shall consult the other with a view to adjusting the matter by mutual agreement.
[00:02:26.274 --> 00:02:33.397]  And as a result, we have seen the WHO remain silent throughout the Chernobyl incident as well as Fukushima.
[00:02:34.817 --> 00:02:53.393]  After serving as the Director of Health in Hong Kong during the 1997 H5N1 outbreak and the 2003 SARS outbreak, Margaret Chan was harshly criticized by the Hong Kong Legislative Council for not acting swiftly and for parroting mainland propaganda.
[00:02:54.374 --> 00:02:57.556]  She was then hired as Director to the World Health Organization.
[00:02:58.737 --> 00:03:07.785]  In 2007, the WHO began partnering with vaccine manufacturers as well as the Bill and Melinda Gates Foundation.
[00:03:08.105 --> 00:03:17.953]  And in 2009, Margaret Chan declared the H1N1 influenza virus a pandemic and fast-tracked vaccines as the ultimate solution to world health.
[00:03:19.294 --> 00:03:28.298]  The WHO came under international scrutiny for making vaccine manufacturers rich while falsely inflating public fear of viral outbreaks.
[00:03:29.058 --> 00:03:34.180]  It appeared as if the WHO was taking orders from Big Pharma and the Gates Foundation.
[00:03:36.381 --> 00:03:44.069]  In 2007, as the Health Minister of Ethiopia, Tedros Adhanom was accused of covering up three separate cholera epidemics.
[00:03:44.950 --> 00:03:48.874]  A week later, he was made Director of the World Health Organization.
[00:03:49.794 --> 00:03:57.402]  In January of 2020, during the COVID-19 outbreak, Tedros praised China for their authoritarian reaction.
[00:03:57.722 --> 00:04:06.107]  The Chinese government is to be congratulated for the extraordinary measures it has taken to contain the outbreak.
[00:04:06.167 --> 00:04:13.532]  China is actually setting a new standard for outbreak response, and it's not an exaggeration.
[00:04:13.712 --> 00:04:18.535]  In February, he announced that there is no reason to restrict international travel.
[00:04:18.655 --> 00:04:24.078]  There is no reason for measures that unnecessarily interfere with international travel and trade.
[00:04:24.438 --> 00:04:30.821]  In March, he suggested that the entire world should imitate the extreme measures carried out in Wuhan.
[00:04:31.062 --> 00:04:36.965]  Wuhan reported no new cases for the first time since the outbreak started.
[00:04:38.215 --> 00:04:46.001]  Wuhan provides hope for the rest of the world that even the most severe situation can be turned around.
[00:04:46.401 --> 00:04:51.425]  The WHO has declared that they will need to forcibly remove family members from their homes.
[00:04:51.585 --> 00:04:56.849]  In some senses, transmission has been taken off the streets and pushed back into family units.
[00:04:58.330 --> 00:05:08.256]  Now, we need to go and look in families to find those people who may be sick and remove them and isolate them in a safe and dignified manner.
[00:05:08.396 --> 00:05:22.744]  Assistant WHO Director Bruce Aylward recently demonstrated the WHO's unwavering loyalty to China when asked if the WHO would consider... Ladies and gentlemen, it is Sunday, April 19th, 2020, Patriots Day.
[00:05:25.552 --> 00:05:26.613]  I'm your host Alex Jones.
[00:05:26.633 --> 00:05:31.679]  We're going to be live for the next two hours and to say that we've got important information is an understatement.
[00:05:32.220 --> 00:05:40.250]  This country is at war right now by globalists and their collaborators inside our country trying to create a Great Depression.
[00:05:40.790 --> 00:05:42.212]  But America is awakening.
[00:06:04.432 --> 00:06:12.098]  It is an act of war to shut down the economy of a farming or industrial state.
[00:06:13.319 --> 00:06:17.061]  But at least with those economies, the people are somewhat self-sufficient.
[00:06:17.782 --> 00:06:27.089]  But when you shut down a service economy that we're promised under globalism is going to be so good for the earth, well, you make the population obsolete.
[00:06:28.083 --> 00:06:38.213]  And that's really the term being introduced now for this whole UN world government power grab you're seeing that just sets the stage for the real power grabs that are coming in the future.
[00:06:40.516 --> 00:06:43.459]  And that is, you are non-essential.
[00:06:44.480 --> 00:06:47.063]  You are obsolete.
[00:06:48.168 --> 00:06:51.350]  Just like the old Twilight Zone episode.
[00:06:51.390 --> 00:06:53.871]  In fact, we have a short intro, and I always ask for it.
[00:06:54.331 --> 00:07:05.578]  We always play the short intro, but if you just go to YouTube and type in The Obsolete Man, Twilight Zone, you'll get the intro of it, and that's what we play next segment.
[00:07:06.618 --> 00:07:10.361]  But that's what authoritarians tell you.
[00:07:10.721 --> 00:07:16.264]  How would they have a show back in the early 1960s about being obsolete with Rod Serling?
[00:07:18.769 --> 00:07:22.071]  Who'd been a big anti-authoritarian, big anti-Nazi, big anti-communist.
[00:07:22.351 --> 00:07:23.431]  He wrote those stories.
[00:07:23.831 --> 00:07:24.692]  Where'd he come up with this?
[00:07:24.732 --> 00:07:25.712]  Well, he'd seen it.
[00:07:25.732 --> 00:07:37.297]  In fact, he says in the intro to The Obsolete Man, he says, this isn't new, this is from the old world, just in our modern time.
[00:07:37.858 --> 00:07:42.240]  A system that wants to make the individual obsolete.
[00:07:42.320 --> 00:07:45.081]  So when you hear, oh, you're non-essential,
[00:07:47.128 --> 00:07:53.272]  And the big banks will give you a check with strings attached, but you'll also owe tax money on that down the road.
[00:07:53.672 --> 00:07:54.892]  This is called slavery.
[00:07:57.954 --> 00:07:59.695]  But here's my big message tonight.
[00:08:01.456 --> 00:08:04.638]  For any regular listener, it'll sound like a broken record.
[00:08:04.658 --> 00:08:06.679]  You're like, okay, we've been hearing for 11 weeks.
[00:08:08.500 --> 00:08:11.262]  Since early February, I have the articles and videos right here.
[00:08:13.348 --> 00:08:27.352]  That the Communist Chinese released a bioweapon out of the Wuhan bioweapons lab, and then under Obama and under Fauci and the NIH, in 2012 through 2017, they transferred a chimera coronavirus, artificially created, to China.
[00:08:45.700 --> 00:08:54.523]  And that it was insane, it had gain of function, and was highly communicable, and would be more deadly than the common flu, and spread worse than the common cold.
[00:08:58.505 --> 00:09:08.188]  Now, it's since come out that the Pentagon and Associated Press have gotten the documents that indeed it came out of Wuhan, and the Chinese worked with the WHO to cover it up.
[00:09:08.248 --> 00:09:09.568]  That's broke a week ago.
[00:09:10.209 --> 00:09:11.669]  Ten weeks after we first told you.
[00:09:12.269 --> 00:09:13.550]  Specifically what happened.
[00:09:14.278 --> 00:09:15.879]  We didn't just say, oh, it came out of the lab.
[00:09:15.919 --> 00:09:17.039]  We specifically told you.
[00:09:17.700 --> 00:09:21.541]  And they had Indian universities and German universities and then U.S.
[00:09:21.601 --> 00:09:27.504]  labs look at the virus and say, the damn thing is as phony as a $3 bill or a plastic banana.
[00:09:29.725 --> 00:09:36.448]  It has the insertions of four to five viruses in it.
[00:09:37.528 --> 00:09:40.250]  Now the discoverer of the HIV virus,
