[00:00:22.862 --> 00:00:23.383]  99 days.
[00:00:23.383 --> 00:00:30.286]  99 days until the historic election.
[00:00:30.286 --> 00:00:39.811]  The way Fox News counts it, they count the day of the election as well, so that'd be 100 days, but... Anyway, you slice it, we're getting close into this historic event.
[00:00:39.811 --> 00:00:44.313]  Okay, I have done a lot of preparation for this Sunday transmission.
[00:00:44.313 --> 00:00:49.476]  Also, Ted Nugent's gonna be calling in at the start of the second hour today with some really huge news.
[00:00:50.441 --> 00:00:57.826]  The Democrats banned a pro-police rally in New York.
[00:00:57.826 --> 00:01:01.528]  The governor just said you can't have it.
[00:01:01.528 --> 00:01:05.010]  And said any police that, you know, show up or give you support, they'll be fired.
[00:01:05.010 --> 00:01:06.211]  Any state police will be fired.
[00:01:06.211 --> 00:01:07.732]  He's God now.
[00:01:07.732 --> 00:01:08.852]  He said because of COVID.
[00:01:08.852 --> 00:01:11.894]  But everybody else can demonstrate and have your protest.
[00:01:11.894 --> 00:01:17.458]  This is how the globalist, communist, Illuminati system operates.
[00:01:18.595 --> 00:01:20.418]  He'll be popping in.
[00:01:20.418 --> 00:01:22.362]  Okay, so it's now official.
[00:01:22.362 --> 00:01:27.411]  We've had Pelosi, we've had Biden, we've had Schiff, we've had...
[00:01:29.915 --> 00:01:49.513]  Eric Holder, the former Attorney General, we've had them all come out and say, Trump's a dictator already, he works for the Russians, and he's going to lose the election, and then if he challenges it in any way, he is a dictator, and the military is going to remove him, and if the military doesn't remove him, we'll have them arrested.
[00:01:49.513 --> 00:01:50.614]  And we'll burn down all the cities.
[00:01:54.085 --> 00:01:57.588]  Next, Atlantic Monthly, which is the mouth of the New World Order.
[00:01:57.588 --> 00:01:58.969]  Even more than the New York Times here in the U.S.
[00:01:58.969 --> 00:02:01.451]  It's the Financial Times of London.
[00:02:01.451 --> 00:02:03.093]  Over in England, that's the Rothschild mouthpiece.
[00:02:05.879 --> 00:02:10.420]  They're openly saying violence and riots will skyrocket if Trump wins election.
[00:02:10.420 --> 00:02:11.961]  You better not do it.
[00:02:11.961 --> 00:02:20.784]  And then Moody's and Barron's and all of the ratings agencies and Goldman Sachs and JP Morgan all say this will be a contested election.
[00:02:20.784 --> 00:02:22.164]  It's going to be a disaster.
[00:02:22.164 --> 00:02:24.925]  The mail-in ballots, the fraud.
[00:02:24.925 --> 00:02:29.066]  And if Trump points any of that out or you do, you're a dictator.
[00:02:29.066 --> 00:02:34.108]  Even though the Democrats win and if they lose, I think right now there's anywhere near a fair election they're going to lose.
[00:02:35.811 --> 00:02:40.372]  The asylum majority is really pissed, but they don't care.
[00:02:40.372 --> 00:03:00.618]  They will contest it, and when Trump says, you're there wrong, they're going to activate folks to burn the country down, and with 99 days out, this is all a beta test drill for that, and the censorship's in place, and the AI kill switch is in place, and Trump has not gotten control of the Obama kill switch, but the deep state still has, or the globalists that are installed at all those levels.
[00:03:02.554 --> 00:03:06.656]  What they call stay behind networks or embeds.
[00:03:06.656 --> 00:03:10.037]  So that is all coming up here tonight.
[00:03:10.037 --> 00:03:11.818]  We will break it down.
[00:03:11.818 --> 00:03:15.240]  The country and the entire world is in really unparalleled.
[00:03:16.786 --> 00:03:21.787]  Harold, and I do not have words to describe to you how serious the situation is.
[00:03:21.787 --> 00:03:25.208]  They've done everything they can to try to take us off air at this time.
[00:03:25.208 --> 00:03:34.171]  We're still on hundreds of radio stations, over 100 cable and TV stations, and we have huge audiences at BandOnVideo and InfoWars.com and NewsWars.com.
[00:03:34.171 --> 00:03:38.432]  But remember, you are critical in this fight.
[00:03:38.432 --> 00:03:43.194]  Without you taking action and getting excited and telling people via email, via text message and word of mouth,
[00:03:44.136 --> 00:03:48.639]  About Bandot video, about Infowars.com forward slash show.
[00:03:48.639 --> 00:03:56.604]  Without you telling that all the doctors and scientists and whistleblowers that have been exposing the COVID-19 takeover hoax.
[00:03:56.604 --> 00:04:00.786]  Without you getting that information out, we're going to lose this fight.
[00:04:00.786 --> 00:04:03.528]  And I've got some incredible examples of that.
[00:04:03.528 --> 00:04:05.789]  Eric Bolling is going to be back on the show soon.
[00:04:05.789 --> 00:04:07.490]  He, of course, left Fox.
[00:04:07.490 --> 00:04:11.072]  The left celebrated it when his son overdosed on an opiate.
[00:04:11.072 --> 00:04:11.753]  He's a good guy.
[00:04:13.447 --> 00:04:25.510]  He was doing a report for Sinclair, it's as big as Fox or bigger around the country, the broadcast stations, about gain of function and how Fauci was involved with the Wuhan lab, weaponizing all of it.
[00:04:25.510 --> 00:04:30.872]  You know, I personally have sent him and Tucker Carlson and a bunch of other people hundreds of articles.
[00:04:30.872 --> 00:04:31.912]  I'll show you some of them today.
[00:04:33.015 --> 00:04:35.157]  Hell, from the NIH website, how Fauci did this.
[00:04:35.157 --> 00:04:36.117]  It's not even hidden.
[00:04:36.117 --> 00:04:38.119]  But CNN's policing it.
[00:04:38.119 --> 00:04:41.901]  And they made some calls, and Sinclair's not gonna air it now.
[00:04:41.901 --> 00:04:44.603]  Because, you know, Fauci's God.
[00:04:44.603 --> 00:04:46.645]  Everything he says is a lie, a fraud.
[00:04:46.645 --> 00:04:51.408]  He threw in the first pitch at a baseball game, was like 30 feet off the mound, in left field.
[00:04:51.408 --> 00:04:54.431]  I mean, they all cheered for him.
[00:04:54.431 --> 00:04:57.453]  I mean, the guy is a frickin' criminal who needs to be indicted.
[00:05:00.933 --> 00:05:05.137]  The reasons that the globalists launch this planetary lockdown.
[00:05:05.137 --> 00:05:09.320]  The number one reason is it serves every one of their purposes.
[00:05:09.320 --> 00:05:13.804]  We've gone over those purposes many times here on air.
[00:05:13.804 --> 00:05:19.870]  The cashless society, the surveillance system, global government, medical tyranny, forced inoculation.
[00:05:19.870 --> 00:05:27.697]  But the most important facet is it teaches us that we are obsolete, that we are non-essential as we begin to
[00:05:28.550 --> 00:05:36.096]  Witness automation computers and robots take over the jobs that people once had by design.
[00:05:36.096 --> 00:05:40.159]  This isn't like it's some advancement that we just fell into.
[00:05:40.159 --> 00:05:45.543]  It's been pre-planned, organized globally, and it's extremely predatory.
[00:05:45.543 --> 00:05:56.752]  And through governmental actuaries and tax programs and regulations, the central banks that control it all are able to pick the winners and the losers and consolidate power.
[00:05:57.313 --> 00:06:02.596]  This is the truest form of technocracy fascism.
[00:06:02.596 --> 00:06:23.606]  Thank you so much for joining us on this July 26th Sunday live broadcast.
[00:06:23.606 --> 00:06:26.668]  99 days out from this historic election.
[00:06:27.881 --> 00:06:36.103]  Well, I have here in my hands, and I'm your host Alex Jones, thank you for joining us, CNN, the police dogs of thought crime.
[00:06:36.103 --> 00:06:43.964]  Sinclair says it will postpone and rework segment featuring conspiracy theory about Fauci.
[00:06:43.964 --> 00:06:52.246]  And it says that without any proof, though they don't show the piece, they were going to look at Fauci at the NIH for 45 years.
[00:06:54.187 --> 00:07:04.332]  Involving gain-of-function transfers of weaponized coronavirus during the Obama administration.
[00:07:04.332 --> 00:07:06.493]  Now, Dr. McCamshaw, please.
[00:07:06.493 --> 00:07:10.115]  Look right here.
[00:07:10.115 --> 00:07:15.858]  NIH lifts funding pause on gain-of-function research.
[00:07:15.858 --> 00:07:17.498]  NIH.gov.
[00:07:17.498 --> 00:07:22.561]  And it gets into Fauci, and the programs, and Bill O'Malley and the Gates, and the actual gain-of-function.
[00:07:23.905 --> 00:07:25.166]  Here's Newsweek.
[00:07:25.166 --> 00:07:27.868]  Dr. Fauci back controversial Wuhan lab with U.S.
[00:07:27.868 --> 00:07:36.215]  dollars for risky coronavirus research with spliced virus chimeras using weaponized bat viruses.
[00:07:36.215 --> 00:07:36.335]  Oh.
[00:07:36.335 --> 00:07:38.296]  Okay.
[00:07:38.296 --> 00:07:39.698]  Here's another one.
[00:07:39.698 --> 00:07:39.758]  2015.
[00:07:39.758 --> 00:07:42.360]  Lab-made coronavirus triggers debate.
[00:07:42.360 --> 00:07:48.905]  Gain-of-function weaponized SARS COVID-2 virus.
[00:07:48.905 --> 00:07:51.287]  And it goes into how deadly it is to transfer it.
[00:07:53.112 --> 00:07:56.373]  I'll be getting into that a little bit later.
