[00:00:06.159 --> 00:00:06.820]  She just died?
[00:00:36.260 --> 00:00:36.540]  Wow.
[00:00:38.801 --> 00:00:39.561]  I didn't know that.
[00:00:39.601 --> 00:00:41.722]  You're telling me now for the first time.
[00:00:44.403 --> 00:00:45.784]  She led an amazing life.
[00:00:47.084 --> 00:00:48.065]  What else can you say?
[00:00:48.125 --> 00:00:49.485]  She was an amazing woman.
[00:00:49.685 --> 00:00:55.387]  Whether you agreed or not, she was an amazing woman who led an amazing life.
[00:00:57.528 --> 00:00:58.929]  Actually sad to hear that.
[00:00:59.169 --> 00:01:00.549]  I am sad to hear that.
[00:01:00.589 --> 00:01:01.390]  Thank you very much.
[00:01:09.631 --> 00:01:12.435]  As Trollrunner, I'm a sufferer.
[00:01:12.756 --> 00:01:15.320]  I thoroughly examined her.
[00:01:15.700 --> 00:01:20.267]  And she's not only merely dead, she's really most sincere.
[00:01:24.616 --> 00:01:26.797]  You know folks, someone said this is in bad taste, but...
[00:01:44.708 --> 00:01:47.169]  She supported partial birth abortion of already born babies.
[00:01:48.010 --> 00:01:55.273]  She'd have all those little chicks chopped up and sold for medical experiments, so... All this worshipping of that hunchbacked demon makes me want to throw up.
[00:01:56.154 --> 00:01:59.075]  Yeah, she led an incredible life, so did Hitler, so did Stalin, so did Mao.
[00:02:00.536 --> 00:02:01.456]  Yeah, incredible evil.
[00:02:01.476 --> 00:02:04.958]  Not about empowering women, but about enslaving women.
[00:02:12.901 --> 00:02:13.742]  But is she really dead?
[00:02:15.197 --> 00:02:16.478]  Or is it Kamala Harris?
[00:02:21.022 --> 00:02:27.107]  I thought you said she was dead.
[00:02:27.127 --> 00:02:29.109]  That was her sister, the Wicked Witch of the East.
[00:02:29.449 --> 00:02:30.670]  This is the Wicked Witch of the West.
[00:02:31.271 --> 00:02:32.492]  She's worse than the other one.
[00:02:32.572 --> 00:02:33.413]  Oh, it's Hillary.
[00:02:33.453 --> 00:02:34.994]  Who killed my sister?
[00:02:35.314 --> 00:02:36.756]  Who killed the Witch of the East?
[00:02:37.276 --> 00:02:37.737]  Was it you?
[00:02:38.658 --> 00:02:38.898]  No.
[00:02:39.838 --> 00:02:40.858]  No, it was an accident.
[00:02:41.119 --> 00:02:42.359]  I didn't mean to kill anybody.
[00:02:42.659 --> 00:02:45.679]  Well, my little pretty, I can cause accidents, too.
