[00:00:01.101 --> 00:00:04.602]  It's Sunday, October 18th.
[00:00:04.742 --> 00:00:05.542]  The year is 2020.
[00:00:05.842 --> 00:00:08.862]  You're now 15 days out from the election.
[00:00:10.243 --> 00:00:15.323]  And the October surprise is the most devastating October surprise ever.
[00:00:16.144 --> 00:00:29.586]  A communist Chinese blackmail ring running the Democratic Party with the most horrendous pedophilia and torture information imaginable all beginning to break live now.
[00:00:32.284 --> 00:00:33.945]  Lock up the Bidens.
[00:00:34.005 --> 00:00:34.666]  Lock up Hillary.
[00:00:38.389 --> 00:00:39.009]  Lock them up.
[00:00:43.413 --> 00:00:46.855]  Can you imagine if my kids did what this guy Hunter is doing?
[00:00:48.096 --> 00:00:48.797]  Ivanka!
[00:00:49.838 --> 00:00:52.039]  Oh my beautiful, my wonderful Ivanka.
[00:00:52.460 --> 00:00:53.601]  She's a good kid.
[00:00:54.161 --> 00:00:54.922]  Can you imagine?
[00:00:57.097 --> 00:01:03.019]  If Biden wins, China will own the United States and I turned it all around and you know that better than anybody.
[00:01:04.139 --> 00:01:11.662]  In 2019, if you go back 10 years, everybody projected 2019 the economy of China was going to be bigger than the U.S.
[00:01:12.422 --> 00:01:16.183]  except it didn't happen because I got elected and I turned it the opposite way.
[00:01:16.783 --> 00:01:18.784]  We were picking up much more than them.
[00:01:19.759 --> 00:01:23.540]  And then I did the no dumping steel, and I did tariffs, and I did everything on them.
[00:01:24.021 --> 00:01:26.322]  No, no, they want Sleepy Joe to win.
[00:01:26.422 --> 00:01:32.124]  And if he does, if Sleepy Joe wins, China will own the United States.
[00:01:32.564 --> 00:01:38.006]  And when you look at these photographs that are disgusting and horrible, the Chinese have every single one of them.
[00:01:39.066 --> 00:01:41.967]  The Chinese have every single one of them, probably ten times more.
[00:01:43.128 --> 00:01:45.769]  Because what the Chinese government has been doing and
[00:01:46.661 --> 00:01:48.682]  Our country was totally undefended against this.
[00:01:48.722 --> 00:01:50.002]  He's setting Biden up.
[00:01:51.103 --> 00:01:54.024]  Putting him in a position where he's totally compromised.
