[00:00:18.200 --> 00:00:18.961]  InfoWars.
[00:00:19.322 --> 00:00:20.903]  Tomorrow's news today.
[00:00:21.845 --> 00:00:25.269]  Ladies and gentlemen, it is Saturday, October 24th.
[00:00:25.749 --> 00:00:26.090]  The year is 2020.
[00:00:26.410 --> 00:00:34.900]  We are only nine short days out from what is the most historic election the world agrees in pretty much world history.
[00:00:35.663 --> 00:00:44.125]  Now, I was already up here working until about three o'clock today on a lot of big stories, and I was familiar with some of the research you're about to see that's about to break here.
[00:00:44.645 --> 00:00:53.508]  But I had to come back down here tonight on Saturday evening to bring you this information because respected investigative journalist Patrick Howley, who's written for
[00:00:54.008 --> 00:01:02.330]  Epic Times, many other big publications, one of the main investigative journalists over at nationalfile.com, who's broken so many huge stories, it's really amazing.
[00:01:02.630 --> 00:01:08.552]  He has a lot of credibility, not just in this election, but the last two, has huge information.
[00:01:09.192 --> 00:01:22.675]  Now, I made a few phone calls on this information and confirmed that indeed the story is being worked on by some of the biggest alternative news outlets in the country, but there is a lot of institutional pressure to basically spike the report.
[00:01:24.172 --> 00:01:43.773]  Patrick Howley, through sources inside one of these other media organizations and a separate group that gave him the information, has been able to receive the purported, reported, alleged diary of presidential candidate of the Democratic Party, their nominee, Joe Biden.
[00:01:44.662 --> 00:01:47.304]  The diary has been posted to nationalfile.com.
[00:01:47.684 --> 00:01:50.585]  It's linked right now to infowars.com right now.
[00:01:50.866 --> 00:01:51.706]  Here is the headline.
[00:01:52.166 --> 00:01:53.167]  Exclusive source.
[00:01:53.687 --> 00:02:00.611]  Biden's daughter's diary details not appropriate showers with Joe as a child.
[00:02:00.651 --> 00:02:06.315]  Now, that is a very, if this story's accurate, a very weak headline, but I understand why they did it.
[00:02:06.895 --> 00:02:13.359]  In the reported diary, and they reportedly have a recording of her admitting it's real, and they've reached out to her as well,
[00:02:14.577 --> 00:02:19.020]  She says that she believes she was molested, but has blacked out the memories.
[00:02:19.401 --> 00:02:20.461]  This is all in here.
[00:02:20.501 --> 00:02:23.344]  And look, if this was just a regular guy, we'd say, oh, it's probably not true.
[00:02:23.824 --> 00:02:31.149]  With all the history and all the connections we'll go over once we break this new story, this is par for the course.
[00:02:31.169 --> 00:02:37.134]  It's like a bird dog going after birds, or a seal going after fish, or a
[00:02:38.464 --> 00:02:39.764]  Fire department going to a fire.
[00:02:40.345 --> 00:02:44.166]  I mean, this is all over this family, all over the Clintons, all over Jeffrey Epstein.
[00:02:44.626 --> 00:02:49.688]  And remember, it just broke the Gasoline Maxwell, the pimp that worked for Epstein.
[00:02:50.408 --> 00:02:58.391]  In the new trial documents coming out, confirmed Bill Clinton did go to Epstein Island, which all these witnesses said they saw where children were raped, were tortured.
[00:02:58.691 --> 00:03:04.513]  So Patrick Howley, who's been on this case for many, many years, is here with us right now to break down the latest developments.
[00:03:04.553 --> 00:03:05.973]  Patrick, thank you for joining us.
[00:03:06.013 --> 00:03:07.154]  Well, I wish this wasn't true.
[00:03:08.374 --> 00:03:12.657]  I hope it's not true, but certainly this is being looked at.
[00:03:13.078 --> 00:03:14.779]  Tell us exactly what's unfolding here.
[00:03:16.080 --> 00:03:24.286]  Alex, this diary from Ashley Blazer Biden, the 39-year-old daughter of Joe Biden, has been in circulation.
[00:03:24.747 --> 00:03:29.430]  A very credible whistleblower who has done some great things gave it to me.
[00:03:30.491 --> 00:03:37.997]  This alleged diary, this reported diary, shows that Ashley Blazer Biden
[00:03:38.750 --> 00:03:47.355]  Is going through a lot of trauma in her life as a result of what she thinks is molestation that happened to her as a child.
[00:03:47.935 --> 00:03:56.020]  She describes showers that she took with her father, Joe Biden, that were not appropriate.
[00:03:57.481 --> 00:04:08.267]  And in addition to a lot of other traumatic experiences, the author goes into great detail about those traumatic experiences of growing up as a Biden.
[00:04:09.017 --> 00:04:10.599]  And this is shocking.
[00:04:10.659 --> 00:04:11.499]  This is stunning.
[00:04:11.820 --> 00:04:18.926]  This presents a window into the mind of this family and of the Democrat candidate, Joe Biden.
[00:04:19.807 --> 00:04:32.738]  This is a case where the whistleblower called up Ashley Biden on tape and got confirmation from her that this is indeed her diary.
[00:04:33.647 --> 00:04:35.830]  And that is the information that's been given to me.
[00:04:35.850 --> 00:04:54.891]  There's obviously a ton of institutional pressure in order to try to suppress this, but I don't respond to institutional pressure because I believe that the American people need to know about this family and they need to know about the young woman who wrote this diary and what she alleges happened to her with her father.
[00:04:56.360 --> 00:04:57.661]  Well, what we know is this.
[00:04:58.762 --> 00:05:05.468]  Joe Biden in public can't keep his hands off of women and children and has said some really crass, disgusting things.
[00:05:06.629 --> 00:05:10.272]  He's involved with the Clintons that are serious sex predators.
[00:05:10.312 --> 00:05:15.296]  Then he's involved with Obama and John Podesta and Tony Podesta with all of their history.
[00:05:15.336 --> 00:05:20.300]  And then the Clintons with the thousands of missing Haitian children, Associated Press reports.
[00:05:21.195 --> 00:05:21.295]  It's
[00:05:38.393 --> 00:05:42.794]  Well, look, Alex, there is a very small club of elitists who rule our country, and they basically rule our world.
[00:06:06.059 --> 00:06:15.725]  And with what we saw with the NXIVM case, where, by the way, Kirsten Gillibrand, the sitting New York Senator, her father was employed by the NXIVM cult.
[00:06:15.925 --> 00:06:19.628]  That's where he met Kirsten Gillibrand's stepmother, who was a member of the cult.
[00:06:19.888 --> 00:06:25.772]  And you hear about the satanic rituals that they were doing that were emulating human sacrifice.
[00:06:25.912 --> 00:06:35.318]  I spoke to the relatives of women who disappeared or died as a result of the NXIVM cult, which of course was illegally bundling money
[00:06:35.680 --> 00:06:36.541]  For Hillary Clinton.
[00:06:55.751 --> 00:07:08.001]  Two of Ghislaine Maxwell's nephews worked in the Obama-Biden administration, including one in the Obama-Biden White House and including one in the State Department for Hillary Clinton overseeing the Middle East.
[00:07:08.342 --> 00:07:22.934]  When you look at Sarah Bronfman, who is involved in NXIVM and her role in sparking the Arab Spring and regime change in Libya, you begin to see the nexus of power and how this group of people, this cabal,
[00:07:23.362 --> 00:07:35.030]  This cult has been responsible for so much of the pain, so much of the heartache that humanity has been forced to endure, that has been inflicted on us over the last 10, 20 years.
[00:07:35.650 --> 00:07:38.612]  Joe Biden is an integral part of this club.
[00:07:38.973 --> 00:07:40.013]  He is one of the elites.
[00:07:40.594 --> 00:07:45.157]  And if you look at what's going on with Hunter Biden, and if you look at what's going on with
[00:07:46.707 --> 00:07:56.291]  This woman who our whistleblower has spoken to, Ashley Biden, who confirmed that she did, in fact, write this diary.
[00:07:56.311 --> 00:08:00.173]  And we're calling it the alleged diary at this time.
