[00:00:15.524 --> 00:00:16.625]  InfoWars.
[00:00:16.625 --> 00:00:17.826]  Tomorrow's news.
[00:00:17.826 --> 00:00:20.447]  Today.
[00:00:20.447 --> 00:00:21.568]  Ladies and gentlemen.
[00:00:21.568 --> 00:00:26.412]  We're broadcasting worldwide on Saturday afternoon.
[00:00:26.412 --> 00:00:27.652]  The date is March 27th.
[00:00:27.652 --> 00:00:30.114]  The year is 2021.
[00:00:30.114 --> 00:00:32.876]  We live on a wondrous planet.
[00:00:32.876 --> 00:00:35.158]  We live in an incredible universe.
[00:00:35.158 --> 00:00:42.743]  We are just now beginning to discover only a tiny percentage of the incredible mysteries
[00:00:44.147 --> 00:00:46.928]  At our consciousness.
[00:00:46.928 --> 00:00:48.108]  I'm Alex Jones, your host.
[00:00:48.108 --> 00:00:50.688]  Here with my intrepid crew.
[00:00:50.688 --> 00:00:53.729]  Still on air, despite all the enemy attacks.
[00:00:53.729 --> 00:00:56.470]  Thanks to you.
[00:00:56.470 --> 00:00:59.630]  The Info War is a human struggle against tyranny.
[00:00:59.630 --> 00:01:02.591]  Those that would shutter the doors of perception.
[00:01:02.591 --> 00:01:07.472]  Those that would enslave us with lies and disinformation.
[00:01:07.472 --> 00:01:13.053]  It was Christ that said, My people perish for lack of knowledge.
[00:01:14.560 --> 00:01:17.602]  InfoWars has the knowledge.
[00:01:17.602 --> 00:01:25.906]  InfoWars understands the Globalist program and InfoWars knows how to stop the New World Order.
[00:01:25.906 --> 00:01:37.152]  I've been showing you some really powerful footage here that I know I've been enthralled by of drone footage, live feed footage and more from Iceland at this volcanic eruption that's captivated the world.
[00:01:38.407 --> 00:01:41.729]  And we'll be coming back to that later in the hour.
[00:01:41.729 --> 00:01:46.072]  And we'll also be looking at the hundreds of ships stranded in the Suez Canal.
[00:01:46.072 --> 00:01:52.976]  One simple accident hurtling the world into potential depression.
[00:01:52.976 --> 00:01:58.240]  Also constitutional lawyer Robert Barnes is going to be joining us to talk about the waterfront.
[00:01:58.240 --> 00:01:59.701]  Where the Democrats are going.
[00:01:59.701 --> 00:02:07.486]  The next moves he thinks Biden and Co are going to pull with their plans to sign executive orders to begin registration and confiscation of firearms.
[00:02:08.402 --> 00:02:09.883]  And war.
[00:02:09.883 --> 00:02:11.765]  That is all coming up as well.
[00:02:11.765 --> 00:02:36.485]  We're also going to premiere here in just about 15-20 minutes an exclusive piece of research built around my visit just this last Monday to one of the oldest and most powerful secret societies in the world, a branch of that secret society, the Illuminati, known as skull and bones, the order of death,
[00:02:37.642 --> 00:02:41.925]  Number three, two, two.
[00:02:41.925 --> 00:02:51.351]  And that directly ties to our top story today that I'm about to lay out in great detail.
[00:02:51.351 --> 00:02:52.852]  Here's the headline.
[00:02:52.852 --> 00:02:55.114]  Tucker Carlson, U.S.
[00:02:55.114 --> 00:03:03.920]  military has gone full woke, waging war on those who disagree with them.
[00:03:03.920 --> 00:03:05.121]  It's a very true statement.
[00:03:06.263 --> 00:03:14.918]  And in this world of universal deceit and propaganda, as George Orwell said, telling the truth is a revolutionary act.
[00:03:16.291 --> 00:03:36.847]  But as I was just alluding to a moment ago, this system of wokeness, this system that tells us that Christians and Europeans and white people are inherently evil, are inherently bad, comes from the establishment, comes from the big banks, comes from the Rothschilds and the Rockefellers and the British Royalty.
[00:03:36.847 --> 00:03:38.928]  It comes out of the universities.
[00:03:38.928 --> 00:03:43.412]  It comes out of Apple and Google and Facebook and Twitter and General Electric.
[00:03:44.778 --> 00:03:52.282]  No corporation of any major size is allowed to operate unless they are wedded to this plan.
[00:03:52.282 --> 00:03:57.605]  Whether you're in Australia or whether you're in the United States, you hear that white people are inherently bad.
[00:03:57.605 --> 00:03:59.246]  You hear that men as
[00:04:00.365 --> 00:04:05.890]  Half the human species are inherently evil and must apologize for our collective sin.
[00:04:05.890 --> 00:04:07.612]  What is behind this?
[00:04:07.612 --> 00:04:09.354]  Who is behind this?
[00:04:09.354 --> 00:04:10.975]  Why are they doing it?
[00:04:10.975 --> 00:04:12.677]  And how do we oppose it?
[00:04:12.677 --> 00:04:16.421]  So I will give you the rest of the story here in just a moment.
[00:04:17.486 --> 00:04:22.687]  But first, let's go to Tucker Carlson's piece from last night, Friday evening, the full video.
[00:04:22.687 --> 00:04:23.387]  It's 14 minutes long.
[00:04:23.387 --> 00:04:25.388]  It's posted to InfoWars.com.
[00:04:25.388 --> 00:04:30.829]  A very important report, and I'm not taking away from what Tucker lays out here.
[00:04:30.829 --> 00:04:42.951]  But if you don't know the rest of the story, if you don't know who's behind it, why they're doing it, how it's universal, and how it's the establishment pushing this, then we'll never have any hope of defeating it.
[00:04:42.951 --> 00:04:45.012]  Only by collective awakening
[00:04:45.882 --> 00:04:57.614]  To the plan behind this to end nation states, to end regional governments, to end cultures, to end all peoples under one corporate transhumanistic plan.
[00:04:57.614 --> 00:04:59.816]  Only by realizing that can we defeat them.
[00:04:59.816 --> 00:05:01.157]  So there is his report.
[00:05:01.157 --> 00:05:02.619]  Tucker Carlson, U.S.
[00:05:02.619 --> 00:05:07.003]  military has gone full woke, waging war on those who disagree with them.
[00:05:07.003 --> 00:05:07.384]  Here it is.
[00:05:09.377 --> 00:05:11.698]  Good evening and welcome to Tucker Carlson Tonight.
[00:05:11.698 --> 00:05:13.219]  Here's an amazing story.
[00:05:13.219 --> 00:05:19.403]  Yesterday, the Pentagon's Special Operations Command made an announcement from its official Twitter account.
