[00:00:00.000 --> 00:00:10.000]  [MUSIC]
[00:00:10.000 --> 00:00:20.559]  InfoWars, tomorrow's news today.
[00:00:20.559 --> 00:00:22.559]  [Music]
[00:00:23.178 --> 00:00:28.641]  Ladies and gentlemen, thank you for joining us on this very special emergency Saturday evening transmission.
[00:00:29.381 --> 00:00:30.342]  It is October 30th, 2021.
[00:00:30.402 --> 00:00:45.177]   And we have Massive news to announce here on air that I was aware of years ago, but I did not know they were actually going operational.
[00:00:46.277 --> 00:00:48.558]  And indeed, they have gone operational.
[00:00:48.578 --> 00:00:56.920]  I learned about this yesterday morning, did some research yesterday and today, and I'm ready to lay it out for you right now.
[00:00:56.980 --> 00:01:02.481]  This will just be the first of many reports on this, because this isn't something that's around the corner.
[00:01:02.561 --> 00:01:05.222]  This is something that is now beginning to happen.
[00:01:06.522 --> 00:01:07.022]  Right now.
[00:01:07.162 --> 00:01:13.024]  So if we can, let me go ahead and just lay this out and then we'll hit the other big news as well.
[00:01:13.764 --> 00:01:30.619]   The Democrats have been caught engaging in a major false flag in Virginia, a racial false flag, in an attempt to start a new Charlottesville, like the first one they pulled off four years ago, and they got caught red-handed and it has Blown up in their face.
[00:01:31.420 --> 00:01:33.742]  The full report is at InfoWars.com.
[00:01:33.782 --> 00:01:35.343]  False flag confirmed in Virginia.
[00:01:35.984 --> 00:01:37.385]  Governor race.
[00:01:37.525 --> 00:01:47.735]  And we have a special video report I just shot before I walked in here to go on air that will be ready to air coming up, I'm told, in about 25-30 minutes.
[00:01:47.755 --> 00:01:50.097]  We'll go to that exclusive breakdown.
[00:01:51.098 --> 00:01:53.761]  Alex Jones and Tucker Carlson vindicated.
[00:01:55.185 --> 00:01:58.428]  Ivory Democrats caught in Virginia gubernatorial false flag.
[00:01:58.528 --> 00:01:59.468]  That is going to be coming up.
[00:02:00.189 --> 00:02:18.503]  Now, this story isn't just important because it vindicates the information that we reported on four years ago concerning Charlottesville and the fact that there were deep state Democrat political operatives basically leading the right-wing white nationalist event.
[00:02:19.144 --> 00:02:20.685]  And that later came out and was confirmed.
[00:02:23.168 --> 00:02:36.353]  That's important, but not as important as the fact that right now there's mass branding all over the corporate news, all over the media, that anyone questioning elections, anyone questioning lockdowns, anyone questioning forced inoculations is a terrorist.
[00:02:36.393 --> 00:02:40.575]  Anybody protesting critical race theory at their school board is a terrorist.
[00:02:41.555 --> 00:02:57.320]   And they're actually trying to roll this out with Capital police departments, federal police departments all over the nation being set up and Homeland Security branding a new war with the American people and Biden coming out.
[00:02:58.439 --> 00:03:05.580]  In June, and saying the main threat's not radical Islam, it's not Russia, it's not China, it's now the American people.
[00:03:05.620 --> 00:03:08.461]  That's the number one terror threat in America.
[00:03:09.461 --> 00:03:23.704]  And you can see on screen right there from even back in June, some of the reports and some of the Homeland Security graphics they were putting out about opposition to COVID measures, claims of election fraud, believe Trump can be reinstated, 9-11 anniversary, and religious holidays.
[00:03:23.764 --> 00:03:34.730]   So just incredible Roll out of the Patriot Act and the CIA and the whole police state that's not supposed to be used on citizens under law against us.
[00:03:35.271 --> 00:03:40.738]  Exactly what I and many other constitutional experts like Jonathan Turley warned of 20 years ago with the Patriot Act.
[00:03:41.219 --> 00:03:42.601]  Now the chicken's coming home to roost.
[00:03:45.080 --> 00:03:46.901]  They're getting ready to stage a bunch of false flags.
[00:03:47.362 --> 00:03:48.282]  Violent false flags.
[00:03:48.663 --> 00:03:50.384]  Oklahoma City style false flags.
[00:03:50.985 --> 00:03:56.289]  Not just the provocateur January 6th event that didn't go off as bad as they wanted it to.
[00:03:56.309 --> 00:03:57.369]  They wanted it to be really bad.
[00:03:57.890 --> 00:04:02.333]  But thank God it fizzled out and wasn't as bad as they were planning it to be.
[00:04:03.374 --> 00:04:15.460]  And so now they are in a total hysteria over Tucker Carlson coming out with his new three-part documentary series that he should be covering all week next week, titled The Plot Against the People, because this is a plot against the people.
[00:04:15.901 --> 00:04:25.666]  And if the American people understand how this is a divide-and-conquer operation and an attempt at race war the globalists are launching, we can save our country and also bring the globalists to justice.
[00:04:25.706 --> 00:04:29.788]  But that's where we are, that's what's unfolding, and that's what we're facing right now.
[00:04:31.482 --> 00:04:35.323]  Now let's get to our top story here on this Saturday evening.
[00:04:36.703 --> 00:04:41.145]  And again, the only way this information is going to get out is if you share it.
[00:04:41.605 --> 00:04:52.268]  And if you do decide to share it, it's going to have a huge effect and we can stop this nightmare next phase of the Great Reset and of the transhumanist nanotech takeover of our bodies.
[00:04:52.328 --> 00:04:53.268]  And what do I speak of?
[00:04:54.428 --> 00:04:59.990]  I remember 20 plus years ago reading about Bill Gates and press releases he put out wanting to control the weather.
[00:05:01.380 --> 00:05:08.408]  Wanting to have particulate added to jet fuel to create nuclei in the atmosphere to create artificial clouds to bounce solar radiation back out into space.
[00:05:09.169 --> 00:05:22.464]  I remember seeing Bill Gates proposing putting sterilents in vaccines and putting sterilents in mosquitoes so they could deliver sterilent vaccines into third world populations.
[00:05:23.504 --> 00:05:46.813]  I remember seeing Bill Gates talking about engineering strawberries and potatoes and tomatoes and bananas and papayas that would have, quote, different vaccines engineered biomechanically, bioelectrically into the very tissue of the plant where the plant would produce live viruses.
[00:05:47.793 --> 00:05:52.595]  And they had actually developed that and actually had it completed in several decades ago.
[00:05:54.895 --> 00:05:57.797]  But now they've gone operational with the weather control.
[00:05:57.977 --> 00:06:00.058]  Now they've gone operational with the virus release.
[00:06:00.098 --> 00:06:03.380]  Now they've gone operational with the mRNA genetic engineering revolution rollout.
[00:06:05.222 --> 00:06:10.665]  Now they've gone operational with the nanotech in the Pfizer and Moderna shots, both controlled by Gates and his combine.
[00:06:12.586 --> 00:06:28.044]   And so now we're sitting here on the precipice of this In every major Western country saying, you'll be fired, you won't be able to get on an airplane, you won't be able to travel around the world unless you accept a world medical ID controlled by the UN and the Davos Group.
[00:06:30.045 --> 00:06:31.266]  It's not coming, it's here.
[00:06:33.607 --> 00:06:35.368]  Now you think that's bad enough, right?
[00:06:36.868 --> 00:06:39.630]  Well, the Davos Group has officially come out.
