[00:00:00.000 --> 00:00:13.220]   *fart* *outro*
[00:00:13.261 --> 00:00:14.542]  Mainstream media.
[00:00:15.063 --> 00:00:16.184]  Government cover-ups.
[00:00:16.944 --> 00:00:18.446]  You want to stop tyranny?
[00:00:18.666 --> 00:00:19.787]  Well, so does he.
[00:00:20.347 --> 00:00:25.052]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:29.301 --> 00:00:41.273]  The deadly attack killing and injuring Wisconsin children, the elderly, band members and cheerleaders by an SUV during the annual Christmas parade in Wisconsin was the last thing America needed.
[00:00:42.935 --> 00:00:53.124]  Days after the Kyle Rittenhouse acquittal drove the hordes of Marxism back into the streets, the optics of the tragedy were nauseating and infuriating to most Americans.
[00:00:53.404 --> 00:01:03.533]  A single ambulance available in the city of Waukesha was dispatched to the parade scene and they had to bring in ambulances from outside Waukesha.
[00:01:03.953 --> 00:01:09.792]   From the outset, the facts were hard to come by, even as the police held two press briefings
[00:01:09.792 --> 00:01:14.112]   revealing very little about the dead, the injured, the driver and the details.
[00:01:14.112 --> 00:01:16.513]  "The person struck by the officer was fired."
[00:01:16.513 --> 00:01:22.913]   "That's still our investigation of how many are involved at this time. We're still working
[00:01:22.913 --> 00:01:23.873]  those details off."
[00:01:23.873 --> 00:01:30.272]   Immediately, leftist sociopaths began tweeting their twisted opinion of the horrific events.
[00:01:30.456 --> 00:01:41.643]  Some trolling that the driver was acting in self-defense, while others blamed white supremacy, claiming the driver was a white supremacist or was fleeing white supremacy.
[00:01:42.003 --> 00:01:50.389]  Meanwhile, the Mockingbird Media diverted the narrative that was growing into a scenario far more sinister than the events of Charlottesville.
[00:01:50.629 --> 00:01:55.832]  I honestly don't believe that the intent of this driver was to target this specific event.
[00:01:55.992 --> 00:02:03.352]   Otherwise, he or she would have been causing greater harm earlier on throughout.
[00:02:03.352 --> 00:02:10.192]   The video when the SUV came up to the marching band, you could see that he or she tried
[00:02:10.192 --> 00:02:12.951]  to position the vehicle more towards the left.
[00:02:12.951 --> 00:02:20.632]   But again, panic probably set in, hit the accelerator, and we saw that tragic event and those victims, again,
[00:02:20.632 --> 00:02:23.152]  not even know that that vehicle was coming towards them.
[00:02:23.152 --> 00:02:29.512]   So the evidence is pointing more towards this not being a targeted attack on this event itself.
[00:02:29.512 --> 00:02:34.872]   And I think that should calm officials throughout the country that this isn't
[00:02:34.872 --> 00:02:39.831]  some sort of directed attack towards holiday events.
[00:02:39.326 --> 00:02:47.447]  Right, because we know, too, not long after the first update, actually, that we got from officials there on the ground was that there was no ongoing threat.
[00:02:47.868 --> 00:02:55.089]  As eyewitnesses reported seeing a black man driving the SUV that plowed over predominantly white parade revelers.
[00:02:56.329 --> 00:02:59.970]  You know, a white guy walked up and a black guy did it.
[00:03:00.210 --> 00:03:00.630]  Okay.
[00:03:00.650 --> 00:03:02.370]  This is what her daughter said.
[00:03:02.550 --> 00:03:03.570]  Rick, I should inform you.
[00:03:03.590 --> 00:03:07.391]  It was a black guy with dreadlocks by himself.
[00:03:09.378 --> 00:03:10.518]  I don't know if you want to use that.
[00:03:10.958 --> 00:03:18.580]  Okay, well, listen, Rick, I'm not... Listen, hey, I'm a black guy, so I'm not, you know, saying that because I'm, you know, a white guy.
[00:03:18.600 --> 00:03:19.120]  I'm an officer.
[00:03:19.140 --> 00:03:20.701]  I'm not saying black guys did it.
[00:03:20.941 --> 00:03:21.161]  Okay.
[00:03:21.241 --> 00:03:28.603]  While the left's rhetoric that dangerously leads all the way to the White House gradually became suspect in the whole debacle.
[00:03:28.843 --> 00:03:37.505]  But as the police scanner audio leaked info on social media... ...identifying White or Black males, red locks, rapshoots.
[00:03:37.805 --> 00:03:38.445]  Oh, shoot.
[00:03:39.126 --> 00:03:43.126]  The driver turned out to be Milwaukee rapper Math Boy Fly.
[00:03:43.126 --> 00:03:46.126]  They make it hard to breathe like it's George Floyd.
[00:03:46.126 --> 00:03:48.126]  Middle finger the police, let them get me started.
[00:03:48.126 --> 00:03:50.126]  AKA, Darryl Brooks.
[00:03:50.126 --> 00:03:51.126]  [siren]
[00:03:51.126 --> 00:03:58.126]   Blackmail late 30s with a rap sheet of domestic abuse, including a felony for reckless endangerment.
[00:03:58.126 --> 00:04:01.605]  And before the media begins making excuses for Darryl E.
[00:04:01.605 --> 00:04:08.656]   Brooks, claiming that he was fleeing in panic and should not be regarded as a terrorist, numerous videos
[00:04:08.656 --> 00:04:16.125]   reveal that no police were pursuing him except for one on foot after he began driving over people.
