[00:00:04.086 --> 00:00:09.368]  Here we are, right in the center of the fight, live Sunday, December 18, 2022.
[00:00:09.468 --> 00:00:10.728]  I'm your host Alex Jones.
[00:00:10.689 --> 00:00:14.689]  [Music]
[00:00:14.689 --> 00:00:18.689]  InfoWars. Tomorrow's news today.
[00:00:18.689 --> 00:00:24.689]   Here we are, right in the center of the fight, live Sunday, December 18, 2022.
[00:00:24.689 --> 00:00:28.689]   I'm your host Alex Jones. I'll be here for two hours and the great Owen Schroeder comes in
[00:00:28.689 --> 00:00:33.689]   till 8 o'clock tonight for another live two hours on radio and TV stations
[00:00:33.689 --> 00:00:42.689]   and of course streaming out at the vaunted and embattled BattleScarred, InfoWars.com and Bandod Video.
[00:00:42.689 --> 00:00:52.689]  [BLANK_AUDIO]
[00:00:44.477 --> 00:00:47.098]  Well, ladies and gentlemen, let me tell you what's coming up today.
[00:00:47.178 --> 00:01:00.022]  Everything's becoming very, very clear, and folks are really noticing, wow, that InfoWars over the years has really called where the world would be, because we actually study who runs it, what the real plan is, and cut through all the distractions and B.F.
[00:01:00.082 --> 00:01:02.823]  No matter how entertaining it is, we don't focus on it.
[00:01:03.343 --> 00:01:12.826]  Kissinger says it's time for negotiated peace in Ukraine to avoid World War III, says nuclear war is imminent, and that is definitely true.
[00:01:13.681 --> 00:01:15.361]  And definitely a very serious issue.
[00:01:15.821 --> 00:01:20.402]  That's the Omni Budsman of the New World Order saying it needs to stop.
[00:01:20.863 --> 00:01:21.583]  Meanwhile, U.S.
[00:01:21.603 --> 00:01:32.785]  sends infantry unit to base just miles away from Russian border in Estonia and of course is moving tactical nuclear weapons in to the areas as well.
[00:01:33.945 --> 00:01:40.607]  To say that we are flirting with absolute insane disaster is a complete and utter understatement.
[00:01:41.687 --> 00:01:42.468]  We have that.
[00:01:43.069 --> 00:01:45.251]  Then we have Twitter Files Part 6.
[00:01:46.272 --> 00:01:49.275]  The FBI controls and runs Twitter.
[00:01:49.856 --> 00:01:51.858]  Twitter is an FBI subsidiary.
