[00:00:16.650 --> 00:00:17.791]  InfoWars.
[00:00:17.791 --> 00:00:18.972]  Tomorrow's news.
[00:00:18.972 --> 00:00:25.137]  Today.
[00:00:25.137 --> 00:00:29.561]  We are now in the final days, the final hours of the incredibly
[00:00:32.131 --> 00:00:36.053]  Insane year of 2022.
[00:00:36.053 --> 00:00:43.678]  We are now rushing into the year 2023.
[00:00:43.678 --> 00:00:55.724]  The Great Reset and the attempt to have the organized, hoarse depopulation of humans on planet Earth.
[00:00:55.724 --> 00:00:59.907]  As the globalists attempt to complete their quest
[00:01:01.323 --> 00:01:01.663]  We're good.
[00:01:22.150 --> 00:01:26.151]  We took some calls and covered some news, but I was a little bit out of it.
[00:01:26.151 --> 00:01:36.934]  Cedar, that I'm very allergic to, had hit in the last few days, and I had not taken any allergy medication, or my pollen block, and had a pretty big headache on air.
[00:01:36.934 --> 00:01:39.714]  Should have just gone off air, but stayed on air.
[00:01:39.714 --> 00:01:42.495]  We ended up doing a decent show yesterday, but I feel a lot better today.
[00:01:42.495 --> 00:01:49.657]  I might sneeze, but other than that, I am in the saddle, I am focused, I am ready to lay out the enemy's operations.
[00:01:50.979 --> 00:02:02.669]  And I literally have over a hundred articles and videos and documents on Agenda 2030 and its official rollout of locking the cities down and the climate lockdown.
[00:02:02.669 --> 00:02:13.238]  So what I'm going to do is hit some of the national news, the economy news, what's happening with the airlines, the latest on FTX and more.
[00:02:15.171 --> 00:02:16.812]  The latest January 6 information.
[00:02:16.812 --> 00:02:19.833]  I'll do that the first few segments after this.
[00:02:19.833 --> 00:02:32.120]  At the bottom of the hour, I'm going to drill deeply into the operational phase of locking us down inside the towns and cities we live in with total surveillance.
[00:02:33.442 --> 00:02:36.164]  What's now unfolding across the world and how we stop it.
[00:02:36.164 --> 00:02:39.025]  Klaus Schwab bragging about it decades ago.
[00:02:39.025 --> 00:02:48.871]  More and more videos of him are now surfacing how long they've been planning this total takeover of every facet of human civilization to then carry out their endgame of forced depopulation.
[00:02:48.871 --> 00:02:51.773]  But first, I thought I'd play a short clip.
[00:02:51.773 --> 00:02:59.038]  Political activist Chris Sky, who in just two minutes knocks it out of the park, describing these so-called 15-minute cities.
[00:02:59.038 --> 00:02:59.498]  Here it is.
[00:03:01.539 --> 00:03:04.383]  The Great Reset is just moving along so quickly.
[00:03:04.383 --> 00:03:11.332]  The World Economic Forum is now advertising their brand new initiative, 15 Minute Cities.
[00:03:11.332 --> 00:03:12.433]  Oh, what does that mean?
[00:03:12.433 --> 00:03:18.941]  That means everything you're going to need to live, work, survive, is going to be within a 15 minute walk.
[00:03:19.602 --> 00:03:23.063]  Of where you live because you're not going to be able to have a car.
[00:03:23.063 --> 00:03:34.747]  You're not going to have the time or money to go further away from your home and they want you to be confined to that 15 minute area from where you live for virtually your entire life.
[00:03:35.954 --> 00:03:41.836]  I'm going to send you a video about how wonderful this is and I'll send you to the website that explains to you.
[00:03:41.836 --> 00:03:48.458]  They actually have like seven different websites set up to explain all the different aspects of this and how amazing it's going to be for you.
[00:03:48.458 --> 00:04:00.441]  This is literally, literally the You Will Owe Nothing and Be Happy Great Reset where you literally live in a little building and you don't get to leave your building
[00:04:01.161 --> 00:04:03.484]  For 99% of your life.
[00:04:03.484 --> 00:04:07.468]  And you're going to stay on that same block for 99% of your life.
[00:04:07.468 --> 00:04:15.416]  And once they get you like that, international travel, all the things that you used to enjoy, those are going to be a pipe dream.
[00:04:15.416 --> 00:04:19.160]  The little peasants like you, you're not going to be able to enjoy that kind of stuff.
[00:04:19.160 --> 00:04:21.403]  You're going to be living in your 15 minute city.
[00:04:21.963 --> 00:04:31.872]  You're gonna be making no money, you're gonna be riding the bicycle that you're renting from the government, and your life is gonna suck so bad, you're probably gonna wish you were dead.
[00:04:31.872 --> 00:04:41.981]  And you're not gonna be able to say anything about it, because if you talk shit, then they'll just take away the little that you already do have, just like they're doing in China, and you'll be fucked.
[00:04:41.981 --> 00:04:42.141]  So!
[00:04:42.822 --> 00:04:44.003]  Fifteen Minute Cities!
