[00:00:16.494 --> 00:00:17.595]  InfoWars.
[00:00:17.595 --> 00:00:18.796]  Tomorrow's news.
[00:00:18.796 --> 00:00:19.117]  Today.
[00:00:30.409 --> 00:00:38.277]  Another live transmission that gets completely under the skin of the devil-worshipping tyrant seizing control of our planet.
[00:00:38.277 --> 00:00:41.520]  It's Tuesday, February 14th, 2023.
[00:00:41.520 --> 00:00:45.443]  And we're going to have open phones throughout the broadcast again today.
[00:00:48.300 --> 00:00:51.281]  Wow, the world is really waking up.
[00:00:51.281 --> 00:00:56.883]  Without even looking, I've seen a bunch of big comedians on national television.
[00:00:56.883 --> 00:01:02.326]  Edward Snowden, the former big NSA whistleblower, he's gone public.
[00:01:02.326 --> 00:01:03.426]  Cy Hersh has come out.
[00:01:03.426 --> 00:01:07.568]  And they're all saying what we all know.
[00:01:07.568 --> 00:01:15.811]  This UFO hysteria is 100% a distraction from the entire agenda of the New World Order falling apart in front of our faces.
[00:01:16.906 --> 00:01:19.348]  The Nord Stream being blown up.
[00:01:19.348 --> 00:01:22.952]  All the Epstein files starting to come out.
[00:01:22.952 --> 00:01:32.641]  The open borders, the imploding economy, inflation exploding in its acceleration upward yet again.
[00:01:32.641 --> 00:01:36.485]  The expanding war in Ukraine.
[00:01:36.485 --> 00:01:39.168]  All of it is nothing but a distraction.
[00:01:40.495 --> 00:01:43.258]  A much bigger distraction than the Super Bowl was.
[00:01:43.258 --> 00:01:51.465]  Super Bowl hit six-year audience high with 113 million viewers on Fox alone.
[00:01:51.465 --> 00:01:55.829]  And what position are we in now?
[00:01:55.829 --> 00:02:00.874]  A better position or a worse position watching the bread and circuses
[00:02:02.489 --> 00:02:05.272]  Meanwhile, two more trains derail across the U.S.
[00:02:05.272 --> 00:02:07.294]  after Ohio catastrophe.
[00:02:07.294 --> 00:02:08.915]  Harrison Smith's going to be popping in.
[00:02:08.915 --> 00:02:13.880]  He's been doing a great job weekday mornings with American Journal 8 to 11 a.m.
[00:02:13.880 --> 00:02:16.263]  Central, really focusing in on it.
[00:02:16.263 --> 00:02:18.285]  I've done some research into it as well.
[00:02:18.285 --> 00:02:19.406]  You know, it's bizarre.
[00:02:19.406 --> 00:02:20.727]  A few years ago, they shot a movie.
[00:02:21.568 --> 00:02:21.768]  I think?
[00:02:41.661 --> 00:02:44.603]  Huge news on the emerging viruses front.
[00:02:44.603 --> 00:02:53.791]  Bird flu may mutate to kill more than 50% of humans who catch it as a result of unprecedented outbreaks sweeping mammals, experts fear.
[00:02:53.791 --> 00:02:56.513]  Of course, the UN's been warning of that being imminent.
[00:02:56.513 --> 00:02:59.075]  And remember, they're a bunch of depopulationists.
[00:02:59.075 --> 00:03:04.219]  Yahoo News, USC Today, they're all reporting, little by little, they're winning.
[00:03:04.219 --> 00:03:06.221]  Tide turns in key Ukraine.
[00:03:06.221 --> 00:03:09.504]  City updates as Russian offensive begins.
[00:03:10.725 --> 00:03:26.941]  We're also going to look at the trend, happening more and more, of governments openly spying without warrants on populations with hidden cameras and microphones, including in light poles and other infrastructure.
[00:03:28.404 --> 00:03:30.665]  I already mentioned this, but here's some of the headlines on that front.
[00:03:30.665 --> 00:03:34.746]  Biden economy inflation up 6.4 on top of what it was a year ago.
[00:03:34.746 --> 00:03:38.587]  Higher than expected household budget stressed, strained and broken.
[00:03:38.587 --> 00:03:40.028]  Well, that's the plan.
[00:03:40.028 --> 00:03:51.692]  And if you think you're going to live in an underground cash economy and survive and buy that baby food, think again, ladies and gentlemen, 87 new IRS agents to target the working class.
[00:03:51.692 --> 00:03:55.553]  Rhode Island bill would make it possible for illegal immigrants to vote.
[00:03:56.601 --> 00:04:03.145]  The Senate has now secured $10 million in funding from the legislature to ship illegal aliens to the sanctuary cities.
[00:04:03.145 --> 00:04:09.688]  And the New York mayor is now being criticized by Canada because he's shipping the illegal aliens to Canada.
[00:04:09.688 --> 00:04:13.050]  So it's just ship them all around while the U.N.
[00:04:13.050 --> 00:04:14.931]  ships them into our country.
[00:04:14.931 --> 00:04:19.454]  Why don't we talk about the source of the problem instead of moving these people around all over the place?
[00:04:20.054 --> 00:04:26.719]  We're economic and cultural refugees from the policies of the lockdowns and the New World Order.
[00:04:26.719 --> 00:04:34.666]  That is just some of what we are going to cover on this big broadcast today as we go in through and beyond.
[00:04:35.908 --> 00:04:37.269]  Infowars.com.
[00:04:37.269 --> 00:04:38.389]  Tomorrow's news today.
[00:04:38.389 --> 00:04:42.231]  The coordinates of the resistance are at man.video.
[00:04:42.231 --> 00:04:43.852]  Newswars.com.
[00:04:43.852 --> 00:04:48.014]  Infowars.com and conspiracyfact.info.
[00:04:48.014 --> 00:04:52.076]  We'll be right back, ladies and gentlemen, on the other side.
[00:04:52.076 --> 00:04:53.737]  Open phones and more.
[00:04:53.737 --> 00:04:54.237]  Stay with us.
[00:05:01.826 --> 00:05:04.967]  I talk a lot about the great successes InfoWars has had.
[00:05:04.967 --> 00:05:07.247]  I don't think anybody can deny it.
[00:05:07.247 --> 00:05:11.188]  And it is because of listeners and viewers supporting us.
[00:05:11.188 --> 00:05:20.111]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[00:05:20.111 --> 00:05:27.013]  And we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week.
[00:05:27.013 --> 00:05:27.913]  It's really just incredible.
[00:05:28.934 --> 00:05:32.575]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:05:32.575 --> 00:05:38.357]  I want to encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:05:38.357 --> 00:05:41.397]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[00:05:41.397 --> 00:05:50.320]  But most viewers and listeners never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, all at the same time keeping us on air.
[00:05:50.320 --> 00:05:53.901]  I know that less than 1% of our listeners actually go buy products at InfoWarsStore.com.
[00:05:54.601 --> 00:05:59.585]  If just 1% more of you took action and went to Infowars.com, our funding problems will be over.
[00:05:59.585 --> 00:06:03.087]  Please take action now.
[00:06:03.087 --> 00:06:04.788]  Big Brother.
[00:06:04.788 --> 00:06:07.130]  Mainstream media.
[00:06:07.130 --> 00:06:08.911]  Government cover-ups.
[00:06:08.911 --> 00:06:10.992]  You want to stop tyranny?
[00:06:10.992 --> 00:06:13.134]  Well, so does he.
[00:06:13.134 --> 00:06:17.837]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:35.179 --> 00:06:57.088]  The powerful combine of major corporations working their governments and media to control and dumb down and dispossess the public would be best described as magicians or con artists, sleight of hand, smoke and mirror, carnival barkers.
[00:06:57.088 --> 00:06:57.768]  When the world
[00:06:59.093 --> 00:07:00.334]  is awakening.
[00:07:00.334 --> 00:07:02.314]  We have two different futures.
[00:07:02.314 --> 00:07:06.216]  The great reset or the great awakening.
[00:07:06.216 --> 00:07:12.719]  Snowden says UFO hysteria is engineered distraction from Nord Stream Pipeline bombshell.
[00:07:13.564 --> 00:07:16.525]  Yes, that's what we said last week.
[00:07:16.525 --> 00:07:22.207]  And Pulitzer Prize winner Cy Hirsch has come out and said the same thing.
