[00:00:00.129 --> 00:00:01.929]  It's Alex Jones.
[00:00:01.929 --> 00:00:22.848]   This strategy includes over 100 bold and unprecedented actions that government
[00:00:22.848 --> 00:00:25.168]  agencies are going to take to counter anti-Semitism.
[00:00:25.978 --> 00:00:32.920]   And that includes calls for action for Congress, state and local governments, companies, technology platforms, civil society, and faith
[00:00:32.920 --> 00:00:35.691]  leaders, all of them to act. Act.
[00:00:35.691 --> 00:00:36.892]  Silence is complicity.
[00:00:36.892 --> 00:00:47.451]   America sits quietly as the tyrannical New World Order injustice system throws
[00:00:47.451 --> 00:00:53.212]   patriots behind prison walls for merely expressing their natural-born rights.
[00:00:53.212 --> 00:00:55.532]  Stuart Rhodes learns his fate finally.
[00:00:55.709 --> 00:01:02.533]  In the longest sentence yet related to the Capitol riot, Rhodes has been ordered to spend 18 years in a federal prison.
[00:01:02.833 --> 00:01:15.619]  A good hard look at where we are and what has been done to, not just us, but other people that's going to continue to be done in the name of stopping the insurrection against the entire MAGA movement.
[00:01:15.759 --> 00:01:27.603]   They call us all insurrectionists, all those To be radicalized in Joe Biden's America is to demand an end to his corruption and fraud.
[00:01:27.623 --> 00:01:33.065]  There have been many developments in the House investigations into the First Family's international business dealings recently.
[00:01:33.765 --> 00:01:37.487]  There's one committee trying to get an FBI file alleging that President Biden took bribes.
[00:01:37.547 --> 00:01:41.529]  There's another IRS whistleblower who's alleging there's a cover-up in the investigation.
[00:01:41.589 --> 00:01:49.293]   There was a Harvard-Harris poll this month that found that 53% of the public, including a fourth of Democrats, believe, quote, Let's go.
[00:01:49.112 --> 00:01:54.112]   Biden was involved with his son in an illegal influence peddling scheme.
[00:01:54.112 --> 00:01:58.031]   So what do you say to the majority of Americans who believe that the president is himself
[00:01:58.031 --> 00:01:59.031]  corrupt?
[00:01:59.031 --> 00:02:00.031]  Let's go.
[00:02:00.031 --> 00:02:01.031]  Let's go.
[00:02:01.031 --> 00:02:09.533]   So the flames are fanned by propagandists like Michael Jensen, senior researcher at
[00:02:09.533 --> 00:02:14.752]   the National Consortium for the Study of Terrorism and Responses to Terrorism at the University
[00:02:14.752 --> 00:02:20.073]   of Maryland, and the leader of the Profiles of Individual Radicalization in the U.S.
[00:02:20.073 --> 00:02:23.953]  project known as PURIS, a database tracking how U.S.
[00:02:24.105 --> 00:02:26.046]  extremists can be radicalized.
[00:02:26.286 --> 00:02:31.567]  Jensen claims that, according to his data, 90% of the cases of U.S.
[00:02:31.627 --> 00:02:33.728]  terrorists are classed as domestic.
[00:02:34.048 --> 00:02:38.489]  Of those domestic extremists, 95% are far-right.
[00:02:38.869 --> 00:02:45.990]  Jensen lists them as white supremacists, Proud Boys, anti-immigrant groups, and anti-government groups.
[00:02:46.430 --> 00:02:55.412]  It's as if the multi-million dollar, country-wide, Antifa and BLM carnage resulting from the George Floyd PSYOP never happened.
[00:02:59.840 --> 00:03:04.144]  Federal agents forced them to the west, but they soon returned around 1130 p.m.
[00:03:04.244 --> 00:03:09.890]  That's when agents again tried to push back the crowd with tear gas and pepper bullets.
[00:03:10.450 --> 00:03:17.437]  About an hour later, around 1230, protesters again showed up on the west side of the federal courthouse.
[00:03:17.861 --> 00:03:21.164]  This time trying to set a fire to the outside of the building.
[00:03:21.544 --> 00:03:25.648]  Investigators want to talk to them about the murder of retired police captain David Dorn.
[00:03:25.748 --> 00:03:26.989]  This man will never speak a lie today.
[00:03:27.209 --> 00:03:30.212]  Cannon was convicted of six charges including first-degree murder.
[00:03:30.612 --> 00:03:34.695]  Dorn was shot and killed while responding to a burglar alarm at a friend's business in North St.
[00:03:34.736 --> 00:03:35.096]  Louis.
[00:03:35.436 --> 00:03:40.941]  Dorn confronted looters who had broken into the store during a protest of George Floyd's death in Minneapolis.
[00:03:41.201 --> 00:03:51.768]  But of course, it is actually Biden's Marxist minions that are radicalized, protected by Democrat extremists, and continuing to openly wage domestic terrorism.
[00:03:51.988 --> 00:04:03.636]  As Jamie White reports, a Utah target was evacuated after multiple store locations received bomb threats from LGBTQ advocates, according to reports.
[00:04:03.936 --> 00:04:18.583]  The threats appear to have been made by trans extremists triggered over Target's decision to pull LGBTQ merchandise and sever ties with a satanic trans artist following massive public backlash.
[00:04:19.323 --> 00:04:35.510]   I started noticing that there was an influx of videos being made by members of the Christian right in the United States who were taking pictures from my Instagram and from my web store Um, and claiming that that was being launched in Target.
[00:04:36.391 --> 00:04:38.552]  They were taking work like Satan Respects Pronouns.
[00:04:38.952 --> 00:04:44.474]  The person who sent us this threat said that Target turned its back on the LGBT community.
[00:04:44.954 --> 00:04:49.656]  A little before 12.30 Friday afternoon, 19 News received this email.
[00:04:49.936 --> 00:04:58.540]  The sender claimed they placed a bomb in the Target in Stowe, a Target in Jackson Township, two Targets in the Mahoning Valley, and one in Pennsylvania.
[00:04:58.860 --> 00:04:59.521]  Joe Biden.
[00:04:59.862 --> 00:05:05.032]  Americans defending their constitutional rights is at the heart of being an American.
[00:05:05.293 --> 00:05:08.118]  There is a limit to how far this can be tested.
[00:05:08.259 --> 00:05:09.698]  John Bowne reporting.
[00:05:09.698 --> 00:05:26.699]  [Music]
[00:05:26.699 --> 00:05:31.699]  InfoWars, the most banned network in the world.
[00:05:31.699 --> 00:05:41.698]  [BLANK_AUDIO]
[00:05:35.403 --> 00:05:46.151]  It's Sunday, June 4th, 2023.
[00:05:48.795 --> 00:05:56.181]  I'm your host, Alex Jones, very honored and blessed to be sitting here in the Austin studios of InfoWars on this live Sunday broadcast.
[00:05:57.182 --> 00:06:05.549]  All right, Kent Heckin-Lively, an incredible author and scientist researcher, will be joining us in studio coming up in about 30 minutes.
[00:06:07.151 --> 00:06:15.178]  We're then going to have, riding shotgun with him, Dr. Judy Majkovic in studio as well.
[00:06:16.377 --> 00:06:23.841]  And they were both here in town, along with a lot of other amazing individuals, for the premiere of The Great Awakening.
[00:06:23.861 --> 00:06:29.264]  A film by Mickey Willis that is excellent.
[00:06:29.284 --> 00:06:39.450]  He's already made some incredible films that helped break the back of the globalists, but this one is even more powerful, exposing their authoritarian endgame goal and how we can, must, and will stop them.
[00:06:40.754 --> 00:06:43.575]  I have a book coming out with the same title, The Great Awakening.
[00:06:43.595 --> 00:06:47.958]  A lot of people have asked me why I've been talking about The Great Awakening for 20 plus years on air.
[00:06:47.998 --> 00:06:51.619]  Well, that's because I've been talking about the New Renaissance for 20 plus years.
[00:06:51.659 --> 00:06:53.941]  And there have been hundreds of what they call Great Awakenings.
[00:06:54.401 --> 00:06:57.161]   But in the Renaissance tradition, it started right after the invention
[00:06:57.161 --> 00:07:00.761]   of the Gutenberg Press, so that we could have actual dissemination
[00:07:00.761 --> 00:07:03.121]  of the Bible to a larger population.
[00:07:03.121 --> 00:07:05.920]  And that caused the entire Protestant movement out of that.
[00:07:05.920 --> 00:07:10.079]   But the Great Awakening is bigger than just the Christian awakening,
[00:07:10.079 --> 00:07:11.280]  though that's the heart of it.
[00:07:11.280 --> 00:07:14.321]   It was about the awakening in science and the awakening in literature
[00:07:14.321 --> 00:07:17.721]   and the awakening in art and the awakening of free speech
[00:07:17.721 --> 00:07:19.961]  and not being put in jail for what you said.
[00:07:19.961 --> 00:07:24.439]   That started in Europe about 500 years ago, not in the United States.
[00:07:24.439 --> 00:07:29.040]   We were the latter flower of the Renaissance and the Industrial Revolution
[00:07:29.040 --> 00:07:31.181]  that the free and open society created.
[00:07:31.181 --> 00:07:36.080]   So we've said for years, the counter to the Great Reset is.
[00:07:36.045 --> 00:07:37.626]  Is the Great Awakening.
[00:07:38.066 --> 00:07:41.167]  And you, my friends, are that Great Awakening.
[00:07:41.207 --> 00:07:50.131]  So we'll talk about what the Great Awakening means versus the globalist Great Reset with Kent Heckin-Lively coming up in studio here now in about 25 minutes.
[00:07:50.171 --> 00:07:54.153]  Then Dr. Mijkovic will be joining us throughout the second hour.
[00:07:55.194 --> 00:07:57.755]  And then in the third and fourth hour tonight, I'll introduce it.
[00:07:58.755 --> 00:08:03.978]  We're going to air this new film, The Great Awakening.
[00:08:05.134 --> 00:08:05.614]  Pandemic 3.
[00:08:05.715 --> 00:08:10.079]  We're going to be airing what I think is the best of the films he's made on the subject.
[00:08:10.119 --> 00:08:10.819]  Those are excellent.
[00:08:11.440 --> 00:08:11.780]  Tonight.
[00:08:13.161 --> 00:08:13.902]  Tonight here.
[00:08:13.982 --> 00:08:20.348]  Now we also have links to it where you can get it at InfoWars.com for free on the HiWire site, on Mickey Willis' site.
[00:08:20.929 --> 00:08:26.454]  But we're going to be streaming it out here tonight to a lot of TV stations and a lot of radio stations and of course to our audience.
[00:08:26.854 --> 00:08:30.818]  But right at the top of the page we have big links to go over to the HiWire and find it there.
[00:08:31.843 --> 00:08:42.432]  And the amazing work of Del Bigtree, who helped get this done and who was doing a fabulous job as well, because it's not just the scientists and doctors, the general public that have broken the back of the New World Order's biggest attack plan.
[00:08:42.852 --> 00:08:52.380]  It's been people like Mickey Willis and Kent Heckin-Lively and Tucker Carlson and Joe Rogan and just so many others, folks like Del Bigtree.
[00:08:53.200 --> 00:09:04.952]   And make no mistake, This next pandemic's coming, and if we don't get on the offense exposing the globalists, they may be able to completely take over and put us under permanent lockdown.
[00:09:05.833 --> 00:09:11.637]  So find the entire Great Awakening film for free and share it and spread it right now on InfoWars.com.
[00:09:12.678 --> 00:09:18.462]  We'll be streaming it coming up tonight with some of my commentary and more, so definitely look forward to that.
[00:09:18.542 --> 00:09:21.945]  But the coordinates to Liberty are InfoWars.com and Band.video.
[00:09:23.926 --> 00:09:26.687]   Also, I must have been hiding under a rock.
[00:09:27.447 --> 00:09:41.253]  I didn't know that back in, I guess it was April, Neil deGrasse Tyson, the so-called scientist, the guy's very funny, fun to listen to, a likable guy, but he's a total cult leader of the globalists.
[00:09:41.454 --> 00:09:42.314]  You couldn't be worse.
[00:09:43.134 --> 00:09:50.158]  He says science is doing what the consensus says and following what the big corporations say, when science is about always questioning.
[00:09:51.098 --> 00:10:00.534]   And he went on to say that, in a debate with Tell Big Tree that I didn't even know it happened months ago, even though it went viral.
[00:10:00.574 --> 00:10:02.515]  I missed that one until I saw the film.
[00:10:02.575 --> 00:10:06.457]  And it's part of the film and part of the intro as well.
[00:10:07.898 --> 00:10:11.220]  And he says, no, we don't listen to all these procedure scientists.
[00:10:11.240 --> 00:10:12.260]  We listen to the consensus.
[00:10:12.320 --> 00:10:17.523]  No, science is about challenging and not having, quote, a consensus of two men can have a baby.
[00:10:18.504 --> 00:10:20.407]  And X and Y chromosomes don't exist.
[00:10:20.587 --> 00:10:22.550]  That's what they teach now in U.S.
[00:10:22.950 --> 00:10:26.716]  and European colleges, that X and Y chromosomes do not exist.
[00:10:27.096 --> 00:10:31.362]  From the age of science, they're telling you that chromosomes don't exist.
[00:10:32.469 --> 00:10:34.972]  This is absolutely savage brainwashing.
[00:10:35.732 --> 00:10:40.377]  And if you understand the tactic he used, he kept saying, science, science, science, science, science.
[00:10:40.718 --> 00:10:41.639]  I don't look at your facts.
[00:10:42.159 --> 00:10:43.281]  I only go with the consensus.
[00:10:43.481 --> 00:10:44.442]  Well, there is no consensus.
[00:10:44.502 --> 00:10:46.904]  It was a corporate force feeding operation.
[00:10:46.944 --> 00:10:52.811]  So I'm going to play, it's a long debate, but I'm going to play five key minutes of it with Dr. Judy.
[00:10:54.659 --> 00:10:59.521]  Michael, it's coming up in the second hour today and get her take on that.
[00:10:59.821 --> 00:11:01.882]  Just absolutely, absolutely brutal.
[00:11:02.343 --> 00:11:04.524]  Obviously, we have a lot of big news here.
[00:11:05.004 --> 00:11:05.724]  Oh boy, do we.
[00:11:06.184 --> 00:11:07.865]  And each one of these stacks is absolutely key.
[00:11:07.885 --> 00:11:14.808]  I'm going to bring these up with our guests as well because we're not just going to focus on the poison shots and on the next rollout of the next plague they're preparing to release.
[00:11:14.848 --> 00:11:17.190]  Instead of preparing to release, we're going to spend a lot of time on that.
[00:11:17.210 --> 00:11:22.052]  We're also going to spend a lot of time on the other angles and arms of this.
[00:11:23.595 --> 00:11:43.243]  We're going to be looking at the Biden administration is officially asking the UN to come in and sanction the United States for reparations, saying that America was founded on slavery and is inherently evil, and that the UN should come in and help administer $5 million of US taxpayer money to every black person.
[00:11:44.363 --> 00:11:45.944]  Now, obviously, it's about a UN takeover.
[00:11:46.885 --> 00:11:48.225]  How would you ever have a UN takeover?
[00:11:48.245 --> 00:11:50.206]  We'll have them take over the medical system and have a UN treaty.
[00:11:51.385 --> 00:11:52.147]  And be your savior.
[00:11:52.267 --> 00:11:54.893]  And, oh, we're going to give all the brown people free money.
[00:11:55.294 --> 00:12:01.228]  Are they going to go to China and get reparations for the 3 million Muslim Uighur slaves in Western China?
[00:12:01.388 --> 00:12:01.528]  No.
[00:12:03.473 --> 00:12:06.135]  And if you bring it up on a basketball court, they'll kick you off.
[00:12:06.595 --> 00:12:07.555]  Like you've seen with the NBA.
[00:12:08.036 --> 00:12:08.456]  No, no, no, no.
[00:12:09.116 --> 00:12:15.260]  It's all about America being bad and this carrot being dangled of, go along with the UN, go along with the world government, and it's going to give you reparations.
[00:12:15.540 --> 00:12:23.005]  It's the UN building the refugee centers after they ran the lockdowns worldwide that starved over 50 million people in the last three and a half years to death.
[00:12:24.726 --> 00:12:26.106]  They're murdering people en masse.
[00:12:27.567 --> 00:12:30.209]  Paramilitary UN troops are slaughtering people all over the world.
[00:12:31.178 --> 00:12:35.600]  You know, you watch a movie like Black Adam with The Rock, and most of those movies are unwatchable.
[00:12:35.620 --> 00:12:36.360]  They're super cheesy.
[00:12:36.400 --> 00:12:38.641]  I can't stand the whole Marvel comic universe.
[00:12:38.681 --> 00:12:45.223]  But I was on an airplane flying back to the United States from the United States, from Hawaii, Friday.
[00:12:45.763 --> 00:12:49.705]  And I said, let me just watch this show because I want to see the propaganda in it.
[00:12:49.965 --> 00:12:55.487]  And it was all about evil British white mercenaries enslaving a mythical African country.
[00:12:56.147 --> 00:13:01.829]  That has this magical element in it, similar to Black Panther and Wakanda.
[00:13:03.249 --> 00:13:04.789]  And I'm sitting there watching the mercenaries.
[00:13:05.149 --> 00:13:06.810]  You know who the mercenaries work for.
[00:13:08.450 --> 00:13:16.633]  They work for really one of four or five groups, but it's the UN's the main group that has mercenaries slaughtering and enslaving, just like the movie, literally.
[00:13:17.973 --> 00:13:20.234]  And then there's China, is the next biggest.
[00:13:20.654 --> 00:13:25.235]  And then there's an Anglo-American-Dutch contingent that's kind of in this movie that's real.
[00:13:26.704 --> 00:13:27.764]  And then there's the United States.
[00:13:29.045 --> 00:13:32.266]  Comes in with mercenaries and kills people en masse and takes their land.
[00:13:32.486 --> 00:13:34.666]  I mean, it's been in the UN articles.
[00:13:34.686 --> 00:13:35.106]  They admit it.
[00:13:35.726 --> 00:13:44.249]  I read a New York Times article like 10 years ago where it was talking about, well, to create carbon offsets for carbon, you know, for mining in this area of Central Africa.
[00:13:45.309 --> 00:13:51.371]  The UN came in with tanks and helicopters and the locals resisted being pushed off their land.
[00:13:51.431 --> 00:13:55.852]  So the UN-backed mercenaries killed 10,000 of them last month.
