[00:00:04.495 --> 00:00:05.203]  Yeah.
[00:00:16.014 --> 00:00:19.035]  InfoWars, tomorrow's news today.
[00:00:19.035 --> 00:00:32.998]  In my first book, The Great Reset and the War for the World, I gave you a full analysis of the global elite's international conspiracy to enslave humanity and all life on the planet.
[00:00:32.998 --> 00:00:38.819]  The Great Reset is a planned attempt to redistribute all the world's wealth and power into the hands of banks,
[00:00:39.759 --> 00:00:44.161]  Corporations, billionaires, and the World Economic Forum.
[00:00:44.161 --> 00:00:51.203]  The only way this corporate fascist conspiracy can succeed is if the people of the world are not aware of it.
[00:00:51.203 --> 00:00:55.485]  For years, we've been laying out their sinister blueprint on Infowars.
[00:00:55.485 --> 00:01:07.709]  What we are witnessing is nothing less than the failed plans of social Darwinists to capture free market capitalism and turn it toward their fascist aims of controlling and depopulating the globe.
[00:01:08.389 --> 00:01:23.316]  Because of the tremendous success of the first book, which received tens of thousands of orders before it was even released, we're releasing a second book, The Great Awakening, defeating the globalists and launching the next great renaissance.
[00:01:23.316 --> 00:01:25.297]  The people the globalists fear the most
[00:01:25.937 --> 00:01:32.363]  Are the members of their own systems of control who wake up and then decide to act against the machine.
[00:01:32.363 --> 00:01:37.147]  The globalists believe they've planned for every possible contingency.
[00:01:37.147 --> 00:01:43.092]  They hadn't counted on the conscience and love of truth, which lives in the souls of good people.
[00:01:43.092 --> 00:01:48.177]  Order the Great Awakening now to support Infowars and defeat the globalists.
[00:01:48.797 --> 00:01:50.658]  The Alex Jones Show.
[00:01:50.658 --> 00:01:52.959]  There is a war on, for your mind.
[00:01:52.959 --> 00:01:56.701]  I mean, I'm not even worthy to be bringing you information this powerful.
[00:01:56.701 --> 00:02:01.564]  And I hope that you pay attention to what we cover here, minute by minute.
[00:02:01.564 --> 00:02:05.846]  Because I've had chills, uh, since last night.
[00:02:05.846 --> 00:02:08.608]  This just confirms everything else we've already researched.
[00:02:10.868 --> 00:02:21.833]  A Rockefeller study envisions future dictatorship controlled by elite, millions being killed, mandatory quarantines, checkpoints, the end of the family, everything that's in the other documents.
[00:02:21.833 --> 00:02:27.896]  But this dovetails with all the other Rockefeller Foundation documents about the GMO food to sterilize you and the forced vaccines.
[00:02:28.596 --> 00:02:34.641]  The hell we're already living in that's just going to continue to intensify until we take our governments back from these eugenics madmen.
[00:02:34.641 --> 00:02:37.403]  But that story is up on PrisonPlanet.com.
[00:02:37.403 --> 00:02:40.745]  The question is, will you have the courage to really do the research yourself?
[00:02:40.745 --> 00:02:43.928]  Because I don't want you to just sit here and hear me make these claims.
[00:02:44.668 --> 00:02:56.560]  These people are so arrogant that they write policy papers, so many of them, that they're producing these policy papers and reports and white papers so fast that you could never read them all.
[00:02:56.560 --> 00:02:59.943]  It is an open conspiracy against you and your family.
[00:02:59.943 --> 00:03:04.467]  I pray to God, I pray to my Heavenly Father Jesus Christ every night to give me the strength
[00:03:05.288 --> 00:03:18.835]  And the will to be able to face this horror and to give me the strength to carry on because I know why a lot of you don't want to look at this information and just want to comment on the YouTube videos or on message boards that I'm a liar.
[00:03:18.835 --> 00:03:19.815]  I know why.
[00:03:19.815 --> 00:03:25.358]  Because it's scary.
[00:03:25.358 --> 00:03:29.740]  You're not going to be able to go to the ball games anymore.
[00:03:29.740 --> 00:03:32.101]  You're not going to be able to just go out and get drunk with your friends.
[00:03:32.101 --> 00:03:33.062]  You're not going to be able to just
[00:03:34.582 --> 00:03:37.805]  You know, go out and enjoy yourself all the time.
[00:03:37.805 --> 00:04:00.965]  The only chance we've got of beating this scientific dictatorship, this creeping death that takes its time to incrementally enslave you, mentally, psychologically, physically, spiritually, the only way to defeat it is for the rank and file of this planet to realize that you have a choice to make on what your destiny is going to be.
[00:04:02.600 --> 00:04:08.106]  Once you face this information, once you've consciously admitted it to yourself, it will take over your life.
[00:04:08.106 --> 00:04:10.208]  It should take over your life.
[00:04:10.208 --> 00:04:11.629]  I mean, what else?
[00:04:11.629 --> 00:04:14.892]  What else could it do?
[00:04:14.892 --> 00:04:25.243]  We've got to get past the artificial stigma that the controlled corporate media has been putting out for decades, ahead of their open... of unveiling of planetary dictatorship.
[00:04:26.943 --> 00:04:30.344]  They all talk about how we need a police state to carry this out.
[00:04:30.344 --> 00:04:38.326]  Canada and the United States are going to work in lockstep to display the seriousness of our commitment at both home and abroad.
[00:04:38.326 --> 00:04:43.067]  Win, lose, or draw, you need to choose a side.
[00:04:43.067 --> 00:04:46.648]  We interrupt our program to bring you this important message.
[00:04:46.648 --> 00:04:52.049]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:05:00.205 --> 00:05:06.146]  Separately, we got some really, really, really, really, really, really, really, really, really, really, really good news.
[00:05:06.146 --> 00:05:11.347]  Because it's a great product you love, and people want it, and it funds our operation of 360WIN.
[00:05:11.347 --> 00:05:13.687]  Body's ultimate turmeric formula.
[00:05:13.687 --> 00:05:15.788]  The strongest you're going to find anywhere.
[00:05:15.788 --> 00:05:22.689]  Jam-packed, a big ol' giant bottle of stuff that destroys inflammation, that empowers your neurological system.
[00:05:22.689 --> 00:05:23.189]  You name it.
