[00:00:00.089 --> 00:00:01.170]  It's now mainstream news.
[00:00:01.230 --> 00:00:03.091]  Google has always been CIA.
[00:00:03.611 --> 00:00:04.992]  Set up by In-Q-Tel.
[00:00:05.933 --> 00:00:07.454]  IBM is a government front.
[00:00:07.854 --> 00:00:09.074]  Even pre-OSS.
[00:00:09.795 --> 00:00:11.336]  Microsoft is a government front.
[00:00:11.916 --> 00:00:16.639]  All these major corporations, the Fortune 100, are government fronts.
[00:00:16.999 --> 00:00:18.220]  Just like Hughes.
[00:00:19.901 --> 00:00:23.043]  Space and Aeronautics, it later came out, was a complete government front.
[00:00:23.603 --> 00:00:26.165]  It's all a government front.
[00:00:30.382 --> 00:00:33.624]  Michigan considers law to licensed journalist.
[00:00:34.484 --> 00:00:37.386]  This is in the Associated Press, Reuters, and Fox News.
[00:00:37.826 --> 00:00:40.948]  And what's scary is the media is reporting it like it's reasonable.
[00:00:41.809 --> 00:00:45.431]  And other states are moving as well to where I won't be able to be on the air.
[00:00:45.551 --> 00:00:47.132]  Now I have to have a government license.
[00:00:47.712 --> 00:00:48.813]  They have to approve.
[00:00:49.113 --> 00:00:55.237]  And that's what the New York Times and also many members of the White House, Obama czars, are saying.
[00:00:55.697 --> 00:00:56.738]  You have to be vetted.
[00:00:57.699 --> 00:01:06.784]  We have to decide, or we're going to put messages up on your website, government pop-ups, that say stuff isn't true, or that directs you to government or other media.
[00:01:07.765 --> 00:01:09.085]  Of course, that was in the news last week.
[00:01:09.305 --> 00:01:10.966]  We're kicking their hind ends.
[00:01:11.507 --> 00:01:15.729]  They are going to try this, so you better enjoy the internet while it's here.
[00:01:16.673 --> 00:01:29.500]  A new Chrome extension called NewsGuard claims to restore trust and accountability by telling you what websites are lying to you and which ones are telling the truth.
[00:01:30.828 --> 00:01:46.496]  They provide a NewsGuard shield displayed in the top of your Chrome browser that signals green if a website is trying to get it right, and red if it has an agenda or knowingly publishes falsehoods or propaganda.
[00:01:47.196 --> 00:01:54.780]  Interestingly enough, the NewsGuard shield shows red on every website that questions the establishment narrative.
[00:01:55.660 --> 00:02:00.505]  And shows green on every website that supports the establishment narrative.
[00:02:01.446 --> 00:02:12.278]  For example, establishment news site Forbes praises NewsGuard, saying, NewsGuard gets a leg up in the war on real fake news.
[00:02:13.239 --> 00:02:16.523]  And Forbes gets a green shield from NewsGuard.
[00:02:18.519 --> 00:02:25.984]  RT, a website that often questions the establishment narrative, posts an article that is critical of NewsGuard.
[00:02:27.104 --> 00:02:30.426]  And RT gets a red shield from NewsGuard.
[00:02:31.747 --> 00:02:42.674]  This is so extreme, so naked in its tyranny and its illegality, that it boggles the mind that this is being done out in the open.
