[00:00:05.695 --> 00:00:06.315]  Big Brother.
[00:00:07.015 --> 00:00:08.056]  Mainstream media.
[00:00:08.776 --> 00:00:09.916]  Government cover-ups.
[00:00:10.516 --> 00:00:11.357]  You want answers?
[00:00:12.117 --> 00:00:14.017]  Well, so does he.
[00:00:14.037 --> 00:00:17.338]  He's Alex Jones on the GCN Radio Network.
[00:00:17.858 --> 00:00:21.919]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.414 --> 00:00:34.755]  Welcome, ladies and gentlemen.
[00:00:34.795 --> 00:00:35.915]  Thank you for joining us.
[00:00:36.115 --> 00:00:39.217]  It is Wednesday, the second day of March 2005.
[00:00:39.857 --> 00:00:41.417]  I'm Alex Jones, your host.
[00:00:41.918 --> 00:00:43.718]  We'll be live for the next three hours.
[00:00:43.758 --> 00:00:58.804]  We have a preeminent expert on nanotechnology revolution and how it will change our societal systems forever in the next ten years, coming up in the next hour.
[00:00:59.833 --> 00:01:12.357]  And then I came across an article on PrisonPlanet.com today that was already about five days old from the Globe and Mail, mainstream newspaper out of Toronto, Canada.
[00:01:13.398 --> 00:01:24.902]  Hunter Thompson was working on WTC Collapse Story before mysterious sudden death, warned he'd be suicided and told a writer
[00:01:25.754 --> 00:01:35.119]  for the Toronto Globe and Mail this over the phone the night before he died and that was in the Globe and Mail.
[00:01:36.940 --> 00:01:38.701]  Very, very interesting.
[00:01:40.622 --> 00:01:42.262]  Hunter S. Thompson.
[00:01:44.464 --> 00:01:46.625]  Also, rein in the Patriot Act.
[00:01:47.025 --> 00:01:48.325]  Some legislators urge
[00:01:49.867 --> 00:01:54.969]  Concerned voice that broad surveillance provisions pose threat to civil rights.
[00:01:54.989 --> 00:01:57.070]  The set of the AP will be covering it.
[00:01:57.610 --> 00:02:00.911]  Iraqi police committed torture and rape, says U.S.
[00:02:02.432 --> 00:02:05.373]  Well, yeah, they're the former Ba'athists put back into power.
[00:02:06.813 --> 00:02:10.895]  And a lot of people that weren't resisting the occupation now are because of it.
[00:02:13.012 --> 00:02:40.926]  peers to the crown or the house of lords are lining up to condemn terrifying house arrest plan for basically any reason in England you can be arrested now if you're rude to someone this is mainstream news they've already passed laws where you can be basically committed as a criminal not as a mental patient but labeled as a belligerent troublemaker
[00:02:42.378 --> 00:02:48.560]  And if you drop bubble gum on the street, 500 pound fines, the list goes on and on.
[00:02:49.060 --> 00:02:52.261]  Well now, just house arrests for entire populations.
[00:02:52.341 --> 00:02:53.621]  Total martial law.
[00:02:54.141 --> 00:02:56.202]  There's a lot of resistance amounting to it.
[00:02:57.042 --> 00:03:10.226]  You know, I hadn't gotten into the BTK killer, the alleged killer, that they say they caught last Friday, until I started listening to the news over the weekend, the last few days, driving in the car.
[00:03:11.283 --> 00:03:14.824]  They always describe him as Christian, family man.
[00:03:16.705 --> 00:03:24.327]  It's funny, when a black guy is a serial killer, they don't go black man, or when a Jew kills somebody, they don't go a Jewish man.
[00:03:25.268 --> 00:03:39.072]  But every time it's a Christian, or it's a conservative, you know, a supposed Christian or conservative, they tell you over and over again, family man, family man, family man, family man,
[00:03:40.245 --> 00:03:44.847]  When an Indian goes out and kills somebody, they don't go, an Indian who was a Buddhist.
[00:03:46.208 --> 00:03:47.689]  What is going on here?
[00:03:48.970 --> 00:03:53.892]  I mean, sure, this goes to show that, they don't like to mention he's a government official either.
[00:03:55.013 --> 00:04:06.859]  I mean, I've read the articles and it admits he was a government official, authority, but when you listen to radio or watch a little snip of the TV, which I did a few nights ago, it's, he was a Christian.
[00:04:07.947 --> 00:04:09.948]  He was a family man.
[00:04:10.348 --> 00:04:12.128]  He was a government official.
[00:04:13.649 --> 00:04:16.770]  Demonizing the word family man.
[00:04:16.830 --> 00:04:18.271]  Ooh, family man!
[00:04:18.671 --> 00:04:20.791]  They must be serial killers!
[00:04:22.012 --> 00:04:24.753]  So we'll cover this report as well.
[00:04:24.793 --> 00:04:26.213]  And again, he's an alleged killer.
[00:04:26.233 --> 00:04:33.676]  I also want to get into this Financial Times of London fear-mongering article.
[00:04:34.096 --> 00:04:37.357]  The world is not ready for a flu pandemic.
[00:04:38.849 --> 00:04:43.450]  And Bush, final social security action may not happen yet.
[00:04:44.351 --> 00:04:49.172]  Senator wants cable, satellite TV subjected to decency rules.
[00:04:50.533 --> 00:04:53.413]  And a lot more big broadcasts lined up for you today.
[00:04:53.433 --> 00:04:57.555]  Infowars.com and PrisonPlanet.tv are the websites.
[00:04:57.635 --> 00:04:58.535]  Be sure and check them out.
[00:05:01.118 --> 00:05:05.441]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:05:05.641 --> 00:05:10.044]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:05:10.204 --> 00:05:14.587]  There is a chance to use this disaster for the New World Order.
[00:05:14.627 --> 00:05:15.968]  The New World Order.
[00:05:16.768 --> 00:05:17.709]  Panama!
[00:05:17.749 --> 00:05:18.529]  You will lose your liberty.
[00:05:46.408 --> 00:05:47.368]  We're good to go.
[00:06:01.397 --> 00:06:10.462]  Now you can upgrade your existing gravity filter to remove chemicals such as triamethylenes, atrazine, benzene, chlorine, chloroform, and NTVE to below detectable limits.
[00:06:10.722 --> 00:06:21.949]  Black Berkey elements are so powerful they remove pathogenic bacteria, cysts and parasites to non-detectable levels, and transform water, even raw stagnant pond water, into delicious crystal clear drinking water.
[00:06:22.269 --> 00:06:27.312]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum are
[00:06:27.332 --> 00:06:28.013]  Are no problem.
[00:06:28.233 --> 00:06:34.899]  Foul tastes like chlorine and obnoxious sulfur odors are removed without removing the healthful and beneficial minerals that your body needs.
[00:06:35.099 --> 00:06:41.925]  Black Berkey elements flow one and a half to two times faster than ordinary gravity elements, which means it takes much less time to filter your water.
[00:06:42.206 --> 00:06:43.967]  Supercharge your gravity filter today.
[00:06:44.227 --> 00:06:46.289]  Upgrade to Black Berkey purification elements.
[00:06:46.490 --> 00:06:49.392]  Get a two-pack for only $96 or a four-pack for only $175.
[00:06:49.432 --> 00:06:50.053]  Call New Millennium at 888-
[00:06:52.415 --> 00:06:58.558]  803-4438, that's 888-803-4438, or order on the web at Berkeywater.com.
[00:06:59.859 --> 00:07:08.142]  You've heard about PAWS from Bio-Ox International and its bubble-up technology, but have you heard about Bio-Ox Citrus Concentrate that also uses bubble-up technology?
[00:07:08.363 --> 00:07:15.306]  Bio-Ox Citrus Concentrate harnesses the power of oxygen to safely attack and remove dirt, stains, odors, and soils at the source.
[00:07:15.686 --> 00:07:22.329]  It's a sad fact, but in just seconds your carpet can be soiled with mud, your sofa ruined by pizza sauce, or your walls by colored crayons.
[00:07:22.629 --> 00:07:26.110]  But in minutes, you can remove those problems with Bio-Ox Citrus Concentrate.
[00:07:26.250 --> 00:07:27.050]  Call 877-289-7297 or visit bio-ox.com.
[00:07:31.212 --> 00:07:38.375]  Bubble Up Technology is part of the reason Bio-Ox International will guarantee you will have a cleaner and healthier home after using Bio-Ox Citrus Concentrate.
[00:07:38.435 --> 00:07:45.137]  You can throw out all those bottles of harmful cleaning chemicals because it's just better to use Bio-Ox Citrus Concentrate to clean your home.
[00:07:45.337 --> 00:07:50.019]  Call 877-289-7297 or visit Bio-Ox.com.
[00:07:50.199 --> 00:07:52.740]  That's B-I-O-O-X dot com.
[00:07:52.900 --> 00:07:57.542]  When you see the difference, you'll know why it's just better to use the Bio-Ox family of products.
[00:08:00.911 --> 00:08:05.954]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:06.374 --> 00:08:08.655]  Because there's a war on for your mind.
[00:08:08.935 --> 00:08:22.502]  We know that Princess Diana is on videotape.
[00:08:23.943 --> 00:08:25.624]  But they had the British government seize it.
[00:08:26.184 --> 00:08:27.565]  The letters have been published.
[00:08:28.937 --> 00:08:31.499]  She said, Prince Charles is going to have me murdered.
[00:08:31.539 --> 00:08:36.142]  I've been told it's going to be made to look like a fake auto accident.
[00:08:37.443 --> 00:08:40.165]  It's going to be staged during an auto accident.
[00:08:41.346 --> 00:08:42.387]  And, um, what?
[00:08:42.527 --> 00:08:46.730]  Six months later, she died in an auto accident in Paris.
[00:08:48.419 --> 00:09:06.948]  We know that Dr. David Kelly, the head of Porton Down Bioweapons Lab, developing race-specific bioweapons, also the head British envoy to the UN weapons inspectors, told an American and British inspector colleagues that, they're going to kill me and leave me in the woods if I don't shut up.
[00:09:07.548 --> 00:09:08.629]  That's a quote, by the way.
[00:09:10.530 --> 00:09:14.632]  We know that many other people say, they're going to kill me, I've been death-threatened, and then they
[00:09:15.549 --> 00:09:19.772]  Well, get their heads blown off, or they slit their wrists and there's no blood at the scene.
[00:09:20.873 --> 00:09:25.676]  Or they shoot themselves, in the case of Vince Foster, and there's no blood at the scene.
[00:09:25.736 --> 00:09:31.580]  And, you know, Clinton has them scrubbing the walls and carpet cleaning the carpets and won't let the police into his office.
[00:09:32.000 --> 00:09:33.181]  He's found out in the park.
[00:09:34.501 --> 00:09:36.583]  And the gun in his hand doesn't match the caliber.
[00:09:38.464 --> 00:09:42.647]  We do know, from two different personal friends of Gary Webb,
[00:09:43.695 --> 00:09:58.388]  That he was told, the Pulitzer Prize winner of the Dark Alliance series about CIA cocaine trafficking, that he had been followed, he had been harassed, and he had talked about how he'd been threatened.
