[00:00:06.231 --> 00:00:06.871]  Big Brother.
[00:00:07.532 --> 00:00:08.573]  Mainstream media.
[00:00:09.313 --> 00:00:10.394]  Government cover-ups.
[00:00:11.074 --> 00:00:11.875]  You want answers?
[00:00:12.656 --> 00:00:13.536]  Well, so does he.
[00:00:13.556 --> 00:00:17.879]  He's Alex Jones on the GCN Radio Network.
[00:00:18.380 --> 00:00:22.463]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.229 --> 00:00:28.951]  Alright, ladies and gentlemen, here we are, another live edition.
[00:00:29.271 --> 00:00:30.631]  I'm Alex Jones, your host.
[00:00:30.651 --> 00:00:33.212]  This is where we engage in real talk radio.
[00:00:33.853 --> 00:00:37.354]  Real issues that actually affect you and your family.
[00:00:38.375 --> 00:00:45.217]  Issues of real significance, not Michael Jackson, not the Lacey Peterson trial, not O.J.
[00:00:45.437 --> 00:00:45.918]  Simpson.
[00:00:47.278 --> 00:00:53.741]  Not the issues the media tries to force us to focus on, but the real issues that affect society across
[00:00:54.432 --> 00:00:55.733]  The political spectrum.
[00:00:56.874 --> 00:00:58.215]  Thank you for joining us today.
[00:00:58.235 --> 00:01:06.702]  We're going to have wide open phones until the last 30 minutes of the broadcast and I got Paul Watson in the third hour joining us.
[00:01:08.083 --> 00:01:14.788]  Talk about these different TV and movie themes that just flaunt government terrorism in our face.
[00:01:16.530 --> 00:01:21.674]  These plots that mirror exactly what's happening in the real world.
[00:01:23.522 --> 00:01:28.163]  So we'll be discussing some of the globalist Illuminati language that's hidden in plain view.
[00:01:28.643 --> 00:01:34.285]  Coming up at the end of the broadcast today, and that should be very informative and interesting, so stay tuned for that.
[00:01:34.305 --> 00:01:36.245]  We're going to have open phones throughout this broadcast.
[00:01:37.005 --> 00:01:41.567]  Whatever issue you want to talk about, any questions, any comments, you want to disagree with me, you agree.
[00:01:42.427 --> 00:01:44.047]  There's different news stories.
[00:01:44.067 --> 00:01:50.869]  You want to talk about Bush's ridiculous press conference last night that I didn't watch, I didn't listen to, part of it on the radio.
[00:01:52.699 --> 00:01:57.560]  Whatever you want to talk about, you're welcome to call us at 1-800-259-9231.
[00:01:57.580 --> 00:01:57.960]  1-800-259-9231.
[00:01:58.100 --> 00:02:08.042]  I've read Ron Paul's analysis of the REAL ID Act.
[00:02:08.382 --> 00:02:10.562]  I have read sections of the bill.
[00:02:11.883 --> 00:02:14.463]  Now there have been about four different versions of it.
[00:02:15.443 --> 00:02:18.204]  They claim they cut some of the bad provisions out
[00:02:18.883 --> 00:02:24.364]  Because they were worried about Christian conservatives, quote, raining fire and brimstone down on the Republicans.
[00:02:25.225 --> 00:02:26.225]  That's the quote here.
[00:02:26.245 --> 00:02:31.226]  But then I talked to my congressional sources and they tell me the provisions are still there.
[00:02:33.027 --> 00:02:36.128]  And here's a headline from a raw story.
[00:02:36.168 --> 00:02:42.529]  Democrats locked out of debate on sweeping and controversial Real ID Act.
[00:02:43.249 --> 00:02:44.890]  So we'll talk about this.
[00:02:45.803 --> 00:02:50.805]  And the callers that got cut off short yesterday arguing with our guest about it are welcome to call back in.
[00:02:51.746 --> 00:03:01.990]  Interrogators, faked interrogations at Guantanamo, witnesses say, according to Reuters, all these camps are fake.
[00:03:03.410 --> 00:03:11.033]  Gitmo, Abu Ghraib, whether it's in Cuba or in Iraq, it's fake.
[00:03:11.053 --> 00:03:13.594]  And you're going, well wait a minute, those are real people being tortured to death.
[00:03:14.155 --> 00:03:14.435]  Yes!
[00:03:15.757 --> 00:03:18.058]  But it's all for the media.
[00:03:18.178 --> 00:03:19.678]  It's all for the illusion.
[00:03:20.898 --> 00:03:26.280]  It's all to give you the perception that they're really off fighting terrorists.
[00:03:28.200 --> 00:03:29.060]  And that's come out.
[00:03:30.721 --> 00:03:34.301]  Almost everyone at these camps are just families picked up at checkpoints.
[00:03:35.302 --> 00:03:41.063]  And there's not one even mid-level Taliban or Al-Qaeda member that's ever gone through Camp X-Ray.
[00:03:41.563 --> 00:03:44.424]  They've all got get-out-of-jail-free cards.
[00:03:47.495 --> 00:03:56.323]  And on top of it, you know, two days ago, Bush goes in the bunker and they tell you that he goes in the President's bunker into the White House and chaining to an undisclosed location.
[00:03:58.225 --> 00:03:59.346]  Site R, normally.
[00:04:00.186 --> 00:04:01.608]  They're on the Maryland-Virginia border.
[00:04:04.665 --> 00:04:07.727]  They do this just to make you think the threat is real.
[00:04:07.787 --> 00:04:13.510]  Every time their approval ratings go down, their memos are public that they do it to fear-monger you.
[00:04:13.570 --> 00:04:17.853]  I mean, we have their admissions, their memos, FBI agents have gone public.
[00:04:18.313 --> 00:04:19.834]  They're terrorizing you.
[00:04:19.854 --> 00:04:21.896]  They're yelling fire in a theater.
[00:04:24.357 --> 00:04:27.479]  It's by its very definition, terrorism.
[00:04:28.917 --> 00:04:36.545]  To threaten violence or to engage in violence for a political outcome is terrorism and they're engaging in it.
[00:04:39.328 --> 00:04:45.394]  But Bush lives by different rules and different standards, just like Bill Clinton did, because they're puppets of the New World Order.
[00:04:45.614 --> 00:04:48.737]  And that's all they are, dirty little puppets.
[00:04:49.518 --> 00:04:50.379]  Infowars.com
[00:04:51.747 --> 00:04:54.709]  PrisonPlanet.tv are just two of my great websites.
