[00:00:00.435 --> 00:00:01.215]  They did not talk.
[00:00:01.855 --> 00:00:08.177]  Prepare yourself for a talk radio experience like no other.
[00:00:09.158 --> 00:00:10.918]  Strap yourselves in and hold on.
[00:00:11.939 --> 00:00:13.259]  He stands for truth.
[00:00:14.699 --> 00:00:16.540]  He stands for justice.
[00:00:17.900 --> 00:00:20.261]  He stands for what's right.
[00:00:20.361 --> 00:00:22.682]  This is the Alex Jones Show.
[00:00:23.662 --> 00:00:26.503]  Call Alex now, toll free, at 877-590-7000.
[00:00:32.034 --> 00:00:36.919]  Now live from Austin, Texas, here's Alex Jones.
[00:00:40.991 --> 00:00:48.516]  It is the first live broadcast for myself on the new weekend show I'm doing, Sundays 4 to 6 p.m.
[00:00:48.556 --> 00:00:54.960]  Central, syndicated out of the studios of NewsRadio 590 KLBJ, here deep in the heart of Texas.
[00:00:55.720 --> 00:00:56.621]  Welcome to everyone.
[00:00:56.641 --> 00:01:02.884]  I'm going to take a lot of your phone calls today, this afternoon, this evening, 877-590-5525, locally in Central Texas, 836-0590, and we'll get you up and on the air.
[00:01:11.332 --> 00:01:17.897]  Well, Israel, the Times of London, is reporting today plans to attack Iran's sites with nuclear weapons.
[00:01:17.917 --> 00:01:25.063]  I'm sure that will please a lot of people who can just simply repeat glass parking lot over and over again as their Vedic chant.
[00:01:25.083 --> 00:01:27.205]  Of course, they can't find Iran on a map.
[00:01:28.124 --> 00:01:31.807]  They wouldn't like to be nuked, but it's like the Nazis.
[00:01:31.847 --> 00:01:40.194]  They wanted to kill people too, and they loved their government, and they worshipped, they thought it was manly to kill people in masses, and so you'll probably get what you want.
[00:01:40.234 --> 00:01:42.776]  You'll probably get your nuking of Iran.
[00:01:43.377 --> 00:01:44.678]  We'll be going over that.
[00:01:45.179 --> 00:01:49.342]  Also, Bush, government can open your mail here in the U.S.
[00:01:49.382 --> 00:01:50.163]  without warrants.
[00:01:50.683 --> 00:01:51.624]  I totally agree.
[00:01:51.644 --> 00:01:56.026]  I think, you know, it's great that in third world countries they always read your mail.
[00:01:56.646 --> 00:01:59.788]  Just a few months ago they were swearing they weren't spying on citizens.
[00:02:00.208 --> 00:02:03.630]  And then, of course, okay, we're spying on you, but only when you're talking to Al Qaeda.
[00:02:03.970 --> 00:02:11.534]  And then, okay, we're spying on everything, including every purchase you make, and when you go and you get a prescription, it's instantly uploaded.
[00:02:11.994 --> 00:02:17.257]  Oh, and by the way, Google microphones and cameras on your computer are watching everything you do and logging it all.
[00:02:19.418 --> 00:02:19.899]  I'm sorry.
[00:02:19.919 --> 00:02:20.859]  I get real cynical.
[00:02:20.900 --> 00:02:21.960]  I'm really upset, actually.
[00:02:22.861 --> 00:02:26.965]  Dallas-based food chain to accept Mexican pesos right here in Austin.
[00:02:27.025 --> 00:02:27.685]  That's good!
[00:02:28.226 --> 00:02:28.446]  Good.
[00:02:28.486 --> 00:02:30.308]  Let's just admit the end of the country publicly.
[00:02:31.108 --> 00:02:33.370]  CFR member to recruit foreigners to the military.
[00:02:33.390 --> 00:02:34.772]  Already been going on for six years.
[00:02:35.112 --> 00:02:41.597]  Another big national news story about how the majority of our ground forces within just three years will be foreigners.
[00:02:41.637 --> 00:02:42.158]  That's right.
[00:02:43.777 --> 00:02:44.798]  Of course, I'm sure.
[00:02:45.158 --> 00:02:50.341]  I'll have to hail all the foreign illegal aliens made legal, or I won't be a good patriot.
[00:02:50.842 --> 00:02:52.823]  You see, that's how the sickness works.
[00:02:53.723 --> 00:02:58.006]  Alright, I'm going to try not to have a meltdown here earlier in the broadcast today.
[00:02:58.426 --> 00:03:01.308]  Also, I thought I'd go over some World Almanac numbers for you.
[00:03:02.349 --> 00:03:07.152]  Lightning strikes and drowning are many times more dangerous than terrorism, but the government doesn't care.
[00:03:07.172 --> 00:03:09.353]  They want to hype that up until we're all looking under our
[00:03:09.986 --> 00:03:14.870]  Tables and beds at night and begging the government to take all of our freedoms while leaving the borders wide open.
[00:03:14.890 --> 00:03:17.232]  Of course, we conveniently ignore that.
[00:03:17.653 --> 00:03:20.895]  Anything to destroy the country, good neocons do.
[00:03:21.636 --> 00:03:23.998]  It's all part of the delusional talk radio world.
[00:03:25.024 --> 00:03:28.245]  And also, terror is trivial when it's not Muslims.
[00:03:28.365 --> 00:03:34.407]  Giant terror attack last weekend, and I didn't even learn of it until Wednesday of last week.
[00:03:34.427 --> 00:03:38.128]  I bet you didn't hear about the big bombing attack at the Madrid airport.
[00:03:38.608 --> 00:03:47.170]  But because, admittedly, Muslims couldn't even be framed in connection with it, you're not going to be hearing about it except here during this transmission.
[00:03:47.590 --> 00:03:49.231]  But let's get serious here.
[00:03:50.906 --> 00:03:55.933]  I listened to the fake conservatives there to neutralize conservatives.
[00:03:55.973 --> 00:04:04.144]  Their number one job is to keep you in the dark just long enough to have blanket amnesty, to bring in the North American Union, to sack the dollar.
[00:04:04.724 --> 00:04:06.447]  And it looks like they're coming in for the big win.
[00:04:07.176 --> 00:04:15.263]  Okay, and then after that happens, it won't matter if you wake up as thumb-sucking conservatives out there, that you really weren't conservatives, that you were totally scammed.
[00:04:15.624 --> 00:04:17.606]  It won't matter then.
[00:04:17.666 --> 00:04:19.347]  They've almost got you.
[00:04:19.707 --> 00:04:23.811]  There's still a chance to save the country, but darn it, you're going to make sure that doesn't happen, I'm sure.
[00:04:24.872 --> 00:04:25.753]  Many of you out there.
[00:04:27.399 --> 00:04:30.360]  And let's just take one area we've been lied to in.
[00:04:30.420 --> 00:04:41.044]  I mean, we know, at least if you've got any education or if you're informed, that private global corporations are now 46 of the 100 biggest economies, and they've combined forces together.
[00:04:41.184 --> 00:04:53.429]  They're not for free market, they're monopoly men, to come in and buy up our government and other governments, and then seize control of our governments, and use them as engines of global domination for those corporations, not for the American people.
[00:04:53.809 --> 00:05:02.198]  I mean, it'd be one thing if we really had a government that was giving us some of the spoils of going in and sacking Iraq, or giving us some of the spoils of all this.
[00:05:02.538 --> 00:05:09.025]  But the very people doing all of this are the ones dismantling the country itself as fast as they can.
[00:05:09.265 --> 00:05:15.091]  They are the ones destroying the sovereignty, killing the Bill of Rights that is the heart and soul of the nation.
[00:05:16.272 --> 00:05:24.971]  Regardless, I want the people out there who are for the Iraq War, because from a young age they were brought up that war is manly and war is tough.
[00:05:25.362 --> 00:05:31.224]  And it's patriotic to be for a war, any war, even if you can't find the country you're attacking, on a map.
[00:05:31.664 --> 00:05:32.604]  And they're wedded to it.
[00:05:33.024 --> 00:05:36.245]  I want them to know that it doesn't matter if you're for the war.
[00:05:36.486 --> 00:05:47.109]  You see, they think they're making Americans go to war, this is the average good old boy out there, and that they're all part of the power system, and they've got all this personal power, and it's George Bush and them together, you know,
[00:05:47.729 --> 00:05:49.830]  Making the American people do this because they know best.
[00:05:50.431 --> 00:05:51.591]  You don't run anything.
[00:05:51.871 --> 00:05:53.532]  George Bush doesn't run anything.
[00:05:53.813 --> 00:05:54.833]  They're total puppets.
[00:05:55.233 --> 00:05:55.514]  Okay?
[00:05:55.554 --> 00:06:13.944]  Because if you say this is a free society, which it isn't in many respects, if 78% of Americans in major scientific polls, that number has come up several times, but high 70s, won us out, and 70% of the troops in Gallup polls won out, why hasn't it happened if the people's will is what happens in this country?
[00:06:14.671 --> 00:06:21.113]  Okay, and it isn't just that they lied about WMDs, like, oh, they thought they were there.
[00:06:21.193 --> 00:06:29.476]  We have the White House memo, published public, from six months before the war with Tony Blair and Bush, where they're saying we can stage WMD fines.
[00:06:29.496 --> 00:06:31.457]  That's a big crime, staging weapons.
[00:06:32.337 --> 00:06:34.118]  Oh, it's there, the exact minutes of it.
[00:06:34.538 --> 00:06:38.679]  And they say that we can sell the public with fake defectors, we can fly U.S.
[00:06:38.719 --> 00:06:39.860]  planes, paint it up like the U.N.
[00:06:39.900 --> 00:06:43.981]  logo, try to get Saddam to shoot them down, like we did with Tonkin and everything else.
[00:06:45.340 --> 00:06:52.811]  Or they go further and talk about how they're going to claim that they know he has WMDs even though they don't.
[00:06:53.612 --> 00:06:59.440]  You see, they premeditatedly, knowingly lied to us.
[00:07:00.181 --> 00:07:01.103]  Knowingly!
[00:07:02.037 --> 00:07:06.421]  And then they'll try to say, well, the Democrat evil commies, they're not for the war!
[00:07:07.222 --> 00:07:08.863]  Hillary wants to attack Iran.
[00:07:08.903 --> 00:07:10.404]  Chuckie Schumer wants to attack Iran.
[00:07:10.805 --> 00:07:12.746]  Lieberman wants to attack Iran.
[00:07:13.227 --> 00:07:20.253]  Democrats, in some cases, are outvoting Republicans with Bush to push the whole police state.
[00:07:20.473 --> 00:07:21.814]  They're voting for the Patriot Act.
[00:07:21.834 --> 00:07:22.935]  They're voting for open borders.
[00:07:22.955 --> 00:07:24.637]  They're voting for assault weapons ban.
[00:07:25.057 --> 00:07:26.298]  Everything Bush wants.
[00:07:27.159 --> 00:07:29.661]  And, you know, as phony conservatives out there listening,
[00:07:30.370 --> 00:07:33.053]  You saying Bush is pro-Second Amendment doesn't make it so.
[00:07:33.373 --> 00:07:38.258]  You lying to yourself and saying he didn't lobby and didn't push the assault weapons ban didn't make it so!
[00:07:39.324 --> 00:07:40.784]  You know, he did push for that.
[00:07:41.285 --> 00:07:41.685]  You see?
[00:07:42.725 --> 00:07:56.089]  And so you need to understand that you need to get off your little power trip, because I know that's what it's all about when you swagger and stumble around with plastic desecrated American flags made by Chinese slaves, all over your car, and your cult members, your Kool-Aid drinkers.
[00:07:56.589 --> 00:08:01.050]  I want you to understand, okay, that 78% of the American people don't want the war.
[00:08:01.491 --> 00:08:02.951]  The generals don't want the war.
[00:08:03.371 --> 00:08:06.032]  Every statistician has said that it is a disaster.
[00:08:06.647 --> 00:08:13.549]  But because defense contractors are making a hundred plus billion dollars a year, it's going to go on and on and on and on.
[00:08:13.589 --> 00:08:25.852]  So don't worry, your junior's got a chance to tromp off and breathe some depleted uranium and be given some experimental shots and get shot up so you can feel like you're a man and your son's a man and you can feel like you're a bunch of tough heroes!
[00:08:26.232 --> 00:08:31.493]  While the borders are wide open, the country's totally imploding, the dollar's imploding, and then now companies all over the U.S.
[00:08:31.533 --> 00:08:33.034]  are going to start trading in pesos.
[00:08:33.214 --> 00:08:34.214]  We'll be using pesos.
[00:08:34.988 --> 00:08:39.560]  And they're going to make Texas school children speak in Spanish in one of their primary courses.
[00:08:40.410 --> 00:08:48.077]  Okay, so I just want you to understand that 97% of Texans don't want toll roads on existing roads.
[00:08:48.097 --> 00:08:48.998]  They're going to do it anyways.
[00:08:49.518 --> 00:08:53.261]  And I want you to know that 90% of Americans want the borders shut and controlled.
[00:08:53.482 --> 00:08:54.302]  It isn't going to happen.
[00:08:54.583 --> 00:08:57.225]  And I want you to know 78% don't want this war.
