[00:00:00.009 --> 00:00:00.269]  We're good.
[00:00:24.867 --> 00:00:32.529]  All right, ladies and gentlemen, we are now already into the fourth and final hour of this worldwide broadcast against tyranny.
[00:00:32.549 --> 00:00:43.551]  The websites are Infowars.com, PrisonPlanet.com, Infowars.net, JonesReport.com, TruthNews.us, and you can also watch us live every day when we do this fourth hour.
[00:00:43.571 --> 00:00:48.432]  Sometimes we do the whole show, but always the fourth hour live video streaming at PrisonPlanet.tv.
[00:00:52.748 --> 00:00:57.829]  Going back to Webster Tarbley, when we come back in the next segment, we will take your calls to the Balance of the Hour.
[00:00:59.029 --> 00:01:03.250]  Webster, finishing up with what you expect to see in this election.
[00:01:03.430 --> 00:01:06.310]  I know you think that the greater of two evils is Barack Obama.
[00:01:06.390 --> 00:01:18.372]  I myself see it as a huge distraction, but I understand you're saying his star appeal, and I agree, will bring people into the fold to support the corporate fascism and give them the grassroots cover they need.
[00:01:18.412 --> 00:01:20.933]  So I agree with you he's the most dangerous candidate.
[00:01:21.833 --> 00:01:32.136]  I just psychologically have divorced myself so much from the two parties, and fully understanding they're puppets that I can't even really see Obama, I guess as many other people see him.
[00:01:32.196 --> 00:01:36.837]  But in closing, in the three and a half minutes we have left in this opening segment, other key points you'd like to make?
[00:01:38.077 --> 00:01:49.300]  Well, I would say first of all, if you get Obama with the Democratic Congress, you will have the full fury of the fascist corporate state, in terms of that economic austerity,
[00:01:49.850 --> 00:02:08.119]  Killer austerity, genocidal austerity that I talked about, under green, polar bear, snail daughter auspices, third world solidarity, and possibly even this other question of reparations to that ethnic group, which would also be a very explosive recipe.
[00:02:08.739 --> 00:02:16.843]  If you get McCain, I would say you get a tired old lame duck, who is going to be a lame duck from the first moment he gets there.
[00:02:16.863 --> 00:02:17.904]  He'll be quacking in his
[00:02:18.760 --> 00:02:20.021]  In his inaugural address.
[00:02:20.802 --> 00:02:24.544]  And he will be faced by a very hostile Democratic Congress, giving us gridlock.
[00:02:24.584 --> 00:02:29.368]  This is the best outcome we could get under that scenario, would be the gridlock.
[00:02:29.408 --> 00:02:33.851]  So, in this sense, McCain is actually a lesser evil than Obama.
[00:02:33.871 --> 00:02:35.632]  The Democrats try to scare you with McCain.
[00:02:36.093 --> 00:02:38.495]  They tell you that he's going to put in these fascist judges.
[00:02:38.535 --> 00:02:42.117]  Well, the Democrats can filibuster those judges if they want to.
[00:02:42.157 --> 00:02:43.338]  So don't try to scare us with that.
[00:02:43.898 --> 00:02:47.201]  With Mrs. Clinton, I think you get a much more open-ended
[00:02:48.338 --> 00:03:04.189]  This is somebody who responds to public opinion through triangulation, but she does respond, and her history during the primaries has been to move more and more towards New Deal positions, at least verbally, and that's what we've got to work with at this point.
[00:03:04.429 --> 00:03:10.814]  And this would also allow a solution that would not be McCain and not be Obama.
