[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[00:00:37.577 --> 00:00:38.318]  We're good to go.
[00:01:54.975 --> 00:01:56.436]  And I won't back down!
[00:01:56.536 --> 00:02:23.016]  Welcome, ladies and gentlemen, welcome to this October 6th, 2008, worldwide broadcast on the AM and FM dial, simulcasting on multiple satellites, the Internet at PrisonPlanet.com and InfoWars.com, global shortwave and the podcast right at 100,000 people a day, downloading that six days a week.
[00:02:23.036 --> 00:02:24.137]  We're here Monday through Friday,
[00:02:25.318 --> 00:02:26.338]  11 to 3 p.m.
[00:02:26.378 --> 00:02:30.641]  Central Standard Time, coming to you from deep in the heart of Texas, Austin, Texas.
[00:02:30.701 --> 00:02:34.804]  And then, of course, Sundays, 4 to 6 p.m.
[00:02:37.086 --> 00:02:38.787]  With an abbreviated radio show.
[00:02:38.867 --> 00:02:53.718]  Okay, he was on with us about three weeks ago, and it was only for an hour, and so I wanted to get him up for two hours to talk about the nature of reality, the International Banking Syndicate, the Crime Syndicate, engineering the collapse that he and others detailed
[00:02:55.723 --> 00:02:56.564]  To a great extent.
[00:02:57.264 --> 00:03:00.067]  David Icke will be with us in the third and fourth hour today.
[00:03:00.107 --> 00:03:05.411]  He'll be with us coming up at one o'clock Central Standard Time.
[00:03:05.471 --> 00:03:06.953]  He is in California.
[00:03:07.673 --> 00:03:13.358]  Just finished two big events, or actually three big events that he had out there.
[00:03:16.141 --> 00:03:22.967]  So he will be with us coming up in the third and fourth hour today on this October 6th.
[00:03:24.386 --> 00:03:24.786]  2008 edition.
[00:03:24.866 --> 00:03:35.568]  I don't have to tell you that the markets are in absolute free fall going down to 10,000 points today.
[00:03:35.588 --> 00:03:46.971]  If you listen to the radio shows we did last Monday, Tuesday, Wednesday, Thursday, Friday, and Sunday, we stated that of course the markets are going to plunge.
[00:03:48.431 --> 00:03:49.271]  That's the whole point.
[00:03:49.351 --> 00:03:50.571]  They needed to get the immunity
[00:03:53.632 --> 00:04:03.758]  For the crimes of the international banks, the brokerage houses that carried out the Ponzi scheme with the fake liquidity that they're going to leave us holding the bag with.
[00:04:04.458 --> 00:04:11.022]  In the provision, it makes the Federal Reserve dictatorial through the Secretary of the Treasury, the private Federal Reserve.
[00:04:11.902 --> 00:04:15.904]  It allows them to seize any homes they want, revalue mortgages up or down.
[00:04:16.525 --> 00:04:20.687]  It allows them carbon taxes of all different types.
[00:04:21.307 --> 00:04:22.268]  It allows them to hand
[00:04:24.031 --> 00:04:28.692]  Your tax money over to foreign corporations and none of it can be second-guessed or even reviewed.
[00:04:28.712 --> 00:04:31.333]  It states that clearly.
[00:04:31.413 --> 00:04:39.095]  It says at the discretion of the Treasury Secretary, he can create a flim-flam group chaired by himself to push recommendations and propaganda.
[00:04:41.275 --> 00:04:44.136]  And so global markets are headed straight down right now.
[00:04:44.196 --> 00:04:46.857]  The stock market plunging and just unprecedented.
[00:04:49.057 --> 00:04:50.978]  Last week when the public
[00:04:55.202 --> 00:05:11.632]  One, not to go along with it, the establishment reacted by savagely, savagely attacking the market and driving it down 1.2 trillion.
[00:05:11.652 --> 00:05:14.734]  Well, they've just outdone that today.
[00:05:15.374 --> 00:05:16.295]  The market is down 400, 400, 443.55, 443.55.
[00:05:29.840 --> 00:05:35.245]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:05:35.565 --> 00:05:36.886]  And we knew what to do.
[00:05:36.906 --> 00:05:38.668]  Or at least we thought we did.
[00:05:38.888 --> 00:05:45.253]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:05:45.931 --> 00:05:54.473]  Whitman, EPA director, on the 18th made a statement that the air was safe to breathe.
[00:05:54.814 --> 00:06:01.636]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[00:06:01.896 --> 00:06:04.956]  He had his hand over the radio while he was getting a countdown.
[00:06:04.976 --> 00:06:10.078]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[00:06:10.858 --> 00:06:13.820]  This is an emergency transmission worldwide.
[00:06:13.941 --> 00:06:19.785]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:06:19.985 --> 00:06:22.487]  Or order the DVD at Infowars.com.
[00:06:22.907 --> 00:06:27.831]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:06:29.418 --> 00:06:32.703]  The United States is bankrupt and the bankers want you bankrupt also.
[00:06:32.723 --> 00:06:35.326]  How would you like to be debt free in 90 days?
[00:06:35.446 --> 00:06:36.087]  Guaranteed!
[00:06:36.508 --> 00:06:43.077]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:06:44.138 --> 00:06:51.143]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies, and liens, and you won't pay one dime to creditors.
[00:06:51.383 --> 00:06:59.229]  With Debt Crisis Solutions program, you'll also restore your credit history and be protected from legal action without making one more payment to creditors.
