[00:00:04.545 --> 00:00:08.707]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.387 --> 00:00:10.187]  You want answers?
[00:00:10.947 --> 00:00:11.868]  Well, so does he.
[00:00:12.528 --> 00:00:16.169]  He's Alex Jones on the GCN Radio Network.
[00:00:16.690 --> 00:00:20.791]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.972 --> 00:00:24.913]  Alright, for the next 20 minutes, then I'm opening the phones up.
[00:00:26.385 --> 00:00:26.946]  The number's 1-800-259-9231.
[00:00:26.966 --> 00:00:27.086]  1-800-259-9231.
[00:00:27.126 --> 00:00:32.914]  We're open to phones up on any of the issues you've been covering, anything you'd like to discuss.
[00:00:32.955 --> 00:00:35.258]  But for the next 20 minutes, we're joined by Steve Watson of, uh...
[00:00:41.727 --> 00:00:44.451]  PrisonPlanet.com works for us over in London.
[00:00:44.951 --> 00:00:48.215]  Anarchist plot mayhem for the G20 in London.
[00:00:48.736 --> 00:00:58.028]  Kurt Nemo, London Independent reports extremists and anarchist groups are handing out literature ahead of London's G20 summit instructing demonstrators on how best to confront and attack the police.
[00:00:58.809 --> 00:01:12.896]  From Denver, Colorado, last year at the DNC, to Ottawa, Canada, at the SPP meeting early last year, they've been caught, the police dressed up like anarchists, leading groups of hired foundation thugs, paid for by the big banks, to attack police.
[00:01:13.317 --> 00:01:20.360]  To then show that on the news, so the police have a pretext to say, oh look, we're being restrained for a day or so, then to attack the peaceful crowds.
[00:01:20.720 --> 00:01:27.324]  This is the way they demonize the demonstrators, and that covers up all the news attention of what the G20 is actually setting up.
[00:01:28.144 --> 00:01:29.685]  Obama's about to arrive in England.
[00:01:29.705 --> 00:01:33.228]  He's going to have an audience with the Queen and literally curtsy to her.
[00:01:34.109 --> 00:01:35.270]  That's in the London Telegraph.
[00:01:36.050 --> 00:01:41.615]  We've got him then traveling to Europe proper for the G20 meeting that Gordon Brown founded and runs, openly setting up world government.
[00:01:42.075 --> 00:01:51.062]  And then we have the London Guardian reporting the government's going to turn off the CCT cameras, claiming there's a law that they're not high enough resolution, so they're just going to turn them all off.
[00:01:51.862 --> 00:01:57.064]  So they can carry out their mischief, just like they turned them off right before they carried out the 7-7 bombing.
[00:01:57.464 --> 00:01:59.365]  Steve Watson joining us from London.
[00:01:59.385 --> 00:02:00.225]  Tell us what's going on.
[00:02:01.426 --> 00:02:02.166]  Hey Alex, how you doing?
[00:02:02.566 --> 00:02:02.906]  Good, sir.
[00:02:04.027 --> 00:02:17.491]  Yeah, okay, I think the first thing we should discuss really is concerning the media hype surrounding the supposed foiled terrorist plot in relation to the protests.
[00:02:20.560 --> 00:02:32.590]  The Guardian reported that yesterday three men and two women aged between 16 and 25 living in the south of England were arrested.
[00:02:33.190 --> 00:02:48.122]  They raided the house and they brought in the Royal Navy Bomb Disposal Squad and it was hyped up in the media as a sort of terrorist plot relating to the G20 protests.
[00:02:48.242 --> 00:02:49.263]  It comes out today that
[00:02:50.686 --> 00:02:59.730]  What they found was, um, quote, allegedly extremist materials, but they didn't expand on what they might be.
[00:02:59.750 --> 00:03:04.012]  Um, yesterday they said they found explosive devices.
[00:03:04.092 --> 00:03:07.114]  It turns out now that these are fireworks.
[00:03:08.530 --> 00:03:09.510]  Now let me stop you.
[00:03:09.610 --> 00:03:23.453]  Mainstream government reports in the news say that a cell phone is terrorist material, that a van is terrorist material, and that soap bottles in the trash can call the anti-terror police.
[00:03:23.513 --> 00:03:25.233]  So this is all part of the hype.
[00:03:25.273 --> 00:03:26.733]  My God, they had fireworks.
[00:03:26.773 --> 00:03:27.653]  They are Al-Qaeda.
[00:03:29.094 --> 00:03:29.794]  Well, that's right.
[00:03:29.814 --> 00:03:36.615]  We've recently seen all those anti-terrorist posters that have gone up all over London.
[00:03:37.472 --> 00:03:46.820]  Saying that you should lock in each other's, lock in your neighbor's trash to see, you know, what's going on there, if they've got any chemical bottles, etc.
[00:03:47.861 --> 00:03:54.666]  Um, well, this dovetails with that, really, because it was hyped up, but it turns out these are just fireworks.
[00:03:54.746 --> 00:04:00.591]  They had plastic, um, replica guns, handguns.
[00:04:00.811 --> 00:04:01.692]  Oh my gosh!
[00:04:02.192 --> 00:04:03.273]  They had toy guns!
[00:04:03.553 --> 00:04:04.214]  Oh, please.
[00:04:04.694 --> 00:04:06.336]  This whole thing started off when
[00:04:07.180 --> 00:04:13.722]  Um, the police were tipped off by one of these men who was spraying graffiti on a wall.
[00:04:13.742 --> 00:04:31.108]  Um, and it turns out that what he, what he was spraying was the word, uh, Antifa, which is, it's basically a group that advocates, um, fighting with extreme right-wingers at protests.
[00:04:31.688 --> 00:04:32.368]  So this is all
