[00:00:10.435 --> 00:00:10.695]  R-Charge.com.
[00:00:10.735 --> 00:00:11.676]  That's R-Charge.com.
[00:00:11.716 --> 00:00:12.296]  Or call us at 989-637-4179.
[00:00:12.316 --> 00:00:12.616]  That's 989-637-4179.
[00:00:12.636 --> 00:00:14.037]  Be a part of the revolution today.
[00:00:14.077 --> 00:00:15.158]  This is the GCN Radio Network.
[00:00:15.218 --> 00:00:16.279]  Home to hard-hitting talk radio.
[00:00:37.433 --> 00:00:40.179]  IRN USA Radio News, I'm Jody Jordan.
[00:00:40.560 --> 00:00:45.990]  President Barack Obama seems to have charmed one of America's most outspoken Latin American critics.
[00:00:46.661 --> 00:00:47.541]  Here's Mark Smith.
[00:00:47.841 --> 00:00:57.125]  Instead of denouncing Yankee imperialism, Venezuela's Hugo Chavez spent much of this summit either praising the new American leader or exchanging pleasantries with him.
[00:00:57.485 --> 00:01:05.867]  In fact, Chavez even told Secretary of State Hillary Rodham Clinton he'd like their two countries to reinstate the ambassadors they expelled last September.
[00:01:06.108 --> 00:01:10.249]  And NATO forces have foiled a pirate attack on a tanker in the Gulf of Aden.
[00:01:10.689 --> 00:01:11.550]  Meanwhile, U.S.
[00:01:11.570 --> 00:01:15.733]  Navy Admiral Gary Roughead says he will discuss boosting ties between the U.S.
[00:01:15.773 --> 00:01:17.654]  Navy and China Naval Forces.
[00:01:18.014 --> 00:01:30.262]  As we create naval capability, indeed any military capability, that there should be clear communications with regard to what the intentions of that capability are.
[00:01:30.423 --> 00:01:32.624]  This is IRN USA Radio News.
[00:01:34.025 --> 00:01:35.526]  Hi, my name is Shirley Van Heest.
[00:01:35.746 --> 00:01:39.909]  I'm from Michigan, and I've been using Andy Willoughby's three-step plan for about nine months.
[00:01:40.290 --> 00:01:45.611]  When I was introduced to the three-step plan, I saw the value of it, and I saw the potential in it.
[00:01:45.891 --> 00:01:51.593]  It offers an opportunity to provide some security that you can be in charge of.
[00:01:51.933 --> 00:02:03.695]  So many things are out of our control in today's economy, and if we can set ourselves up in business, and we can secure our own future, then I guess we don't have to worry too much.
[00:02:03.735 --> 00:02:06.436]  We will get through whatever difficulties may lie ahead.
[00:02:06.989 --> 00:02:09.750]  I have never seen anything that has worked so wonderfully.
[00:02:10.070 --> 00:02:17.092]  I have seen the potential in it and now it's becoming realization and I have really seen great results.
[00:02:17.112 --> 00:02:23.013]  I'm feeling very positive about the future and very positive about the growth of my own particular business.
[00:02:23.033 --> 00:02:24.414]  Hi, how in the world are you anyway?
[00:02:24.614 --> 00:02:25.474]  I'm Andy Willoughby.
[00:02:25.674 --> 00:02:29.115]  For more information, go to 3stepplan.com or call 800-480-2102.
[00:02:34.472 --> 00:02:38.534]  Iran's president says an American journalist convicted of spying for the U.S.
[00:02:38.694 --> 00:02:41.955]  should be allowed to offer a full defense during her appeal.
[00:02:42.576 --> 00:02:47.077]  This a day after the American Iranian citizen was sentenced to eight years in prison.
[00:02:47.618 --> 00:02:51.419]  Her father said officials tricked her into making incriminating statements.
[00:02:52.200 --> 00:02:55.061]  Marilyn McGinley is a friend of Roxana Saberi.
[00:02:55.181 --> 00:02:57.002]  Roxana would not be a spy.
[00:02:57.962 --> 00:02:58.903]  I know that girl.
[00:02:59.023 --> 00:02:59.603]  I know her.
[00:03:00.990 --> 00:03:02.911]  She lived with us for six months.
[00:03:02.971 --> 00:03:04.452]  Officials say suspected U.S.
[00:03:04.532 --> 00:03:08.914]  missiles have hit a Taliban compound in a militant stronghold in Pakistan.
[00:03:09.575 --> 00:03:12.956]  At least three people are dead in the attack near the Afghanistan border.
[00:03:13.717 --> 00:03:14.857]  Militants want the U.S.
[00:03:14.877 --> 00:03:19.780]  to stop sending drone-fired missiles into Pakistan's lawless northwest regions.
[00:03:20.549 --> 00:03:21.591]  Here's Snaha Tusi.
[00:03:21.631 --> 00:03:25.279]  The Taliban have warned that they're going to keep up suicide attacks until the U.S.
[00:03:25.299 --> 00:03:26.722]  stops these missile strikes.
[00:03:26.902 --> 00:03:31.451]  For the latest news and analysis, log on to IRNUSARadioNews.com
[00:03:34.102 --> 00:03:37.344]  Did you know the average household owes over $25,000 in credit card debt?
[00:03:37.424 --> 00:03:40.586]  And 65% of those households can only afford the minimum monthly payment.
[00:03:40.666 --> 00:03:42.368]  Are you in a debt trap you can't get out of?
[00:03:42.488 --> 00:03:43.248]  I can't keep this up.
[00:03:43.268 --> 00:03:44.249]  I need relief.
[00:03:44.449 --> 00:03:45.630]  Now you can rest easy.
[00:03:45.690 --> 00:03:48.512]  Debt Relief USA has helped thousands of people just like you.
[00:03:48.632 --> 00:03:53.315]  If you owe more than $10,000 in credit card debt, call the debt specialist at Debt Relief USA.
[00:03:53.335 --> 00:03:53.395]  866-452-5550.
[00:03:53.455 --> 00:03:54.415]  Get debt free now.
[00:03:54.455 --> 00:03:54.616]  Call 866-452-5550.
[00:03:54.656 --> 00:03:55.876]  That's 866-452-5550 for Debt Relief USA.
[00:04:06.104 --> 00:04:13.429]  Sounds of Houston fire trucks searching for five young children who died after their car slid into a rain swollen ditch.
[00:04:14.010 --> 00:04:17.212]  But police say heavy rains may not have been the only cause of the crash.
[00:04:17.873 --> 00:04:22.456]  A passenger tells police the driver lost control while trying to answer a cell phone.
[00:04:23.037 --> 00:04:25.678]  He's also been taken for a blood alcohol test.
