[00:00:00.529 --> 00:00:03.510]  Seminal film, Endgame, Blueprint for Global Enslavement.
[00:00:04.150 --> 00:00:20.916]  And I've been talking more and more about Endgame, Blueprint for Global Enslavement as of late because they've passed the total carbon tax takeover of all society is to be selectively enforced, home inspectors, federal zoning, they say they can throw you out of your house, no judge, no jury, total control, it's meant to create a post-industrial world.
[00:00:21.836 --> 00:00:38.402]  And Dr. Michael Kaufman, in my film, Endgame, and in the extra that's on PrisonPlanet.TV, Endgame 1.5, lays out their own documents where they want a planetary, tyrannical government to carry out forced sterilization, the end of the family, children being raised in government hives.
[00:00:39.943 --> 00:00:43.064]  Now, this was covered
[00:00:44.306 --> 00:00:52.134]  In detail, really all in one place, an 1100 page book titled Ecoscience, written by Obama's science czar.
[00:00:53.595 --> 00:01:00.141]  Who lied before Congress because some of his anti-population stuff had come out and said, no, I don't believe the government has a role in controlling population.
[00:01:00.521 --> 00:01:03.024]  This is a guy who believes in a one world government to carry this out.
[00:01:03.424 --> 00:01:10.050]  Al Gore last week in England said on television he wants a world government to carry out this program.
[00:01:10.250 --> 00:01:11.852]  And I have stacks of mainstream news.
[00:01:11.892 --> 00:01:13.733]  I'm going to show some of it in this hour.
[00:01:14.654 --> 00:01:23.398]  Where they say in the US, in Europe, in Canada, in Australia, babies are bad, one-child policy, taxes on the carbon of humans.
[00:01:23.758 --> 00:01:28.120]  They picked carbon because that's what humans exhale, two and a half pounds a day.
[00:01:28.900 --> 00:01:32.822]  Now our guest, Dr. Michael Coffin, we're about to go to break but I want to bring him up,
[00:01:36.459 --> 00:01:38.840]  He has a bachelor's in forestry and an M.S.
[00:01:38.940 --> 00:01:42.161]  in biology at Northern Arizona University and a Ph.D.
[00:01:42.181 --> 00:01:45.542]  in forest science at the University of Idaho.
[00:01:47.262 --> 00:01:52.884]  And he is a ecologist who is involved in ecosystem research for over 20 years in both academia and industry.
[00:01:53.564 --> 00:01:56.825]  And he's taught and worked across a wide spectrum including the U.S.
[00:01:56.885 --> 00:02:04.448]  Forest Service in developing an ecological land classification system for each of the national forests in Region 9 being used today.
[00:02:05.348 --> 00:02:15.473]  And he was instrumental in beating one of the big treaties in the 90s that would have given total control in these wilderness corridors, shutting down human activity.
[00:02:15.933 --> 00:02:25.517]  It's all about making us dependent, shutting off resources in a neo-feudal or neo-serf system so that we can't afford to even get married or have kids.
[00:02:25.677 --> 00:02:49.407]  And this is all stated, but it's stated in the United Nations Biological Diversity Assessment 96, and a part of it's stated in the State Department memorandum 200, and the CIA addendum to that, written by Kissinger, and it's restated in environmental policy reports, the Club of Rome reports, or in articles written by His Royal Highness the Duke of Edinburgh, or in statements in funding by Bill Gates or Ted Turner or Warren Buffet in eugenics.
[00:02:50.007 --> 00:02:55.209]  But this new report by Holdren, it's all in one place.
[00:02:56.601 --> 00:02:58.002]  And that's why this is so important.
[00:02:58.022 --> 00:03:15.275]  So when we come back, we're going to be talking to Dr. Michael Kaufman today about all the big developments with the greenhouse gas, what it will do, how it will control our lives, how the new Bank of the World will regulate global carbon taxes, and we will pay our money into this private group.
[00:03:16.275 --> 00:03:17.276]  And their own statements.
[00:03:18.337 --> 00:03:19.238]  Their own statements.
[00:03:20.240 --> 00:03:38.742]  uh... dealing with how this will be a managed economy and how we will pay our taxes to the new bank of the world this is gone from dr michael kaufman and myself with the documents being called kooks a decade ago and dr kaufman almost sheepishly saying i know this sounds kooky but here's the document to now hundreds of articles a week
[00:03:39.503 --> 00:03:44.926]  By the mainstream media admitting all this, but saying it's a good thing and we should accept it.
[00:03:44.946 --> 00:03:50.329]  So we're going to go through the mindset, the philosophy of these people and what the global carbon tax means.
[00:03:52.403 --> 00:03:57.707]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:03:58.247 --> 00:04:06.634]  Check out SupernaturalSilver.com today or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:04:06.814 --> 00:04:13.619]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:04:13.939 --> 00:04:15.941]  This new technology has proven itself.
[00:04:16.141 --> 00:04:19.443]  To be a formidable weapon against bio threats of today and tomorrow.
[00:04:19.683 --> 00:04:25.648]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:04:25.988 --> 00:04:32.272]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast and viruses.
[00:04:32.653 --> 00:04:37.036]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
