[00:00:02.572 --> 00:00:04.533]  Waging war on corruption.
[00:00:04.953 --> 00:00:15.476]  Alex Jones on the GCN Radio... Big Brother.
[00:00:16.136 --> 00:00:17.197]  Mainstream media.
[00:00:17.917 --> 00:00:19.017]  Government cover-ups.
[00:00:19.677 --> 00:00:20.498]  You want answers?
[00:00:21.258 --> 00:00:22.198]  Well, so does he.
[00:00:22.218 --> 00:00:26.459]  He's Alex Jones on the GCN Radio Network.
[00:00:27.000 --> 00:00:31.061]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.714 --> 00:00:40.815]  Well, well, well, here we are, ladies and gentlemen, and we are also live.
[00:00:41.535 --> 00:00:43.956]  Glad that you have joined us.
[00:00:44.756 --> 00:00:58.580]  It is Sunday, the 30th day of August 2009, and we are going to be live here for the next two hours with an incredibly, incredibly
[00:00:59.781 --> 00:01:01.101]  Important broadcast.
[00:01:01.902 --> 00:01:08.224]  Number one, I can't believe that we're almost up to the eighth anniversary of 9-11.
[00:01:08.264 --> 00:01:09.324]  Isn't that amazing?
[00:01:10.144 --> 00:01:11.104]  Time just flies.
[00:01:12.185 --> 00:01:15.506]  We have some big news coming up this year in and around 9-11.
[00:01:15.906 --> 00:01:19.267]  Just a little heads up to folks, a word of the wise.
[00:01:21.489 --> 00:01:32.878]  This is just amazing how all the issues we talked about over a decade ago and got called kooks are now just mainstream news, and the media just has debates about whether it's a good thing or not.
[00:01:34.880 --> 00:01:45.649]  And so not only do we cover the news, we unravel how they spin, how they manipulate, the different tricks that we've learned that the establishment dinosaur media uses.
[00:01:46.718 --> 00:02:08.125]  Here's one, Cheney says cooperation with CI Probe will depend, and you read the Reuters story, he's saying that he's basically above the law and that he may not comply with the presidential investigation, or congressional investigation for that matter, or justice department investigation, saying he's above the law.
[00:02:08.485 --> 00:02:10.386]  His own fourth branch of government.
[00:02:11.486 --> 00:02:13.207]  Not just saying the executive's above the law.
[00:02:15.367 --> 00:02:16.949]  Well, he's not above state grand juries.
