[00:00:03.720 --> 00:00:04.361]  Big Brother.
[00:00:05.021 --> 00:00:06.062]  Mainstream media.
[00:00:06.803 --> 00:00:07.884]  Government cover-ups.
[00:00:08.545 --> 00:00:09.365]  You want answers?
[00:00:10.146 --> 00:00:11.027]  Well, so does he.
[00:00:11.047 --> 00:00:15.331]  He's Alex Jones on the GCN Radio Network.
[00:00:15.892 --> 00:00:19.916]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.884 --> 00:00:32.609]  We are simulcasting the second half of the syndicated radio transmission, as we do every day, live at PrisonPlanet.tv, here from our radio slash TV studios.
[00:00:32.989 --> 00:00:34.990]  And yes, for viewers, you saw that right.
[00:00:35.010 --> 00:00:37.791]  For radio listeners, you go to RushLimbaugh.com, of all places.
[00:00:38.652 --> 00:00:42.494]  Top story on RushLimbaugh.com, Prison Planet.
[00:00:43.194 --> 00:00:47.436]  With hurricanes at 30-year low, Gore turns to Photoshop.
[00:00:47.896 --> 00:00:50.618]  And when you click on it, which we'll do live on air,
[00:00:52.125 --> 00:00:58.711]  When you click on it, it takes you to an article written by Paul Joseph Watson today.
[00:00:59.152 --> 00:01:03.596]  Now, Limbaugh's talked about us quite a few times, generally in a negative light.
[00:01:04.057 --> 00:01:06.919]  We were criticizing George W. Bush as a Newell Order puppet.
[00:01:07.760 --> 00:01:10.723]  And he's criticized us for believing there's a world government being set up.
[00:01:10.783 --> 00:01:12.024]  But Limbaugh's got a problem.
[00:01:12.862 --> 00:01:24.725]  Now the New York Times, the Associated Press, Financial Times, Reuters, Wall Street Journal, they're all announcing a private world government is being set up and they're going to fund the world government with carbon taxes.
[00:01:25.782 --> 00:01:29.003]  Well, Limbaugh is right, and then he's against carbon taxes.
[00:01:29.543 --> 00:01:31.383]  And so, thank you Rush Limbaugh.
[00:01:31.403 --> 00:01:32.724]  Thank you for linking to the article.
[00:01:33.464 --> 00:01:42.406]  It's a very strange feeling to start getting calls at about noon today from listeners that happen to hear Rush Limbaugh for large parts of the first hour of his show.
[00:01:42.586 --> 00:01:46.567]  Read the article by Paul Joseph Watson from PrisonPlanet.com.
[00:01:47.887 --> 00:01:50.369]  And that article, of course, is up at PrisonPlanet.com.
[00:01:50.389 --> 00:01:58.774]  With hurricanes at 30-year low, Gore turns to Photoshop, photoshopping in photographs of more hurricanes.
[00:01:58.834 --> 00:02:02.477]  And in fact, click on the article from PrisonPlanet.com.
[00:02:02.517 --> 00:02:06.940]  We can scroll down and show people the photoshopped photos.
[00:02:07.520 --> 00:02:15.826]  And Gore, of course, used fake graphs showing that after carbon dioxide is released in higher levels, that then the Earth warms.
[00:02:15.846 --> 00:02:17.347]  He actually flipped the graphs.
[00:02:18.127 --> 00:02:29.257]  When the official graphs came out in the months after his film, The Inconvenient Truth, it was pointed out that they had doctored the graphs.
[00:02:29.937 --> 00:02:33.380]  All the major universities, all the major governments, it was a fraud.
[00:02:34.141 --> 00:02:35.161]  When the earth gets warmer,
[00:02:36.149 --> 00:02:39.350]  It releases more carbon dioxide out of the ocean, out of the ice pack.
