[00:00:02.152 --> 00:00:04.660]  I'm good.
[00:00:06.218 --> 00:00:10.621]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:11.082 --> 00:00:11.882]  You want answers?
[00:00:12.663 --> 00:00:14.124]  Well, so does he.
[00:00:14.204 --> 00:00:18.047]  He's Alex Jones on the GCN Radio Network.
[00:00:18.387 --> 00:00:22.510]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.251 --> 00:00:26.413]  Well, we're into hour number two, and he's with us for 30 minutes.
[00:00:27.133 --> 00:00:33.498]  Joining us from the Fox Business Studios, he has the number one show on Fox Business with its premiere.
[00:00:37.370 --> 00:00:40.795]  Okay, ladies and gentlemen, we are live.
[00:00:40.855 --> 00:00:43.239]  Thank you so much for joining us.
[00:00:44.140 --> 00:00:47.485]  It is Sunday, the 11th day of July, 2010.
[00:00:47.525 --> 00:00:52.112]  We're going to be here for the next two hours live.
[00:00:57.046 --> 00:01:01.248]  And, you know, I really shouldn't talk about any of this incredibly important information I have in front of me.
[00:01:01.448 --> 00:01:09.791]  Just minutes ago, Spain scored a goal in the World Cup against the team they're playing, and there's only about a minute left in play.
[00:01:10.191 --> 00:01:17.254]  So it looks like the World Cup champions for 2010 in this round is Spain.
[00:01:17.935 --> 00:01:21.536]  Unless a miracle in the next minute or so happens.
[00:01:21.596 --> 00:01:22.176]  My goodness.
[00:01:22.817 --> 00:01:25.238]  That's what's really important here today.
[00:01:26.371 --> 00:01:28.032]  So important, why don't I even come in?
[00:01:28.852 --> 00:01:35.236]  But don't worry, we're going to talk about LeBron James and how he's going to Miami Heat and how he's leaving the Cleveland Cavaliers.
[00:01:35.316 --> 00:01:37.597]  We're going to cover the issues that are important.
[00:01:38.077 --> 00:01:41.699]  I'm not going to talk about Senate bill would make airport scanners mandatory.
[00:01:41.719 --> 00:01:45.981]  I'm not going to discuss all these top central bankers saying we're going to have a world depression.
[00:01:46.542 --> 00:01:50.644]  I won't talk about the Democrats saying they're going to lose the House and maybe even the Senate.
[00:01:51.929 --> 00:01:53.990]  I won't discuss the fact that U.S.
[00:01:54.050 --> 00:01:57.472]  creativity is down in a major national study.
[00:01:57.972 --> 00:02:07.097]  I won't get into new sanctions against Iran that are an act of war and our own government and Israel talking about a strike on Iran that could trigger World War III.
[00:02:07.137 --> 00:02:19.564]  We will talk about the World Cup and LeBron James here today, my friends, because these are the things that are really important to our children and our future as a society.
[00:02:22.483 --> 00:02:24.024]  Of course, I'm being sarcastic.
[00:02:24.064 --> 00:02:30.229]  We're going to talk about the serious issues that affect all of us individually.
[00:02:30.990 --> 00:02:38.175]  And it isn't just that people choose to only be concerned with celebrities and television shows and movies and sports.
[00:02:38.776 --> 00:02:41.138]  The government and the society, by design,
[00:02:42.273 --> 00:02:52.205]  Admit that going back close to 100 years ago, they purposefully tried to change the focus in this nation and worldwide to issues of bread and circus that were distractions.
[00:02:52.806 --> 00:02:56.691]  So I'm going to start the second segment coming up here in a few minutes.
[00:02:58.137 --> 00:03:13.846]  With the LeBron James situation and how it is a great diversion and then I'm going to get into all the other important news but Thursday I shot a little video at the end of the radio show that we posted on YouTube that's gotten on the web on YouTube right up at 400,000 views just with one version.
[00:03:15.143 --> 00:03:18.324]  And we'll be destined to have millions of views in the next week.
[00:03:18.844 --> 00:03:20.845]  And the Drudge Report linked to it got a lot of attention.
[00:03:22.305 --> 00:03:29.268]  And I'm pleased to say that over 90% of the people posting on the YouTube video, tens of thousands of comments, agreed with me.
[00:03:29.748 --> 00:03:30.788]  But some of them didn't.
[00:03:30.828 --> 00:03:38.871]  And I found their comments to be quite revealing about their mindset and about what's happened to a lot of people in this society where they actually get angry.
[00:03:39.491 --> 00:03:41.895]  We tried to get them to focus in on real issues.
[00:03:42.376 --> 00:03:49.808]  But we will be covering the latest on the oil spill that affects our economy, our society, our energy on so many fronts.
[00:03:50.856 --> 00:04:02.724]  What's going to happen even when hurricanes blow those hundreds of millions of gallons into Texas, Louisiana, Mississippi, Florida, Alabama, and then ultimately the East Coast as it goes around Florida in those currents?
[00:04:03.304 --> 00:04:05.446]  And we'll get into the economy, huge developments there.
[00:04:06.166 --> 00:04:10.930]  Also, Obama's spokesman says Democrats could lose the House and maybe even the Senate.
[00:04:11.829 --> 00:04:16.632]  Speaking of the Senate, as I said, Senate bill would make airport body scanners mandatory.
