[00:00:00.407 --> 00:00:01.507]  We've got it.
[00:00:01.688 --> 00:00:07.430]  This transmission is coming to you.
[00:00:07.530 --> 00:00:09.591]  Waging war on corruption.
[00:00:11.911 --> 00:00:21.415]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:21.555 --> 00:00:22.976]  We are go!
[00:00:23.036 --> 00:00:23.816]  Lift off!
[00:00:24.816 --> 00:00:26.537]  Houston, this is Cape Canaveral.
[00:00:30.484 --> 00:00:33.447]  It is the 20th day of March 2011.
[00:00:33.547 --> 00:00:44.116]  We're going to be live here for the next two hours, and I have a lengthy list here of key points that I want to go over today.
[00:00:46.238 --> 00:00:52.163]  Obviously, when we launch the full transmission in the next segment, I'm going to be getting into the latest
[00:00:53.832 --> 00:01:00.935]  unfolding NATO-UN bombardment, including 120-plus cruise missiles fired from U.S.
[00:01:01.035 --> 00:01:07.358]  vessels into Libya, mainly around Tripoli, softening them up for the ground invasion.
[00:01:07.819 --> 00:01:14.662]  They have two giant Marine Corps amphibious aircraft carriers off the coast of Tripoli.
[00:01:15.722 --> 00:01:19.104]  You notice now, an air war means a bombardment.
[00:01:20.123 --> 00:01:27.717]  Or the ground cover, the supposed no-fly zone, means bombardment.
[00:01:28.960 --> 00:01:31.705]  And Muammar Gaddafi, who's been big buddies with Obama,
[00:01:33.409 --> 00:01:43.338]  Big buddies with Tony Blair, big buddies with the current Prime Minister of England, hanging out with Herman von Ruppe of the EU.
[00:01:43.978 --> 00:01:50.064]  The weapons systems have been sold to him by England and by the United States and France.
[00:01:50.705 --> 00:01:55.729]  Their CIA, MI6, SAS backed forces have been defeated.
[00:01:56.804 --> 00:02:00.867]  Across Libya, the final big city to take was Benghazi of 700,000.
[00:02:01.747 --> 00:02:08.672]  And as soon as that happened, you really see the evidence that this was a globalist-backed destabilization program.
[00:02:08.992 --> 00:02:17.018]  They began openly flooding weapons in via Saudi Arabia into Egypt on the eastern side of Libya.
[00:02:18.800 --> 00:02:19.581]  This is incredible.
[00:02:19.641 --> 00:02:23.444]  This is amazing hypocrisy, and we're going to be breaking it all down.
[00:02:24.025 --> 00:02:29.490]  Also, the latest on the radiation cloud that began reaching the United States two days ago on Friday.
[00:02:30.051 --> 00:02:32.213]  Since then, almost no news in the U.S.
[00:02:32.273 --> 00:02:33.634]  about radiation detectors.
[00:02:34.154 --> 00:02:35.896]  Remember the first radiation that got here?
[00:02:37.077 --> 00:02:45.183]  On Friday was from the Friday before last in Japan when they just had a leak at the six reactor base Fukushima in northeastern Japan.
[00:02:46.524 --> 00:02:52.108]  Then on Saturday, Monday, Tuesday, Wednesday, Thursday, there were more explosions and fires at Fukushima.
[00:02:52.148 --> 00:03:01.215]  That heavier radiation, as well as the 600,000 spent fuel rods blown sky-high, the off-gassing and radiation from that headed our way.
[00:03:01.976 --> 00:03:03.337]  And because it's invisible,
[00:03:03.937 --> 00:03:13.102]  We're getting the same propaganda we got in the 40s, 50s, and 60s from the 300-plus above-ground tests carried out in the United States and in the Pacific.
[00:03:14.183 --> 00:03:15.103]  Don't worry about it.
[00:03:15.163 --> 00:03:16.024]  It's not a problem.
[00:03:16.837 --> 00:03:20.440]  They say, oh, the radiation's only double in some areas what it should be.
[00:03:20.860 --> 00:03:21.660]  That's no big deal.
[00:03:22.021 --> 00:03:23.442]  Well, that's background radiation.
[00:03:23.482 --> 00:03:35.871]  But if one of those little particles that's highly radiated, that's not being picked up by detectors, you breathe that, you die a year, ten years, twenty years down the road from it, that's plausible deniability.
[00:03:36.854 --> 00:03:43.459]  So we're going to be breaking all of that down as well today on the other side of this quick break.
[00:03:44.099 --> 00:03:52.806]  Also, the Liberty Dollar creator convicted in federal court, the Citizen Times out of Asheville,
[00:03:54.315 --> 00:04:02.104]  And I have the Department of Justice press release where they talk about it being domestic terrorism to print your own silver or gold coins.
[00:04:02.704 --> 00:04:08.551]  I guess that Montana legislature wants gold and silver in some state transactions.
[00:04:08.591 --> 00:04:09.592]  I guess they're terrorists?
[00:04:11.260 --> 00:04:12.441]  Or what about this article?
[00:04:12.521 --> 00:04:15.863]  Legislature says the state needs its own currency.
[00:04:16.904 --> 00:04:19.626]  This out of North Carolina.
[00:04:20.246 --> 00:04:21.808]  There are dozens of U.S.
[00:04:21.868 --> 00:04:25.090]  cities that have had their own currencies for decades.
[00:04:25.951 --> 00:04:30.654]  But now the system is saying it's illegal to print your own silver or gold.
[00:04:30.894 --> 00:04:33.616]  I mean, there's thousands of companies putting out commemorative coins.
[00:04:34.136 --> 00:04:36.858]  Another big sign of big fat tyranny.
[00:04:37.842 --> 00:04:41.506]  Also, the National Guard to leave Mexico border in June.
[00:04:41.567 --> 00:04:44.910]  The Southwest border to be left unguarded even more.
[00:04:45.631 --> 00:04:49.256]  That's actually constitutional to have troops down there, but no, sorry.
[00:04:49.636 --> 00:04:54.642]  They got to be all over the Middle East, Central Asia, and of course, North Africa.
[00:04:54.682 --> 00:04:55.183]  Stay with us.
[00:04:59.090 --> 00:05:03.313]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:05:03.633 --> 00:05:04.234]  Number 1.
[00:05:04.554 --> 00:05:07.696]  New climate legislation could easily double or triple your electric bill.
[00:05:07.977 --> 00:05:08.537]  Number 2.
[00:05:08.837 --> 00:05:13.381]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:13.721 --> 00:05:14.161]  It's true.
[00:05:14.461 --> 00:05:19.025]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:19.345 --> 00:05:19.885]  Number 3.
[00:05:20.166 --> 00:05:23.448]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:23.748 --> 00:05:27.451]  And now, new socialist legislation is only compounding the problem.
[00:05:27.651 --> 00:05:28.211]  Number four.
[00:05:28.451 --> 00:05:30.812]  Dangerous weather is always a threat to local grids.
[00:05:31.212 --> 00:05:34.593]  Every year, thousands of families lose their power from weather-related outages.
[00:05:34.893 --> 00:05:35.433]  Number five.
[00:05:35.673 --> 00:05:39.594]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:39.814 --> 00:05:44.596]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:44.876 --> 00:05:48.897]  You can get more information at www.mysolarbackup.com.
[00:05:49.037 --> 00:05:50.598]  That's mysolarbackup.com.
[00:05:50.838 --> 00:05:55.439]  Remember, the government doesn't own the sun, so go to mysolarbackup.com, or call 1-866-422-9000.
[00:05:56.681 --> 00:06:05.137]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:06:05.478 --> 00:06:07.762]  Because there's a war on for your mind.
[00:06:12.844 --> 00:06:14.645]  Thank you for joining us.
[00:06:14.845 --> 00:06:17.868]  It is Sunday, the 20th day of March, 2011.
[00:06:18.408 --> 00:06:26.154]  We're going to be here roughly for the next two hours, then of course back Monday through Friday from 11 a.m.
[00:06:26.654 --> 00:06:27.314]  to 2 p.m.
[00:06:27.515 --> 00:06:29.116]  Central Standard Time.
[00:06:29.516 --> 00:06:32.398]  A lot of new stations out there joining us today.
[00:06:32.418 --> 00:06:36.821]  I want to thank all of them for tuning in and carrying the broadcast.
[00:06:36.921 --> 00:06:37.162]  Okay.
[00:06:38.186 --> 00:06:43.150]  I have three stacks of extremely important news to cover today.
[00:06:43.911 --> 00:06:56.802]  First off, the huge unfolding NATO-UN-US strikes on the dictator's stronghold in Tripoli in the country of Libya.
[00:06:57.342 --> 00:07:01.446]  We're going to be breaking all of that down today.
[00:07:02.346 --> 00:07:06.010]  I've got more than 50 articles on that front.
[00:07:06.977 --> 00:07:31.902]  Then we're going to get into the latest developments in the sixth nuclear reactor center at Fukushima in Japan, the site of multiple partial meltdowns, two cores exposed, giant explosions at Fukushima 1 and 3, ejecting hundreds of thousands of spent fuel rods stored on top of the reactors sky-high.
[00:07:32.762 --> 00:07:44.506]  The first radiation arrived Friday from a week previous, the Friday before last, or about nine days ago, when Fukushima was hit by the tsunami caused by the earthquake.
[00:07:45.006 --> 00:07:46.547]  That's the light radiation.
[00:07:47.047 --> 00:07:58.651]  The heavier radiation is reported coming across the Pacific Ocean from the giant explosions and fires and smoke that are still emanating from reactors 1, 3, 2, and 4.
[00:08:00.512 --> 00:08:06.598]  The good news is reactors 5 and 6 have been successfully shut down and recooled.
[00:08:07.039 --> 00:08:21.855]  But many nuclear physicists we've interviewed, like Dr. Bob Bowman, Dr. Busby, and others, clearly have said this is obviously worse than the 1986 disaster at Chernobyl in the Ukraine outside Kiev.
[00:08:22.375 --> 00:08:25.397]  That was a small reactor compared to just Fukushima-3.
[00:08:25.777 --> 00:08:30.920]  That is a MaxCorp Mark I General Electric plutonium-based reactor.
[00:08:31.821 --> 00:08:44.068]  Back in the 70s when these were developed and built, many General Electric engineers resigned over the danger of using weapons-grade plutonium, a byproduct of weapons development, in the reactors.
[00:08:44.128 --> 00:08:45.709]  That is all coming up.
[00:08:46.618 --> 00:08:50.621]  But first, I want to cover the developments in Tripoli.
[00:08:51.161 --> 00:08:53.563]  Let me say this succinctly and clearly.
[00:08:54.204 --> 00:08:57.666]  Muammar Gaddafi is a dictator.
[00:08:58.286 --> 00:09:03.931]  Muammar Gaddafi is an individual at the same time, compared to many other dictators,
[00:09:04.611 --> 00:09:06.152]  That is a true socialist.
[00:09:06.513 --> 00:09:08.114]  I don't like socialism.
[00:09:08.874 --> 00:09:22.004]  But many historians and philosophers and sociologists, anthropologists, political scientists have stated that if you're going to have socialism, it can only be delivered by a dictator who has no competition.
[00:09:22.845 --> 00:09:31.153]  True socialism can only be delivered by that, because if it's a regular political system, the socialist government class will steal all the money for themselves.
[00:09:31.253 --> 00:09:43.584]  But, through a philosopher king, be he corrupt or not corrupt, you can actually have some largesse, or the trillions in oil that have been shipped out of Libya in the last 40 plus years of his dictatorship.
[00:09:43.844 --> 00:09:45.966]  He's actually built big buildings, schools,
[00:09:46.687 --> 00:09:48.488]  I do not support Muammar Gaddafi.
[00:10:08.467 --> 00:10:25.579]  At the same time, I do not support the hypocrisy, the lies, the fraud, the corruption, the disinformation, the fairytale land that has been sold to us by the French, the British, the UN, and the so-called US government that's been hijacked.
[00:10:27.040 --> 00:10:37.126]  Ladies and gentlemen, it's on record Tony Blair, it's on record the new British Prime Minister, it's on record Sarkozy, Herman Van Rompuy, the head of the EU,
[00:10:38.573 --> 00:10:47.460]  In just the last few years, hanging out with Muammar Gaddafi, selling him armaments, saying that he was now a good dictator.
[00:10:48.141 --> 00:10:56.067]  In every major Muslim country, in Bahrain, in Yemen, the list goes on and on.
[00:10:56.267 --> 00:11:04.354]  They are dictators, either oligarch dictators or royal dictators, royal families.
[00:11:05.305 --> 00:11:09.648]  In Yemen, in Bahrain, in the last week, they're machine-gunning people on the street.
[00:11:10.208 --> 00:11:12.089]  They are attacking crowds with tanks.
[00:11:12.950 --> 00:11:16.953]  Everything that Muammar Gaddafi has been attacked for.
[00:11:17.433 --> 00:11:18.774]  Now, let's look at Gaddafi.
[00:11:19.654 --> 00:11:20.955]  I've seen the Western journalists.
[00:11:20.975 --> 00:11:21.976]  I've seen the live footage.
[00:11:22.576 --> 00:11:23.857]  They're not arresting journalists.
[00:11:24.538 --> 00:11:29.881]  They, it turned out, did not strafe crowds of protesters that are flying their own jet aircraft and driving tanks.
[00:11:30.241 --> 00:11:31.082]  Western-backed rebels.
[00:11:32.318 --> 00:11:41.009]  They are not, he did not a month ago, and then three weeks ago, and then two weeks ago, run to Venezuela as the British government said they confirmed.
[00:11:41.269 --> 00:11:43.652]  That was to destabilize and make the rebels think they'd won.
[00:11:44.253 --> 00:11:47.297]  He did not run to Zimbabwe, north of South Africa.
[00:11:48.530 --> 00:11:50.371]  He did not strafe crowds.
[00:11:50.751 --> 00:11:59.897]  That, since then, just like they claimed Saddam Hussein, U.S.-backed dictator, in 1990, they claimed he had thrown babies out of incubators in Kuwait.
[00:12:00.418 --> 00:12:01.458]  Turned out that was a lie.
[00:12:01.538 --> 00:12:02.499]  That's admitted to be a lie.
[00:12:03.440 --> 00:12:05.161]  See, I don't like being lied to.
[00:12:05.241 --> 00:12:07.282]  So, why is the West there?
[00:12:08.063 --> 00:12:15.928]  Because there is hundreds and hundreds and hundreds of billions of dollars of oil every year shipped out of there to Europe.
[00:12:16.764 --> 00:12:17.805]  Mainly to Italy.
[00:12:18.145 --> 00:12:18.605]  Predominantly.
[00:12:18.625 --> 00:12:19.786]  They're the biggest supplier to Italy.
[00:12:21.687 --> 00:12:24.128]  That's something the big oil companies don't control.
[00:12:25.349 --> 00:12:27.150]  And that's why we see this happening.
[00:12:27.410 --> 00:12:29.111]  Do you hear complaints about Yemen?
[00:12:29.612 --> 00:12:30.432]  Or Bahrain?
[00:12:30.852 --> 00:12:33.154]  Or countless other Arab dictatorships?
[00:12:33.254 --> 00:12:34.334]  Machine gunning crowds?
[00:12:34.875 --> 00:12:35.155]  No!
[00:12:35.755 --> 00:12:39.817]  You hear nothing about that because they don't have oil and they're in bed with the globalists.
[00:12:40.118 --> 00:12:45.321]  Do you hear about Saudi Arabia that will behead Christians for teaching the word?
[00:12:46.161 --> 00:12:46.401]  No.
[00:12:47.022 --> 00:12:48.723]  Do you hear about any of that?
[00:12:48.883 --> 00:12:49.103]  No.
[00:12:49.183 --> 00:12:52.426]  You hear zero because they're allies of the globalists.
[00:12:52.486 --> 00:12:54.167]  Not America, but the bankers.
[00:12:54.687 --> 00:12:55.748]  Here's the other big issue.
[00:12:57.369 --> 00:13:00.031]  And I'll put this on screen for PrisonPlanet.tv viewers.
[00:13:01.632 --> 00:13:06.896]  You notice, you notice that
[00:13:09.892 --> 00:13:24.077]  The United Nations last Thursday night put out this call, put out this resolution, 10 to 0, to have, quote, a no-fly zone, which said including bombardment and invasion.
[00:13:25.256 --> 00:13:35.263]  And you notice the invasion, the ongoing softening for the invasion, with two Marine Corps amphibious assault carriers waiting right off the coast of Tripoli.
[00:13:36.023 --> 00:13:41.527]  You notice that the United Nations has now launched British, French,
[00:13:42.407 --> 00:13:51.258]  Attack aircraft, bombing emplacements all over Libya controlled by Muammar Gaddafi, military bases, civilian deaths, you name it.
[00:13:51.278 --> 00:13:53.060]  120 plus U.S.
[00:13:53.120 --> 00:13:57.986]  cruise missiles have been launched into the country from ships off the coast.
[00:13:58.367 --> 00:14:01.611]  That is an amazingly powerful no-fly zone, is it not?
[00:14:02.765 --> 00:14:08.746]  I saw a story about, yesterday, about the rebels having their own aircraft, the rebels having their own tanks.
[00:14:09.507 --> 00:14:11.107]  These are not protesters.
[00:14:11.627 --> 00:14:23.210]  These are Western-backed, British SAS, a week and a half ago, got captured, Special Air Services Commandos, got arrested inside Libya running these operations.
[00:14:23.250 --> 00:14:24.110]  So let's be honest.
[00:14:24.830 --> 00:14:34.939]  The United Nations, as Obama said Friday in his speech, this is part of globalism, the United Nations gave the order and the British, the French, and the U.S.
[00:14:35.019 --> 00:14:37.862]  and NATO all began launching attacks.
[00:14:39.083 --> 00:14:45.609]  This is a United Nations operation, not declared by Congress, not with set out goals as
[00:14:46.718 --> 00:14:49.880]  The Speaker of the House, Boehner, has said to Obama, define the mission.
[00:14:50.320 --> 00:14:58.045]  Well, sorry, the UN, the United Nations, is setting out the mission and running this.
[00:14:58.706 --> 00:15:06.511]  And Qaddafi has handed out over a million AK-47s to his population to resist the invasion.
[00:15:07.051 --> 00:15:10.873]  This will be Cobra gunships, Apache gunships, F-16s, F-15s, British
[00:15:15.660 --> 00:15:25.683]  Jump jets, Harriers, French aircraft backing up the rebels as they try to retake the cities they've taken over.
