[00:00:00.009 --> 00:00:01.982]  This is Alex Jones.
[00:00:24.557 --> 00:00:27.118]  Ladies and gentlemen, we are live.
[00:00:27.158 --> 00:00:29.980]  Thank you so much for joining us today.
[00:00:30.000 --> 00:00:39.785]  It, of course, is the third day of May, 2011, and we are going to be live here for at least the next three hours.
[00:00:40.706 --> 00:00:52.412]  Joining us yet again is General Hamid Gul, the former head of Pakistani intelligence, will be joining us coming up
[00:00:53.352 --> 00:01:05.960]  In about 35 minutes from now, we also have James Corbett of the Corbett Report joining us to give us his analysis of what's happening with the whole Bin Laden situation.
[00:01:06.660 --> 00:01:16.286]  And Owen JJ Stone, a technology commentator, is not buying the official narrative, so we're going to be talking with him as well today.
[00:01:18.382 --> 00:01:26.214]  Something interesting has happened in the last 48 hours since the Sunday evening pronouncement of the president.
[00:01:28.138 --> 00:01:31.823]  All over the world, people are not buying the official story.
[00:01:33.081 --> 00:01:43.047]  And Sunday night and Monday morning, you were laughed at by the mainstream dinosaur-dying, discredited, lying media, if you questioned it.
[00:01:43.067 --> 00:01:45.208]  And they acted like it was very kooky.
[00:01:46.109 --> 00:01:49.071]  And the Washington Post called me and said, this is like the Elvis.
[00:01:50.840 --> 00:01:51.880]  I don't know.
[00:02:11.426 --> 00:02:16.854]  Out of hand believe this and then they dump the body at sea they claim and they're going to supposedly show a video of that.
[00:02:18.537 --> 00:02:26.108]  I guess they've got a wax figurine from Madame Couteau's or whatever her name is, a wax museum.
[00:02:27.179 --> 00:02:29.080]  And they're going to throw it in the water.
[00:02:29.120 --> 00:02:30.300]  I mean, this is just ridiculous.
[00:02:30.521 --> 00:02:34.522]  And then they put out the fake photo in the first 12, 14 hours and say it's real.
[00:02:34.562 --> 00:02:35.423]  Then they retract it.
[00:02:35.843 --> 00:02:37.604]  Now they've got a new photo coming out.
[00:02:38.584 --> 00:02:46.288]  They also admit now that he didn't use his wife as a human shield in the official narrative, that he didn't fight back.
[00:02:47.408 --> 00:02:51.951]  And they're telling on themselves for lying so that you'll believe the general story.
[00:02:51.971 --> 00:02:53.852]  That's a psychological warfare trick.
[00:02:54.193 --> 00:02:55.534]  The whole thing's a lie, guaranteed.
[00:02:55.554 --> 00:02:59.236]  The evidence, the stink, the cut of the garment.
[00:03:00.157 --> 00:03:04.420]  As I said yesterday, Dr. Paul Craig Roberts is out today saying this reeks of a hoax.
[00:03:05.440 --> 00:03:06.981]  Cindy Sheehan is saying the same thing.
[00:03:07.001 --> 00:03:09.523]  Many government people are saying they don't buy this.
[00:03:10.023 --> 00:03:14.146]  And we're really seeing the geopolitical reasons for this shaping up.
[00:03:14.506 --> 00:03:16.768]  What they want to do domestically in the West with, oh no,
[00:03:17.908 --> 00:03:21.329]  The TSA is validated in sticking their hands down your pants.
[00:03:21.669 --> 00:03:23.690]  There's going to be more of this now, not less.
[00:03:25.390 --> 00:03:32.532]  And oh, if we go to Central Asia, oh my, the Pakistanis obviously knew bin Laden was there.
[00:03:37.878 --> 00:03:41.819]  The drone attacks need to start and the aid needs to be cut.
[00:03:42.679 --> 00:03:44.780]  And we might have to have war with these people.
[00:03:45.260 --> 00:03:54.503]  Funny, in the last month we've had all these guests on, experts, and it's come out in the news that the Saudis have run to Pakistan for their nuclear umbrella.
[00:03:54.843 --> 00:03:56.643]  They know they're being double-crossed by the West.
[00:03:57.043 --> 00:04:01.565]  The Saudis have cut oil production as a response to the fact that it's now on record that many of the
[00:04:02.833 --> 00:04:06.817]  Jihadists being stirred up and funded, are being funded out of the U.S.
[00:04:06.837 --> 00:04:08.839]  State Department and out of 10 Downing Street.
[00:04:09.680 --> 00:04:10.821]  That's not even debated now.
[00:04:11.481 --> 00:04:17.147]  And the Arabs understand they're being double-crossed, the Arab dictators and oligarchies that have worked with them.
[00:04:17.627 --> 00:04:25.055]  And so as soon as Pakistan starts trying to bust the gates and get out of San Quentin, magically all this happens.
[00:04:25.655 --> 00:04:31.042]  So we're going to go over all of it today and the intensifying evidence that it's fraud.
[00:04:31.563 --> 00:04:33.185]  But something interesting has happened now.
[00:04:33.746 --> 00:04:35.188]  More and more people aren't buying it.
[00:04:35.208 --> 00:04:35.769]  We'll be right back.
