[00:00:04.613 --> 00:00:05.254]  Big Brother.
[00:00:05.914 --> 00:00:06.955]  Mainstream media.
[00:00:07.696 --> 00:00:08.817]  Government cover-ups.
[00:00:09.458 --> 00:00:10.258]  You want answers?
[00:00:11.039 --> 00:00:12.000]  Well, so does he.
[00:00:12.580 --> 00:00:16.204]  He's Alex Jones on the GCN Radio Network.
[00:00:16.784 --> 00:00:20.888]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.523 --> 00:00:41.008]  We have an absolutely, completely jam-packed Friday edition for you.
[00:00:41.208 --> 00:00:45.952]  It is the 10th day of June, 2011 on this Friday edition.
[00:00:46.672 --> 00:00:51.757]  Mark Anderson of American Free Press at Bilderberg 2011 in St.
[00:00:51.797 --> 00:00:55.120]  Moritz, Switzerland, where the big protest is coming down high noon.
[00:00:55.140 --> 00:00:57.121]  Tomorrow will be joining us, coming up in the next segment.
[00:00:57.582 --> 00:01:00.664]  Then Jim Tucker's popping in, Charlie Skelton also at Bilderberg.
[00:01:01.925 --> 00:01:17.877]  London Guardian reporter Bob Chapman will join us for 30 minutes and then Aaron Dykes and Paul Watson will be hosting the show from Bilderberg in the third hour because I've got to go jump on an airplane to go to New York for the keynote address at Talkers and I'll be recapping all these guests coming up a little bit later in the hour.
[00:01:18.438 --> 00:01:20.339]  It is total complete meltdown.
[00:01:21.440 --> 00:01:22.500]  of news and information.
[00:01:23.000 --> 00:01:34.082]  So much is happening as new wars start, as new bombardments start, as new drone attacks start in new countries in the Middle East.
[00:01:34.222 --> 00:01:35.422]  It is wild.
[00:01:36.283 --> 00:01:38.663]  We've got incredible escalations in NATO.
[00:01:38.723 --> 00:01:47.044]  We've got Secretary of Defense Gates coming out and questioning the future of NATO, saying they're pathetic.
[00:01:48.105 --> 00:01:49.505]  And he said, to be really blunt,
[00:01:50.825 --> 00:01:53.688]  Is that there will be dwindling appetite and patience in the U.S.
[00:01:53.748 --> 00:01:55.749]  Congress and the American body politic.
[00:01:56.210 --> 00:01:58.171]  They admit that they are losing in Libya.
[00:01:58.332 --> 00:01:59.993]  It is just unbelievable.
[00:02:01.354 --> 00:02:05.137]  Unbelievable splits happening inside the global power structure.
[00:02:05.157 --> 00:02:08.701]  And Gates did criticize the attack on Libya from the beginning.
[00:02:09.557 --> 00:02:10.418]  I don't think so.
[00:02:31.257 --> 00:02:37.060]  Presidential campaign have quit and gone to Rick Perry, but Perry pledged months ago to never run for president.
[00:02:37.561 --> 00:02:39.241]  Because he cares about Texas!
[00:02:39.342 --> 00:02:40.702]  It's Texas!
[00:02:41.983 --> 00:02:49.067]  I want to force you to take Gardasil shots, and no, I'm not going to put the Gropenbill, anti-Gropenbill, back on the agenda.
[00:02:49.087 --> 00:02:51.989]  And I'm from Napa Superhighway, and I hang out at Bilderberg.
[00:02:52.429 --> 00:02:59.133]  But I'm from Texas, and I wear a cowboy hat, and mind you, you can trust me.
[00:02:59.893 --> 00:03:01.297]  So that's going on.
[00:03:01.337 --> 00:03:05.829]  GOP consultants expecting Newt's guys to jump to Perry and that's now happened.
[00:03:07.000 --> 00:03:11.141]  And Romney to skip Iowa GOP Florida straw poll.
[00:03:11.161 --> 00:03:18.822]  We're going to be breaking that down more on the E. coli deaths reaching 30 over in Europe.
[00:03:19.983 --> 00:03:23.383]  We've got absolutely incredible financial news today.
[00:03:23.963 --> 00:03:26.244]  Here's the top story at InfoWars.com.
[00:03:27.004 --> 00:03:29.124]  It's also the top story at DrudgeReport.com.
[00:03:29.264 --> 00:03:32.125]  China's rating house says U.S.
[00:03:33.676 --> 00:03:35.477]  Already defaulting.
[00:03:36.198 --> 00:03:41.742]  Now, for several years I've told you, they're already defaulting on countries that bought the Treasury bills.
[00:03:42.082 --> 00:03:43.323]  They're devaluing them.
[00:03:43.643 --> 00:03:45.004]  They're hyperinflating them.
[00:03:46.104 --> 00:03:48.206]  We're going into the final phase of this.
[00:03:48.866 --> 00:03:52.729]  You could pay 70 billion quadrillion.
[00:03:55.123 --> 00:03:56.624]  And it couldn't pay all this off.
[00:03:56.644 --> 00:03:57.825]  You could pay infinity.
[00:03:58.165 --> 00:04:02.649]  The banksters will always inflate it more to get you into the debt black hole.
[00:04:02.769 --> 00:04:04.691]  It's designed to do what it's done.
[00:04:05.691 --> 00:04:07.793]  It's economic parasitic behavior.
