[00:00:05.531 --> 00:00:06.172]  Big Brother.
[00:00:06.832 --> 00:00:07.873]  Mainstream media.
[00:00:08.594 --> 00:00:09.755]  Government cover-ups.
[00:00:10.376 --> 00:00:11.176]  You want answers?
[00:00:11.957 --> 00:00:12.918]  Well, so does he.
[00:00:13.498 --> 00:00:17.122]  He's Alex Jones on the GCN Radio Network.
[00:00:17.682 --> 00:00:21.806]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.394 --> 00:00:30.276]  Well, this is going to be a jam-packed broadcast today.
[00:00:30.397 --> 00:00:31.697]  It is the 18th day of July, 2011.
[00:00:33.178 --> 00:00:43.485]  On this Monday edition, obviously, gold has surged past $1,600 an ounce in the middle of its historically dead period, the summer.
[00:00:45.643 --> 00:00:52.925]  There is all this diversionary talk about the debt ceiling, and I continue to get calls and emails saying, why aren't you talking more about it?
[00:00:52.985 --> 00:00:58.127]  Because as Ron Paul said a month ago, it is all rearranging deck chairs on the Titanic.
[00:00:59.828 --> 00:01:09.751]  We have signed on to the 1.5 quadrillion that we have been induced to sign on to by our terrorist politicians, financial terrorist politicians.
[00:01:11.104 --> 00:01:16.566]  And you could give the bankers all the wealth in the world, it wouldn't pay off a fraction.
[00:01:18.427 --> 00:01:25.630]  I mean, do you remember even what the Chinese talked about months ago?
[00:01:25.690 --> 00:01:29.931]  They said the United States has already technically defaulted on its debt.
[00:01:29.951 --> 00:01:33.553]  And that's what's happened with the QE1, QE2, now QE3.
[00:01:33.593 --> 00:01:36.074]  So we're going to be discussing
[00:01:37.170 --> 00:01:39.412]  That today, we're going to go over the economy.
[00:01:39.552 --> 00:01:41.853]  I told you Rick Perry was going to run for president.
[00:01:42.634 --> 00:01:47.937]  And his whole pledge that he wouldn't run was a pledge he always meant and intended to break.
[00:01:48.377 --> 00:01:51.900]  We're going to be going over that news as well.
[00:01:54.041 --> 00:01:55.262]  I haven't talked a lot about this.
[00:01:55.302 --> 00:01:56.483]  I've talked about it some.
[00:01:56.903 --> 00:01:59.124]  And yes, I will discuss it coming up.
[00:02:00.165 --> 00:02:02.187]  The fellow that heads up Bilderberg.
[00:02:03.447 --> 00:02:07.911]  Major website, Bilderberg.org, Tony Gosling, great reporter.
[00:02:08.371 --> 00:02:10.353]  He's been following us closely from London.
[00:02:10.373 --> 00:02:12.295]  He'll be joining us in 30 minutes.
[00:02:12.695 --> 00:02:22.543]  The entire News Corps crises with two police chiefs, the police commissioner and the head of Scotland Yard, having to resign the last 24 hours.
[00:02:22.643 --> 00:02:28.648]  The head of the News Corps in England, in the UK, arrested as you know.
[00:02:30.240 --> 00:02:35.703]  Overhacking people's phones to get news stories.
[00:02:35.763 --> 00:02:39.544]  And I think that's wrong, and they should get in trouble for it.
[00:02:39.664 --> 00:02:44.767]  But meanwhile, I've been following this for the last week, thinking the police would do something.
[00:02:45.347 --> 00:02:55.432]  Millionaire six-year-old son dies from a mysterious accident at a mansion where his father's lover was found hanging naked with her arms and legs bound.
[00:02:56.252 --> 00:03:01.957]  And the police are saying this is just like Pulitzer Prize winner Gary Webb's death, shot twice in the back of the head with a shotgun.
[00:03:01.997 --> 00:03:06.901]  They said that was quite normal for you to shoot yourself twice in the head, back of the head with a shotgun.
[00:03:06.921 --> 00:03:13.366]  Kind of like Fannie Malick, the Arkansas medical examiner, would rule that people that were chopped up and burned had done it to themselves.
[00:03:13.386 --> 00:03:14.887]  That's right, chop your arms and legs off.
[00:03:15.668 --> 00:03:19.251]  So, this is what I said with Dominique Strauss-Kahn.
[00:03:19.291 --> 00:03:19.911]  I don't like him.
[00:03:19.951 --> 00:03:20.712]  He's a globalist.
[00:03:22.873 --> 00:03:28.735]  I hate their policies, but the fact that he would get busted for reported rape, that is suspicious.
[00:03:28.775 --> 00:03:37.978]  Then we learned Sarkozy had spies on him, announced he'd been arrested before he'd even been arrested, before it was even in the news, via their Twitter, his Karl Rove, his political hatchet guy did.
[00:03:39.118 --> 00:03:40.559]  And now we learned the whole thing was a fraud.
[00:03:42.019 --> 00:03:47.081]  So, I'm just telling you, with this Rupert Murdoch deal, they are announcing emergency parliament session.
[00:03:48.701 --> 00:03:55.168]  We've got good intel that they are currently planning to launch a war in Iran in September.
[00:03:56.570 --> 00:04:05.159]  And Bob Baer, the former top CIA officer in the Middle East, is saying that it's green-lighted, but it could still be called off.
[00:04:05.520 --> 00:04:06.681]  Debka Files reporting that.
[00:04:06.701 --> 00:04:07.662]  We got a big report.
[00:04:07.682 --> 00:04:09.664]  We got that from inside Bilderberg as well this year.
[00:04:12.017 --> 00:04:14.939]  Meanwhile, they're getting ready to launch all these new wars.
[00:04:14.959 --> 00:04:16.600]  They're getting ready to ground-invade Libya.
[00:04:17.020 --> 00:04:23.885]  So Qaddafi finally got the word and is finally actually saying, yes, I may step down if I'm given a deal and allowed to leave.
[00:04:24.992 --> 00:04:27.034]  So I hope something's brokered with Iran.
[00:04:28.616 --> 00:04:33.762]  The word is their government may remove Ahmadinejad in the next month to avert this attack.
[00:04:34.363 --> 00:04:43.893]  The point is we got bigger issues going on here than DSK and Rupert Murdoch and his, you know, reported dirty activities.
[00:04:44.915 --> 00:04:47.317]  But, nevertheless, I will cover that.
[00:04:47.958 --> 00:04:56.045]  The economy, Rick Perry, five dead in attack on Chinese police station, riots going on all over China, globalists sell us China as this wonderful panacea.
[00:04:56.365 --> 00:04:58.247]  Truth is, it's teetering on the verge of collapse.
[00:04:58.707 --> 00:04:59.868]  The entire world is.
[00:05:00.649 --> 00:05:04.891]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:05:05.191 --> 00:05:05.791]  Number 1.
[00:05:06.111 --> 00:05:09.273]  New climate legislation could easily double or triple your electric bill.
[00:05:09.533 --> 00:05:10.093]  Number 2.
[00:05:10.393 --> 00:05:14.955]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:15.295 --> 00:05:15.735]  It's true.
[00:05:16.035 --> 00:05:20.597]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:20.898 --> 00:05:21.438]  Number 3.
[00:05:21.718 --> 00:05:24.999]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:25.299 --> 00:05:29.001]  And now, new socialist legislation is only compounding the problem.
[00:05:29.221 --> 00:05:29.762]  Number 4.
[00:05:30.022 --> 00:05:32.385]  Dangerous weather is always a threat to local grids.
[00:05:32.765 --> 00:05:36.169]  Every year, thousands of families lose their power from weather-related outages.
[00:05:36.469 --> 00:05:36.669]  Number 5.
[00:05:37.250 --> 00:05:41.174]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:41.395 --> 00:05:46.160]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:46.440 --> 00:05:50.463]  You can get more information at www.mysolarbackup.com.
[00:05:50.603 --> 00:05:52.164]  That's mysolarbackup.com.
[00:05:52.404 --> 00:05:54.486]  Remember, the government doesn't own the sun.
[00:05:54.646 --> 00:05:57.008]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:01.798 --> 00:06:05.421]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:06:05.822 --> 00:06:08.825]  This is our last chance to not relive history.
[00:06:09.065 --> 00:06:13.869]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:06:14.230 --> 00:06:20.115]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:06:20.255 --> 00:06:22.498]  I think it's incumbent upon all of us
[00:06:23.038 --> 00:06:23.318]  Tim Geithner?
[00:06:23.338 --> 00:06:23.759]  Bernanke?
[00:06:23.839 --> 00:06:24.459]  They're arsonists!
[00:06:24.519 --> 00:06:25.780]  They're asking for more matches!
[00:06:25.800 --> 00:06:28.042]  And the Congress is saying, who do we make the check out to?
[00:06:41.934 --> 00:06:43.776]  Today, it seems like nobody does care.
[00:06:44.056 --> 00:06:48.902]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:06:49.202 --> 00:06:58.332]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:07:02.264 --> 00:07:05.905]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:07:06.225 --> 00:07:14.346]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
