[00:00:06.190 --> 00:00:12.232]  Yes, my friends, you've got the right radio broadcast.
[00:00:29.797 --> 00:00:43.315]  It is December 25th, 2011, and this year has basically come and go, or in the last few seconds, in the scheme of things, of 2011.
[00:00:45.245 --> 00:00:50.887]  As we prepare to plunge into 2012.
[00:00:50.887 --> 00:00:54.629]  And so I thought that I would be here on Christmas Day with you.
[00:00:54.629 --> 00:00:57.510]  I appreciate the crew and all of their fine work.
[00:00:57.510 --> 00:01:01.812]  We have Webster Griffin Tarpley coming up here in about 15 minutes.
[00:01:01.812 --> 00:01:08.995]  And we have a surprise economics guest in the second hour, as well as a guest on Congressman Ron Paul.
[00:01:10.243 --> 00:01:15.924]  And the different ways the globalists are coming after him and hope to defeat him.
[00:01:15.924 --> 00:01:33.988]  But I wanted with Webster Tarpley to look at the European debt crisis and how this controlled implosion will affect our country and what happens here in the United States and how that ties in with the move to put military on these streets.
[00:01:34.728 --> 00:01:38.270]  of the United States and allow them to even kill U.S.
[00:01:38.270 --> 00:01:39.071]  citizens.
[00:01:39.071 --> 00:01:44.173]  In fact, will you guys cue up the audio, if we can, of Jonathan Turley from C-SPAN?
[00:01:44.173 --> 00:01:58.201]  We played that back last Thursday, four or five days ago, but I want to play that again coming out because, you know, we've learned quite a bit about this military takeover plan and we have the exclusive military to designate U.S.
[00:01:58.201 --> 00:02:00.743]  citizens as enemies during collapse.
[00:02:02.185 --> 00:02:11.950]  FEMA Continuity of Government Plans Prep Total Takeover of Society Dispatching Military Domestically Under Economic Collapse Emergency.
[00:02:11.950 --> 00:02:17.492]  And that, of course, is up at InfoWars.com and PrisonPlanet.com.
[00:02:33.231 --> 00:02:42.056]  It is all coming up here on this special Christmas broadcast and I just want to say that I appreciate all of our listeners more than you know.
[00:02:42.056 --> 00:02:44.077]  I love you.
[00:02:44.077 --> 00:02:46.038]  I love people that seek truth.
[00:02:46.038 --> 00:02:48.439]  I love people who support freedom.
[00:02:48.439 --> 00:02:53.982]  I love people who have courage to be laughed at by their friends and family and neighbors who are under my control.
[00:02:55.575 --> 00:02:57.696]  Let's talk about real issues.
[00:02:57.696 --> 00:03:04.438]  And we are brothers and sisters in eternity for truth and justice and everything that's decent.
[00:03:04.438 --> 00:03:16.042]  We have a special role in human society that we've not succumbed to the brainwashing and the mind control, for whatever reason, the way God forged us in our mother's wombs, and the experiences we've had in our life.
[00:03:16.042 --> 00:03:18.403]  And I really appreciate all of you.
[00:03:18.403 --> 00:03:23.725]  Old, young, black, white, whether you're from Mexico or Russia, whether you're from China,
[00:03:24.764 --> 00:03:28.185]  Or Germany, whether you're from Israel or England.
[00:03:28.185 --> 00:03:32.867]  If you love liberty and you love life and you choose life, I am your brother.
[00:03:32.867 --> 00:03:33.708]  Forever.
[00:03:33.708 --> 00:03:36.229]  And you are my brother, you are my sister.
[00:03:36.229 --> 00:03:40.391]  We are soulmates in the struggle for liberty.
[00:03:40.391 --> 00:03:50.755]  And if I could change the direction of my life and whatever comes from the work I've done, because obviously I traveled on a very dangerous road, I'm glad I made the decisions I made.
[00:03:52.386 --> 00:03:57.090]  Because there's no future if we don't take risk and stand up against evil men.
[00:03:57.090 --> 00:04:07.219]  And everything good in our world was forged by good men and women who were willing to stand up to bullies and gangs of scum and control freak trash.
[00:04:07.219 --> 00:04:10.422]  We are here to do this and it's our job.
[00:04:12.188 --> 00:04:18.391]  And now we enter a very dangerous phase in human societal development, the greatest danger we've ever faced.
