[00:00:14.190 --> 00:00:16.991]  It's time for you men to stand up in the info form.
[00:00:17.011 --> 00:00:17.952]  You wanna fight?
[00:00:17.972 --> 00:00:18.312]  Come on!
[00:00:33.261 --> 00:00:42.712]  It's Wednesday, August 8th.
[00:00:42.792 --> 00:00:43.913]  It's Paul Joseph Watson.
[00:00:44.093 --> 00:00:47.237]  This is InfoWars Nightly News coming up on the show tonight.
[00:00:50.213 --> 00:00:54.515]  Tonight, a gun owner saves a cop's life by shooting a deranged man in early Texas.
[00:00:54.915 --> 00:00:58.857]  Then, a federal court upholds the hurting of demonstrators in a free speech zone.
[00:00:59.217 --> 00:01:05.119]  Meanwhile, the Washington's blog reports that Homeland Security coordinated an 18-city police crackdown on Occupy protests.
[00:01:05.440 --> 00:01:08.961]  Plus, full-spectrum evil, the secrets of global domination.
[00:01:08.981 --> 00:01:10.702]  Special report by Alex Jones.
[00:01:11.142 --> 00:01:14.884]  And, Rob Dew talks to Liz Reitzig of rawmilkfreedomwriters.com.
[00:01:15.084 --> 00:01:17.825]  That's up next on the InfoWars Nightly News.
[00:01:27.950 --> 00:01:34.153]  Top story tonight, Parkinson's sufferer arrested for not smiling at the Olympic men's cycling race.
[00:01:34.473 --> 00:01:43.078]  The spectator seeks an exoneration after he claims he was arrested for not smiling during the 2012 London Olympic men's cycle road race.
[00:01:43.518 --> 00:01:54.304]  Mark Worsfold, 54, a martial arts trainer who suffers from Parkinson's disease, wants a letter of exoneration after what he claims was a gross overreaction on the part of Surrey police.
[00:01:55.017 --> 00:01:59.240]  Worsfold explains, I was sitting minding my own business before I knew anything.
[00:01:59.300 --> 00:02:04.104]  The police grabbed me off this seven foot wall, threw me to the floor and cuffed me.
[00:02:04.425 --> 00:02:08.188]  So all I saw the cycle races between the feet of the people from the pavement.
[00:02:09.028 --> 00:02:11.811]  And basically this guy's got Parkinson's disease.
[00:02:12.031 --> 00:02:13.572]  His face is expressionless.
[00:02:13.612 --> 00:02:15.253]  He can't have an expression on his face.
[00:02:15.594 --> 00:02:16.835]  And according to the Guardian,
[00:02:17.628 --> 00:02:25.598]  Worsfold says Surrey Police, quote, questioned him about his demeanour and why he had not been seen to be visibly enjoying the event.
[00:02:26.019 --> 00:02:32.427]  They arrested him on charges of breach of the peace, saying Worsfold's behaviour, quote, caused concern.
[00:02:33.027 --> 00:02:34.208]  So, there you have it.
[00:02:34.289 --> 00:02:46.221]  I mean, you know, we pour ridicule and scorn on Stalinist North Korea for arresting people who don't display the proper level of public grief, you know, in the aftermath of the death of Kim Jong-il.
[00:02:46.261 --> 00:02:49.624]  They caught them off to concentration camps if they don't cry correctly.
[00:02:50.245 --> 00:02:53.729]  And yet we've got almost the same thing now happening in Britain.
