[00:00:03.936 --> 00:00:04.117]  Yeah.
[00:00:39.061 --> 00:00:40.463]  It's Friday, October 5th.
[00:00:40.543 --> 00:00:41.645]  I'm Paul Joseph Watson.
[00:00:41.805 --> 00:00:44.711]  This is InfoWars Nightly News, coming up on the show tonight.
[00:00:47.588 --> 00:00:54.493]  Tonight, an invisible war rages in the Mideast as Turkey launches attacks on Syria.
[00:00:54.813 --> 00:00:56.134]  Then, need a gun?
[00:00:56.754 --> 00:00:57.475]  Press print.
[00:00:58.015 --> 00:01:00.657]  The 3D printable gun revolution is now.
[00:01:01.077 --> 00:01:05.080]  Plus, parents up in arms over palm scanners at schools.
[00:01:05.560 --> 00:01:11.504]  And Ashley Jessica calls for an opt-out campaign after being groped by the TSA.
[00:01:11.825 --> 00:01:14.887]  That's up next on the InfoWars Nightly News.
[00:01:26.212 --> 00:01:31.015]  Top story tonight, Turkey lied about Syria taking responsibility for attack.
[00:01:31.095 --> 00:01:32.335]  This is InfoWars.com.
[00:01:32.775 --> 00:01:48.504]  Turkey lied to the United Nations when it claimed that Syria had apologised and taken responsibility for the mortar attack which led to a de facto declaration of war, increasing the likelihood that the shelling was actually carried out by Turkish-backed FSA rebels.
[00:01:49.184 --> 00:01:56.232]  So basically, as you know, what happened is a mortar shell landed in Turkey a couple of days ago, killed five people in a residential area.
[00:01:56.713 --> 00:02:03.661]  Turkey instantly blamed Syria, had their parliament rubber stamp military attacks inside Syria.
[00:02:04.582 --> 00:02:12.788]  And then told the UN that Syria had apologised and accepted responsibility for the incident, which of course led to the UN, Hillary Clinton, etc.
[00:02:13.208 --> 00:02:16.370]  roundly condemning Syria, increasing the pressure on Assad.
[00:02:17.251 --> 00:02:23.115]  And the international media ran with this Syria admits responsibility hoax and is still running with it.
[00:02:23.635 --> 00:02:35.505]  Despite the fact that Syria's UN representative Bashar al-Jafri came out publicly and said Syria did not apologize and did not accept responsibility for the attack.
[00:02:36.005 --> 00:02:39.008]  And you can watch the video of him saying that in this article.
[00:02:39.588 --> 00:02:43.812]  So it appears as if this hoax of Syria admitting that they were behind the attack
[00:02:45.171 --> 00:02:50.478]  When no such thing happened is really starting to become part of the official narrative behind this series of events.
[00:02:51.379 --> 00:03:04.134]  And it served to kind of dampen down the growing evidence which was reported on by German news station ZDF that it was actually the Turkish-backed FSA rebels that were responsible for the initial mortar attack.
[00:03:04.935 --> 00:03:21.422]  Which has only benefitted them in fact because it's justified Turkey's aggressive response in opening up this 10 kilometre corridor of bombing and strafing which has created a path for those very rebels to go back and forth between Syria and Turkey which of course is where most of them are based.
[00:03:22.389 --> 00:03:38.094]  And I mean, you've got to love Turkey green-lighting these military strikes inside Syria and then claiming they're not at war with Syria because they've been attacking them for the past three days, as I said, ten kilometres deep inside Syria.
[00:03:38.474 --> 00:03:40.734]  You know, they've killed numerous Syrian army soldiers.
[00:03:41.034 --> 00:03:49.417]  For months they've been recruiting, sheltering, training, arming, funding these militants to carry out terrorist attacks inside Syria.
[00:03:49.977 --> 00:03:53.438]  They've done all this, but still claim we're not at war with Syria.
[00:03:53.999 --> 00:04:01.582]  So it looks like the Turkish Prime Minister Erdogan is taking a leaf out of the Mars Attacks Book of Diplomacy.
[00:04:01.962 --> 00:04:09.865]  You know, don't run where your friends while they're attacking and strafing inside Syria, while simultaneously declaring we're not at war with anyone.
[00:04:11.294 --> 00:04:26.467]  So even though Erdogan basically went straight to Washington after this mortar incident, begged the Obama administration to impose a US Air Force-led no-fly zone over Syria, which of course is a euphemism for bombardment and bloodshed, as we saw with Libya.
[00:04:27.273 --> 00:04:29.154]  Again, Turkey's not at war with Syria.
[00:04:29.434 --> 00:04:38.296]  Just believe that Orwellian hoax, which the international media has, because they've regurgitated the hoax that Turkey had accepted, that Syria had accepted responsibility.
[00:04:38.356 --> 00:04:39.217]  Completely not true.
[00:04:39.237 --> 00:04:40.657]  They never did any such thing.
[00:04:40.677 --> 00:04:52.001]  And so, you know, it would be like if you walked up to somebody on the street, told them you hated their guts, punched them in the face, and then smiled and said, I don't want to fight with you.
[00:04:52.841 --> 00:04:53.241]  Yes.
[00:04:53.261 --> 00:05:06.071]  Seemingly the role that Turkey has taken in this Mars attack style diplomacy, and of course in doing so they've been completely backed by the UN, by NATO, by Hillary Clinton and by all of them.
[00:05:06.872 --> 00:05:15.999]  So it's the next stage in ratcheting up the pressure on Syria as this Brookings Institution plan for neocon regime change moves ever closer.
[00:05:16.579 --> 00:05:24.263]  Staying with geopolitical news now, Zero Hedge reports naval update T-minus one week until Arabian Sea destination reached.
[00:05:24.683 --> 00:05:34.088]  The news surrounding Middle East, particularly Iran and Syria, may come and go in waves, but for the most part it is loud, political, grandstanding, jaw-boning and largely noise.
[00:05:34.709 --> 00:05:38.631]  Or rather, it will be noise until these two catalytic events occur.
[00:05:39.511 --> 00:06:03.137]  The third US aircraft carrier, CVN-74 Stennis, and the second big deck amphibious warship, LHA Peli Liu, both dispatched as of several weeks ago, with the destination for the fifth US fleet headquartered in Bahrain, reached their target, this is in one week's time from today, the Arabian Sea, located by the Straits of Hormuz and next to Iran.
[00:06:03.718 --> 00:06:04.958]  As the following naval update
[00:06:05.618 --> 00:06:15.966]  From Stratfor Shows, which you can see on the screen, both are now within a week of reaching their destination, conveniently so with at least two weeks to go until the presidential election.
[00:06:16.987 --> 00:06:28.895]  So basically it's widely accepted that the United States only launches a new war when there are three, three aircraft carriers in place in whatever region in which they wish to engage in that conflict.
[00:06:29.716 --> 00:06:37.362]  So in one week's time, that's precisely the situation we're going to have around the Arabian Sea there, right next to Iran.
[00:06:38.860 --> 00:06:48.122]  So given Turkey's declaration of war on Syria and their demand for a no-fly zone, which we just talked about, we really have to be on the lookout for this.
[00:06:48.522 --> 00:06:57.344]  Because obviously it looks as if Iran has been delayed until spring 2013, but that doesn't mean there couldn't be an incident in the region over the next few weeks.
[00:06:57.965 --> 00:07:07.067]  Something, you know, in the context of what the neocon think tanker and lobbyist, which we featured last week, Patrick Clawson, wished out loud for
[00:07:07.927 --> 00:07:11.689]  A false flag provocation involving Iran.
[00:07:12.569 --> 00:07:23.434]  And remember that an incident involving Iran is precisely what ABC News predicted last week could be the October surprise that hands either Obama or Romney the presidency.
[00:07:23.474 --> 00:07:23.894]  Now of course
[00:07:24.594 --> 00:07:38.410]  You know, there's not a cigarette-paper difference between the two of them when it comes to backing up the US military-industrial complex, but that's not to say there aren't different groups of power within that two-party system jockeying for position and power.
[00:07:39.591 --> 00:07:49.198]  And the ABC News piece was pretty certain that there'd be an October surprise involving Iran or a false flag on US interests before the election.
[00:07:49.218 --> 00:07:58.524]  So one week from now, there's going to be three US aircraft carriers stationed right outside Iran with just three weeks to go until the US presidential election.
[00:07:58.984 --> 00:08:03.888]  So it seems pretty clear that if anything's going to happen, it's going to happen in that time slot.
[00:08:04.648 --> 00:08:10.413]  And in a similar vein, just a different position on the globe, moving on now to this Business Insider story.
[00:08:11.154 --> 00:08:14.157]  Two carrier groups are now operating in the China Sea.
[00:08:14.757 --> 00:08:27.850]  The USS George Washington and the USS John C. Stennis, aircraft carrier strike groups, a flotilla of five ships and more than 10,000 Navy personnel, are now operating in the conflict-ridden South China Sea.
[00:08:28.410 --> 00:08:36.893]  The news was announced by the Navy a few days ago, but it is now making the rounds in Asian media outlets and generating as much speculation as it is concern.
[00:08:38.033 --> 00:08:45.136]  So, three ships around Iran, two aircraft carriers now in the South China Sea.
