[00:00:04.531 --> 00:00:04.791]  We're good.
[00:00:36.846 --> 00:00:38.548]  Welcome to the Infowars Nightly News.
[00:00:38.988 --> 00:00:41.551]  It's Wednesday, November 14th, 2012.
[00:00:41.671 --> 00:00:43.813]  I'm David Knight, and here are our top stories.
[00:00:46.667 --> 00:00:48.968]  Tonight on the InfoWars Nightly News.
[00:00:49.669 --> 00:00:52.571]  New photographs prove that the government can't even feed itself.
[00:00:53.071 --> 00:00:56.113]  What will you do when FEMA steals your rations?
[00:00:56.693 --> 00:01:02.697]  Then, the Petraeus scandal proves that even the CIA can't hide from the peeping Tom of Big Brother.
[00:01:03.217 --> 00:01:08.640]  And companies announce mass layoffs as affordable care is already costing the economy big.
[00:01:09.181 --> 00:01:12.543]  All that and more coming up on the InfoWars Nightly News.
[00:01:21.465 --> 00:01:28.572]  Well, if the FBI doesn't respect the rights and the privacy of the Director of the Central Intelligence Agency, do you think they're respecting your rights and your privacy?
[00:01:28.592 --> 00:01:34.038]  Remember we had this little thing called the law, and it lays out the due process for search warrants.
[00:01:34.696 --> 00:01:38.019]  And Andrew Napolitano had this to say on Fox News about that.
[00:01:38.459 --> 00:01:56.913]  In order for the FBI to be reading the emails of the chief spy of the United States, the director of the CIA, they would either need a search warrant from a federal judge, or they'd have to write their own search warrant under the Patriot Act, in which case they'd have to satisfy themselves that the general was involved in terrorist activity.
[00:01:58.314 --> 00:01:59.114]  Now do you understand that?
[00:01:59.354 --> 00:02:04.118]  Basically, for the longest period of time, up until just recently, until the Patriot Act passed,
[00:02:05.064 --> 00:02:17.891]  You could not tap somebody's private conversation without going before a judge and presenting a reason why you're going to do it, and specifically saying where you're going to do it, when you're going to do it, that sort of thing, getting a judge to give you a search warrant.
[00:02:18.592 --> 00:02:31.999]  Now with the Patriot Act, that has been relaxed so that an FBI agent could basically have, they could write their own search warrants without going before a judge, but only if they believe that the subject is engaged in terrorism.
[00:02:32.685 --> 00:02:42.407]  Now, some of us may believe that the CIA is engaged in terrorism with drone wars and with kill lists and that sort of thing, but I don't think that was what the FBI was looking at.
[00:02:42.907 --> 00:02:49.228]  So that leaves us with a third possibility, and that is that they basically just violated the law in a criminal way.
[00:02:49.869 --> 00:02:54.209]  And what we see here in this article, Paul Joseph Watson kind of breaks it down for us.
[00:02:54.249 --> 00:02:57.090]  Betrayus scandal proves email is being surveilled.
[00:02:57.810 --> 00:03:05.155]  What we see here is that there's, you know, some real issues, some real questions that need to be asked of FBI Director Mueller.
[00:03:05.676 --> 00:03:13.722]  And as Steve Pichenik said that yesterday, he believed that there needed to be a thorough investigation of Mueller, not just of this affair with Petraeus.
[00:03:14.362 --> 00:03:21.429]  We need to find out why the FBI is no longer paying any attention to legal and due process.
[00:03:21.469 --> 00:03:29.396]  I mean, do we have some kind of a rivalry going on here between two criminal gangs, the FBI and the CIA, kind of like there was between the SS and the Gestapo?
[00:03:30.297 --> 00:03:31.338]  We'll have to see about that.
[00:03:32.639 --> 00:03:34.181]  Now, look at this next article here.
[00:03:34.201 --> 00:03:38.625]  We've got a photo that shows Sandy volunteers actually feeding FEMA workers.
[00:03:39.648 --> 00:03:40.068]  That's right.
[00:03:40.108 --> 00:03:41.029]  Take a look at this picture.
[00:03:41.990 --> 00:03:47.715]  We've got FEMA workers who are, it's actually Occupy Sandy, an offshoot of the Occupy Wall Street movement.
[00:03:48.695 --> 00:03:50.217]  They're feeding the FEMA workers.
[00:03:50.257 --> 00:04:00.064]  We've got government workers who can't even provide their own food, and they're not doing a very good job of getting things in order in New York and New Jersey either.
[00:04:00.104 --> 00:04:02.787]  There's a lot of complaints still.
[00:04:02.827 --> 00:04:04.408]  There's power that is out.
[00:04:04.508 --> 00:04:05.369]  People are cold.
[00:04:05.409 --> 00:04:05.949]  They're hungry.
[00:04:06.389 --> 00:04:06.930]  Without power,
[00:04:07.759 --> 00:04:21.868]  After weeks after the storm, Staten Island Borough President James Molinaro slammed the Red Cross highlighting how their executives are paid hundreds of thousands of dollars a year, yet they've never set foot on the front lines of this disaster.
[00:04:22.629 --> 00:04:27.692]  So, you know, take care of yourself because the government is not going to do it for you.
[00:04:28.513 --> 00:04:30.975]  Now, if the government can't provide its own food in a disaster,
[00:04:32.483 --> 00:04:42.694]  Still, the Chicago godfather, Rahm Emanuel, is kind of channeling Bloomberg now, and he's starting to tell people what they can have in vending machines in Chicago.
[00:04:43.515 --> 00:04:47.360]  This article, Rahm cracks down on Chicago vending machines.
[00:04:49.289 --> 00:04:58.033]  Rahm Emanuel said Wednesday that he's cracking down on the caloric content of vending machines in city buildings, and he plans to replace them all with healthy vending by next year.
[00:04:58.513 --> 00:05:07.376]  Now that's great, we all like healthy food, but one of the stipulations that he's got here is that healthier food can't be pricier than higher calorie counterparts.
[00:05:07.857 --> 00:05:14.379]  Well, you know, it takes a little bit more to produce apples than it does to produce Cheetos.
[00:05:14.479 --> 00:05:15.940]  But they're going to mandate that to people.
[00:05:16.680 --> 00:05:20.082]  And also, they're going to have an announcement on the same day.
[00:05:22.223 --> 00:05:34.708]  Chicago Public School Board is preparing to vote on a new healthy snack and beverage policy that would ban pop, sports drinks, and energy drinks, as well as whole milk during school hours.
[00:05:34.788 --> 00:05:41.011]  So yeah, we can all agree that soda pop is not very good, but whole milk is going to be banned as well.
[00:05:43.110 --> 00:05:45.832]  We also have another familiar story.
[00:05:46.292 --> 00:05:54.236]  A man has been tasered by the police as he is trying to keep his house from catching on fire.
[00:05:55.236 --> 00:05:57.878]  Daniel Jensen wasn't running from the law.
[00:05:57.938 --> 00:05:59.839]  He was just trying to protect his home from burning up.
[00:06:00.539 --> 00:06:04.441]  Yet Pinellas Park Police in Tampa tasered him in the process.
[00:06:05.362 --> 00:06:07.644]  And they've got a lawsuit now going against the police.
[00:06:07.684 --> 00:06:14.910]  See, basically, he was woken up by his wife at six o'clock in the morning, told that the house next door was on fire.
[00:06:15.531 --> 00:06:19.114]  He went over to do what he could, and then realized that there was nobody home.
[00:06:19.214 --> 00:06:22.516]  So, the next thing he was concerned about was the fire spreading to his house.
[00:06:22.577 --> 00:06:24.458]  So, he made sure that everybody in his house was out.
[00:06:24.918 --> 00:06:32.565]  And as he saw the flames starting to spread to the roof of his house, he was training his hose on it, because the police were there, but the fire department was not there yet.
[00:06:33.457 --> 00:06:39.803]  And the policeman told him to get back, but, you know, your instinct is to try to keep your house from burning.
[00:06:40.604 --> 00:06:42.385]  And without warning, they tasered him.
[00:06:42.946 --> 00:06:48.971]  And as he described it, he says, all I remember is laying in water, being electrocuted for saving my home.
[00:06:50.152 --> 00:06:55.937]  We need to do something, I think, about this almost indiscriminate use of tasers that's going on.
[00:06:56.298 --> 00:06:57.519]  You know, it's happening
[00:06:58.203 --> 00:07:14.783]  Regularly every week there's multiple cases of the police using tasers for just the most minor things even using them on children But that's what's happening in in our society here American Airlines employee was put on a no-fly list
[00:07:15.807 --> 00:07:20.090]  This is similar to the story that we had with Wade Hicks a few weeks ago.
[00:07:20.110 --> 00:07:27.856]  If you remember, Wade Hicks was flying and going to Hawaii, going to Japan and stopped in Hawaii.
