[00:00:00.029 --> 00:00:01.213]  Correct from Austin.
[00:00:01.955 --> 00:00:05.164]  You're listening to the Alex Jones Broadcasting Network.
[00:00:07.526 --> 00:00:08.066]  We've got it.
[00:00:08.106 --> 00:00:14.551]  This transmission is coming to you.
[00:00:14.631 --> 00:00:18.814]  Waging war on corruption.
[00:00:19.034 --> 00:00:24.758]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:26.559 --> 00:00:27.760]  We've got it.
[00:00:34.321 --> 00:00:40.204]  It is Sunday the 25th day of November 2012.
[00:00:41.064 --> 00:00:55.591]  I am your host Alex Jones and we have got an incredibly important transmission lined up for you yet again today on a host of issues across the board here.
[00:00:56.718 --> 00:01:10.010]  We're going to be getting into the cyber security directive that Obama signed a week and a half ago, which Congress, I was reading an article last night, has complained they're not allowed to see.
[00:01:11.291 --> 00:01:16.236]  How is it that Congress, that's co-equal to the executive and the judicial,
[00:01:20.512 --> 00:01:29.117]  How can the legislative that's co-equal to the executive and the judicial, how can it not be privy to the President's secret order?
[00:01:29.598 --> 00:01:33.060]  See, Congress wouldn't give Obama what he wanted on cybersecurity.
[00:01:33.960 --> 00:01:36.982]  Enhance control of the internet over the globalist, over the UN and others.
[00:01:38.703 --> 00:01:46.328]  And so it was really hitting me last night that he said he'd do an executive order to just do it, but still that executive order would be public.
[00:01:46.648 --> 00:01:49.950]  So he just said, I just signed another order, and by the way, it's secret.
[00:01:51.383 --> 00:01:58.625]  And whereas the Internet's a double-edged sword, you can use it to reach incredible amounts of people, the system knows how to game it.
[00:01:59.625 --> 00:02:01.105]  Just like a black box voting machine.
[00:02:01.965 --> 00:02:02.766]  Here's an example.
[00:02:02.786 --> 00:02:07.647]  20-plus videos just disappeared off our YouTube channel.
[00:02:09.887 --> 00:02:11.988]  And I called and talked to the people involved with it.
[00:02:13.748 --> 00:02:16.989]  They didn't delete 20-plus videos, but it says deleted by user.
[00:02:18.527 --> 00:02:31.675]  And that's just an example of when you're on another platform where you think it's your website, you think it's your content, your ideas, your video, your art, but they can just disappear it whenever they want.
[00:02:32.855 --> 00:02:34.756]  One time they deleted Change the Channel.
[00:02:35.056 --> 00:02:38.538]  He was out of town visiting family, didn't even have his computer with him.
[00:02:38.558 --> 00:02:40.099]  He was at a picnic.
[00:02:40.840 --> 00:02:42.080]  I called his cell phone number.
[00:02:44.127 --> 00:02:45.547]  Was named Ken Webb.
[00:02:45.607 --> 00:02:46.107]  Nice fella.
[00:02:46.608 --> 00:02:47.528]  About a year and a half ago.
[00:02:47.728 --> 00:02:49.908]  It only had like 7 million views on that particular video.
[00:02:49.968 --> 00:02:52.289]  Now it's like 12 million on that particular video.
[00:02:52.309 --> 00:02:54.550]  Plus, there's a bunch of different versions of it.
[00:02:54.610 --> 00:02:56.530]  But he uploads a lot of our documentaries.
[00:02:56.930 --> 00:02:57.870]  And I've had him on as a guest.
[00:02:57.890 --> 00:02:59.651]  So I found his number in my computer.
[00:03:00.411 --> 00:03:00.951]  Called him up.
[00:03:02.111 --> 00:03:03.812]  And I said, hey, Ken.
[00:03:04.692 --> 00:03:06.973]  I said, did you delete that?
[00:03:06.993 --> 00:03:08.513]  And he said, no, I'm at a barbecue with family.
[00:03:10.173 --> 00:03:11.534]  I said, well, it says you deleted it.
[00:03:11.594 --> 00:03:12.354]  Deleted by user.
[00:03:13.703 --> 00:03:16.985]  And by the way, when a user deletes it, you can't ever put it back up.
[00:03:17.446 --> 00:03:24.251]  We raised a stink, and Google admitted somebody hacked in and deleted it, so they reinstated it.
[00:03:24.951 --> 00:03:27.893]  Something they've said before and ever since is impossible.
[00:03:30.155 --> 00:03:31.896]  So, I don't know what's going on.
[00:03:32.577 --> 00:03:39.021]  And we've got four or five big channels, we've got over 400-something million views, and YouTube's an important outreach.
[00:03:39.522 --> 00:03:40.702]  It's maybe 15% of our outreach.
[00:03:43.814 --> 00:03:45.835]  But it's a very wide, diverse audience.
[00:03:48.037 --> 00:03:51.239]  Our biggest audience is on terrestrial AM and FM radio.
[00:03:52.140 --> 00:03:54.641]  That reaches the lion's share of the three million a day.
[00:03:55.142 --> 00:03:58.844]  But it's mainly a conservative, libertarian-type audience.
[00:03:59.304 --> 00:04:05.389]  And it's great to talk to the choir, but it's important to reach out to places like YouTube.
[00:04:06.269 --> 00:04:08.291]  That's why it's important to buy the DVDs.
[00:04:10.498 --> 00:04:18.602]  InfoWarsStore.com and have a library of them and also give them to people because then you have a hard copy.
[00:04:20.462 --> 00:04:28.986]  Or if you're going to go watch the videos at PrisonPlanet.tv, our site, so we have a backup, or on YouTube, download them.
[00:04:30.527 --> 00:04:31.227]  Save them.
[00:04:31.967 --> 00:04:34.929]  You know, I've talked a lot about Web 2.0, that's why we started
[00:04:37.759 --> 00:04:48.964]  The magazine, because the Globalists are moving to censor the web, so we call it Print 2.0, to have a hard copy of each month's key articles, 60 pages of it, in InfoWars Magazine.
[00:04:49.004 --> 00:05:02.510]  But just an interesting little tidbit here at the start of the broadcast, that they can delete your videos, and then it says you did it.
[00:05:03.729 --> 00:05:05.410]  Alright, we'll be right back.
[00:05:05.470 --> 00:05:05.951]  Stay with us.
[00:05:06.031 --> 00:05:06.411]  Big show.
[00:05:33.609 --> 00:05:34.209]  We're good to go.
[00:06:01.579 --> 00:06:04.561]  You can also call to order 888-253-3139.
