[00:00:00.249 --> 00:00:02.270]  Aaron Dykes here for InfoWars.com.
[00:00:02.290 --> 00:00:05.551]  This gun control debate is reaching dangerous proportions.
[00:00:05.991 --> 00:00:09.112]  Last night, Alex Jones debated Piers Morgan on CNN.
[00:00:09.492 --> 00:00:18.216]  Tonight, all they can do is talk about the reaction, and on Piers Morgan's program, they talk about they hope Alex's children don't die.
[00:00:18.536 --> 00:00:21.057]  Now, Alex was sitting at home with his family and children.
[00:00:21.077 --> 00:00:27.399]  They were freaked out and terrorized by those comments, but the program went on to even more outrageous points.
[00:00:27.899 --> 00:00:41.198]  Buzz Bissinger, a sports columnist for the Daily Beast, chimed in and said that he thinks the only reason for a semi-automatic weapon is so that Piers Morgan could go in the ring and, quote, pop Alex Jones with that weapon.
[00:00:41.519 --> 00:00:43.882]  And then all the guests go on to laugh about it.
[00:00:44.022 --> 00:00:51.585]  I don't care what the justification is that you're allowed in this country to own a semi-automatic weapon, much less a hang-up.
[00:00:51.605 --> 00:00:55.146]  But what do you need a semi-automatic weapon for?
[00:00:55.186 --> 00:01:03.309]  The only reason I think you need it is, Pierce, challenge Alex Jones to a boxing match, show up with a semi-automatic that you got legally, and pop him!
[00:01:03.549 --> 00:01:04.289]  I'd love to see that!
[00:01:04.409 --> 00:01:04.730]  In uniform!
[00:01:07.461 --> 00:01:08.682]  Of course my brother's uniform.
[00:01:08.782 --> 00:01:18.986]  Now without a doubt this was a veiled threat but just imagine if Alex Jones or anyone else made these comments they'd be arrested immediately and yet here they are saying them with impunity.
[00:01:19.326 --> 00:01:23.488]  Remember there's been threats against NRA board members, you name it, in the past.
[00:01:23.848 --> 00:01:29.010]  These authoritarians don't want peace, they want control and they're showing it here.
[00:01:29.271 --> 00:01:30.331]  Get this out immediately.
[00:01:30.451 --> 00:01:32.072]  Signing off for InfoWars.com
