[00:00:11.730 --> 00:00:12.150]  I don't know.
[00:00:39.888 --> 00:00:40.110]  I'm good.
[00:00:46.400 --> 00:00:48.241]  Good evening and welcome, ladies and gentlemen.
[00:00:48.301 --> 00:00:50.143]  This is the InfoWars Nightly News.
[00:00:50.203 --> 00:00:53.785]  Tonight is Tuesday, February 19th, 2013.
[00:00:54.225 --> 00:00:55.366]  I'm your host, Aaron Dykes.
[00:00:55.726 --> 00:00:58.268]  We have a lot of disturbing and important news coming up.
[00:00:58.588 --> 00:01:06.354]  Now on the other side of the break, Jakari Jackson is going to speak with investigative reporter Wayne Mattson on the suspicious death of Philip Marshall.
[00:01:06.694 --> 00:01:09.016]  He's been an author who wrote about 9-11 truth.
[00:01:09.036 --> 00:01:13.859]  He had a lot of insider knowledge on the Mena, Arkansas drug tradings, the Iran
[00:01:14.079 --> 00:01:14.419]  I think?
[00:01:31.055 --> 00:01:31.956]  We're good to go.
[00:01:54.179 --> 00:02:20.838]  In summary of society's most vulnerable and typically most innocent citizens, you just cannot believe these cutouts, but they produce them, and you've really got to ask why, on the heels of Homeland Security and other agencies preparing to deal with the American people, openly stating they consider them to be potential extremists and the enemies in the event of an economic or civil unrest event, anything really they can use to justify
[00:02:21.218 --> 00:02:25.259]  A total literal occupation of America through Homeland Security related agencies.
[00:02:25.579 --> 00:02:49.806]  Now let's roll some of those incredible cardboard cutouts again that they say are going to be used by law enforcement who need to get over their hesitation factor for enemies they may encounter quote for the first time and the obvious question is why is there such a demand for these items which again show nothing other than old ladies there's a child with a gun maybe six or seven years old there's a pregnant woman
[00:02:50.206 --> 00:02:52.807]  Photographed in a nursery, who's the target?
[00:02:53.067 --> 00:02:56.307]  Now why is the officer there with the drawn gun in the nursery in the first place?
[00:02:56.327 --> 00:02:57.147]  Does he have a warrant?
[00:02:57.408 --> 00:02:58.668]  Has there been due process?
[00:02:59.008 --> 00:03:01.648]  Why does he consider this pregnant woman to be the enemy?
[00:03:02.049 --> 00:03:06.449]  Why are they planning to take down vulnerable and ordinary Americans?
[00:03:06.489 --> 00:03:10.070]  This is really bizarre and it really should strike a nerve.
[00:03:10.430 --> 00:03:12.071]  Something unsettling is happening.
[00:03:12.411 --> 00:03:13.671]  This is on the heels of
[00:03:14.191 --> 00:03:25.193]  More and more gun confiscation, which we've heard again and again from sheriff, law enforcement, and from Americans in general that they won't put up with, they won't tolerate with, they won't cooperate with, because we have the Second Amendment.
[00:03:25.493 --> 00:03:26.653]  Because shall not infringe.
[00:03:26.993 --> 00:03:31.694]  Democrats introduced a bill to allow police to search home of gun owners.
[00:03:32.034 --> 00:03:34.055]  This is happening in Washington State.
[00:03:34.395 --> 00:03:38.675]  You've got Senator Adam Klein of Seattle as one of the sponsors.
[00:03:38.715 --> 00:03:41.236]  He considers himself a strong civil liberties
[00:03:41.576 --> 00:03:41.796]  I think?
[00:04:00.871 --> 00:04:01.832]  We're good to go.
[00:04:23.172 --> 00:04:33.976]  Why their friends who are Second Amendment's defenders are so freaked out by the attempted legislation that they're attempting to shove down the throats of Americans in every state in this country and at the federal level.
[00:04:34.476 --> 00:04:39.778]  But of course they claim this was introduced by accident and they have egg on their face and they didn't really mean it and they're gonna back off.
[00:04:40.378 --> 00:04:42.758]  Yeah, you can imagine it probably ended up there for a reason.
[00:04:43.079 --> 00:04:50.101]  Oh by the way, could we have a bill to sponsor legislators to have elementary education so they can learn to read?
[00:04:50.959 --> 00:05:03.887]  Could they even be trained to read the Constitution and maybe abide by it and not introduce and sponsor legislation for unwarranted searches of American gun owners' homes just because they say they're civil liberty-minded people?
[00:05:04.267 --> 00:05:05.048]  It's disgusting.
[00:05:05.428 --> 00:05:20.357]  In other news, the World Wrestling Entertainment has created a racist character to demonize the Tea Party and drawn them in association with Alex Jones, Glenn Beck, Rush Limbaugh, pretty much anyone who opposes the Obama Democrat agenda.
[00:05:20.877 --> 00:05:27.982]  Now, again, it's entertainment, but a lot of people take it at face value as a real simulated conflict between gladiatorial warriors.
[00:05:28.302 --> 00:05:29.383]  Of course, it's wrestling.
[00:05:29.663 --> 00:05:40.671]  Fourteen-plus million Americans and others around the world watch this on a weekly basis, on a regular basis, and they've created this character, Jack Swagger, who rolls out with his manager, Zeb Coulter.
