[00:00:41.643 --> 00:00:43.544]  Welcome to the Infowars Nightly News.
[00:00:43.644 --> 00:00:47.707]  I'm your host, Melissa Melton, and let's check out what's coming up on this Wednesday, March 20th, 2013 edition.
[00:00:51.971 --> 00:00:56.874]  Tonight, Nigel Farage warns you'd have to be mad to invest in the Eurozone.
[00:00:57.095 --> 00:00:58.335]  Get out while you can.
[00:00:58.796 --> 00:01:05.680]  Then, Obama's so-called ethics panel okays testing anthrax vaccines on babies.
[00:01:06.121 --> 00:01:10.764]  And Feinstein vows not to play dead, but to resurrect her gun confiscation bill.
[00:01:11.084 --> 00:01:14.867]  All that and more coming up on the InfoWars Nightly News.
[00:01:17.884 --> 00:01:21.306]  In our first story tonight, Nigel Farage has a message for Europeans.
[00:01:21.506 --> 00:01:23.067]  Get your money out while you can.
[00:01:23.367 --> 00:01:27.689]  It can't afford Cyprus to fail, it can't afford Greece to fail, Portugal, Spain or Ireland.
[00:01:27.729 --> 00:01:32.432]  They know that once one country goes, the whole deck of cards will come tumbling down.
[00:01:32.632 --> 00:01:32.992]  Do not
[00:01:33.012 --> 00:01:34.934]  Don't invest anywhere in the Eurozone.
[00:01:34.974 --> 00:01:47.965]  You've got to be mad to do so because it's now run by people who don't respect democracy, who don't respect the rule of law, who don't respect the basic principles upon which Western civilisation is supposed to be based.
[00:01:48.285 --> 00:01:53.390]  They are propping up a Eurozone which in the end is going to collapse in disastrous failure.
[00:01:53.490 --> 00:01:58.713]  And I would go ahead and add, it's not now run by those people, it's always been run by those people.
[00:01:58.994 --> 00:01:59.694]  That's not new.
[00:02:00.014 --> 00:02:04.477]  And they actually don't want to just do this in the EU, this is their plan for the whole entire world.
[00:02:04.937 --> 00:02:19.387]  So, definitely some scary stuff, and we're going to have to keep you updated on that as it goes, because like he said, if they're doing this in one small country, it doesn't matter, they can do it anywhere in there, Italy, Spain, anywhere they want, once they've done it here, there, in Cyprus, they can do it anywhere.
[00:02:20.027 --> 00:02:26.774]  And in other news, tensions are escalating in North Korea as they have now eyed in a huge cyber attack on South Korea.
[00:02:27.215 --> 00:02:33.581]  Apparently, officials at KBS, NBC and YTM Broadcaster said their computers were shut down at 2 p.m.
[00:02:33.621 --> 00:02:34.943]  and have not been able to reboot.
[00:02:35.023 --> 00:02:40.548]  All they got was a black screen with three skull drawings on it with the phrase that said, hacked by who is team.
[00:02:41.209 --> 00:02:53.315]  Excuse me, and apparently this is a secretive group of hackers, and they were able to air program as normal, but bank computers were also shut down, online banking and ATMs were also not able to be used as well.
[00:02:53.775 --> 00:03:06.161]  And they're saying that North Korea has been publicly stating a huge revenge attack is coming, and so they're saying that it is, and they're actually also saying they're going to attack us as they're vowing military action against more U.S.
[00:03:06.221 --> 00:03:06.702]  B-52 flights.
[00:03:07.842 --> 00:03:10.664]  North Korea is warned of strong military counteraction if the U.S.
[00:03:10.724 --> 00:03:19.108]  again flies B-52 bombers over the Korean peninsula with two flights this month after the totalitarian regime threatened preemptive nuclear strikes.
[00:03:19.488 --> 00:03:27.512]  And they actually said they were going to engulf us in a sea of fire, which I guess is at least a little bit more intimidating than a lake of fire.
[00:03:27.892 --> 00:03:30.394]  I guess this new guy is trying to outdo his daddy.
[00:03:30.854 --> 00:03:31.874]  But tensions are rising.
[00:03:31.894 --> 00:03:33.195]  It is a delicate situation.
[00:03:33.515 --> 00:03:36.537]  And as this unfolds, InfoWars will continue to report on it.
[00:03:37.552 --> 00:03:44.474]  Now in other news, more close to home, Feinstein is vowing not to play dead on anti-Second Amendment bill.
[00:03:44.734 --> 00:03:53.777]  Apparently she lashed out at her colleagues yesterday after Senate Majority Leader Harry Reid decided not to include her proposals in a larger and more comprehensive anti-gun bill.
[00:03:54.517 --> 00:03:59.859]  I did the bill in 1994 on the floor as an amendment.
[00:04:00.679 --> 00:04:01.839]  It enacted a law.
[00:04:02.019 --> 00:04:03.060]  It went on to the House.
[00:04:03.140 --> 00:04:03.980]  It was enacted.
[00:04:04.360 --> 00:04:17.164]  I took away from that meeting the belief that we would have a vote on the full bill and a vote on ammunition feeding devices of more than 10 bullets.
[00:04:17.424 --> 00:04:21.666]  It's aimed to dry up the supply of these over time.
[00:04:22.526 --> 00:04:28.391]  And actually, she went on to say, not to give me a vote on this would be a major betrayal of trust, as I would see it.
[00:04:28.872 --> 00:04:36.498]  Well, I would like to go on and add, Mrs. Feinstein, that you've betrayed the trust of the American people and the Constitution, which you swore an oath to uphold.
[00:04:37.159 --> 00:04:40.021]  And it's the law of our land, and you're just walking all over it.
[00:04:40.522 --> 00:04:49.450]  And actually, for more on how the American people are not going to take this draconian tax on our Second Amendment bills lying down, here's our own correspondent, Dan Bodondi.
[00:04:53.100 --> 00:04:56.703]  This is Dan Badogno reporting for the InfoWars Nightly News, and we are in Providence, Rhode Island.
[00:04:57.203 --> 00:05:02.387]  Hundreds and almost a thousand people already have showed up to support the Second Amendment, and people are still filing in.
[00:05:03.148 --> 00:05:16.799]  The General Assembly of Rhode Island is trying to push through SB 5573, a draconian bill that would have all gun owners register their firearms and pay a $100 fee, and they're also attacking assault weapons to try to ban assault weapons.
[00:05:17.219 --> 00:05:18.480]  But as you know through history, folks,
[00:05:19.361 --> 00:05:21.564]  Gun registration leads to gun confiscation.
[00:05:21.724 --> 00:05:22.986]  Why is the Second Amendment important?
[00:05:23.327 --> 00:05:27.632]  It's important because at any point, walking down the street or even in your home, you can get attacked.
[00:05:28.153 --> 00:05:29.315]  We have a right to defend ourselves.
[00:05:29.535 --> 00:05:33.620]  It wasn't written so we could go target shooting, even though that's all we're doing right now.
[00:05:34.161 --> 00:05:35.283]  Hunting and target shooting.
[00:05:36.932 --> 00:05:38.113]  It's here for our protection.
[00:05:38.514 --> 00:05:39.495]  It gives us protection.
[00:05:39.695 --> 00:05:49.485]  The criminals don't go by the Second Amendment, they don't go by the gun laws that they pass, and so that would leave me open to harm, it would leave me helpless and defenseless.
[00:05:49.926 --> 00:05:51.107]  We can't protect any of the others.
[00:05:51.467 --> 00:05:54.971]  You know, what protections do we have if we give up the Second Amendment?
[00:05:55.211 --> 00:05:58.353]  Without the Second Amendment, all the other ones are just words.
[00:05:58.793 --> 00:06:01.435]  First thing the Communists did was they took the guns.
[00:06:02.256 --> 00:06:07.159]  Then they came in, they took all the books, and then they came in, they took the people for retraining camp.
[00:06:07.219 --> 00:06:10.441]  If you didn't go, they shot you, because at that point you couldn't defend yourself.
[00:06:11.041 --> 00:06:18.646]  And then, what happened to my family was, they took the beautiful brownstone they lived in, and kicked them out in the street, and moved the Communist officials in.
[00:06:19.287 --> 00:06:23.970]  And within the first decade of occupation by Communist China under Mao Zedong,
[00:06:24.810 --> 00:06:30.357]  It's been estimated anywhere between 68 to 100 million Chinese were murdered, and this was during peacetime.
[00:06:30.997 --> 00:06:33.701]  Is there a state law that says I can't bring that in?
[00:06:33.801 --> 00:06:35.202]  No, it's a state policy.
[00:06:35.242 --> 00:06:36.584]  State policy doesn't count.
[00:06:36.604 --> 00:06:38.466]  State law is what counts.
[00:06:38.606 --> 00:06:39.908]  Why are you here protesting today?
[00:06:40.782 --> 00:06:55.954]  Well, I'm actually here protesting the Second Amendment killing legislation that they're trying to pass at the Rhode Island State House, and I'm also here as a citizen journalist because I fear that the mainstream media does not cover it properly, so I'm here to make sure they do.
[00:06:56.354 --> 00:07:17.592]  I'm here to protest the anti-gun legislation that they put forth in Rhode Island that would charge me $100 per gun and force me to register my guns, which would give an unlawful list of gun owners in case they ever wanted to confiscate my guns, which is unconstitutional.
[00:07:17.632 --> 00:07:20.855]  The Rhode Island Constitution states in one sentence
[00:07:22.025 --> 00:07:24.488]  The right to bear arms shall not be infringed.
[00:07:24.568 --> 00:07:28.252]  It's one sentence and they have no right to any further legislation.
[00:07:28.513 --> 00:07:31.777]  They've already gone past what they have the right to do.
[00:07:31.977 --> 00:07:40.227]  Anybody here think I should not be allowed to carry an empty 69 caliber 300 year old musket into this building?
[00:07:42.049 --> 00:07:43.350]  Hey, that's got the end on it.
[00:07:43.390 --> 00:07:44.431]  That's exactly right.
[00:07:44.711 --> 00:07:48.294]  And I also have shoes on and I can take you off and beat you with those too.
[00:07:48.574 --> 00:07:50.736]  Shall I strip naked before I walk in?
[00:07:50.756 --> 00:07:53.419]  It has a ban on it for a reason.
[00:07:53.439 --> 00:07:56.401]  Do you believe gun registration will lead to confiscation?
[00:07:56.982 --> 00:08:02.627]  I just believe gun registration, it's against our constitution and people have a right to own a firearm.
[00:08:03.047 --> 00:08:04.549]  On this right hand column,
[00:08:05.169 --> 00:08:16.913]  The overwhelming majority of law-abiding Americans who own firearms, and there's about 80 to 100 million of them, and I am among them, and we own something like 300 some odd million guns.
[00:08:17.273 --> 00:08:19.154]  We own them legally and we use them responsibly.
[00:08:19.174 --> 00:08:22.615]  I have a lot of friends in Germany having served there for three years in a row.
