[00:00:03.123 --> 00:00:05.145]  You're listening to GCN.
[00:00:05.506 --> 00:00:07.208]  Great Talk Radio starts here.
[00:00:14.656 --> 00:00:18.819]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.479 --> 00:00:20.300]  You want answers?
[00:00:21.060 --> 00:00:21.981]  Well, so does he.
[00:00:22.621 --> 00:00:26.223]  He's Alex Jones on the GCN Radio Network.
[00:00:26.804 --> 00:00:30.886]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.847 --> 00:00:39.809]  The InfoWars crew is just a group of amazing people, but they are understaffed.
[00:00:40.749 --> 00:00:45.991]  But you, the listeners, can ferret it out, just to show the unbelievers out there that I know what I'm talking about.
[00:00:46.011 --> 00:00:51.433]  Because I've watched the same scripting, the same playbook played over and over again, with horror.
[00:00:52.635 --> 00:00:56.597]  It just tears my guts out that this has all the signs of a staged event.
[00:00:56.857 --> 00:00:58.658]  I'm tired of watching the globalists take over.
[00:00:59.318 --> 00:01:03.681]  My entire will, everything I am, is set against these people.
[00:01:03.721 --> 00:01:21.550]  And I said probably, let's not exaggerate, five times yesterday, in the first three hours before the Ryerson letter was announced, after I got off the air yesterday, that I would expect, if this is a black op, to steal our liberties.
[00:01:22.995 --> 00:01:26.197]  If you see a grizzly bear in the woods, folks, it's like asking, does it crap in the woods?
[00:01:26.217 --> 00:01:26.718]  I'm sorry.
[00:01:26.758 --> 00:01:41.789]  It's just... Everything about this, the preconditioning, the rollout, all of it just screams, branding, branding, branding, demonize the patriots, flip Homeland Security against libertarian gun owners, conservatives.
[00:01:41.809 --> 00:01:42.910]  I mean, I've been telling you every day.
[00:01:44.291 --> 00:01:47.674]  And bare minimum, they've provocateured some mentally ill person.
[00:01:48.034 --> 00:01:52.758]  They're now coming out and saying, yes, we now believe it'll be a domestic group and a right winger.
[00:01:54.068 --> 00:01:56.690]  Michael Moore, Chris Matthews, Shalon.
[00:01:57.150 --> 00:02:00.813]  Let's hope the Boston Marathon bomber is a white person.
[00:02:00.993 --> 00:02:06.597]  Officials, Boston bombing likely carried out by domestic terrorists, not Al Qaeda.
[00:02:07.458 --> 00:02:09.480]  And then see when, of course, that comes out.
[00:02:10.606 --> 00:02:12.708]  They'll all be, see, we predicted it.
[00:02:13.229 --> 00:02:18.394]  Southern Poverty Law Center, a month before, said a new Oklahoma City is imminent.
[00:02:18.995 --> 00:02:25.903]  And they said, we remind you, Mr. President, we warned your predecessor, Bill Clinton, one month before it was imminent as well.
