[00:00:00.149 --> 00:00:02.172]  You're listening to GCN.
[00:00:02.553 --> 00:00:04.235]  Great Talk Radio starts here.
[00:00:11.704 --> 00:00:15.928]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:16.548 --> 00:00:17.369]  You want answers?
[00:00:18.129 --> 00:00:19.030]  Well, so does he.
[00:00:19.671 --> 00:00:23.294]  He's Alex Jones on the GCN Radio Network.
[00:00:23.874 --> 00:00:27.937]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.996 --> 00:00:38.985]  This is going to be a ultra important radio broadcast today.
[00:00:39.005 --> 00:00:41.188]  The 13th day of May, 2013.
[00:00:41.228 --> 00:00:42.711]  I am your host, Alex Jones.
[00:00:46.937 --> 00:00:49.798]  We've got Paul Joseph Watson at the bottom of the hour.
[00:00:49.818 --> 00:00:54.679]  And I read the special report that he put together with some of my notes that were added to it.
[00:00:54.719 --> 00:00:56.980]  That's why it's Paul Watson and Alex Jones.
[00:00:57.920 --> 00:01:05.803]  And I just called him up about 10 minutes ago and I said, please add some of these hardcore points to the article that we have sources.
[00:01:06.892 --> 00:01:12.559]  That said, we need to go check out Google's connection to Bilderberg years ago.
[00:01:13.360 --> 00:01:16.784]  Those same sources said, hey, this is a special meeting going on.
[00:01:17.364 --> 00:01:21.690]  You need to go check out the Grove Hotel, northwest of London.
[00:01:23.322 --> 00:01:24.984]  Because something big is happening there.
[00:01:25.124 --> 00:01:37.858]  And then Watson stumbled with our InfoWars auxiliary reporter with him into the middle of something very big and got a lot of key data from multiple high-level people there at the meeting.
[00:01:38.559 --> 00:01:41.380]  Because they think the public's so stupid, they're hiding this in plain view.
[00:01:41.840 --> 00:01:45.042]  Guard shacks being built, Google people scurrying around.
[00:01:46.122 --> 00:01:47.943]  Google starts meeting there next week.
[00:01:48.043 --> 00:01:50.924]  This is where they met to plan the Arab Spring.
[00:01:50.984 --> 00:01:51.964]  That's now been admitted.
[00:01:52.385 --> 00:01:53.585]  They were bragging about that.
[00:01:53.785 --> 00:02:00.188]  And the torch is being passed by David Rockefeller and others to Schmidt of Google.
[00:02:01.628 --> 00:02:03.949]  And they're moving totally to the technocracy.
[00:02:04.009 --> 00:02:05.570]  So, this is a big deal.
[00:02:07.661 --> 00:02:11.485]  This is really adds to the years of research we've done on Bilderberg.
[00:02:12.546 --> 00:02:19.312]  Intensely for the last decade and tracking him to Switzerland and documenting a bunch of Google execs including Schmidt there.
[00:02:20.153 --> 00:02:22.275]  Leading some of the meetings inside.
[00:02:22.856 --> 00:02:29.022]  All of this information coming up today with Paul Joseph Watson at the
[00:02:30.734 --> 00:02:32.075]  Bottom of the hour.
[00:02:32.195 --> 00:02:33.756]  And then Catherine Albrecht.
[00:02:34.376 --> 00:02:39.019]  Dr. Catherine Albrecht, technology expert, consumer advocate.
[00:02:40.741 --> 00:02:43.222]  She is going to be joining us to talk about Google.
[00:02:43.863 --> 00:02:46.124]  I set her up last week but basically cancelled her.
[00:02:46.144 --> 00:02:50.387]  Had her on for like 10 minutes instead of an hour because of BenghaziGate on Thursday.
[00:02:50.867 --> 00:02:53.329]  Moving her to this week to talk about Google.
[00:02:54.710 --> 00:02:56.153]  And sure, we know Google's big.
[00:02:56.193 --> 00:02:57.635]  We know that they want to be the internet.
[00:02:57.655 --> 00:03:00.660]  We know that they're dominating on so many fronts, but...
[00:03:01.886 --> 00:03:06.667]  Do we really understand it is to be the technocracy, the digital skin?
[00:03:07.067 --> 00:03:10.688]  It's the group allowed to break into your computer without warrants and steal all your data.
[00:03:11.028 --> 00:03:13.769]  It's the group sharing all of your data.
[00:03:13.889 --> 00:03:18.170]  It's the group created by the CIA and National Security Agency.
[00:03:18.630 --> 00:03:25.932]  It will absorb the old real web, the organic web, and force you onto its controlled web.
[00:03:26.672 --> 00:03:28.253]  That's part of Internet 2 plan.
[00:03:29.298 --> 00:03:34.743]  Oh, you can be on the old internet that's falling apart and shut down, but Google won't let you access internet too.
[00:03:35.144 --> 00:03:36.885]  Run by them and the government globally.
[00:03:37.286 --> 00:03:40.048]  Governments with a hundred times faster internet.
[00:03:40.408 --> 00:03:41.529]  That's what they're designing.
[00:03:41.970 --> 00:03:43.031]  That's what they're setting up.
[00:03:43.091 --> 00:03:44.052]  That's what they're rolling out.
[00:03:44.152 --> 00:03:47.435]  So, bottom of the hour, Googleburg.
[00:03:49.317 --> 00:03:53.821]  This is the most important meeting of Bilderberg in its 60 plus years.
[00:03:55.492 --> 00:04:03.958]  since they first met in 1954 officially and that too had a bunch of lead-up meetings, meetings during and meetings after.
[00:04:03.978 --> 00:04:17.647]  This is a mega-jumbo, realigning, metamorphosis, technocratic meeting and at the meeting they have a sculpture of a human skeleton being absorbed by a computer.
[00:04:18.068 --> 00:04:20.249]  That photo is up on InfoWars.com.
[00:04:20.509 --> 00:04:21.570]  The article is red-linked.
[00:04:21.910 --> 00:04:23.892]  Googleberg, Google
[00:04:25.768 --> 00:04:28.429]  Merges with Bilderberg, Googleberg, Google.
[00:04:30.030 --> 00:04:31.771]  Taking over the planet, Googleberg.
[00:04:32.391 --> 00:04:38.194]  Global elite transforms itself from into technocratic revolution.
[00:04:38.654 --> 00:04:45.217]  Googleberg, global elite transforms itself for technocratic, technotronic, technocratic revolution.
[00:04:45.958 --> 00:04:54.622]  Authoritarian, anti-democratic power networks are being rebranded as trendy, philanthropic style groups.
[00:04:55.728 --> 00:04:59.455]  And again, Watson has been working on this article four days.
[00:05:01.238 --> 00:05:06.086]  We'll be right back, ladies and gentlemen, on the other side.
[00:05:06.969 --> 00:05:08.610]  Introducing Pro-1.
[00:05:08.870 --> 00:05:12.373]  All of your filtration in one system, portable, on the go.
[00:05:12.513 --> 00:05:16.916]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:17.036 --> 00:05:23.040]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
