[00:00:34.824 --> 00:00:35.585]  Good evening, everyone.
[00:00:35.625 --> 00:00:36.486]  I'm Darren McBreen.
[00:00:36.506 --> 00:00:45.994]  The InfoWars Nightly News will not be seen this evening as much of our crew are out observing the Memorial Day weekend, the Memorial Day holiday.
[00:00:46.355 --> 00:00:50.438]  I hope much of you are out there doing the same, spending some quality time with your friends and family.
[00:00:50.779 --> 00:00:57.245]  We do, however, have a special interview lined up for you this evening, and this is an interview by our
[00:00:57.845 --> 00:01:00.766]  News Director Rob Dew with Shooter Jennings.
[00:01:00.946 --> 00:01:06.707]  He's a country music star and he is the son of country music legend Waylon Jennings.
[00:01:06.727 --> 00:01:09.948]  Probably my all-time favorite country music star.
[00:01:10.288 --> 00:01:13.029]  So that's coming up next on behalf of Infowars.
[00:01:13.409 --> 00:01:20.150]  I want to wish you all the very best Memorial Day weekend and we'll see you back right here tomorrow night at a regular scheduled time.
[00:01:20.490 --> 00:01:22.391]  Here's Shooter Jennings with Rob Dew.
[00:01:58.563 --> 00:01:59.244]  Okay.
[00:02:26.391 --> 00:02:29.073]  Welcome back to the InfoWars Nightly News, I'm your host Rob Dew.
[00:02:29.113 --> 00:02:33.776]  What you were just watching was the intro to Police State 4, The Rise of FEMA.
[00:02:34.677 --> 00:02:39.360]  On a lark, I sent him an email saying, hey, can we use this song in the intro?
[00:02:39.640 --> 00:02:40.841]  It really fits with the footage.
[00:02:40.881 --> 00:02:44.303]  I think it's going to really make the film a lot better.
[00:02:44.323 --> 00:02:50.467]  Because we were kind of doing it on a shoestring budget, and it was small, and I sent you an email, and we're here with Shooter Jennings.
[00:02:50.527 --> 00:02:52.469]  I was like, hell yeah!
[00:02:55.811 --> 00:03:02.752]  That summer rage, you know, now we're three years later into this mess that we've kind of got ourselves into since 9-11.
[00:03:03.172 --> 00:03:05.453]  And, you know, how have you seen the country change?
[00:03:05.953 --> 00:03:09.914]  I mean, you know, I'm not saying this because I think that I was right, but I think that I was right.
[00:03:10.474 --> 00:03:23.856]  I think that it's getting worse, you know, it's getting more and more in the open what's really going on, as opposed to back then it was like a lot of conspiracy theorists like to talk about what's going to happen, but it's like all happening now, you know what I mean?
[00:03:24.276 --> 00:03:24.556]  Exactly.
[00:03:24.576 --> 00:03:36.002]  We're watching it happen and I think like when you called me about Police Day like that was a dream for that record for me like there was no better audience for a song to be used in than someone who would purchase that.
[00:03:36.362 --> 00:03:46.647]  That's one of the main questions when you look at the comments on that I think it's got almost three million views or two and a half million something like that on YouTube just on one channel and everybody wants to know what is the opening song?
[00:03:46.667 --> 00:03:47.547]  What is this song?
[00:03:47.967 --> 00:03:51.529]  So the song really had an effect on people and especially tying it with that footage.
[00:03:51.809 --> 00:03:52.289]  Yeah, man.
[00:03:52.309 --> 00:04:15.059]  It was like, you know, when I was writing that song, like, a lot of Black Ribbons, the music was constructed first, which I usually don't do, but I had, like, kind of, I wanted a certain sound that I was going after for the song, so I was writing lyrics to that song, and, of course, it deals with the mass graves, which I was referring to, the FEMA camps and stuff, in Chicago and in, you know, the United States, where, where they were building these, these coffins, these, you know, stacking these coffins.
[00:04:15.139 --> 00:04:15.659]  Georgia.
[00:04:15.940 --> 00:04:18.901]  One, one spot where they did some investigating on.
[00:04:19.221 --> 00:04:37.670]  Yeah, and it's pretty wild, you know, and I think that, like, with... when I was writing the lyrics to it, I really wanted to make it like a lullaby in a way, because, like, the thing is, is most people are really not safe out there, you know, and the love of the family and everything like that is the only thing they can trust.
[00:04:37.730 --> 00:04:38.170]  That's true.
[00:04:38.270 --> 00:04:45.834]  And so, you using that in that film was a great accomplishment, in my opinion, as far as the album goes, you know?
[00:04:46.354 --> 00:04:47.714]  Well, and you shot a video to it, too.
[00:04:47.855 --> 00:04:48.175]  We did.
[00:04:48.195 --> 00:04:49.715]  Yours was a lot different.
[00:04:49.755 --> 00:04:53.696]  It had more of a kind of a kid being mind-controlled aspect.
[00:04:53.716 --> 00:05:04.320]  Yeah, it was like being babysat by television, you know, and because that's, I mean, little kids right now are getting, are watching the television, and they're getting their, way too much, they're getting the culture of what, what
[00:05:05.220 --> 00:05:15.786]  What the people who program the televisions want children to view, what morals they want to instate, and what kind of a view they want children to grow up seeing.
[00:05:15.846 --> 00:05:18.488]  Just like schools, you know, Pink Floyd nailed it way back then.
[00:05:18.988 --> 00:05:27.353]  You know, schools, the way they beat you into submission, and then when they put you out in the world after school, it's like you're this fully formed individual who
[00:05:28.193 --> 00:05:31.515]  You know, thinks that money is what success means.
[00:05:31.535 --> 00:05:33.255]  You're fully formed for an office job.
[00:05:33.355 --> 00:05:35.436]  Yeah, you're fully formed for their agenda.
[00:05:36.117 --> 00:05:36.957]  To be a debt slave.
[00:05:36.997 --> 00:05:38.818]  And you said it too, they call it programming.
[00:05:38.858 --> 00:05:40.058]  Why do you think they call it programming?
[00:05:40.078 --> 00:05:40.519]  Exactly.
[00:05:40.539 --> 00:05:42.019]  It's not called programming on accident.
[00:05:42.099 --> 00:05:43.040]  Yeah, yeah, yeah.
[00:05:43.360 --> 00:05:45.921]  And they purposely just put that in your face to let you know.
[00:05:48.044 --> 00:05:49.425]  You know, we're just out there right now.
[00:05:49.445 --> 00:05:54.909]  I mean, touring is tough if you don't have a major label behind you supporting your record and stuff.
[00:05:54.929 --> 00:05:59.872]  But we're out there, you know, slugging it out, trying to bring the music to the people, I guess.
[00:05:59.892 --> 00:06:01.613]  You know, the gunslinger tours, we call it.
[00:06:01.673 --> 00:06:10.339]  Alex said when I was on the show that, you know, we actually are selling this thing at the shows that it's a gunslinger box.
[00:06:10.379 --> 00:06:11.379]  It comes in an ammo box.
[00:06:12.600 --> 00:06:21.483]  It's got like a poster, there's a comic book we made that goes along with the film, there's comic book posters, signed CD, like, all this stuff, but it looks like it's an ammo box, you know?
[00:06:21.543 --> 00:06:21.683]  Nice.
[00:06:21.763 --> 00:06:24.644]  It's like, whatever man, take the guns away, go ahead, try.
[00:06:24.684 --> 00:06:27.745]  It's like, the people that really care about them are not gonna give them up.
[00:06:27.765 --> 00:06:27.885]  No.
[00:06:28.365 --> 00:06:31.787]  They're not going to give him up and... I'd like it if Snoop Dogg gives his gun up.
[00:06:32.467 --> 00:06:34.448]  Let Snoop Dogg get his gun up and I'll get mine.
[00:06:34.468 --> 00:06:35.548]  Yeah, exactly.
[00:06:35.968 --> 00:06:36.749]  Well, tell us about the album.
[00:06:36.769 --> 00:06:37.849]  You've got a great cover here.
[00:06:38.350 --> 00:06:40.611]  It's you and then on the back... It's in a morgue, man.
[00:06:41.131 --> 00:06:41.711]  You've got this.
[00:06:41.751 --> 00:06:42.852]  Yeah, so this is, I guess...
[00:06:44.533 --> 00:06:46.455]  They haven't prepped you yet for the funeral.
[00:06:48.698 --> 00:06:56.947]  In the film, I had to be in a body bag, which was really tough to breathe in, and then they unzipped me, and then this guy, Munley, who was in a bag... He's in an awesome band, dude.
[00:06:58.729 --> 00:06:59.810]  He's an amazing musician.
[00:07:00.091 --> 00:07:08.742]  His name is Munley J. Munley, and he's in a group called Slim Cessna's Auto Club, and he also has Munley in the Lubricallians and the Denver Broncos UK.
[00:07:09.162 --> 00:07:11.525]  He has several bands, but he was gracious.
[00:07:11.565 --> 00:07:12.226]  I'm a big fan of his.
[00:07:12.266 --> 00:07:15.270]  He's gracious enough to come down and play the mortician, and he just has a look, man.
[00:07:15.690 --> 00:07:41.675]  Yeah, and he was in there and he's doing all that and when you see the full movie like they flip me on my back and they put a tattoo on my back which it was real I've got it's a big shield that says these lyrics from a Harry Nilsson song but like they did literally transform me into a different human being in this morgue and then there's the last piece of the film that kind of ties into that but it's you know the album's a lot about rebirth and coming to terms with who you are and things like that so kind of all plays into that.
[00:07:41.855 --> 00:07:45.698]  And it's got an opening piano chord when you hear that, and when you start singing.
[00:07:45.718 --> 00:07:47.499]  I guess that's from the Flying Saucer song.
[00:07:47.639 --> 00:07:48.579]  Yeah.
[00:07:48.860 --> 00:07:50.461]  That is Pink Floyd 2.0, man.
[00:07:50.481 --> 00:07:54.083]  Yeah, the Do You Know Who You Are is definitely the Pink Floyd moment.
[00:07:54.483 --> 00:07:58.626]  It just feels like you're watching the lost scenes from The Wall or something.
[00:07:58.686 --> 00:07:59.327]  That's cool.
[00:07:59.407 --> 00:08:00.288]  Which I think is great.
[00:08:00.388 --> 00:08:02.411]  And, you know, nobody makes music like that anymore.
[00:08:02.471 --> 00:08:04.234]  If they do, they are kind of shuttered off.
[00:08:04.634 --> 00:08:05.455]  Yeah, yeah.
[00:08:05.636 --> 00:08:11.324]  And, you know, the ideas that you were talking about in Black Ribbons, you know, was that major label?
[00:08:11.344 --> 00:08:12.185]  It was not.
[00:08:12.545 --> 00:08:15.870]  I left a major label and that was the first record that I released.
[00:08:16.190 --> 00:08:17.412]  And I went and did that record.
[00:08:17.492 --> 00:08:20.596]  The producer Dave Cobb and I worked for about a year and a half on that album.
[00:08:21.117 --> 00:08:26.745]  You know, because I had a vision for it, which was going to be the... You know, I grew up listening to Art Bell.
[00:08:27.265 --> 00:08:28.707]  That's how I got to the Alex Jones.
[00:08:29.288 --> 00:08:31.511]  I grew up listening to him as a child.
[00:08:32.532 --> 00:08:35.214]  And so I just love the theater of the mind.
[00:08:35.254 --> 00:08:36.235]  I love talk radio.
[00:08:36.275 --> 00:08:36.936]  I love all this.
[00:08:36.996 --> 00:08:47.904]  I love that concept of the lone fighter in the studio fighting the system, talking about the man, you know, and people listening late night and their radios huddle around the radio.
[00:08:47.964 --> 00:08:49.786]  I love that visual image, you know.
[00:08:49.826 --> 00:08:51.067]  And so when we were doing Black Ribbons,
[00:08:51.807 --> 00:08:59.811]  It was like the whole purpose of it was to kind of create this experience of at the same time teaching people some things to have some, you know, play around with it.
[00:08:59.851 --> 00:09:02.953]  But for me, I wish it was on a major label.
[00:09:02.973 --> 00:09:13.399]  I think it would have gotten more attention, but I do know out of any record I've ever done, that record is the one that constantly, still two years later, people are telling me, I just discovered this record now and I love it.
[00:09:13.439 --> 00:09:14.239]  It means a lot to me.
[00:09:14.760 --> 00:09:21.043]  It's like slowly always growing and I guess it's kind of like literature in that way that I think it will always keep turning people on to
[00:09:21.463 --> 00:09:23.344]  And waking people up, maybe, and all that, you know?
[00:09:23.824 --> 00:09:26.725]  But at the same time, like, I'm still determined to make a film out of it.
[00:09:28.025 --> 00:09:31.026]  I don't believe in just, you know, now that it's gone, it's done.
[00:09:31.106 --> 00:09:37.108]  Like, it is something that I think people, it'll always kind of turn people on, maybe, hopefully, you know?
[00:09:37.268 --> 00:09:45.190]  But as far as music goes, like, I believe in being true to a vision and it's not being about singles and all that kind of stuff.
[00:09:45.210 --> 00:09:50.752]  So I'd rather create an experience on an album than I would just worry about a couple songs that are good.
[00:09:51.092 --> 00:10:00.724]  Well, a lot of things that you said there, the independent spirit, you know, going out independently, it's like you and your gang are going, you know, going from town to town, entertaining people, spreading the word.
[00:10:00.744 --> 00:10:01.766]  It's like medicine shows.
[00:10:01.806 --> 00:10:02.627]  It is, yeah.
[00:10:02.807 --> 00:10:07.993]  And, you know, there's something, to be said, doing it on your own rather than having all the major label success.
[00:10:08.033 --> 00:10:08.594]  You know, Alex,
[00:10:09.480 --> 00:10:12.101]  He's built everything up, you know, by himself pretty much.
[00:10:12.141 --> 00:10:18.662]  Everything you see here is because one man was determined to get on the mic and talk to people and keep talking and not stop.
[00:10:18.782 --> 00:10:21.463]  And that's how you build something that's like a foundation.
[00:10:21.923 --> 00:10:25.584]  You know, so a friend of mine, a very good friend of mine in Nashville said this to me yesterday.
[00:10:26.044 --> 00:10:33.686]  He said, you know, the thing about a label and all that, it may not be, the album may not be selling as quickly as you'd like or it may not be hitting as many people, but he goes, but if someone else makes you, they can break you.
[00:10:33.726 --> 00:10:35.667]  But if you make yourself, nobody can break you.
[00:10:35.747 --> 00:10:36.167]  Exactly.
[00:10:36.307 --> 00:10:38.708]  And you get more of those album sales when you're selling them yourself.
[00:10:39.508 --> 00:10:40.268]  Yeah, right.
[00:10:40.328 --> 00:10:40.989]  That always helps.
[00:10:41.109 --> 00:10:42.109]  Well, yeah, yeah.
[00:10:42.149 --> 00:10:46.291]  You know, if they saw zero dollars of zero, it's zero percent of zero, zero still.
[00:10:46.331 --> 00:10:47.331]  Well, how's it doing now?
[00:10:47.451 --> 00:10:48.271]  It's doing alright, man.
[00:10:48.291 --> 00:10:49.372]  You know, it's out there.
[00:10:49.712 --> 00:10:55.814]  The label that I have is an independent label, but the guy who runs the label I've known for 13 years, and he's very behind it.
[00:10:55.874 --> 00:10:59.896]  I wish he had been behind Black Ribbons, but he wasn't in the way it worked.
[00:10:59.936 --> 00:11:05.378]  But we're going to re-release Black Ribbons next year anyway, just to have it out there with this label.
[00:11:06.098 --> 00:11:07.099]  On a purple record?
[00:11:07.960 --> 00:11:11.963]  You know, the vinyls for Black Ribbons, it was double vinyl, and there's none of them in existence.
[00:11:11.983 --> 00:11:14.706]  You can find them on eBay, but there's none still being made.
[00:11:14.786 --> 00:11:19.390]  But, you know, the packaging was real cool on the vinyl.
[00:11:19.570 --> 00:11:23.514]  Hopefully they'll bring it back out, maybe do a dual color, red, white, and blue one or something.
[00:11:23.954 --> 00:11:30.236]  Well, and it sounds like you could do a double movie with, go from Black Ribbons into the other life with the way the song sounded.
[00:11:30.356 --> 00:11:30.976]  And it's great.
[00:11:31.076 --> 00:11:37.638]  And earlier, or last week when you were on the Alex Jones Show, you were playing, you know, cuts from this going in and out.
[00:11:37.658 --> 00:11:38.718]  What's your favorite song on there?
[00:11:39.218 --> 00:11:43.040]  Probably, you know, the Flying Soldier song or the Gunslinger.
[00:11:44.580 --> 00:11:47.441]  The Other Life, those are ones that I really like a lot.
[00:11:47.461 --> 00:11:49.162]  You know, I'm proud of the whole record though.
[00:11:49.182 --> 00:11:55.264]  I really feel like this one was a real, kind of all the colors of my personality kind of went into this record.
[00:11:55.304 --> 00:11:59.766]  So in that way, like the little black ribbons, little this, little country, little that, you know, it's kind of got all that.
[00:11:59.826 --> 00:12:03.087]  So that's what I'm trying to do, continue doing that.
[00:12:03.107 --> 00:12:10.050]  So, you know, I think hopefully I'll have a studio like this one day that I record in after working hard enough as long as Alex has.
[00:12:14.463 --> 00:12:22.308]  As we saw in Katrina, and as we are watching now in New York and New Jersey, the federal government can't and won't help you in a crisis.
[00:12:22.908 --> 00:12:25.590]  FEMA ran out of water and MREs in days.
[00:12:26.111 --> 00:12:28.853]  Electricity is still off to over 1 million people.
[00:12:29.433 --> 00:12:33.656]  The Red Cross, who is quick to beg for money, is now slow to react.
[00:12:34.496 --> 00:12:36.258]  Don't put it off any longer.
[00:12:37.018 --> 00:12:38.079]  Get prepared today.
[00:12:40.695 --> 00:12:45.717]  The Info Wars shop is the largest distributor of pro pure water filter systems.
[00:12:46.237 --> 00:12:50.899]  And now, get 15% off your pro pure order with the promo code water 15.
[00:12:50.939 --> 00:12:56.841]  While you're on InfoWarshop.com, check out these other great preparedness items.
[00:12:57.921 --> 00:13:02.183]  The Aquapod Kit lets you store up to 65 gallons of water in your bathtub.
[00:13:03.223 --> 00:13:08.285]  Pocket Socket provides you with manual electricity for small electronics like your cell phone.
[00:13:09.485 --> 00:13:11.666]  The LifeStraw is great for your bug out bag.
[00:13:12.886 --> 00:13:19.589]  And check out our complete line of inner food products for great tasting and nutritionally dense foods that have a great shelf life.
[00:13:20.589 --> 00:13:32.014]  If you are looking to secure your home in a crisis, you can order Strategic Relocations The Film, a great companion to the book Strategic Relocations 3rd Edition and The Secure Home by Joel Skousen.
[00:13:33.195 --> 00:13:37.581]  When the time to perform arrives, the time to prepare has already passed.
[00:13:37.962 --> 00:13:43.290]  Get prepared now, so if a crisis strikes your home, you and your family will be secure.
[00:13:43.931 --> 00:13:47.657]  Go to InfoWarshop.com and don't forget the promo code Water15.
[00:13:58.516 --> 00:14:00.797]  Shooter, there's so many crazy events going on in the world.
[00:14:01.277 --> 00:14:06.620]  We're having a banking crisis in Cyprus where they just froze the bank accounts and just started taking people's money out.
[00:14:06.640 --> 00:14:08.501]  They said they're going to... Big surprise!
[00:14:08.521 --> 00:14:10.282]  Yeah, 10, 20, 30, 40, 50, 60... Wow!
[00:14:10.362 --> 00:14:11.202]  I never saw that coming.
[00:14:11.222 --> 00:14:12.403]  I mean, what does that tell you?
[00:14:12.503 --> 00:14:13.744]  Can't we trust in the system anymore?
[00:14:14.471 --> 00:14:34.366]  Well, I don't think we could ever, you know, I think that when they founded the system, they knew that we couldn't trust the system, and that's why they put the right to bear arms to protect you from the system in there, and the right to build to revolution and rise up and things like that, you know, because I think they knew that any system is eventually going to become corrupt, and I think that immediately those things started going into place.
[00:14:34.726 --> 00:14:39.210]  You know, whether or not, like, our system is ultimately corrupt and it's going to have to be taken down, I'm not saying that.
[00:14:39.230 --> 00:14:41.591]  I'm not, like, being a commie about this deal.
[00:14:42.492 --> 00:14:42.812]  I think so.
[00:15:06.383 --> 00:15:07.684]  Par for the course, you know.
[00:15:07.704 --> 00:15:11.807]  I think that with each move they need a one-two punch.
[00:15:11.967 --> 00:15:14.529]  Like, what is going to be after Obama?
[00:15:14.569 --> 00:15:15.510]  What is the next play?
[00:15:15.550 --> 00:15:19.492]  Because they already got that big card played with Obama and he can't be in office forever.
[00:15:19.553 --> 00:15:25.677]  So, are they going to follow it up with somebody that's going to pander to the right and think that, oh, we've got, you know.
[00:15:25.937 --> 00:15:28.519]  It's not like Barry Goldwater is going to come back or something, you know.
[00:15:28.579 --> 00:15:30.821]  It's like, they're going to have to come up with something.
[00:15:31.401 --> 00:15:32.302]  Who knows, you know.
[00:15:33.103 --> 00:15:34.664]  What about flying in the TSA?
[00:15:34.944 --> 00:15:42.710]  Texas recently just put in a second bill this time to try to just make this illegal of them putting our hands on us, you know, without even due process a law.
[00:15:43.010 --> 00:15:47.413]  See, I travel so much, I never get frisked, I never go through that, so I haven't seen it.
[00:15:47.433 --> 00:15:51.276]  Like, I've seen all these stories that are terrible about, like, the kid in the wheelchair and all that stuff.
[00:15:51.896 --> 00:15:54.697]  Are they stealing the pills out of the things?
[00:15:54.737 --> 00:15:57.438]  I've listened to Alex talk about that and it's true because I know that.
[00:15:57.458 --> 00:16:02.119]  I know I've seen that happen where people be like, man I had some pills in this thing.
[00:16:02.719 --> 00:16:10.141]  But again, I travel, I probably fly on average a lot of times, two, three, four times a week sometimes.
[00:16:10.441 --> 00:16:12.281]  And I'm always cruising right through that thing.
[00:16:12.301 --> 00:16:13.982]  I don't care, you know, I don't care.
[00:16:14.002 --> 00:16:15.182]  You go through the body scanner.
[00:16:15.322 --> 00:16:16.083]  Yeah, I go through it.
[00:16:16.523 --> 00:16:18.985]  It's radiation, they either see me naked or whatever, but I don't care.
[00:16:19.005 --> 00:16:19.646]  You know what happened?
[00:16:20.006 --> 00:16:20.847]  I'll tell you something that happened.
[00:16:20.867 --> 00:16:35.980]  You're probably going to get in trouble for saying this, but sometimes at shows people give me things and I don't think about it and I was on a Kid Rock cruise of all places, which I never should have done in the first place, but I'm on this stupid cruise and we're playing three shows and some fan hands me a joint, okay?
[00:16:36.401 --> 00:16:37.101]  So I don't...
[00:16:37.802 --> 00:16:41.783]  Think about it, at the moment I'm like drinking, it's late night, I put it in my pocket, okay?
[00:16:42.623 --> 00:16:45.663]  This shows you how effective the TSA is, okay?
[00:16:46.123 --> 00:17:05.887]  Rolling through the Austin airport, I have already flown, I've disembarked from the ship, I've been through, I've flown to Austin, oh no, we drove to Austin, so I got off the ship, went through a scanner, drove to Austin, I am now flying from Austin to New Orleans.
[00:17:06.647 --> 00:17:08.128]  I go through the TSA scanner.
[00:17:08.148 --> 00:17:09.569]  I go through the body scanner.
[00:17:09.849 --> 00:17:10.089]  Right?
[00:17:10.369 --> 00:17:10.909]  Nothing.
[00:17:11.069 --> 00:17:11.269]  Nope.
[00:17:11.570 --> 00:17:13.010]  They say, you got something in your pocket.
[00:17:13.410 --> 00:17:14.651]  And I reach in my pocket.
[00:17:14.671 --> 00:17:15.512]  I'm like, what is it?
[00:17:15.572 --> 00:17:16.872]  I didn't know there was anything in my pocket.
[00:17:16.892 --> 00:17:17.493]  I hadn't thought about it.
[00:17:17.513 --> 00:17:18.953]  This has been a week ago that this happened.
[00:17:19.313 --> 00:17:22.275]  And I pull up like a joint, a straight up joint.
[00:17:22.375 --> 00:17:23.135]  And I drop it.
[00:17:23.175 --> 00:17:23.736]  I'm like, I see it.
[00:17:23.776 --> 00:17:25.617]  I'm like, oh, like, I didn't know I had that.
[00:17:25.697 --> 00:17:26.217]  I drop it.
[00:17:26.237 --> 00:17:27.378]  And the guy's like, oh, OK, cool.
[00:17:27.698 --> 00:17:28.258]  And I pick it up.
[00:17:28.278 --> 00:17:28.998]  He's like, go on through.
[00:17:29.038 --> 00:17:29.759]  And I'm like,
[00:17:30.882 --> 00:17:31.703]  Did that just happen?
[00:17:31.723 --> 00:17:32.925]  Like, the dude saw it.
[00:17:33.086 --> 00:17:34.167]  Like, straight up saw it.
[00:17:34.187 --> 00:17:36.010]  You know, and I was like, oh man.
[00:17:36.031 --> 00:17:37.833]  Alright, well good work.
[00:17:37.934 --> 00:17:39.476]  I'm glad we got it.
[00:17:39.496 --> 00:17:42.221]  The war on drugs is not as important as the war on terror.
[00:17:45.219 --> 00:17:58.689]  Do you think this effort now where states are going, you know, we're sick of the federal government telling us what to do, we're going to make our own laws, we're going to push back and say, you know what, we don't want your war on drugs, we're going to tax it and make it legal, what's your feeling?
[00:17:58.909 --> 00:18:01.431]  I have very mixed feelings about all of it, because I'll tell you why.
[00:18:01.612 --> 00:18:10.638]  I think that if you legalize drugs, that it's going to definitely get rid of a lot of crime issues that we have here, it's going to definitely undercut, just like
[00:18:12.519 --> 00:18:15.780]  You know, cartels and things, and it's such a big trade here.
[00:18:15.820 --> 00:18:19.201]  So I definitely think that legalizing the drug is better.
[00:18:19.261 --> 00:18:25.803]  I think it's really crappy that we have so many people in the prison system for marijuana and things like that.
[00:18:26.204 --> 00:18:29.465]  I think they're going to resolve a lot of problems if they do that.
[00:18:29.845 --> 00:18:31.305]  But there's a double-edged sword to this, man.
[00:18:31.365 --> 00:18:33.386]  People that care about drugs are fighting so hard.
[00:18:33.406 --> 00:18:40.188]  Sorry, I shouldn't say drugs, because it's not like anybody's really fighting to legalize heroin, but like with pot.
[00:18:41.108 --> 00:18:50.974]  I feel like the biggest issue with the pot thing is that people don't realize that once they legalize it, then it's going to become... it's like bootlegging was, man.
[00:18:51.134 --> 00:18:59.940]  You know, like moonshine's still going to be legal, just like good pot's still probably going to be illegal, because Marlboro, from what I understand, already has
[00:19:01.380 --> 00:19:03.782]  There's a double-edged sword, for sure.
[00:19:03.802 --> 00:19:08.285]  But I think that if the Republicans were smart, they would have somebody that was going to be for the legalization.
[00:19:29.037 --> 00:19:34.842]  Get off the religious topics, get off the moral topics, and really start addressing things like that.
[00:19:34.982 --> 00:19:36.523]  I think it's good for certain people.
[00:19:36.603 --> 00:19:40.586]  I think it's weird when I go to... I mean, I live in California and it's pretty much legal there.
[00:19:40.626 --> 00:19:49.153]  I mean, all my friends, all they gotta do is say that their back hurts and they can't sleep and they get a card and then they can go in and buy joints and whatever and smoke them in the place.
[00:19:49.973 --> 00:19:56.579]  It's fine and I don't know anybody who's ever had any kind of, even a car wreck really from being high and everything.
[00:19:57.400 --> 00:20:12.173]  I've had friends that have gotten in a lot more trouble from the prescribed drugs that they get on a daily basis for just going in and their foot hurts and the doctor gives them a prescription of Vicodin and two months later they're addicted to it or Ambien or something and falling asleep while they're driving their car.
[00:20:13.214 --> 00:20:15.034]  You know, that kind of stuff is more dangerous.
[00:20:15.054 --> 00:20:20.116]  I think what you're saying about the moral issues, too, I mean, if they just put those aside, let's talk about the banking system in our country.
[00:20:20.156 --> 00:20:20.656]  Yes, yes.
[00:20:20.696 --> 00:20:23.377]  Let's talk about the issues that could change the economy.
[00:20:23.437 --> 00:20:24.317]  Let gay people get married.
[00:20:24.357 --> 00:20:28.058]  Like, I think, let gay people get married, let people have abortions, deal with all that stuff.
[00:20:28.458 --> 00:20:30.878]  Let them deal with those other moral issues themselves.
[00:20:30.898 --> 00:20:40.761]  Now, I know that goes against a lot of religious beliefs with the abortion thing, and that's a topic unto itself, but I think that is getting in the way of what the real problem is, and everyone wants to address those things.
[00:20:41.161 --> 00:20:41.802]  We're good to go.
[00:21:05.496 --> 00:21:12.994]  Yeah, but remember when it was founded, they knew that it was the worst thing that ever happened in this country.
[00:21:13.054 --> 00:21:14.497]  They knew it was going to be the worst thing.
[00:21:17.145 --> 00:21:22.226]  What do you think about that, the whole see something, say something thing from Dung Beetle Napolitano?
